본번,부번,아파트명,전용면적,층,건축년도,도로명,해제사유발생일,등기신청일자,거래유형,부동산유형,분양형태,k-관리방식,k-복도유형,k-난방방식,k-전체동수,k-전체세대수,k-건설사,k-시행사,k-사용검사일-사용승인일,k-연면적,k-주거전용면적,k-관리비부과면적,k-전용면적별세대현황(60㎡이하),k-전용면적별세대현황(60㎡~85㎡이하),k-85㎡~135㎡이하,k-135㎡초과,k-등록일자,k-수정일자,경비비관리형태,세대전기계약방법,청소비관리형태,건축면적,주차대수,단지승인일,좌표X,좌표Y,단지신청일,target,구,동,계약날짜
44.0,0.0,금호,27.61,10,1987,양재대로 1557,, ,-,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,,,,,,,,,,,unknown,unknown,unknown,,,,127.142351999447,37.544847168923,,22500.0,강동구,천호동,2017-10-30
44.0,0.0,금호,27.61,4,1987,양재대로 1557,, ,-,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,,,,,,,,,,,unknown,unknown,unknown,,,,127.142351999447,37.544847168923,,22500.0,강동구,천호동,2017-11-03
44.0,0.0,금호,27.61,13,1987,양재대로 1557,, ,-,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,,,,,,,,,,,unknown,unknown,unknown,,,,127.142351999447,37.544847168923,,22450.0,강동구,천호동,2017-12-12
44.0,0.0,금호,27.61,5,1987,양재대로 1557,, ,-,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,,,,,,,,,,,unknown,unknown,unknown,,,,127.142351999447,37.544847168923,,22000.0,강동구,천호동,2018-01-11
44.0,0.0,금호,27.61,7,1987,양재대로 1557,, ,-,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,,,,,,,,,,,unknown,unknown,unknown,,,,127.142351999447,37.544847168923,,23325.0,강동구,천호동,2018-01-17
44.0,0.0,금호,27.61,10,1987,양재대로 1557,, ,-,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,,,,,,,,,,,unknown,unknown,unknown,,,,127.142351999447,37.544847168923,,23800.0,강동구,천호동,2018-01-29
44.0,0.0,금호,27.61,4,1987,양재대로 1557,, ,-,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,,,,,,,,,,,unknown,unknown,unknown,,,,127.142351999447,37.544847168923,,24000.0,강동구,천호동,2018-01-29
44.0,0.0,금호,27.61,11,1987,양재대로 1557,, ,-,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,,,,,,,,,,,unknown,unknown,unknown,,,,127.142351999447,37.544847168923,,24500.0,강동구,천호동,2018-01-30
44.0,0.0,금호,27.61,5,1987,양재대로 1557,, ,-,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,,,,,,,,,,,unknown,unknown,unknown,,,,127.142351999447,37.544847168923,,24400.0,강동구,천호동,2018-02-07
44.0,0.0,금호,27.61,3,1987,양재대로 1557,, ,-,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,,,,,,,,,,,unknown,unknown,unknown,,,,127.142351999447,37.544847168923,,24000.0,강동구,천호동,2018-03-01
44.0,0.0,금호,27.61,4,1987,양재대로 1557,, ,-,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,,,,,,,,,,,unknown,unknown,unknown,,,,127.142351999447,37.544847168923,,24000.0,강동구,천호동,2018-03-12
44.0,0.0,금호,27.61,4,1987,양재대로 1557,, ,-,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,,,,,,,,,,,unknown,unknown,unknown,,,,127.142351999447,37.544847168923,,25000.0,강동구,천호동,2018-04-20
44.0,0.0,금호,27.61,9,1987,양재대로 1557,, ,-,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,,,,,,,,,,,unknown,unknown,unknown,,,,127.142351999447,37.544847168923,,25000.0,강동구,천호동,2018-05-19
44.0,0.0,금호,27.61,10,1987,양재대로 1557,, ,-,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,,,,,,,,,,,unknown,unknown,unknown,,,,127.142351999447,37.544847168923,,24700.0,강동구,천호동,2018-05-31
44.0,0.0,금호,27.61,10,1987,양재대로 1557,, ,-,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,,,,,,,,,,,unknown,unknown,unknown,,,,127.142351999447,37.544847168923,,26300.0,강동구,천호동,2018-06-30
44.0,0.0,금호,27.61,6,1987,양재대로 1557,, ,-,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,,,,,,,,,,,unknown,unknown,unknown,,,,127.142351999447,37.544847168923,,27200.0,강동구,천호동,2018-07-11
44.0,0.0,금호,27.61,13,1987,양재대로 1557,, ,-,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,,,,,,,,,,,unknown,unknown,unknown,,,,127.142351999447,37.544847168923,,29500.0,강동구,천호동,2018-09-10
1039.0,3.0,금호,107.07,6,2002,강서로37길 71,, ,-,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,,,,,,,,,,,unknown,unknown,unknown,,,,126.833452240366,37.5432836441394,,36000.0,강서구,화곡동,2017-12-27
1705.0,0.0,금호,59.4,6,1997,대학18길 9,, ,-,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,,,,,,,,,,,unknown,unknown,unknown,,,,126.937561029256,37.4651360569375,,29500.0,관악구,신림동,2017-10-01
1705.0,0.0,금호,84.96,7,1997,대학18길 6,, ,-,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,,,,,,,,,,,unknown,unknown,unknown,,,,126.93736455622,37.4655600589723,,34000.0,관악구,신림동,2017-11-06
1705.0,0.0,금호,84.96,18,1997,대학18길 9,, ,-,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,,,,,,,,,,,unknown,unknown,unknown,,,,126.937561029256,37.4651360569375,,34500.0,관악구,신림동,2017-12-08
1705.0,0.0,금호,84.96,7,1997,대학18길 6,, ,-,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,,,,,,,,,,,unknown,unknown,unknown,,,,126.93736455622,37.4655600589723,,33700.0,관악구,신림동,2018-01-08
1705.0,0.0,금호,84.96,10,1997,대학18길 6,, ,-,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,,,,,,,,,,,unknown,unknown,unknown,,,,126.93736455622,37.4655600589723,,38500.0,관악구,신림동,2018-01-20
1705.0,0.0,금호,84.96,4,1997,대학18길 9,, ,-,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,,,,,,,,,,,unknown,unknown,unknown,,,,126.937561029256,37.4651360569375,,38000.0,관악구,신림동,2018-04-27
1705.0,0.0,금호,59.4,8,1997,대학18길 9,, ,-,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,,,,,,,,,,,unknown,unknown,unknown,,,,126.937561029256,37.4651360569375,,30300.0,관악구,신림동,2018-05-07
1705.0,0.0,금호,84.96,9,1997,대학18길 6,, ,-,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,,,,,,,,,,,unknown,unknown,unknown,,,,126.93736455622,37.4655600589723,,38200.0,관악구,신림동,2018-06-24
