본번,부번,아파트명,전용면적,층,건축년도,도로명,해제사유발생일,등기신청일자,거래유형,부동산유형,분양형태,k-관리방식,k-복도유형,k-난방방식,k-전체동수,k-전체세대수,k-건설사,k-시행사,k-사용검사일-사용승인일,k-연면적,k-주거전용면적,k-관리비부과면적,k-전용면적별세대현황(60㎡이하),k-전용면적별세대현황(60㎡~85㎡이하),k-85㎡~135㎡이하,k-135㎡초과,k-등록일자,k-수정일자,경비비관리형태,세대전기계약방법,청소비관리형태,건축면적,주차대수,단지승인일,좌표X,좌표Y,단지신청일,target,구,동,계약날짜
893.0,0.0,롯데캐슬,105.18,20,2002,삼성로85길 11,, ,-,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,,,,,,,,,,,unknown,unknown,unknown,,,,126.818432855066,37.5646967575896,,128500.0,강남구,대치동,2017-10-21
893.0,0.0,롯데캐슬,105.18,2,2002,삼성로85길 11,, ,-,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,,,,,,,,,,,unknown,unknown,unknown,,,,126.83685352275,37.5756401883806,,110000.0,강남구,대치동,2017-10-31
893.0,0.0,롯데캐슬,107.91,1,2002,삼성로85길 11,, ,-,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,,,,,,,,,,,unknown,unknown,unknown,,,,126.83685352275,37.5756401883806,,145000.0,강남구,대치동,2018-07-26
893.0,0.0,롯데캐슬,105.18,4,2002,삼성로85길 11,, ,-,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,,,,,,,,,,,unknown,unknown,unknown,,,,126.83685352275,37.5756401883806,,167000.0,강남구,대치동,2018-09-07
272.0,11.0,롯데캐슬,84.9519,4,2005,공항대로65길 21,, ,-,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,,,,,,,,,,,unknown,unknown,unknown,,,,126.869005951339,37.550592015032,,70000.0,강서구,염창동,2017-11-28
272.0,11.0,롯데캐슬,84.9519,11,2005,공항대로65길 21,, ,-,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,,,,,,,,,,,unknown,unknown,unknown,,,,126.869005951339,37.550592015032,,71000.0,강서구,염창동,2017-12-10
272.0,11.0,롯데캐슬,84.9519,4,2005,공항대로65길 21,, ,-,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,,,,,,,,,,,unknown,unknown,unknown,,,,126.869005951339,37.550592015032,,70700.0,강서구,염창동,2017-12-11
272.0,11.0,롯데캐슬,84.9519,8,2005,공항대로65길 21,, ,-,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,,,,,,,,,,,unknown,unknown,unknown,,,,126.869005951339,37.550592015032,,74000.0,강서구,염창동,2017-12-28
272.0,11.0,롯데캐슬,134.5767,10,2005,공항대로65길 21,, ,-,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,,,,,,,,,,,unknown,unknown,unknown,,,,126.869005951339,37.550592015032,,85500.0,강서구,염창동,2018-02-04
272.0,11.0,롯데캐슬,134.5767,7,2005,공항대로65길 21,, ,-,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,,,,,,,,,,,unknown,unknown,unknown,,,,126.869005951339,37.550592015032,,84000.0,강서구,염창동,2018-02-05
272.0,11.0,롯데캐슬,84.9519,1,2005,공항대로65길 21,, ,-,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,,,,,,,,,,,unknown,unknown,unknown,,,,126.869005951339,37.550592015032,,69500.0,강서구,염창동,2018-02-08
272.0,11.0,롯데캐슬,84.9519,3,2005,공항대로65길 21,, ,-,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,,,,,,,,,,,unknown,unknown,unknown,,,,126.869005951339,37.550592015032,,71500.0,강서구,염창동,2018-02-08
272.0,11.0,롯데캐슬,84.9519,10,2005,공항대로65길 21,, ,-,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,,,,,,,,,,,unknown,unknown,unknown,,,,126.869005951339,37.550592015032,,72600.0,강서구,염창동,2018-02-26
272.0,11.0,롯데캐슬,84.9519,12,2005,공항대로65길 21,, ,-,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,,,,,,,,,,,unknown,unknown,unknown,,,,126.869005951339,37.550592015032,,74500.0,강서구,염창동,2018-02-27
272.0,11.0,롯데캐슬,134.5767,9,2005,공항대로65길 21,, ,-,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,,,,,,,,,,,unknown,unknown,unknown,,,,126.869005951339,37.550592015032,,88000.0,강서구,염창동,2018-03-07
272.0,11.0,롯데캐슬,84.9519,5,2005,공항대로65길 21,, ,-,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,,,,,,,,,,,unknown,unknown,unknown,,,,126.869005951339,37.550592015032,,76800.0,강서구,염창동,2018-04-15
272.0,11.0,롯데캐슬,134.5767,11,2005,공항대로65길 21,, ,-,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,,,,,,,,,,,unknown,unknown,unknown,,,,126.869005951339,37.550592015032,,86300.0,강서구,염창동,2018-04-19
272.0,11.0,롯데캐슬,134.5767,9,2005,공항대로65길 21,, ,-,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,,,,,,,,,,,unknown,unknown,unknown,,,,126.869005951339,37.550592015032,,87000.0,강서구,염창동,2018-05-10
272.0,11.0,롯데캐슬,84.9519,5,2005,공항대로65길 21,, ,-,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,,,,,,,,,,,unknown,unknown,unknown,,,,126.869005951339,37.550592015032,,77800.0,강서구,염창동,2018-05-13
272.0,11.0,롯데캐슬,134.5767,3,2005,공항대로65길 21,, ,-,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,,,,,,,,,,,unknown,unknown,unknown,,,,126.869005951339,37.550592015032,,85000.0,강서구,염창동,2018-05-14
272.0,11.0,롯데캐슬,84.9519,2,2005,공항대로65길 21,, ,-,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,,,,,,,,,,,unknown,unknown,unknown,,,,126.869005951339,37.550592015032,,75500.0,강서구,염창동,2018-07-02
272.0,11.0,롯데캐슬,84.9519,3,2005,공항대로65길 21,, ,-,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,,,,,,,,,,,unknown,unknown,unknown,,,,126.869005951339,37.550592015032,,80500.0,강서구,염창동,2018-07-09
272.0,11.0,롯데캐슬,134.5767,1,2005,공항대로65길 21,, ,-,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,,,,,,,,,,,unknown,unknown,unknown,,,,126.869005951339,37.550592015032,,87500.0,강서구,염창동,2018-08-18
272.0,11.0,롯데캐슬,84.9519,2,2005,공항대로65길 21,, ,-,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,,,,,,,,,,,unknown,unknown,unknown,,,,126.869005951339,37.550592015032,,82000.0,강서구,염창동,2018-08-27
1132.0,0.0,롯데캐슬,84.96,12,2003,사당로27길 190,, ,-,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,,,,,,,,,,,unknown,unknown,unknown,,,,126.971587397179,37.490957111073,,67500.0,동작구,사당동,2017-10-07
1132.0,0.0,롯데캐슬,117.68,19,2003,사당로27길 190,, ,-,unknown,unknown,unknown,unknown,unknown,,,unknown,unknown,,,,,,,,,,,unknown,unknown,unknown,,,,126.971587397179,37.490957111073,,76750.0,동작구,사당동,2017-10-16
