,제목,언론사,날짜,링크,내용
0,"채널톡, 생성 AI 챗봇 '알프' 출시...""CS 단순문의 55% 해결""",AI타임스,1일 전,https://www.aitimes.com/news/articleView.html?idxno=158497,"인공지능(AI) 메신저 '채널톡' 운영사 채널코퍼레이션(대표 최시원, 김재홍)은 서울 그랜드 인터컨티넨탈에서 채널콘 컨퍼런스를 개최하고 CS 단순..."
1,"채널톡, 단순·반복 문의 답하는 ‘AI 챗봇’ 상반기 출시 - 조선비즈",Chosunbiz,1일 전,https://biz.chosun.com/industry/company/2024/04/03/XU3SE3JDLJC6HPS62EYWJ7Z5IQ/,비즈니스 전용 메신저 '채널톡'을 운영하는 정보기술(IT) 스타트업 채널코퍼레이션이 올 상반기 생성형 인공지능(AI) 챗봇을 출시한다.
2,"마이크로소프트, 엑스박스 애니메이션 AI 챗봇 개발",더구루,1일 전,https://theguru.co.kr/news/article.html?no=68987,[더구루=홍성일 기자] 마이크로소프트(MS)가 엑스박스(Xbox)에 애니메이션 인공지능(AI) 챗봇을 적용하기 위해 개발을 진행 중이다.
3,'AI 행정혁신'에 2000억 쏟아붓는 서울시..인공지능 챗봇·CCTV 나온다,머니투데이,2일 전,https://news.mt.co.kr/mtview.php?no=2024040218241383839,서울시가 인공지능(AI)을 접목한 행정혁신에 2000억원을 투입해 시민 편의와 공무원 업무 효율을 동시에 높인다. 지방자치단체 차원에선 최초로 'AI...
4,"세종시, 전자증명-AI챗봇으로 ‘민원혁신’",동아일보,2일 전,https://www.donga.com/news/Society/article/all/20240402/124288744/1,세종시가 공무원이 디지털로 증명서를 직접 확인해 민원인이 제출하는 증명서를 없애는 제도를 시행하겠다고 2일 밝혔다. 시는 최근 행정안전부와...
5,"챗GPT에 235조 검색광고 날아갈 판…구글 ""AI 검색 돈 내야"" [팩플]",MSN,1시간 전,https://www.msn.com/ko-kr/money/topstories/%EC%B1%97gpt%EC%97%90-235%EC%A1%B0-%EA%B2%80%EC%83%89%EA%B4%91%EA%B3%A0-%EB%82%A0%EC%95%84%EA%B0%88-%ED%8C%90-%EA%B5%AC%EA%B8%80-ai-%EA%B2%80%EC%83%89-%EB%8F%88-%EB%82%B4%EC%95%BC-%ED%8C%A9%ED%94%8C/ar-BB1l5HIP,구글이 생성 인공지능(AI) 기반 유료 검색 서비스 출시를 검토 중인 것으로 알려졌다. 구글에서 AI 유료 검색 서비스가 나온다면 자사 핵심 사업인 검색 엔진을 유료화...
6,"인공지능 챗봇이 검색엔진 빠르게 대체, 가트너 ""2026년 검색량 25% 축소""",비즈니스포스트,1개월 전,https://www.businesspost.co.kr/BP?command=article_view&num=343216,[비즈니스포스트] 챗GPT를 비롯한 인공지능(AI) 챗봇 서비스가 검색엔진의 역할을 빠른 속도로 대체할 것이라는 시장 조사기관의 전망이 나왔다.21일...
7,"“단순·반복 문의 해결사로”…채널톡, 생성형 AI 챗봇 ‘알프’ 상반기 출시",네이트뷰,1일 전,https://view.nate.com/tech/view/158702/,[아이뉴스24 정유림 기자] 비즈니스 전용 메신저 '채널톡'을 운영하는 채널코퍼레이션이 생성형 인공지능(AI) 챗봇 '알프(ALF)'를 올 상반기 출시한다...
8,"중국, 신경외과 병원서 뇌수술 AI 챗봇 테스트",글로벌이코노믹,3주 전,https://www.g-enews.com/article/Global-Biz/2024/03/20240312070531185da65389f94_1,홍콩 기반 인공지능 및 로봇 센터는 보건의료에 중점을 둔 모델을 훈련하기 위해 약 100개의 그래픽 프로세서 유닛을 사용하고 있다. 연구원들은 11일...
9,사람 수준 민원챗봇 'AI충녕' 개발한다…세종시 행정 디지털 혁신,하이테크정보,2일 전,http://www.hitech.co.kr/news/articleView.html?idxno=28812,세종시는 행정 서비스의 디지털 혁신을 본격적으로 추진한다고 3일 밝혔다.디지털 기술이 행정에 접목되고 융합되는 속도가 도시 경쟁력을 결정한다는...
