,책 제목,저자,출간일,가격(원),판매지수,평점,리뷰갯수
0,불변의 법칙,모건 하우절,2024년 02월,"22,500","424,284",9.8,93
1,패밀리 레스토랑 가자. 上,와야마 야마,2024년 04월,"7,650","134,376",9.7,61
2,일류의 조건,사이토 다카시,2024년 03월,"17,820","161,994",10.0,173
3,나를 소모하지 않는 현명한 태도에 관하여,마티아스 뇔케,2024년 03월,"16,020","167,601",9.9,35
4,삼체 1~3 세트,류츠신,2020년 07월,"60,300","118,308",9.7,55
5,나는 메트로폴리탄 미술관의 경비원입니다,패트릭 브링리,2023년 11월,"15,750","411,657",9.1,348
6,알사탕 제조법,백희나,2024년 03월,"9,000","129,576",7.7,64
7,마흔에 읽는 쇼펜하우어,강용수,2023년 09월,"15,300","859,296",8.8,414
8,세이노의 가르침,세이노(SayNo),2023년 03월,"6,480","1,811,112",9.0,"2,145"
9,이처럼 사소한 것들,클레어 키건,2023년 11월,"12,420","308,556",9.6,235
10,ETS 토익 정기시험 기출문제집 1000 Vol. 4 RC,ETS,2023년 12월,"17,820","314,172",9.9,69
11,ETS 토익 정기시험 기출문제집 1000 Vol. 4 LC,ETS,2023년 12월,"17,820","294,477",9.7,58
12,찌그러져도 동그라미입니다,김창완,2024년 03월,"16,020","87,339",10.0,29
13,위풍당당 여우 꼬리 5,손원평,2024년 03월,"11,700","42,237",9.3,3
14,공부가 설렘이 되는 순간,조승우,2024년 02월,"16,920","121,854",9.9,51
15,비트코인 폭발적 상승에 올라타라,강환국,2024년 04월,"25,200","41,067",7.5,12
16,돈의 심리학 (30만 부 기념 스페셜 에디션),모건 하우절,2021년 01월,"17,820","210,219",9.3,817
17,"꽃길이 따로 있나, 내 삶이 꽃인 것을",오평선,2024년 03월,"15,120","47,334",9.8,25
18,깨진 틈이 있어야 그 사이로 빛이 들어온다,프리드리히 니체,2024년 03월,"16,920","95,775",10.0,52
19,열혈강호 90,전극진,2024년 03월,"4,950","53,010",10.0,10
20,기적의 서울대 쌍둥이 공부법,여호원,2024년 03월,"17,100","124,608",10.0,48
21,요즘 역사 : 근대,황현필,2024년 03월,"16,200","81,009",8.8,77
22,이은경쌤의 초등어휘일력 365,이은경,2022년 10월,"16,920","262,758",9.8,283
23,똑 부러지게 내 생각을 전하는 말하기 연습,임정민,2024년 03월,"12,870","115,398",10.0,19
