,사용자명,평점,작성일,작성내용
0,박지은,1,2024년 3월 22일,왜이렇게 업데이트 할때마다 사용하기 점점 불편하게 바뀌는지? 클릭한번 더 해야되고 더 번거롭게 바뀌네요. 일반결제가 기본임에도 저쪽 구석으로 밀려나고 마치 한집배달을 유도하듯 메인에 만들어 놔서 잘못 클릭하면 자꾸 나가서 일반결제를 다시 클릭해야하게 만들어놓더니. 이젠 결제창에 요청사항이나 리뷰이벤트할때 또 클릭해서 하게끔 바뀌었네요. 쓸데없는 짓 정말 잘하네요 배민.
1,kh ki,1,2024년 4월 5일,UI 바뀌고 진짜 개햇갈리게 바꿔놨네요.. 모던도르에 빠져서 편의성이나 시인성이 거지같아진건 아닌지 한번 생각해봤으면 좋겠습니다 그리고 일회용품 체크되서 나오는거 개편하면서 꽁꽁감싸숨겨둬서 배달할때마다 전화해야하는거 개열받네요 진짜.. 이게 목적이셨다면 성공하셨습니다 축하드립니다
2,니가가라카와이,1,2024년 4월 5일,"삭제하기 전 참고해서 변화가 있길 바라며 글 남기고 갑니다. 이용하는 동안 정말 편하게 썼습니다. 어플 편의성으로만 보면 별4개 정도이나, 한개주는건 얼탱이가 없어서. 3월 약 50만원을 지출하고 등급이 업데이트 되었다고 톡이 왔는데요. 발송일 4월2일, 만료일 4월7일. 한달 지속도 아니고 5일 후 만료에 어처구니가 없습니다. 쿠폰도 다양성 따윈 없고 이용빈도 낮은거 4장. 등급에 대한 별도 혜택도 없는데 등급이 왜 존재하는지 의문입니다. 많은분들이 이용해서 꽤나 규모가 큰 업체로 성장하셨는데, 그에 반해 혜택은 별 볼일 없네요. 번창하세요"
3,이유빈,1,2024년 3월 30일,"아무리 생각해봐도 배달의민족 어플리케이션 UI관련 부서 문제있어보이네요 기존에 주문창에서 한번에 볼 수 있던 UI를 포기하고 각각 메뉴 하나하나에 묶어 버리는게 맞나싶어요 UI관련해서 직급 낮은 개발자들이 이렇게 수정했을리는 없고 그위일텐데... UI 개편작업이라는건 사용자가 조금이라도 더 편하게 사용할 수 있도록 수정하는게 맞는거같은데 전부터 느끼는 거지만 가게창, 주문창 등 배달의 민족은 점점 안좋은쪽으로만 바뀌네요 요즘 쿠팡잇츠 무료배달 서비스 선언에 슬슬 밀려나가려는 시장분위기 알고있으면 UI라도 편하게하고 그에 대응하는 서비스를 제공하려 노력해야 할꺼같은데 참..."
4,커피콩,3,2024년 2월 3일,장바구니가 너무 불편합니다. 비마트에서 여러가지를 담고 스크롤 올리고 내릴때 살짝 대각선으로 움직이면 배달포장 대용량특가등 좌우로 넘어가 버리고 비마트 항목으로 다시 넘어오면 체크해둔 상태가 아닌 리로딩 되어 맨위로 올라가고 전체선택이 됩니다. 너무 예민해서 살짝만 직선에서 벗어나도 옆 항목으로 가는데 쓸때마다 짜증나더라고요. 위에 배달포장 비마트 대용량특가...등 항목을 눌러서 선택해도 될듯한데 화면을 옆으로 넘길 필요까진 없는듯합니다. 거의 매일 배민 어플 사용하면서 느낀점입니다.
5,김태현,4,2024년 3월 26일,"주문할 때 배달방식(알뜰, 한집) 선택 없어주셨으면 좋겠습니다. 너무 불편하고, 이용할 수 없겠습니다. 현금결제도 없어졌다는 것도 상당히 불편합니다. 저도 현금결제 하는 편인데.... 다른 분들도 현금결제 하시는 분도 계실 겁니다. 웬만하면, 원래대로 모습으로 해주셨으면 감사하겠습니다."
6,환바,3,2024년 3월 16일,"배달의 민족앱자체는 만족하나, 식사후 맛 리뷰 평점 자체는 클린하게 이뤄지진 못하는것 같습니다.. 식당입장, 그러니까 업주 입장에서는 높은 별점으로 인한 주문건수를 기대하려 하겠지만, 주문자 입장에서는 맛이 없는 식당들도 대체적으로 4.8점이 넘어 정확한 맛집 탐색이 어렵다는 점에서 앱자체에 대한 평점은 3점으로 남겨 놓습니다.. 즐거운 식사를 항상 추구하고 기대하나 평점에 속아 그러지 못해 이를 애석하게 생각하고 있습니다! 수고하시는 어플리케이션 개발자 여러분들 좋은 아이디어로 참신한 방법을 구안해 내시길 바라며 이만 줄입니다.!"
7,xojeexo,3,2024년 2월 1일,B마트 이용중인데 언제부턴가 전체선택 버튼이 비활성화되어있습니다. 장바구니에 있는것 중에 원하는걸 구매하려면 체크박스를 해제하면서 스크롤을 내려야하고 화면을 꾹 눌렀다 떼거나 터치를 잘못하면 페이지가 새로고침되고 선택한게 초기화됩니다. 결제 넘어가기전에 선택제품이 뭔지 한번 더 볼 수 있으면 좋겠어요.
8,g s,1,2024년 1월 14일,수저포크x 버튼 기본으로 활성화 되어있는거 환경 보호한다고 해놓은거 압니다. 그런데 그거랑 별개로 사용자가 기본설정을 바꿀 수 있게 해줘야지 결제창 껏다가 다시 열면 또 체크되어있어서 조금만 까먹으면 수저없이 밥먹기 일수입니다. 기능을 삭제하는게 아니라 디폴트 설정을 바꿀 수 있게 옵션에 추가해주세요. 저는 직장에서 점심 먹을때 맨손으로 먹기 싫습니다. 이렇게 주문 실수때 젓가락 안받아봤자 결국 먹을 방법이 없어 편의점에서 하나 가져오게 만들 뿐 환경에는 도움이 안됩니다.
9,김아름,1,2024년 3월 16일,개선이되고 업데이트가 된다는건 불편했던 사항들을 반영하는것 아닌가요? 오히려 더 불편해서 보기가 싫을정도입니다 너무 불편하고 더 조잡스러워 보여요 ; 안보이는 식당은 일일히 검색해서 찾아야하고 찾아야 나오고 그전 버전이 훨씬 편합니다ㅡㅡ
