,이름,평점,작성일,내용
0,이지훈,3/5,2024년 4월 5일,"1. 강의에서 발음인식이 제대로 안 됩니다. 되더라도 10초 이상 인식이 느린 적도 있습니다. 이 부분을 빠르게 고쳐주시면 감사드립니다. 정확도 인지 부분도 올라가면 더 좋겠습니다. 2. 컴퓨터에서도 사용이 가능하면 좋겠습니다. 결제 외엔 딱히 쓸 수 있는 기능이 없는 거 같던데, 경우에 따라 챗봇 대신에 스픽 AI에게 영어 관련으로 묻는 경우도 있는데 휴대폰으로는 너무 불편합니다. 3. Ai 챗봇에게도 발음 기능을 추가해주시면 좋겠습니다. 발음기호를 알려줘도 제가 모르는 게 있으니 읽어달라고 했는데 단어 발음은 못 읽어준다고 따로 찾으라고 합니다. 추가 녹음은 못 하신다면 적어도 강의를 위해 녹음한 단어 발음을 추가해주시면 좋겠습니다."
1,jina jeong,5/5,2024년 3월 31일,1.AI튜터 기능이 재미있어요. 다소 문법질문은 틀려서 고쳐줄때도 있구요. 글을 이해하는데 있어서 아직 부족한듯 해요. 그리고 튜터랑 대화한걸 노트화해서 이메일로 보낼 수 있음 좋을 것 같아요. 점점 찾기 힘들어요. 2.운전자모드가 있으면 좋겠어요. 운전할때 누를수도 없고 음성인식오류인 경우 다시 눌러야 하는데 사고 나겠더라구요. 3.실전대화전에 말하기연습 6단계할때가 있는데 중간에 못하게 되면 다시 처음으로 돌아가요. 했던부분에서 재시작이 되면 좋겠어요. 4.어플을 골고루 활용할 수 있는 가이드가 있어도 좋을것 같아요.하다보면 탐색.수업부분을 잘 안듣게 되는데 단계별진행표라도 있음 좋을것 같아요. 5.그리고 첫화면이 ai튜터 기능이던데 본래화면.홈화면이 시작이면 좋을것 같아요.
2,류민주,5/5,2024년 3월 17일,보름정도 하루에 1시간 정도씩 사용하고 있습니다. 매우 유용하고 확실히 회화에 도움이 됩니다. 프리톡하면서 AI가 피드백주는것도 매우 유용합니다. 한가지 기능을 추가해주셨으면 하는 부분이 있는데 저장된 표현에 검색기능이 있었으면 좋겠습니다. 오래 공부하다보니 표현들이 점점많아져 이전에 저장했던 표현들을 공부하기 어렵습니다.
3,황주경,4/5,2024년 3월 21일,잘 쓰고있습니다. 다 좋은데 혹시 영상 화질 선택할 수 있게 해주실 수 있나요? 느린 무제한 데이터 쓰는 중으로 유투브 480p정도는 안끊기고 잘 나오는 정도인데 스픽 강의가 3초 나오고 10초정도 딜레이가 걸리다 보니 연속성도 떨어지고 학습에 덜 도움이 되는 것 같아요! 학습 툴 자체는 아주 잘 쓰고 있습니다:)
4,Yang Kichang,3/5,2024년 3월 18일,"제일 아쉬운 점은 프리톡에서 녹음이 1분?정도도 안되는 시간 후에 바로 끊겨버린다는 점입니다. 그럼 그동안 열심히 말하던게 싹 날라가서 갑자기 할 마음도 싹 사라집니다. 버벅거리면서라도 길게길게 말해야 일정 수준 이상으로 늘텐데, 이렇게 짧게짧게만 말해서는 실력 향상에 한계가 뚜렷해보여요. 2~3분 정도로 늘려주시면 좋을것 같습니다. AI의 대화 흐름이 매끄럽지 않고 피상적인 이야기만 하는 느낌도 있긴 한데, 이건 ai 성능 높여가면서 점차 좋아질거라 믿습니다."
5,Mark Kim,1/5,2024년 2월 10일,"S24+ 입니다. 스피킹 시작하면 오른쪽 알림창 위로 녹색 마이크 아이콘이 나옵니다. 안드로이드에서 마이크를 사용한다는 표시를 해주죠. 스피킹 할 때 이 아이콘이 계속 나타났다 작아졌다 없어졌다 나타났다 반복합니다. 물론 이게 마이크를 사용했다 안했다 하면서 나타나는 현상인거 같은데, 랙걸릴 때 보면 해당 아이콘이 늦게 나오거나 아에 나오지 않거나 나와도 인식되지 않거나 이런 다양한 경우 인것 같네요. 너무 안되서 앱을 재시작 해보면 바로 또 잘됩니다. 아무래도 최신버전 안드로이드에 최적화를 잘 못하신것 같아요. 원하시면 동영상 찍어서 공유 드릴께요. 빠른 조치 부탁합니다. 동일 네트워크 환경 아이패드에서는 아주 잘됩니다."
6,Hy Kim,1/5,2024년 2월 1일,"이틀 무료체험하고 하차합니다. 이유는 제가 차로 출퇴근 시간이 길어 운전 중 리스닝 스피킹을 많이 하는데 차 운전중 사용 경험에 대해 전혀 고려를 하고 있지 않기 때문입니다. 차 운전 모드를 제공해주면 정말 좋을 것 같고 아래 내용을 개선해준다면 사용할 의향이 있습니다 1. (젤 중요) 차량에 BT, 연결시 마이크 인풋이 전혀 동작하지 않습니다. 2. 스피킹 연습할 때 매번 화면 터치해서 다음 넘어가야 하는데 이거 계속 눌러주다가 사고날 것 같아 포기했습니다. 운전 모드로 터치하지 않아도 계속 다음 과정을 쓸수 있었으면 합니다."
7,Avril,5/5,2024년 3월 12일,"건의사항) 이전 학습 기록을 볼 때 목록을 끝까지 뒤져야 되는 불편함이 있는데, 삭제 버튼으로 정리가 가능하면 좋겠고 날짜별로 정렬한다든지 주제별로 정렬한다든지 찾기 쉽게 만들어주면 좋겠어요. 그리고 오래 뜸들여 말하다보면 마이크가 끊기는데 더 시간을 넉넉히 주면 좋겠어요"
8,임철식,4/5,2024년 1월 25일,대체적으로 만족 스럽습니다. 특히 시간 구애 안받고 연습을 할 수 있어서 좋습니다. 그런데 가끔 진행중 error가 나옵니다. 스피킹 연습 중 48% 진행에서(I really don't like Mexican food.) 엡이 작동이 안됩니다. 그리고 답변 시 조금 버벅대거나 한국말로 길게 대답하면 로딩 표시만 계속되고 진행이 안 됩니다.
9,이히비,5/5,2024년 2월 5일,한 가지 건의사항이 있는데 연속학습일수 보여주는 홈화면 위젯 만들어주실 수 있나요? 매일 까먹지 않고 학습하는데 도움이 될 듯합니다! 좋은 어플 감사합니다 저는 특히 1:1 과외를 받는듯한 강의 방식이 좋습니다. 영상에서 강사 분이 알려주면 바로 음성인식 기능으로 대답할 수 있도록 상호작용하며 수업하는 게 유용해요!!
10,컴샘,1/5,2024년 4월 1일,"이런 사기가 아직도 있다니 믿어지지 않습니다. 7일무료체험해보니 필요없을것같아 7일후 연간플랜 129,000 원 결제된다고 해서 분명히 취소를 했는데 자동으로 카드결제가 되었어요. 취소했기에 안심하고 있었는데 카드결제 내역받고 결제금액이 출금된걸 알았네요. 그래서 바로 취소했다고 환불요청했더니 30일이 지났다고 환불이 안된다고하네요. 취소한 기록이 있는데 환불요청을 한달 지나고 했기때문에 안된답니다. 황당하지않나요? 취소후에 앱을 열어보지도 않았는데 말이죠. 아직도 이런 방법으로 결제를 진행하는 회사가 버젓이 있다니 믿어지지않습니다. 강형욱 이효리 이런 연예인들까지 모델로 사용하는 회사가 고객에게 사기수법으로 결제하게 한다는게 어이가 없습니다."
11,Ji Yeon Yoon,5/5,2024년 3월 17일,몇년째 눈여겨만 보고있다~ 지인이 하는걸 보게 되었어요. 언어란 자꾸 내뱉어야 할수있는데 그걸 도와주니 도움이 많이 됩니다. 한가지 개선되었음 하는 부분이 있다면 북마크한 문장을 반복해서 들을수있도록 하면 좋을거 같아요. 특히나 이동중에 유용히 사용할 수 있을거 같아요.
12,KN Yu,5/5,2024년 3월 30일,"매우 좋은데, '복습하기' day 중 마지막 실전 대화 끝낸 후 (추가복습후) ""시작하기"" 버튼 밖에 없어서 (계속 따라가게 되면) 똑같은 대화만 반복하게 되는 상황이 펼쳐지더라구요. 홈(또는 메인)으로 되돌아갈 수 있는 버튼(또는 메뉴)를 추가해주셨으면 좋을 것 같습니다."
13,pect Per,5/5,2024년 3월 20일,최근에 영어를 공부하고 싶어서 여러 앱을 찾아보았지만 결제를 하고 난 뒤에 영어 공부를 하라는 앱들이 많아 불편하기도 하고 나와 맞지 않는 앱들이 많았지만 이 앱은 그렇게 심한 광고도 없디고 강요도 하지 않고 저와 잘 맞는 앱인 거 같아요! 다른 분들께서 영어를 고민중이시라면 이 앱을 추천드립니다!
14,신DDonas,4/5,2024년 1월 17일,"배운 문장을 사용할 수 있도록 원어민과 대화하는 듯한 컨텐츠는 좋은 것 같아요. 그런데, 보통 출근길에 공부를 하는데 지히철이나 버스에서는 음성인식이 심하게 안되서 좀 답답하네요. 음성인식이 안되다보니 레슨 후 문장 연습하는 부분을 넘기고 싶은데도 빠르게 넘기기가 안되서 좀 답답한 것도 있습니다."
15,Michelle TV,3/5,2024년 2월 29일,결제해서 프리미엄 버전으로 쓰고있는데 개선해주셨으면 하는게 생겼어요. 1. 레슨 후 스피킹할 때 한국어 뜻을 껏다 켰다 할 수 있었으면 좋겠어요. 영어만 듣고 말하고 싶어요. 2. 단순 반복인 단계가 많아서 피로도가 심합니다. 상급 수준의 영어사용자를 위한 레슨도 많이 추가되었으면 좋겠어요. 3. 실생활 표현 단어 종류가 더 추가되었으면 좋겠어요!
16,안나,5/5,2024년 2월 29일,"프리미엄 플러스 괜히 했네요. 프리미엄도 충분해요. 플러스랑 다른점이 프리톡 하나 같은데...... 프리톡이 제대로 작동하지 않습니다. 문제를 얘기하려고 고객센터 찾고, 메일 보냈는데 답도 없고, 고객센터 연결한번 하기 너무 힘들고요. 그래서 여기에 남깁니다. 프리톡이 수업에 포함되어 나오다가 어느순간부터 나오질 않네요. 프리톡 알람문자도 수업을 진행하면 프리톡이 생겨나지않고요. 프리톡 기능이 제대로 작동되지 않으면 플러스를 사용하는 의미가 없는데, 고객센터 연결도 안 되고 짜증나네요.... 프리미엄 플러스 계정을 사용하는 이유가 뭔가요...? 한달에 만원씩 더 나가는데 아까워요. 이렇게 기능 관리 안 될줄 알았으면 프리미엄 할 걸 그랬습니다"
17,재수좋은야옹이,4/5,2024년 1월 18일,아직은 완전 초보자 단계라 크게 어려운 점은 없지만 직접 말하는 습관을 들이는 데 도움이 많이 되는 것 같습니다. 그리고 제 발음에 문제가 있는 점도 있겠지만 아주 간단한 문장인데도 인식하는데 시간이 좀 걸립니다. 발음이 틀린 것이 아닌데도 한참 후 맞다는 반응이 나와서 좀 의아할 때가 있어요.
18,양정팔,4/5,2024년 1월 22일,오늘 처음 설치하고 무료체험으로 연습하고 있는중이예요. 너무 쉽게 잘 알려주셔서 만족하고 결제하려고 했는데 상황별 연습에서 버튼 누르고 말하고 다시 누르려고 하면 로딩중인 화면만 계속 뜹니다. 어쩌다간 제가 말하지도 않은 긴문장이 제가 말했다고 나오는데 빨리 빨리 넘어가지 않아서 불편해요..데이터 무제한으로 쓰고 해도 안되고 와이파이 연결해도 안되네요..
19,Yonghee Lee,4/5,2024년 2월 29일,다 좋은데 한 가지 안 좋은게 있습니다. 프리토킹 할 때 녹음 버튼이 빨리 꺼져 버립니다. 한 1분만에꺼지는거같아요. 사실 엄청 공들여서 버벅거리면서 생각하면서 몇문장 영어로 말하다보면 음성입력 시간 초과가 되어서 녹음이 꺼집니다. 최소3분이상 녹음기능유지되도록 개선해주세요. 그래야 영어가늘죠...
20,바밤바,5/5,2024년 2월 22일,스픽 켜자마자 보이는 첫 페이지에서 제가 정말 하기싫은 챕터는 넘길 수 있게 해주세요. 상사와의 대화 상황극이 너무 싫어요. 수업은 알아서 다음걸 듣고 있는데 ... 이것때문에 스픽 들어오기가 싫을 정도에요. ㅡㅡㅡㅡㅡㅡ AI 튜터랑 대화하는게 진짜 재밌어요. 수업은 가끔 들어요 ㅎ (23.10.16) 요즘은 수업도 잘 듣습니다! 코스수업은 기초나 여행으로 해놓고 수업 팩으로 비즈니스 문구 듣는데 즐거워요. 특히 비즈니스 문장에서 영어권 사고방식을 배우는게 재밌어요. (23.10.31) 보카부스터 업데이트 좋아요. 듣던 강의 외에도 관심있을만한 문장을 연습시켜줘서 재밌어요. (23.12.19)
21,코예스터,3/5,2024년 3월 17일,내용은 좋은데 음성인식이 잘 안되는 편이라서 추천은 못하겠다.음성인식으로 쪼금 킹받을때가 있고 조용한데서 해야되서 실용성이 떨어지는 것같다. 무료로 이용하는 듀오링고만큼이라도 음성인식이 개선되기를 희망함. 스피킹앱은 음성인식이 키포인트인듯
22,jjj kkk,5/5,2024년 2월 13일,"1. 장점 - 실질적인 말하기 능력 향상에 도움이 된다 - 내가 만든 문장별로 피드백 및 대체 표현을 바로바로 받을 수 있는 게 정말 영어 능력 향상에 유용하다.(이런 경험은 학원 및 과외에서도 불가능) 2. 단점 - 화면이 15초만에 꺼져서(평소 15초로 화면꺼짐 세팅해둠) 말하다가 끊김 -> 유튜브처럼 앱 재생중에는 화면 안 꺼지도록 해주세요. - 점프인수업(단어 퀴즈)이 너무 구림 (예를 들어 한글로 '액션' 주고 영단어 'action'을 찾는꼴) 몇가지 사소한 단점 말고는 훌륭함, 특히 말하기 실력을 배양할 사람들에게 강추!(어휘 암기, 청해 등 다른 파트는 X)"
23,냠냠,5/5,2024년 2월 27일,"다른 영어 앱들도 많이 이용해봤는데, 이름대로 스피킹 연습하기 좋네요. 다른 앱들은 단순 암기나 문법에는 좋았지만, 스피킹은 조금 아쉬웠거든요. ㅁㅎㅂㅋ+스픽 조합이 개인적으로 괜찮은 것 같습니다. 그리고 ai와 대화형식으로 공부할 수 있는 점도 좋습니다. 언어교환어플은 매번 답장해야해서 부담스러웠는데, 부담감이 적어서 더 재밌게 공부할 수 있는 것 같습니다."
24,wonderb w,5/5,2024년 1월 27일,"너무 잘쓰고 있어요. 진짜 스피킹 공부에 많은 도움이 되요. 일상 생활하면서 배웠던 문장들이 떠오르고 매일 수업하도록 돕는 불꽃도 도움이 많이되요. 한가지 생겼으면 하는 기능은!! 들었던 수업은 옆에 체크 표시가 되잖아요? 근데 복습을 위해 한번 더 듣게 될때가 있잖아요? 그러면 수업 들었던 만큼 숫자나 혹은 체크 표시가 늘어났으면 좋겠어요 그러면 얼만큼, 어디까지 복습을 했는지도 보이고 확인이 가능하니까요! 아 그리고 챌린지 넘 좋은거 같아요. 상품때문에도 그렇지만 밑에 챌린지하고 있는 사람들 숫자 때문에 뭔가 더 열심히 하게 되는 것도 같아요"
25,세원,4/5,2024년 1월 20일,다양하고 훌륭한 커리큘럼들을 선택해서 들을 수 있고 생각외로 음성인식도 꽤나 잘되어서 놀랐습니다. 허나 챗지피티 3.5를 사용하는지 인공지능 성능히 심히 떨어져서 프리톡 기능은 안쓰는게 좋을 것 같습니다. 예를 커리큘럼에 포함된 말하기 연습중 계획을 묻는 파트에서 갑자기 본인은 가상 인공지능이라 계획같은건 만들지 못한다고 하는 등 유독 ai대화에서 실망스러운 부분들이 많았습니다. 4.0 으로 바뀌지 않는 이상 해당 기능은 변함 없을 것 같네요. 또한 프리미엄 플러스 사용자에게 제공되는 튜터 또한 카톡상으로는 수업을 추천하되 실제로 클릭시 아무 제공도 되지 않고 이전 사용 기록만 보여주는 일이 꽤나 흔하게 일어나고 있습니다. 솔직히 이부분에 관해서는 괜히 플러스로 가입했다는 생각이 듭니다. 가능하면 일반 프리미엄 멤버십으로 교체 원합니다.
26,차영옥,5/5,2024년 2월 15일,"매우 만족하며 사용중입니다 발음교정되고 말하기연습을 자주하다보니 훨씬 향상된것을 느껴요 다만 정말 아쉽고 개선되었으면 하는점이 있다면 단어를 눌렀을때 발음뿐만 아니라 뜻도 함께 나왔으면 하는점과, 단어장이 있으면 좋겠습니다 잘모르는 단어들을 체크해두고 발음과 뜻을 자꾸 복습할수 있으면 정말 좋을듯합니다"
27,김소율,4/5,2024년 3월 17일,1. 인식이 잘 안됩니다. 똑같이 발음 해도 유독 인식이 안되는 단어가 있어요. 2. 프리톡에서도 인식이 잘 안될때가 있구요. 3. 순서에 상관 없이도 그 단어를 말하면 인식이 되네요. 예를 들어 .can i ask.이면 ask. Can . I. 이렇게 말해도 can i ask.를 말한 것처럼 인식이 됨 잘 사용 하고 있는 와중에 불편했던 몇가지를 적어 보았습니다.^^
28,최써니,1/5,2024년 1월 30일,대단한 정성과 의지가 아니면 이앱의 무료체험후 해지는 어럽습니다. 모든사항을 열심히 이 잡듯이 열심히 읽어야 카드자동결쟁와 사용취소를 어디서 할수 있는지 찾을수 있습니다. 스픽사용취소를 해도 자동결재 취소는 따로 해야 한다고 되었고..잘못 체험 했다가 엄청난 시간을 들여서 이 앱의 정책에 맞게 취소를 해야하는 번거로움이 있네요..ㅠ 괜찮은 거 같아 다음에 꼭 해야겠다 생각하다가 확~~정신이 들었어요
29,천사하늬,5/5,2024년 1월 27일,앱사용하다보면 갑자기 음성인식을 못하네요 제 발음 듣기를 눌러보면 소리가 작게 녹음되고 단어읽는것을 해보면 인식을 잘못해요 소리질러야 인식 조금함 잘 인식되다가 중간에 갑자기 그러네요 앱을 다시 깔면 인식을 다시하는데 지금 2번째 다시깔고있어요 이 부분 승질나서 공부하기싫어지는거 빼고는 좋습니다.. 어떻게해야할지요.. 해결.. 공부잘하고있는중
30,카사빈,5/5,2024년 1월 22일,생가보다 쉽고 따라하기와 반복해서 하기 그리고 외국인 친구와 연습하는 느낌이 아주 편하고 좋아요. 선택에 따라 계속 반복할 수 있어서 좋고 매번 시험보는거 같은게 암기하는데 좋네요. 추천 합니다... 다만 체험 기간이 좀더 길었으면 좋겠네요. 7일 무료 체험기간이 지나면 바로 결재가 되는데 금액이 적지 않아서 살짝 부담이네요. 고민되네요....ㅠㅠ
