,회사명,채용공고 제목,채용공고 세부 사항,기술 세부 사항,링크
0,㈜하이비젼시스템,딥러닝 엔지니어 경력직 채용(근무지 : 판교R&D센터/본사 선택),"경력5년↑,석사↑,정규직,,경기 성남시,~05/02(목)","딥러닝, 정밀광학, 이미지프로세싱",https://www.jobkorea.co.kr/Recruit/GI_Read/44371280?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=1
1,㈜닷밀,[닷밀] 인공지능/딥러닝 기반 문화콘텐츠 기술연구원 채용 [전문연구요원 가능],"경력무관,학력무관,정규직 외,,서울 마포구,~04/18(목)","딥러닝, 모니터링, 전기·전자, 인공지능, 정보통신·IT, 콘텐츠, 컨텐츠, R&D, IT, 소셜네트워크서비스(SNS), 연구, 인터랙티브, R&D, AI, 콘텐츠 제어",https://www.jobkorea.co.kr/Recruit/GI_Read/44261480?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=2
2,㈜딥핑소스,딥러닝 엔지니어 채용,"경력3년↑,대졸↑,정규직,,서울 강남구,상시채용","딥러닝, 소프트웨어개발",https://www.jobkorea.co.kr/Recruit/GI_Read/44382838?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=3
3,㈜스탠스,(주)스탠스 딥러닝엔진개발팀 팀원 모집,"경력5년↑,대졸↑,정규직,,서울 노원구,상시채용","딥러닝, 솔루션, 소프트웨어개발",https://www.jobkorea.co.kr/Recruit/GI_Read/44378981?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=4
4,㈜아이엠에스나노텍,"딥러닝, 모션제어, 영상처리, MFC, Embedded, C, C++ 개발자 모집","신입·경력2년↑,대졸↑,정규직,,서울 구로구,~04/13(토)","딥러닝, GUI, 반도체장비, 정밀광학",https://www.jobkorea.co.kr/Recruit/GI_Read/44371433?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=5
5,더조은아카데미신촌지점,[더조은컴퓨터학원 신촌캠퍼스] [K-디지털] 빅데이터분석 머신러닝과 딥러닝 AI 강의,"경력,대졸↑,정규직 외,,서울 마포구,~05/28(화)","딥러닝, 빅데이터, 학원강사, 데이터분석",https://www.jobkorea.co.kr/Recruit/GI_Read/44341448?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=6
6,㈜연합시스템,"빅데이터 분석, AI (머신러닝,딥러닝) 가능한 팀원을 충원합니다","경력1년↑,학력무관,정규직,,경기 김포시,~04/09(화)","딥러닝, 모바일앱개발, BigData, 솔루션, Python, SQL, 데이터시각화, 인공지능, matlab, BI, AWS, 인사이트 도출, ERP, 데이터분석, GCP, 분석모델링, 모델링, Tableau, 소프트웨어개발, 데이터 추출",https://www.jobkorea.co.kr/Recruit/GI_Read/44322642?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=7
7,주식회사 지오스토리,[지오스토리] 영상 딥러닝 AI개발자 경력직 채용,"경력무관,대졸↑,정규직,,서울 강서구,~04/25(목)","딥러닝, 측량, 측량, 영상처리, AI",https://www.jobkorea.co.kr/Recruit/GI_Read/44311969?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=8
8,㈜일리아스에이아이,AI 딥러닝 개발자 경력 채용,"경력5년↑,석사↑,정규직,,서울 구로구,~04/24(수)","딥러닝, BigData, 빅데이터, 솔루션, 인공지능, 아키텍처, 시스템설계, 소프트웨어개발",https://www.jobkorea.co.kr/Recruit/GI_Read/44301298?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=9
9,딥브레인 AI,머신러닝/딥러닝 엔지니어(전문연구요원 가능),"경력,석사↑,정규직,,서울 강남구,~04/24(수)","딥러닝, 솔루션, 모델링, 소프트웨어개발",https://www.jobkorea.co.kr/Recruit/GI_Read/44300775?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=10
10,더조은컴퓨터학원,"[더조은컴퓨터 구로캠퍼스] 빅데이터(파이썬), AI(머신러닝,딥러닝) 강사 채용","경력무관,학력무관,정규직 외,,서울 구로구,~05/20(월)","딥러닝, 빅데이터, 디자인학원, 자격증·기술, IT학원, 직업훈련",https://www.jobkorea.co.kr/Recruit/GI_Read/44282079?Oem_Code=C1&logpath=1&stext=%EB%94%A5%EB%9F%AC%EB%8B%9D&listno=11
