,회사명,채용공고 제목,채용공고 세부 사항,기술 세부 사항,링크
0,(주)포스로직,"AI 인공지능, 딥러닝, 이미지 프로세싱 알고리즘 개발 채용","서울,강남구,신입·경력,대졸↑,정규직,4,550 만원","딥러닝,웹개발,머신러닝,솔루션,신경망",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47809603&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=e0c1f0ef-34b4-4ce5-a6ca-6c88d4754aac
1,(주)디퍼아이,[서초구] 딥러닝 임베디드 어플리케이션 SW 청년 개발자 채용,"서울,서초구,경력무관,학력무관,정규직","딥러닝,앱개발,웹개발,프론트엔드,데이터라벨링",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47687740&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=e0c1f0ef-34b4-4ce5-a6ca-6c88d4754aac
2,(주)클로봇,[클로봇] 딥러닝 기반 인식 SW 개발자 채용,"경기,성남시 중원구,신입·경력,대졸↑,정규직","딥러닝,영상처리,AI(인공지능),C++,OpenCV",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47610081&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=e0c1f0ef-34b4-4ce5-a6ca-6c88d4754aac
3,(주)뉴로다임,AI(딥러닝) 연구 및 개발,"서울,성동구,신입·경력,대졸↑,정규직","딥러닝,데이터분석가,SE(시스템엔지니어),머신러닝,블록체인",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=41005800&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=e0c1f0ef-34b4-4ce5-a6ca-6c88d4754aac
4,씨드로닉스(주),딥러닝(이미지) 연구개발,"서울,강남구,신입·경력,석사↑,정규직","딥러닝,데이터분석가,머신러닝,블록체인,빅데이터",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47642005&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=e0c1f0ef-34b4-4ce5-a6ca-6c88d4754aac
5,블루닷(주),[신입] 딥러닝 알고리즘 엔지니어,"서울,강남구,신입·경력,대졸↑,정규직","딥러닝,데이터분석가,네트워크,머신러닝,블록체인",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46523966&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=e0c1f0ef-34b4-4ce5-a6ca-6c88d4754aac
6,(주)인텔리즈,머신비전 및 딥러닝 응용 소프트웨어 개발자 모집,"서울,성동구,경력,초대졸↑,정규직","딥러닝,네트워크,솔루션,H/W,IoT",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47644868&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=e0c1f0ef-34b4-4ce5-a6ca-6c88d4754aac
7,(주)페이크아이즈,[채용공고] 딥러닝 기반 컴퓨터 비전 연구 및 개발,"서울,마포구,경력무관,석사↑,정규직","딥러닝,앱개발,데이터라벨링,네트워크,모델링",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47741533&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=e0c1f0ef-34b4-4ce5-a6ca-6c88d4754aac
8,(주)비즈코퍼레이션,"MES/IT개발,비전/딥러닝 정규직 모집(신입/경력)","부산,강서구,경력무관,초대졸↑,정규직","딥러닝,웹개발,SI개발,머신러닝,AI(인공지능)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47762717&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=e0c1f0ef-34b4-4ce5-a6ca-6c88d4754aac
9,(주)디노,인공지능(딥러닝) 연구개발자 채용,"경기,용인시 기흥구,경력 2~10년,초대졸↑,정규직·기간제","딥러닝,게임개발,기술지원,앱개발,웹개발",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47690693&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=e0c1f0ef-34b4-4ce5-a6ca-6c88d4754aac
