Team_name,P,W,D,L,GF,GA,GD,Pts,Goals,Yellow_cards,Red_cards,Possessions(%),Pass_Success(%),A_Won,Rating,Shot_allowed,Tackles_pg,Intercept_pg,Fouls_pg,Offsides_pg,Shots_OT_pg,Dribbles_pg,Fouled_pg,xG,Goals-OG,xGDiff,Shots,xG/shots,TotalTackles,DribbledPast,TotalAttemptedTackles,Fouled,Yellow,Red,Clearances_Total,ShotsBlocked,CrossesBlocked,PassesBlocked,Saves_Total,Saves_SixYardBox,Saves_PenaltyArea,Saves_OutOfBox,Shots_Total,Shots_OutOfBox,Shots_SixYardBox,Shots_PenaltyArea,Goals_Total,Goals_SixYardBox,Goals_PenaltyArea,Goals_OutOfBox,Unsuccessful,Successful,Total Dribbles,UnsuccessfulTouches,Dispossessed,Aerial_Total,Won,Lost,Passes_Total,AccLB,InAccLB,AccSP,InAccSP,Key passes_Total,Long,Short,Cross,Corner,Throughball,Freekick,Throwin,Other,Assists_Total
Manchester City,38,28,5,5,94,33,61,89,94,44,1,65.2,89.2,11.6,6.90,7.7,12.4,5.9,9.1,1.3,5.8,8.8,10.1,81.39,92,10.61,600,0.14,12.4,6.7,19.1,10.1,1.2,0,10.3,2.5,0.6,6.4,1.6,0.2,0.9,0.5,15.8,5.1,1.3,9.4,2.5,0.5,1.6,0.3,9.7,8.8,18.5,10.7,7.8,21.2,11.6,9.6,659.8,28.4,17.9,560.1,53.4,12.3,1.7,10.6,0.3,0.1,0.2,0.1,0,1.3,1.8
Arsenal,38,26,6,6,88,43,45,84,88,52,0,59.7,85.4,12.9,6.81,9,14.9,6.2,9.8,1.5,5.4,9.4,11.4,71.36,84,12.64,593,0.12,14.9,6.9,21.8,11.4,1.4,0,14.9,2.3,1.2,7.3,2.5,0.2,1.7,0.6,15.6,4.7,1.7,9.2,2.3,0.7,1.3,0.2,10.5,9.4,19.9,13.8,9.9,27.7,12.9,14.8,538.2,22.2,23.1,437.2,55.7,11.7,1.3,10.4,0.4,0.1,0.2,0,0,1.1,1.7
Manchester United,38,23,6,9,58,43,15,75,58,78,2,53.8,82.3,12.3,6.77,12.7,17.3,9.3,11.2,2.1,5.7,8.4,7.8,67.92,56,-11.92,593,0.11,17.3,7.9,25.2,7.8,2.1,0.1,19.3,3.8,1.3,9.2,2.6,0.3,1.4,0.8,15.6,6.1,1.1,8.4,1.5,0.3,1.1,0.1,10.8,8.4,19.2,13.1,7.7,23.7,12.3,11.4,502.3,24.7,26.9,388.7,61.9,12.6,1.7,10.9,0.2,0,0.4,0.1,0,0.5,1.1
Newcastle,38,19,14,5,68,33,35,71,68,62,1,52.2,79.8,14.7,6.79,10.2,16,8.8,10.7,1.9,5.2,9.2,10.5,73.75,64,-9.75,571,0.13,16,8.8,24.8,10.5,1.6,0,17,3.1,1.4,8.7,2.5,0,1.6,0.9,15,4.1,1.8,9.2,1.8,0.4,0.9,0.3,11.4,9.2,20.6,15.2,9.6,25.9,14.7,11.2,422.4,24.1,27.1,313,58.3,11.5,2.4,9.1,0.2,0,0.2,0.1,0,0.7,1.1
Liverpool,38,19,10,9,75,47,28,67,75,57,1,60.6,84.2,12.7,6.75,9.7,15.5,8.8,10.7,2.2,5.6,8.6,8.4,78.59,71,-7.59,605,0.13,15.5,9.7,25.3,8.4,1.5,0,14.2,1.9,1.2,7.3,2.9,0.3,1.7,0.9,15.9,4.6,1.5,9.9,2,0.6,1.1,0.2,9.7,8.6,18.3,15.4,10.9,24.7,12.7,12.1,589.5,30.3,27.2,466.1,65.9,12.1,2.4,9.7,0.4,0.1,0.2,0.1,0,0.9,1.5
Brighton,38,18,8,12,72,53,19,62,72,59,0,60.5,85.9,11.7,6.72,10.2,16.2,8,11.2,1.8,6.1,9.1,10.7,76.71,68,-8.71,613,0.13,16.2,7.8,24,10.7,1.6,0,10.8,2.7,0.7,7.6,2.2,0.1,1.6,0.5,16.1,5.4,1.5,9.3,1.9,0.4,1.2,0.2,10,9.1,19.1,14.7,8.5,22,11.7,10.3,560,23.9,21.1,456.9,58.1,12.6,1.7,10.9,0.2,0,0.2,0,0,0.8,1.2
Aston Villa,38,18,7,13,51,46,5,61,51,80,1,49.2,81.1,11.7,6.64,11.3,16.6,8.5,11,1.5,4,7.8,13.1,49.51,49,-0.51,431,0.11,16.6,8.9,25.5,13.1,2.1,0,17.4,3.1,1.5,8.4,2.9,0.1,1.8,1,11.3,4,0.8,6.5,1.3,0.2,0.9,0.2,10.2,7.8,18,14.9,9.8,24.1,11.7,12.3,419.5,23.1,28,316.9,51.4,8.4,1,7.4,0.1,0,0.1,0,0,0.7,0.9
Tottenham,38,18,6,14,70,63,7,60,70,75,3,49.8,83.4,14.6,6.71,13.7,16.2,8.9,11.2,1.8,5.2,8.1,9.3,57.52,68,10.48,518,0.11,16.2,7.9,24.2,9.3,2,0.1,19.1,3.9,1.3,7.4,2.9,0.1,1.4,1.3,13.6,4.3,1.1,8.2,1.8,0.4,1.1,0.3,9.5,8.1,17.6,13.7,9.4,27.2,14.6,12.6,474.8,24.3,25.7,371.6,53.2,10.2,1.6,8.6,0.3,0.1,0.1,0.1,0,0.8,1.2
Brentford,38,15,14,9,58,46,12,59,58,55,1,43.3,74.8,17.6,6.66,14.7,15.4,9,9.3,1.9,4.3,7,10.5,58.25,56,-2.25,408,0.14,15.4,9.1,24.6,10.5,1.4,0,20.3,4.4,1.6,7.6,4.1,0.1,2.2,1.7,10.7,2.9,1.6,6.2,1.5,0.4,0.9,0.2,8.8,7,15.8,13.7,8.8,33.9,17.6,16.4,366.3,26.6,34.3,247.3,58.2,7.5,1.3,6.2,0.3,0,0.1,0,0,0.6,1
Fulham,38,15,7,16,55,53,2,52,55,80,1,48.6,80.0,13.5,6.61,13.3,16.5,8.9,10.8,1.6,3.9,7.4,10.7,48,52,4,429,0.11,16.5,7.6,24.1,10.7,2.1,0,18.8,3.3,1.2,8.7,3.8,0.4,2.3,1.1,11.3,3.8,0.9,6.6,1.4,0.3,0.9,0.1,8.6,7.4,16,14.1,10,28.1,13.5,14.6,426.2,24.8,27.4,316.1,57.9,8.1,1.8,6.3,0.4,0.1,0.1,0,0,0.4,0.9
