Team_name,P,W,D,L,GF,GA,GD,Pts,Goals,Yellow_cards,Red_cards,Possessions(%),Pass_Success(%),A_Won,Rating,Shot_allowed,Tackles_pg,Intercept_pg,Fouls_pg,Offsides_pg,Shots_OT_pg,Dribbles_pg,Fouled_pg,xG,Goals-OG,xGDiff,Shots,xG/shots,TotalTackles,DribbledPast,TotalAttemptedTackles,Total_Interception,Fouled,Yellow,Red,CaughtOffside,Total_Clearances,ShotsBlocked,CrossesBlocked,PassesBlocked,Total_Saves,SixYardBox_Saves,PenaltyArea_Saves,OutOfBox_Saves,Total_Shots,OutOfBox_Shots,SixYardBox_Shots,PenaltyArea_Shots,Total_Goals,SixYardBox_Goals,PenaltyArea_Goals,OutOfBox_Goals,Unsuccessful,Successful,Total Dribbles,UnsuccessfulTouches,Dispossessed,Total_Aerial,Won,Lost,Total_Passes,AccLB,InAccLB,AccSP,InAccSP,Total_Key passes,Long,Short,Cross,Corner,Throughball,Freekick,Throwin,Other,Total_Assists
Paris Saint-Germain,38,27,4,7,89,40,49,85,89,53,5,60.9,90.5,6.6,6.88,11.8,16.1,7.8,10,2,6.6,11.9,10.9,78.99,86,7.01,569,0.14,16.1,9.3,25.4,7.8,10.9,1.4,0.1,2,11,2.9,0.7,7.1,3.2,0.1,1.8,1.2,15,4.8,1.1,9.1,2.3,0.3,1.7,0.3,13.7,11.9,25.7,11.7,10.3,11.9,6.6,5.3,665.7,22.3,10.9,580.3,52.2,11.5,1.3,10.2,0.2,0.1,0.4,0.1,0,1,1.6
Lens,38,25,9,4,68,29,39,84,68,63,3,55.8,86.4,10.8,6.75,10.3,14.2,8.9,12.9,1.6,4.9,8.6,12.7,67.18,66,-1.18,527,0.13,14.2,8.1,22.3,8.9,12.7,1.7,0.1,1.6,13.8,2.9,1.1,7.6,2.7,0.3,1.4,0.9,13.9,4.3,1.2,8.3,1.8,0.3,1.3,0.1,8.9,8.6,17.5,13.8,7.9,20.7,10.8,9.9,515.3,25.3,20.6,420,49.4,10.4,1.5,8.9,0.3,0,0.2,0,0,0.7,1.3
Marseille,38,22,7,9,67,40,27,73,67,62,4,56.9,83.2,13.1,6.75,11.2,18,11.1,14,1.8,4.9,9.4,11,66.58,61,-5.58,553,0.12,18,7.6,25.7,11.1,11,1.6,0.1,1.8,14.8,2.7,0.6,7,2.8,0,1.8,0.9,14.6,4.6,1.2,8.8,1.8,0.4,1.1,0.1,10.2,9.4,19.5,15.7,9.5,25.9,13.1,12.8,499.6,27.3,23,388.4,60.8,10.4,1.6,8.8,0.3,0.1,0.1,0.1,0,0.6,1
Rennes,38,21,5,12,69,39,30,68,69,54,6,55.8,84.7,14.2,6.73,9.9,15.8,9,12.2,1.4,5.1,10.8,10,62.99,66,3.01,529,0.12,15.8,8.6,24.4,9,10,1.4,0.2,1.4,14.4,2.4,1.1,7.9,2.3,0.1,1.4,0.8,13.9,4.5,0.9,8.5,1.8,0.2,1.4,0.1,9.8,10.8,20.6,14.9,8.9,28,14.2,13.7,518.7,28.3,23.1,411.1,56.2,10.4,1.4,9.1,0.3,0,0.1,0,0,0.9,1.2
Lille,38,19,10,9,65,44,21,67,65,83,1,60.9,86.1,11.7,6.73,8.7,16.7,7.9,13.1,1.7,5.7,10.5,12.6,70.91,65,-5.91,557,0.13,16.7,9.1,25.8,7.9,12.6,2.2,0,1.7,13.3,1.9,1.1,8.3,2.1,0.1,1.3,0.7,14.7,4.8,1.1,8.7,1.7,0.3,1.3,0.1,11.2,10.5,21.7,14.1,10.5,23.9,11.7,12.3,559.8,26.4,21.4,455.5,56.4,11.1,1.6,9.5,0.3,0.1,0.1,0,0,0.7,1.1
Monaco,38,19,8,11,70,58,12,65,70,58,5,47.8,80.5,13.6,6.71,13.5,18.3,11.2,12.8,2.2,5.5,8.4,10.8,63.73,69,5.27,478,0.13,18.3,9.9,28.3,11.2,10.8,1.5,0.1,2.2,13.4,3.2,1.1,8.9,3.7,0.2,1.9,1.6,12.6,4.3,1.1,7.3,1.8,0.4,1.2,0.2,9.5,8.4,17.8,14.5,9.1,25.7,13.6,12.1,439.5,27.9,25.5,325.7,60.4,9.4,1.3,8.1,0.3,0.1,0.1,0.1,0,0.8,1.2
Lyon,38,18,8,12,65,47,18,62,65,59,3,58.0,85.1,12,6.77,11.3,19,12.7,13.2,1.5,5.4,10.5,11.9,63.15,63,-0.15,519,0.12,19,10.6,29.7,12.7,11.9,1.6,0.1,1.5,13.4,2.8,1,8.6,2.9,0.1,1.8,1.1,13.7,4.5,1.1,8.1,1.7,0.4,1.2,0.1,13.1,10.5,23.6,16.3,9.8,23.6,12,11.6,554.5,26.6,22.4,445.3,60.2,10.4,1.4,9,0.3,0.1,0.1,0,0,0.8,1.2
Clermont Foot,38,17,8,13,45,49,-4,59,45,68,5,48.1,81.1,10.8,6.57,12.8,18,11.6,11.2,1.4,4,9.2,15.6,48.99,44,-4.99,403,0.12,18,11.3,29.3,11.6,15.6,1.8,0.1,1.4,13.7,3.3,1.5,7.8,3,0.2,1.8,1.1,10.6,4.3,1.1,5.3,1.2,0.3,0.7,0.2,10.6,9.2,19.8,14.9,8.9,22.2,10.8,11.4,434.5,27.6,28.2,324.6,54.2,7,1.3,5.7,0.1,0,0,0,0,0.5,0.7
Nice,38,15,13,10,48,37,11,58,48,51,3,51.5,85.4,10.3,6.73,11.7,21.5,10.9,10.1,1.3,5.2,11.1,9.9,53.46,47,-6.46,514,0.1,21.5,7.8,29.4,10.9,9.9,1.3,0.1,1.3,14.3,3,1.4,8,2.9,0.1,1.7,1,13.5,5.2,1.1,7.2,1.3,0.3,0.8,0.2,10.6,11.1,21.6,14.4,10.1,20,10.3,9.7,506.7,26.2,22.6,406.5,51.4,10.2,1.8,8.5,0.2,0,0.1,0,0,0.6,0.8
Lorient,38,15,10,13,52,53,-1,55,52,42,4,46.4,83.5,10.9,6.66,14.9,19.4,9.7,10.4,1.3,4.1,10.7,13.2,43.19,49,5.81,403,0.11,19.4,9.9,29.2,9.7,13.2,1.1,0.1,1.3,20.9,3.7,1.8,9,3.4,0.3,2,1.1,10.6,3.8,0.8,6,1.4,0.3,0.8,0.2,13.4,10.7,24.1,15.7,8.7,23.6,10.9,12.7,441.1,18.9,23.7,349.4,49,7.8,0.9,6.8,0.2,0.1,0.1,0,0,0.6,0.8
Reims,38,12,15,11,45,45,0,51,45,67,9,48.4,80.0,12.6,6.63,12.8,18.5,10.4,13.3,2.2,4.7,9.1,11.1,60.57,45,-15.57,524,0.12,18.5,10.7,29.2,10.4,11.1,1.8,0.2,2.2,15.7,3.3,1.2,9,3.2,0.2,1.7,1.3,13.8,5.2,0.9,7.6,1.2,0.2,0.9,0.1,11.9,9.1,21.1,17.8,10,25,12.6,12.4,415.3,25.9,24,306.3,59.1,10.1,1.5,8.6,0.1,0,0.2,0,0,0.5,0.8
Montpellier,38,15,5,18,65,62,3,50,65,66,10,45.4,78.6,12.7,6.64,13.8,18,10.6,12.8,1.9,4.6,8.9,13.8,51.43,64,12.57,442,0.12,18,10.1,28.1,10.6,13.8,1.7,0.3,1.9,17.1,3.2,1.3,8.6,3.7,0.2,2.3,1.2,11.6,4.3,1.1,6.2,1.7,0.3,1.2,0.2,11.6,8.9,20.5,15.6,9.5,27.4,12.7,14.7,383.1,25.8,29.1,275.3,52.8,8.2,1.7,6.4,0.2,0.1,0.2,0,0,0.7,1.1
Toulouse,38,13,9,16,51,57,-6,48,51,56,3,51.1,82.0,12.9,6.61,14.2,18.8,10.8,12.4,1.9,4.8,7.4,10.9,54.19,50,-4.19,457,0.12,18.8,12.5,31.3,10.8,10.9,1.5,0.1,1.9,16.7,3.6,1,8.9,3.3,0.3,1.9,1.1,12,3.6,1.3,7.2,1.3,0.3,0.9,0.1,10.1,7.4,17.6,14.6,8,25,12.9,12.2,462.8,28.9,24.6,350.4,58.9,8.6,1.7,6.8,0.3,0,0.2,0,0,0.4,0.8
Brest,38,11,11,16,44,54,-10,44,44,63,2,44.6,78.0,16.8,6.62,12.9,18.6,12.5,13.1,1.6,3.7,7.1,12.2,43.75,43,-0.75,425,0.1,18.6,10.1,28.7,12.5,12.2,1.7,0.1,1.6,17.1,3,1.3,8.4,3.3,0.4,1.9,1,11.2,3.8,0.8,6.6,1.2,0.2,0.8,0.2,10.1,7.1,17.2,14.9,8.5,32.1,16.8,15.2,387.3,31.9,30.8,270.3,54.3,8.3,2.2,6.1,0.3,0.1,0.1,0.1,0,0.3,0.7
Strasbourg,38,9,13,16,51,59,-8,40,51,68,7,45.6,79.0,18,6.62,11.2,18.2,11.5,13.9,1.1,4.3,8.9,12.5,49.59,48,-1.59,449,0.11,18.2,8.5,26.6,11.5,12.5,1.8,0.2,1.1,17.2,2.6,1.2,8.6,3,0.3,1.8,0.9,11.8,4.4,0.8,6.6,1.3,0.2,0.8,0.2,9.7,8.9,18.6,15.5,8.2,33.2,18,15.2,413.6,26.4,30.1,300.3,56.8,8.5,1.9,6.7,0.2,0,0.1,0,0,0.4,0.7
Nantes,38,7,15,16,37,55,-18,36,37,61,4,45.5,80.0,15.7,6.60,12,18.7,11.3,12.7,1.4,4.2,9.9,10.9,44.67,35,-9.67,448,0.1,18.7,9.6,28.2,11.3,10.9,1.6,0.1,1.4,18.7,2.8,1.3,8.4,3.5,0.2,2,1.4,11.8,4.8,1,6.1,1,0.2,0.5,0.2,10.8,9.9,20.7,14.6,9.2,31.6,15.7,15.9,404.2,27.7,29.4,295.6,51.5,8.7,1.5,7.2,0.2,0.1,0,0.1,0,0.4,0.7
Auxerre,38,8,11,19,35,63,-28,35,35,46,6,43.0,79.6,13,6.51,12.4,17.7,11.9,12.2,1.3,3.3,8.9,11,42.32,32,-10.32,429,0.1,17.7,9.6,27.3,11.9,11,1.2,0.2,1.3,19.4,3.1,1.5,8.5,3.1,0.2,1.9,1.1,11.3,4.8,0.5,6,0.9,0.2,0.5,0.1,10.8,8.9,19.7,17,8.4,27.9,13,15,380.7,34,31.1,268.9,46.8,7.9,1.6,6.4,0.1,0.1,0.1,0,0,0.3,0.4
AC Ajaccio,38,7,5,26,23,74,-51,26,23,82,10,42.5,75.5,16.2,6.34,11.1,16.8,11.1,14.2,1.7,2.3,7.4,13,33.94,22,-11.94,320,0.11,16.8,10,26.8,11.1,13,2.2,0.3,1.7,16.9,2.2,1.1,7.2,2.3,0.2,1.3,0.9,8.4,3.3,0.6,4.6,0.6,0.2,0.4,0,9.1,7.4,16.6,16.4,8.5,35.1,16.2,18.9,360.8,26.4,32.6,246,55.8,6.2,1.3,4.8,0.1,0,0,0,0,0.2,0.3
Troyes,38,4,12,22,45,81,-36,24,45,55,5,42.1,80.2,12.6,6.51,16.5,16,10.5,10.6,1.5,3.7,9.6,10.6,39.15,43,3.85,395,0.1,16,8.8,24.8,10.5,10.6,1.4,0.1,1.5,19.9,3.8,1.2,7.2,3.9,0.4,2.1,1.4,10.4,4.1,0.4,5.9,1.2,0.1,0.8,0.2,11.2,9.6,20.8,14,9,25.9,12.6,13.3,389.1,21.7,26.8,290.4,50.2,8,1.6,6.4,0.2,0,0,0,0,0.4,0.7
Angers,38,4,6,28,33,81,-48,18,33,63,5,46.7,82.8,11.6,6.43,12.2,17.2,9.9,12.9,1.2,3.4,11.6,11.1,40.23,31,-9.23,371,0.11,17.2,7.9,25.1,9.9,11.1,1.7,0.1,1.2,15.2,2.6,1,8,3.2,0.2,1.8,1.2,9.8,3.7,0.9,5.1,0.9,0.2,0.5,0.1,12.8,11.6,24.4,15.6,9.2,23.3,11.6,11.7,419.3,22.7,23.5,324.6,48.5,7.3,1.3,6,0.2,0.1,0.1,0.1,0,0.1,0.4
