Team_name,P,W,D,L,GF,GA,GD,Pts,Goals,Yellow_cards,Red_cards,Possessions(%),Pass_Success(%),A_Won,Rating,Shot_allowed,Tackles_pg,Intercept_pg,Fouls_pg,Offsides_pg,Shots_OT_pg,Dribbles_pg,Fouled_pg,xG,Goals-OG,xGDiff,Shots,xG/shots,TotalTackles,DribbledPast,TotalAttemptedTackles,Total_Interception,Fouled,Yellow,Red,CaughtOffside,Total_Clearances,ShotsBlocked,CrossesBlocked,PassesBlocked,Total_Saves,SixYardBox_Saves,PenaltyArea_Saves,OutOfBox_Saves,Total_Shots,OutOfBox_Shots,SixYardBox_Shots,PenaltyArea_Shots,Total_Goals,SixYardBox_Goals,PenaltyArea_Goals,OutOfBox_Goals,Unsuccessful,Successful,Total Dribbles,UnsuccessfulTouches,Dispossessed,Total_Aerial,Won,Lost,Total_Passes,AccLB,InAccLB,AccSP,InAccSP,Total_Key passes,Long,Short,Cross,Corner,Throughball,Freekick,Throwin,Other,Total_Assists
Bayern Munich,34,21,8,5,92,38,54,71,92,45,3,64.3,87.1,13.9,6.94,9.2,18.3,8.4,9,2.5,7.6,13.7,9.9,79.34,90,10.66,628,0.13,18.3,7.4,25.7,8.4,9.9,1.3,0.1,2.5,13,2.3,1.3,8.9,2,0.2,1.1,0.7,18.5,5.6,1.2,11.6,2.7,0.4,1.8,0.4,13.1,13.7,26.8,17.7,10.4,25.2,13.9,11.4,623.1,27.9,19.3,514.8,61.2,14.4,1.5,12.9,0.3,0,0.3,0,0,1.4,2
Borussia Dortmund,34,22,5,7,83,44,39,71,83,66,0,58.3,84.4,12.6,6.88,12.1,17.1,8.8,9.5,1.2,6.6,12.2,12,74.47,81,6.53,564,0.13,17.1,7.8,24.8,8.8,12,1.9,0,1.2,13.9,2.8,0.8,8.4,3.2,0.1,2.1,1,16.6,5.4,1.7,9.4,2.4,0.5,1.5,0.4,13.6,12.2,25.9,14.2,10.5,23.4,12.6,10.8,538.7,33.4,23,421.4,60.8,12.4,1.8,10.7,0.4,0,0.1,0.1,0,1.3,1.7
RB Leipzig,34,20,6,8,64,41,23,66,64,67,2,58.4,83.6,13,6.72,9.2,15.7,9.1,11.6,2.4,5.7,10.1,11.8,65.71,64,-1.71,504,0.13,15.7,7.6,23.3,9.1,11.8,2,0.1,2.4,15.5,2.8,1.3,9.8,1.9,0.1,1.4,0.5,14.8,5,1.1,8.7,1.9,0.4,1.3,0.3,10.4,10.1,20.5,15.4,9.3,25.8,13,12.8,560,27.3,26.1,440.6,66,11.1,1.9,9.2,0.2,0.1,0.1,0,0,0.8,1.1
Union Berlin,34,18,8,8,51,38,13,62,51,63,2,42.9,73.6,22.7,6.63,11.5,14.5,7.7,13.1,1.8,3.6,5.4,10.1,36.2,49,12.8,381,0.1,14.5,8.4,22.9,7.7,10.1,1.9,0.1,1.8,20.1,3,1.2,7.5,3.1,0.3,2,0.9,11.2,3.9,0.6,6.7,1.5,0.3,1,0.2,6.9,5.4,12.2,12.8,7.2,45.1,22.7,22.4,374.9,27.6,38.1,248.2,61,8,1.8,6.2,0.4,0.2,0.1,0.1,0,0.5,1.1
Freiburg,34,17,8,9,51,44,7,59,51,60,2,48.0,76.9,22,6.67,13.1,14.6,9.6,11.9,1.7,5.3,6.4,12.5,49.46,51,1.54,421,0.12,14.6,7,21.7,9.6,12.5,1.8,0.1,1.7,17.2,3.1,1.1,7.9,3.1,0.1,2,1,12.4,4,1.1,7.3,1.5,0.3,1,0.1,7.8,6.4,14.1,13.1,7.1,42.3,22,20.3,417.8,28.5,32.3,292.8,64.2,8.5,1.8,6.7,0.4,0.1,0,0,0,0.6,1
Bayer Leverkusen,34,14,8,12,57,49,8,50,57,70,7,51.8,81.9,12.7,6.64,11.6,14.5,8.6,11.2,1.5,4.9,10.2,12,51.6,57,5.4,439,0.12,14.5,5.4,20,8.6,12,2.1,0.2,1.5,16.5,2.9,1.4,7.6,2.9,0.2,1.6,1.2,12.9,4.7,0.9,7.3,1.7,0.3,1.2,0.2,10.6,10.2,20.9,15.4,9.6,27.2,12.7,14.5,495.9,22.9,28.1,383.1,61.7,10.3,1.4,8.9,0.3,0,0.2,0,0,0.9,1.3
Eintracht Frankfurt,34,13,11,10,58,52,6,50,58,70,1,52.5,79.5,13.8,6.60,10.9,16.5,8.4,12.6,2.1,4.2,8.6,11.1,52.78,56,3.22,405,0.13,16.5,9.4,25.9,8.4,11.1,2.1,0,2.1,19.5,2.6,1.1,9.6,2.5,0.3,1.5,0.7,11.9,3.7,1.1,7.1,1.7,0.3,1.1,0.2,11.9,8.6,20.4,15.7,8.6,30.3,13.8,16.5,481.4,20.6,30.3,362.3,68.2,8.5,1.5,7,0.3,0.1,0.1,0,0,0.6,1
Wolfsburg,34,13,10,11,57,48,9,49,57,63,0,50.5,79.4,15.6,6.65,13.8,16,8.6,11.5,1.5,4.3,7.5,13.3,50.99,55,4.01,408,0.12,16,7.5,23.5,8.6,13.3,1.9,0,1.5,19.6,3.4,1.4,9.6,3,0.3,1.6,1.1,12,3.8,0.9,7.4,1.7,0.2,1.2,0.1,10.1,7.5,17.6,16.5,8,31.8,15.6,16.3,430.4,30.4,31.1,311.5,57.4,8.9,1.5,7.4,0.4,0,0.2,0.1,0,0.7,1.3
Mainz 05,34,12,10,12,54,55,-1,46,54,69,1,43.9,71.3,21.9,6.61,12.9,16.1,12.7,14,2.2,4.7,6.6,9.8,48.69,54,5.31,420,0.12,16.1,8.5,24.6,12.7,9.8,2,0,2.2,18.7,2.9,1.4,9.4,2.9,0.2,1.7,1,12.4,3.8,1.1,7.4,1.6,0.5,0.9,0.2,8,6.6,14.6,16.2,7.4,42.8,21.9,20.9,377.3,27.1,39.9,242.1,68.3,8.2,1.3,6.9,0.3,0.1,0.1,0,0,0.5,0.9
Borussia M.Gladbach,34,11,10,13,52,55,-3,43,52,60,3,54.0,83.4,12.6,6.63,14.2,14.6,7.9,9.9,2.1,5.1,7.1,13.1,51.93,52,0.07,409,0.13,14.6,7.9,22.5,7.9,13.1,1.8,0.1,2.1,20.6,3.1,1.3,8.9,3.7,0.4,2,1.2,12,3.9,0.7,7.5,1.5,0.1,1.2,0.2,9.1,7.1,16.1,14.5,8.9,25,12.6,12.4,514.2,21.1,29.2,407.8,56.1,9.6,1.6,8,0.2,0.1,0.1,0.1,0,0.8,1.1
