Player_name,Team_name,Age,Positions,Apps,Mins,Goals,Assists,Yel,Red,Shoots_pg,Pass_success(%),AerialsWon,MotM,Rating,Tackles,Interceptions,Fouls,Offsides,Clear,Dribbled_past_pg,Blocks,OwnG,Shots_pg,KeyPasses_pg,Dribbles_pg,Fouled,Offsides_pg,Dispossessed_pg,Bad_Controls_pg,Passes_pg,Crosses_pg,Long_pass_pg,Through_pass_pg,xG,Goals-xG,xG_per_90m,Total_shots,xG_per_total_shots
Salvatore Sirigu,Fiorentina,37,GK,1,90,0,0,0,0,0,65.5,0,0,7.63,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,29,0,9,0,,,,,
Victor Osimhen,Napoli,25,FW,30(2),2583,26,4,4,0,4.2,71,2.1,5,7.45,0.3,0.2,1.3,0,0.9,0.2,0,0,4.2,1.1,0.8,1.2,1,1.5,3,11.6,0.1,0.3,0,23.83,2.17,0.83,135,0.18
Khvicha Kvaratskhelia,Napoli,23,"AM(CLR),FW",30(4),2541,12,10,1,0,2.5,83.7,0.2,7,7.43,1.3,0.1,0.6,0,0.2,0.8,0,0,2.5,1.6,2.2,1.3,0.2,1.4,1.9,30.5,0.4,1.3,0.2,8.29,3.71,0.29,85,0.1
Francesco Bardi,Bologna,32,GK,1,90,0,0,0,0,0,76.5,0,0,7.36,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,0,6,0,,,,,
Sergej Milinkovic-Savic,Lazio,29,AM(C),34(2),3030,9,8,10,0,1.8,77.1,2.7,6,7.24,1.6,0.8,1.3,0,1.3,1.2,0.3,0,1.8,1.2,1.1,2,0.1,1.8,2.9,52.2,0.1,2.2,0.2,7.16,1.84,0.21,64,0.11
Paulo Dybala,Roma,30,"AM(CR),FW",22(4),1752,12,6,5,0,2.5,82.3,0.2,6,7.20,0.5,0.3,0.4,0,0.1,0.7,0,0,2.5,2,1,2.2,0.2,1.2,2.4,28.4,1.3,2.2,0.1,9.71,2.29,0.5,65,0.15
Rafael Leão,AC Milan,24,"AM(CL),FW",28(7),2434,15,8,5,1,2.6,74.4,0.8,8,7.19,0.2,0.4,0.6,0,0.2,0.2,0.1,0,2.6,1.4,2.2,0.9,0.3,1.1,2,21.2,0.5,1.3,0.1,12.21,2.79,0.45,92,0.13
Lautaro Martínez,Inter,26,FW,27(11),2577,21,6,3,0,3.3,75.6,1.1,8,7.18,0.7,0.3,1.2,0,0.4,0.4,0,0,3.3,1.2,0.8,1.7,0.3,1.3,2,17.3,0,0.6,0.1,19.92,1.08,0.7,127,0.16
Mattia Zaccagni,Lazio,28,"AM(CL),FW",33(2),2783,10,6,9,0,1.6,84.5,0.4,5,7.16,1.2,0.6,1.5,0,0.2,0.7,0.1,0,1.6,1,1.7,3.3,0.1,1,1.4,27.9,0.2,0.4,0,7.06,2.94,0.23,57,0.12
Domenico Berardi,Sassuolo,29,"AM(R),FW",22(4),1872,12,7,7,0,3.2,71.1,0.5,6,7.15,0.9,0.7,1.3,0,0.6,1.2,0,0,3.2,1.7,0.8,1.9,0.3,0.9,2.3,31.2,1,3.1,0.1,11.26,0.74,0.54,83,0.14
Armand Laurienté,Sassuolo,25,"AM(LR),FW",27(1),2191,7,6,8,1,2,79.2,0,4,7.11,0.8,0.4,0.8,0,0.1,0.5,0,0,2,2.2,2.3,1.5,0.3,1.9,2,24.6,0.7,0.5,0.1,4.49,2.51,0.18,56,0.08
Adrien Rabiot,Juventus,29,"DMC,M(L)",31(1),2751,8,4,9,0,1.5,83.6,1.6,3,7.11,2,0.8,1.4,0,1.2,0.8,0.2,0,1.5,1,0.8,1.3,0.1,1.1,1.8,35.5,0.2,1.5,0.1,6.72,1.28,0.22,48,0.14
Teun Koopmeiners,Atalanta,26,"D(C),M(C)",32(1),2861,10,4,7,0,1.8,78.1,1.2,2,7.11,1.4,0.6,1.5,0.1,1,0.8,0.2,0,1.8,1.8,0.9,0.8,0.2,1,1.5,46.5,1.5,2.8,0.1,8.88,1.12,0.28,59,0.15
Felipe Anderson,Lazio,31,"M(CLR),FW",35(3),2969,9,2,3,0,1.1,79.8,0.4,4,7.09,2.1,0.8,1.1,0,0.6,1.4,0.2,0,1.1,1.2,1.4,0.9,0.2,1.2,2.2,35.1,0.2,0.8,0,6.26,2.74,0.19,41,0.15
Lorenzo Pellegrini,Roma,27,M(CL),29(3),2558,4,5,5,0,2,80.1,0.4,5,7.09,1.6,0.8,0.8,0,0.6,0.8,0.1,0,2,2.2,1,1.8,0.2,1.1,1.7,29.5,1.7,1.6,0.1,7.53,-3.53,0.26,65,0.12
Mário Rui,Napoli,32,"D(L),M(L)",21(1),1763,0,6,2,1,0.5,84.2,0.6,2,7.09,1.5,0.7,0.9,0.1,0.8,1,0.2,0,0.5,2.1,0.4,1.4,0,0.3,0.5,65,1.6,5.1,0.1,0.58,-0.58,0.03,11,0.05
Lucas Martínez,Fiorentina,27,D(C),25(2),2173,1,1,6,0,1,81.9,2.8,5,7.08,3,1.8,0.8,0.5,2.8,0.7,0.7,0,1,0.3,0.4,0.9,0,0.2,0.4,55.9,0.1,6.3,0,2.69,-1.69,0.11,27,0.1
Hakan Çalhanoglu,Inter,30,"M(CLR),FW",28(5),2375,3,6,3,0,1.7,88.3,0.4,1,7.07,1.5,0.8,1.4,0,0.2,0.8,0.2,0,1.7,2.1,0.2,0.8,0.1,0.4,1,45.4,2.1,3,0.1,3.02,-0.02,0.11,56,0.05
Kim Min-Jae,Napoli,27,D(C),35,3055,2,2,5,0,0.2,91,2.6,1,7.07,1.6,1.2,0.9,0.6,3.5,0.1,0.7,0,0.2,0.3,0.1,0.2,0,0.2,0.4,80,0.1,3.4,0,1.29,0.71,0.04,8,0.16
Gerard Deulofeu,Udinese,30,"AM(CLR),FW",15(1),1219,2,6,1,0,2.8,80.5,0.1,2,7.06,0.5,0.1,0.5,0,0.1,0.6,0.1,0,2.8,3,1.3,0.7,0.5,1.1,1.4,32,1.2,0.6,0,6.11,-4.11,0.45,44,0.14
Giovanni Di Lorenzo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.52,0.48,0.07,31,0.08
Danilo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.53,0.47,0.07,32,0.08
