Player_name,Team_name,Age,Positions,Apps,Mins,Goals,Assists,Yel,Red,Shoots_pg,Pass_success(%),AerialsWon,MotM,Rating,Tackles,Interceptions,Fouls,Offsides,Clear,Dribbled_past_pg,Blocks,OwnG,Shots_pg,KeyPasses_pg,Dribbles_pg,Fouled,Offsides_pg,Dispossessed_pg,Bad_Controls_pg,Passes_pg,Crosses_pg,Long_pass_pg,Through_pass_pg,xG,Goals-xG,xG_per_90m,Total_shots,xG_per_total_shots
Antoine Griezmann,Atletico,33,"AM(CLR),FW",31(7),2863,15,16,2,0,2.9,82.4,0.7,13,7.69,1.3,0.6,0.6,0,0.8,1.2,0.1,0,2.9,2.2,1.2,1.1,0.3,0.9,1.1,38.3,0.8,1.8,0.2,11.26,3.74,0.35,111,0.1
Karim Benzema,Real Madrid,36,FW,24,2044,19,3,1,0,4.5,87,0.6,6,7.53,0.4,0.1,0.4,0,0.2,0.4,0,0,4.5,2,0.8,0.3,0.9,1.2,1.3,44,0,0.6,0.3,22.58,-3.58,0.99,107,0.21
Robert Lewandowski,Barcelona,35,FW,33(1),2852,23,7,2,1,4,78.1,1.5,7,7.49,0.5,0.1,1.1,0.1,0.4,0.2,0,0,4,1.1,0.9,1.4,0.6,1.5,2.8,22.4,0.2,0.7,0.2,25.69,-2.69,0.81,135,0.19
Leo Román,Mallorca,23,Goalkeeper,1,90,0,0,0,0,0,66.7,0,0,7.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,10,0,,,,,
Vinícius Júnior,Real Madrid,23,"AM(L),FW",32(1),2833,10,9,10,1,2.3,80.6,0.1,4,7.35,0.9,0.2,1.4,0,0,0.8,0,0,2.3,1.9,3.4,3.7,0.7,1.8,3.1,32.1,0.2,0.9,0.1,11.26,-1.26,0.36,77,0.15
Rodrygo,Real Madrid,23,"AM(CLR),FW",25(9),2382,9,8,4,0,2.9,89.6,0.4,4,7.26,0.5,0.2,0.5,0,0.1,0.6,0,0,2.9,1.4,2.4,1.4,0.3,0.9,1.9,29.7,0.2,0.5,0,14.83,-5.83,0.56,98,0.15
Memphis Depay,Barcelona,30,"AM(CL),FW",2,116,1,0,0,0,3,83.9,0.5,0,7.23,0.5,0,1,0,0,0.5,0,0,3,1.5,1.5,1,0.5,2,3.5,31,0.5,1,0,1,0,0.78,6,0.17
Memphis Depay,Barcelona,30,"AM(CL),FW",2,116,1,0,0,0,3,83.9,0.5,0,7.23,0.5,0,1,0,0,0.5,0,0,3,1.5,1.5,1,0.5,2,3.5,31,0.5,1,0,3.2,0.8,1.07,11,0.29
Memphis Depay,Barcelona,30,"AM(CL),FW",2,116,1,0,0,0,3,83.9,0.5,0,7.23,0.5,0,1,0,0,0.5,0,0,3,1.5,1.5,1,0.5,2,3.5,10.5,0.1,0.3,0.1,1,0,0.78,6,0.17
Memphis Depay,Barcelona,30,"AM(CL),FW",2,116,1,0,0,0,3,83.9,0.5,0,7.23,0.5,0,1,0,0,0.5,0,0,3,1.5,1.5,1,0.5,2,3.5,10.5,0.1,0.3,0.1,3.2,0.8,1.07,11,0.29
Memphis Depay,Barcelona,30,"AM(CL),FW",2,116,1,0,0,0,3,83.9,0.5,0,7.23,0.5,0,1,0,0,0.5,0,0,1.4,0.6,0.5,0.8,0,1.1,2,31,0.5,1,0,1,0,0.78,6,0.17
Memphis Depay,Barcelona,30,"AM(CL),FW",2,116,1,0,0,0,3,83.9,0.5,0,7.23,0.5,0,1,0,0,0.5,0,0,1.4,0.6,0.5,0.8,0,1.1,2,31,0.5,1,0,3.2,0.8,1.07,11,0.29
