Team_name,P,W,D,L,GF,GA,GD,Pts,Goals,Yellow_cards,Red_cards,Possessions(%),Pass_Success(%),A_Won,Rating,Shot_allowed,Tackles_pg,Intercept_pg,Fouls_pg,Offsides_pg,Shots_OT_pg,Dribbles_pg,Fouled_pg,xG,Goals-OG,xGDiff,Shots,xG/shots,TotalTackles,DribbledPast,TotalAttemptedTackles,Total_Interception,Fouled,Yellow,Red,CaughtOffside,Total_Clearances,ShotsBlocked,CrossesBlocked,PassesBlocked,Total_Saves,SixYardBox_Saves,PenaltyArea_Saves,OutOfBox_Saves,Total_Shots,OutOfBox_Shots,SixYardBox_Shots,PenaltyArea_Shots,Total_Goals,SixYardBox_Goals,PenaltyArea_Goals,OutOfBox_Goals,Unsuccessful,Successful,Total Dribbles,UnsuccessfulTouches,Dispossessed,Total_Aerial,Won,Lost,Total_Passes,AccLB,InAccLB,AccSP,InAccSP,Total_Key passes,Long,Short,Cross,Corner,Throughball,Freekick,Throwin,Other,Total_Assists
Barcelona,38,28,4,6,70,20,50,88,70,78,6,64.8,88.1,12.3,6.85,8.7,13.7,6.7,11.4,2.6,5.1,10.4,11.9,78.24,69,-9.24,572,0.14,13.7,7.1,20.9,6.7,11.9,2.1,0.2,2.6,10.9,2.2,1.1,7.1,2.2,0.1,1.5,0.7,15.1,4.3,1.4,9.3,1.8,0.4,1.3,0.1,10.7,10.4,21.1,14.4,8.6,21.9,12.3,9.6,605,32.9,17.8,499.8,54.5,11.9,1.8,10.1,0.2,0,0.3,0,0,1,1.5
Real Madrid,38,24,6,8,75,36,39,78,75,68,3,61.2,90.0,8.9,6.86,11.1,14.3,7.8,9.7,2.3,5.8,12.5,13.9,77.6,73,-4.6,646,0.12,14.3,8.1,22.3,7.8,13.9,1.8,0.1,2.3,11.2,2.8,1.2,6.8,2.7,0.2,1.3,1.2,17,7.1,0.9,8.9,2,0.3,1.1,0.5,13.1,12.5,25.6,12.9,7.8,15.1,8.9,6.1,617.5,27.8,14.4,527.7,47.7,13.8,1.7,12.1,0.3,0.1,0.2,0,0,1,1.5
Atletico Madrid,38,23,8,7,70,33,37,77,70,86,8,50.4,84.2,11.9,6.75,11.5,17.6,8,11.6,2.1,5.3,8.5,11,63.05,68,4.95,539,0.12,17.6,9.2,26.8,8,11,2.3,0.2,2.1,17.2,2.7,1.7,7.7,2.5,0.2,1.3,1.1,14.2,4.6,1,8.6,1.8,0.3,1.2,0.2,8.8,8.5,17.3,12.8,7.3,22.5,11.9,10.6,497.9,27.3,25.3,392,53.3,11,1.7,9.4,0.1,0,0.2,0.1,0,0.9,1.3
Real Sociedad,38,21,8,9,51,35,16,71,51,91,2,54.6,81.9,17.6,6.65,10.4,17.4,7.1,16.3,2.4,4.7,8.1,11.9,58.68,47,-11.68,469,0.13,17.4,8.6,26,7.1,11.9,2.4,0.1,2.4,15.7,2.7,1,7.8,2.6,0.2,1.6,0.9,12.3,4.2,1.1,7,1.3,0.2,0.9,0.1,9.8,8.1,17.9,16,9.7,32.4,17.6,14.8,462.8,25.4,25.2,353.6,58.5,9.1,1.3,7.8,0.2,0.1,0.2,0,0,0.6,0.9
Villarreal,38,19,7,12,59,40,19,64,59,86,4,56.7,85.4,9.5,6.68,12.5,15.2,6.9,11.8,2.3,5.2,11.4,12.7,65.31,57,-8.31,506,0.13,15.2,6.9,22.2,6.9,12.7,2.3,0.1,2.3,16.8,3.3,1.7,6.5,2.9,0.1,1.9,0.8,13.3,4.7,1,7.6,1.6,0.3,1,0.2,11.7,11.4,23.2,14.5,9,19.4,9.5,9.9,484.8,28.6,21.1,385.7,49.5,9.8,1.4,8.4,0.2,0.1,0.2,0,0,0.5,0.8
Real Betis,38,17,9,12,46,41,5,60,46,77,15,50.5,82.4,12.1,6.63,12.3,17.5,9.6,10.9,1.9,4,9.6,14.1,51.83,43,-8.83,420,0.12,17.5,9.6,27.1,9.6,14.1,2,0.4,1.9,20.8,2.9,2,7.9,2.8,0.2,1.8,0.8,11.1,3.8,0.9,6.3,1.2,0.3,0.8,0.1,10.7,9.6,20.3,14.8,9.3,25.3,12.1,13.2,441.4,24.7,28.1,339.1,49.4,8.2,1.2,7,0.1,0,0.1,0,0,0.4,0.7
Osasuna,38,15,8,15,37,42,-5,53,37,91,7,48.1,78.0,16.2,6.54,11.7,14.1,8.3,14.3,1.6,3.6,8.3,10.8,40.88,36,-4.88,446,0.09,14.1,8.5,22.6,8.3,10.8,2.4,0.2,1.6,18.6,2.6,1.4,7.8,2.8,0.2,1.7,0.9,11.7,4.6,0.5,6.6,1,0.2,0.6,0.1,8.2,8.3,16.5,15.5,8.3,32.8,16.2,16.6,395.7,31.7,32.9,277.1,54.1,8.5,1.8,6.7,0.3,0.1,0.1,0,0,0.4,0.8
Athletic Club,38,14,9,15,47,43,4,51,47,80,5,51.5,80.1,14.2,6.59,10.3,16,8.2,13.5,2.5,4.5,9.2,11.1,58.66,46,-12.66,548,0.11,16,8.4,24.4,8.2,11.1,2.1,0.1,2.5,14.8,2.5,1.1,8.4,2.2,0.1,1.3,0.8,14.4,4.7,1,8.8,1.2,0.2,0.9,0.1,10.2,9.2,19.3,14.6,9.2,27.1,14.2,12.9,436.7,27.8,26.7,322.1,60.1,10.9,1.5,9.4,0.2,0,0.1,0.1,0,0.6,0.9
Mallorca,38,14,8,16,37,43,-6,50,37,121,5,40.4,75.5,17.8,6.56,13.1,15.3,8.4,16.1,2,3,7.7,12,37.46,36,-1.46,329,0.11,15.3,7.8,23.2,8.4,12,3.2,0.1,2,21.2,3.8,1.8,6.7,2.7,0.2,1.4,1.1,8.7,2.7,0.5,5.4,1,0.2,0.7,0.1,6.9,7.7,14.6,13.1,7.9,34.5,17.8,16.7,336.1,27.3,32.7,226.3,49.7,6.6,1.8,4.9,0.3,0.1,0.1,0,0,0.4,0.7
Girona,38,13,10,15,58,55,3,49,58,88,3,50.9,83.4,11.4,6.55,13,14.5,7,11.6,2.3,4.5,9,13.3,53.88,55,1.12,455,0.12,14.5,7.6,22.1,7,13.3,2.3,0.1,2.3,16.2,2.9,1.4,7.1,3,0.2,1.6,1.2,12,3.8,0.9,7.2,1.5,0.3,0.9,0.2,10.2,9,19.2,12.3,8.7,22.9,11.4,11.5,443.9,22.9,23.8,347.4,49.7,9.6,2.2,7.4,0.3,0,0.1,0.1,0,0.7,1.1
