player_name,team_name,Cross,Corner,Throughball,Freekick,Throwin,Other,Total_Assists
Asmir Begovic,Everton,0,0,0,0,0,0,0
Kevin De Bruyne,Manchester City,0.2,0,0.1,0,0,0.2,0.5
Stefan Ortega,Manchester City,0,0,0,0,0,0,0
Erling Haaland,Manchester City,0,0,0.1,0,0,0.2,0.2
Harry Kane,Tottenham,0,0,0,0,0,0.1,0.1
Bruno Fernandes,Manchester United,0,0,0.1,0,0,0.1,0.2
Gabriel Jesus,Arsenal,0,0,0,0,0,0.2,0.2
Kieran Trippier,Newcastle,0.1,0,0,0.1,0,0,0.2
Bukayo Saka,Arsenal,0.1,0.1,0,0,0,0.2,0.3
Solly March,Brighton,0.1,0,0,0,0,0.1,0.2
Jack Grealish,Manchester City,0,0,0,0,0,0.2,0.3
Martin Ødegaard,Arsenal,0,0,0.1,0,0,0.1,0.2
Rodri,Manchester City,0,0,0,0,0,0.2,0.2
Gabriel Martinelli,Arsenal,0.1,0,0,0,0,0.1,0.1
Ivan Toney,Brentford,0,0,0,0,0,0.1,0.1
Joelinton,Newcastle,0,0,0,0,0,0,0
James Maddison,Leicester,0,0,0.1,0,0,0.2,0.3
Rodrigo Bentancur,Tottenham,0.1,0,0,0,0,0.1,0.1
Bruno Guimarães,Newcastle,0,0,0,0,0,0.2,0.2
Casemiro,Manchester United,0,0,0.1,0,0,0,0.1
Mohamed Salah,Liverpool,0,0,0.1,0,0,0.2,0.3
Phil Foden,Manchester City,0,0,0,0,0,0.2,0.2
Ilkay Gündogan,Manchester City,0,0,0,0,0,0.1,0.1
Trent Alexander-Arnold,Liverpool,0.1,0,0.1,0,0,0.1,0.2
Ethan Pinnock,Brentford,0,0,0,0,0,0,0
Aleksandar Mitrovic,Fulham,0,0,0,0,0,0,0
Marcus Rashford,Manchester United,0,0,0,0,0,0.1,0.1
Reece James,Chelsea,0.1,0,0,0,0,0,0.1
Thomas Partey,Arsenal,0,0,0,0,0,0,0
Felipe,Nottingham Forest,0,0,0,0,0,0.1,0.1
Cody Gakpo,Liverpool,0,0,0,0,0,0.1,0.1
Alexander Isak,Newcastle,0,0,0,0,0,0,0
João Cancelo,Manchester City,0,0,0,0,0,0.1,0.1
Alexis Mac Allister,Brighton,0,0,0,0,0,0.1,0.1
Fabian Schär,Newcastle,0,0,0.1,0,0,0,0.1
Declan Rice,West Ham,0,0,0,0,0,0.1,0.1
Pierre-Emile Højbjerg,Tottenham,0,0,0,0,0,0.1,0.1
Eberechi Eze,Crystal Palace,0,0,0.1,0,0,0,0.1
Riyad Mahrez,Manchester City,0.1,0,0,0,0,0.2,0.3
Bryan Mbeumo,Brentford,0.1,0,0,0,0,0.1,0.2
Yerry Mina,Everton,0,0,0,0,0,0,0
Kaoru Mitoma,Brighton,0,0,0,0,0,0.1,0.2
Pascal Groß,Brighton,0,0,0,0,0,0.1,0.2
Michael Olise,Crystal Palace,0.1,0.1,0.1,0,0,0.1,0.3
Dwight McNeil,Everton,0.1,0.1,0,0,0,0,0.1
Willian,Fulham,0.1,0.1,0,0,0,0,0.2
