player_name,team_name,ShotsBlocked,CrossesBlocked,PassesBlocked
Asmir Begovic,Everton,0,0,0
Kevin De Bruyne,Manchester City,0.1,0,0.8
Stefan Ortega,Manchester City,0,0,0
Erling Haaland,Manchester City,0.1,0,0.2
Harry Kane,Tottenham,0.2,0,0.5
Bruno Fernandes,Manchester United,0.1,0.1,0.9
Gabriel Jesus,Arsenal,0.1,0.1,0.9
Kieran Trippier,Newcastle,0.4,0.2,0.8
Bukayo Saka,Arsenal,0,0.1,1
Solly March,Brighton,0.1,0.1,0.9
Jack Grealish,Manchester City,0.1,0.1,0.5
Martin Ødegaard,Arsenal,0.1,0,0.4
Rodri,Manchester City,0.4,0,0.7
Gabriel Martinelli,Arsenal,0,0.1,0.6
Ivan Toney,Brentford,0.3,0,0.5
Joelinton,Newcastle,0.2,0,1.4
James Maddison,Leicester,0,0.1,0.6
Rodrigo Bentancur,Tottenham,0.8,0.1,0.7
Bruno Guimarães,Newcastle,0.1,0.1,0.8
Casemiro,Manchester United,0.4,0.1,1.4
Mohamed Salah,Liverpool,0,0,0.6
Phil Foden,Manchester City,0.1,0,0.7
Ilkay Gündogan,Manchester City,0.1,0,0.5
Trent Alexander-Arnold,Liverpool,0.2,0.1,0.5
Ethan Pinnock,Brentford,1,0,0.3
Aleksandar Mitrovic,Fulham,0.2,0,0.7
Marcus Rashford,Manchester United,0.1,0,0.8
Reece James,Chelsea,0.1,0.2,0.9
Thomas Partey,Arsenal,0.2,0.1,0.6
Felipe,Nottingham Forest,0.8,0.1,1.3
Cody Gakpo,Liverpool,0,0,0.6
Alexander Isak,Newcastle,0.1,0,0.9
João Cancelo,Manchester City,0.1,0.2,0.4
Alexis Mac Allister,Brighton,0.1,0,0.7
Fabian Schär,Newcastle,0.5,0.1,0.4
Declan Rice,West Ham,0.4,0.1,0.8
Pierre-Emile Højbjerg,Tottenham,0.5,0.2,0.8
Eberechi Eze,Crystal Palace,0,0.1,0.6
Riyad Mahrez,Manchester City,0,0.1,0.9
Bryan Mbeumo,Brentford,0,0.1,0.6
Yerry Mina,Everton,0.6,0,0.4
Kaoru Mitoma,Brighton,0,0.2,0.8
Pascal Groß,Brighton,0.3,0.1,0.6
Michael Olise,Crystal Palace,0,0.1,1.2
Dwight McNeil,Everton,0.2,0.3,1.1
Willian,Fulham,0,0,0.5
Leandro Trossard,Brighton,0,0.1,1.1
Ben Mee,Brentford,1.1,0.2,0.3
Kenny Tete,Fulham,0.5,0.3,1
Granit Xhaka,Arsenal,0.3,0.1,0.5
Lucas Paquetá,West Ham,0.1,0,1.3
Martin Dúbravka,Newcastle,0,0,0
James Tarkowski,Everton,2.1,0.1,0.6
Luis Díaz,Liverpool,0,0.1,0.5
Ollie Watkins,Aston Villa,0.1,0,0.5
Diogo Dalot,Manchester United,0.3,0.1,0.7
Pedro Porro,Tottenham,0.1,0.3,1.5
Marcus Tavernier,Bournemouth,0.2,0.3,0.9
Rúben Neves,Wolves,0.6,0.1,1.1
James Ward-Prowse,Southampton,0.3,0.1,0.5
Thiago Silva,Chelsea,1.1,0.1,0.3
David Raya,Brentford,0,0,0
Son Heung-Min,Tottenham,0.1,0.1,0.6
N'Golo Kanté,Chelsea,0,0,1.6
Virgil van Dijk,Liverpool,0.5,0.1,0.3
João Palhinha,Fulham,0.1,0.1,1.2
Aaron Wan-Bissaka,Manchester United,0.4,0.3,0.8
Douglas Luiz,Aston Villa,0.2,0.2,0.8
Alisson Becker,Liverpool,0,0,0.1
Bernd Leno,Fulham,0,0,0
Callum Wilson,Newcastle,0,0,0.3
Moisés Caicedo,Brighton,0.2,0.2,1
Miguel Almirón,Newcastle,0.1,0.1,0.7
Benoît Badiashile,Chelsea,0.2,0.1,0.3
Wesley Fofana,Leicester,0.5,0.5,0
Christian Nørgaard,Brentford,0.4,0,1
Lewis Hall,Chelsea,0,0.1,0.9
Luke Shaw,Manchester United,0.5,0.1,1.1
Joe Willock,Newcastle,0.2,0.1,1.3
Emiliano Martínez,Aston Villa,0,0,0
Oleksandr Zinchenko,Arsenal,0.1,0.3,0.7
Jacob Ramsey,Aston Villa,0.2,0.1,1.1
Roberto Firmino,Liverpool,0,0,0.6
Sèrge Aurier,Nottingham Forest,0.5,0.4,1
Leandro Trossard,Arsenal,0,0.1,0.9
Gabriel Magalhães,Arsenal,0.7,0.1,0.6
Lisandro Martínez,Manchester United,1,0.2,0.9
Morgan Gibbs-White,Nottingham Forest,0.1,0.2,0.5
Kalidou Koulibaly,Chelsea,0.6,0.2,0.7
Jadon Sancho,Manchester United,0.1,0,0.9
Çaglar Söyüncü,Leicester,1.1,0.1,0.1
Philip Billing,Bournemouth,0.2,0.2,1.1
Antony,Manchester United,0,0.2,0.7
Michael Keane,Everton,0.6,0,0.4
Alex Iwobi,Everton,0.1,0,1
