player_name,team_name,Total_Clearances
Asmir Begovic,Everton,3
Kevin De Bruyne,Manchester City,0.3
Stefan Ortega,Manchester City,0.3
Erling Haaland,Manchester City,0.4
Harry Kane,Tottenham,0.5
Bruno Fernandes,Manchester United,1
Gabriel Jesus,Arsenal,0.5
Kieran Trippier,Newcastle,2
Bukayo Saka,Arsenal,0.4
Solly March,Brighton,0.9
Jack Grealish,Manchester City,0.3
Martin Ødegaard,Arsenal,0.3
Rodri,Manchester City,1.2
Gabriel Martinelli,Arsenal,0.3
Ivan Toney,Brentford,1.1
Joelinton,Newcastle,1.2
James Maddison,Leicester,0.1
Rodrigo Bentancur,Tottenham,1.2
Bruno Guimarães,Newcastle,0.6
Casemiro,Manchester United,2.1
Mohamed Salah,Liverpool,0.1
Phil Foden,Manchester City,0.3
Ilkay Gündogan,Manchester City,0.4
Trent Alexander-Arnold,Liverpool,1
Ethan Pinnock,Brentford,7.1
Aleksandar Mitrovic,Fulham,0.8
Marcus Rashford,Manchester United,0.4
Reece James,Chelsea,1.3
Thomas Partey,Arsenal,1.2
Felipe,Nottingham Forest,5.6
Cody Gakpo,Liverpool,0.1
Alexander Isak,Newcastle,0.4
João Cancelo,Manchester City,0.4
Alexis Mac Allister,Brighton,0.3
Fabian Schär,Newcastle,3.8
Declan Rice,West Ham,1.5
Pierre-Emile Højbjerg,Tottenham,1.7
Eberechi Eze,Crystal Palace,0.2
Riyad Mahrez,Manchester City,0.1
Bryan Mbeumo,Brentford,0.4
Yerry Mina,Everton,4
Kaoru Mitoma,Brighton,0.2
Pascal Groß,Brighton,0.5
Michael Olise,Crystal Palace,0.4
Dwight McNeil,Everton,0.9
Willian,Fulham,0.3
Leandro Trossard,Brighton,0
Ben Mee,Brentford,3.1
Kenny Tete,Fulham,2.4
Granit Xhaka,Arsenal,1.1
Lucas Paquetá,West Ham,1.1
Martin Dúbravka,Newcastle,0.5
James Tarkowski,Everton,5.2
Luis Díaz,Liverpool,0.1
Ollie Watkins,Aston Villa,1.1
Diogo Dalot,Manchester United,2
Pedro Porro,Tottenham,1.3
Marcus Tavernier,Bournemouth,0.7
Rúben Neves,Wolves,2.3
James Ward-Prowse,Southampton,1.2
Thiago Silva,Chelsea,4
David Raya,Brentford,0.5
Son Heung-Min,Tottenham,0.1
N'Golo Kanté,Chelsea,0.3
Virgil van Dijk,Liverpool,4.2
João Palhinha,Fulham,1.7
Aaron Wan-Bissaka,Manchester United,1.8
Douglas Luiz,Aston Villa,0.6
Alisson Becker,Liverpool,1
Bernd Leno,Fulham,0.7
Callum Wilson,Newcastle,0.2
Moisés Caicedo,Brighton,0.7
Miguel Almirón,Newcastle,0.4
Benoît Badiashile,Chelsea,3
Wesley Fofana,Leicester,2
Christian Nørgaard,Brentford,1.8
Lewis Hall,Chelsea,1.1
Luke Shaw,Manchester United,1.7
Joe Willock,Newcastle,0.4
Emiliano Martínez,Aston Villa,0.8
Oleksandr Zinchenko,Arsenal,1.1
Jacob Ramsey,Aston Villa,0.8
Roberto Firmino,Liverpool,0.1
Sèrge Aurier,Nottingham Forest,2.7
Leandro Trossard,Arsenal,0.1
Gabriel Magalhães,Arsenal,3.2
Lisandro Martínez,Manchester United,3.6
Morgan Gibbs-White,Nottingham Forest,0.3
Kalidou Koulibaly,Chelsea,3.1
Jadon Sancho,Manchester United,0.2
Çaglar Söyüncü,Leicester,4.1
Philip Billing,Bournemouth,1.4
Antony,Manchester United,0.1
Michael Keane,Everton,4.6
Alex Iwobi,Everton,0.7
Thiago Alcântara,Liverpool,0.7
Wilfried Zaha,Crystal Palace,0.2
Mathias Jensen,Brentford,0.6
John McGinn,Aston Villa,0.4
Kepa,Chelsea,1.1
Jarrod Bowen,West Ham,0.5
