player_name,team_name,Unsuccessful,Successful,Total Dribbles
Asmir Begovic,Everton,0,0,0
Kevin De Bruyne,Manchester City,0.9,1,1.9
Stefan Ortega,Manchester City,0,0,0
Erling Haaland,Manchester City,0.6,0.3,0.9
Harry Kane,Tottenham,1.8,1.1,2.8
Bruno Fernandes,Manchester United,0.9,0.9,1.8
Gabriel Jesus,Arsenal,2.6,1.7,4.3
Kieran Trippier,Newcastle,0.4,0.5,0.9
Bukayo Saka,Arsenal,2.6,1.7,4.3
Solly March,Brighton,1.7,1.8,3.5
Jack Grealish,Manchester City,2.3,1.6,3.9
Martin Ødegaard,Arsenal,0.9,1.3,2.2
Rodri,Manchester City,0.3,0.7,1
Gabriel Martinelli,Arsenal,2,1.7,3.7
Ivan Toney,Brentford,1.2,0.5,1.6
Joelinton,Newcastle,1.8,1.7,3.5
James Maddison,Leicester,2,1.5,3.6
Rodrigo Bentancur,Tottenham,0.7,1.2,1.9
Bruno Guimarães,Newcastle,1.5,1.4,2.9
Casemiro,Manchester United,0.4,0.3,0.7
Mohamed Salah,Liverpool,2.2,1.4,3.6
Phil Foden,Manchester City,1.3,1.3,2.5
Ilkay Gündogan,Manchester City,0.8,0.5,1.4
Trent Alexander-Arnold,Liverpool,0.4,0.8,1.2
Ethan Pinnock,Brentford,0.1,0.1,0.2
Aleksandar Mitrovic,Fulham,1,1,2
Marcus Rashford,Manchester United,2.4,1.5,3.9
Reece James,Chelsea,1.1,1.4,2.5
Thomas Partey,Arsenal,0.3,1.1,1.4
Felipe,Nottingham Forest,0.3,0.9,1.1
Cody Gakpo,Liverpool,1.2,1.1,2.3
Alexander Isak,Newcastle,1.8,1.5,3.3
João Cancelo,Manchester City,1.8,1.8,3.6
Alexis Mac Allister,Brighton,0.9,1.2,2.1
Fabian Schär,Newcastle,0.3,0.1,0.4
Declan Rice,West Ham,0.8,1,1.8
Pierre-Emile Højbjerg,Tottenham,0.4,0.9,1.3
