player_name,team_name,Fouled,Fouls
Asmir Begovic,Everton,0,0
Kevin De Bruyne,Manchester City,0.9,0.6
Stefan Ortega,Manchester City,0,0
Erling Haaland,Manchester City,0.7,0.9
Harry Kane,Tottenham,1.5,0.8
Bruno Fernandes,Manchester United,1.1,1.1
Gabriel Jesus,Arsenal,2.2,1.7
Kieran Trippier,Newcastle,0.8,1.3
Bukayo Saka,Arsenal,1.7,1.1
Solly March,Brighton,1.2,1.4
Jack Grealish,Manchester City,2.8,1
Martin Ødegaard,Arsenal,0.7,0.8
Rodri,Manchester City,0.6,1.3
Gabriel Martinelli,Arsenal,1,1.1
Ivan Toney,Brentford,2.2,1.6
Joelinton,Newcastle,1.1,2
James Maddison,Leicester,2.6,1
Rodrigo Bentancur,Tottenham,0.4,1.3
Bruno Guimarães,Newcastle,2.6,1.4
Casemiro,Manchester United,0.9,1.7
Mohamed Salah,Liverpool,0.9,0.5
Phil Foden,Manchester City,0.9,0.3
Ilkay Gündogan,Manchester City,0.8,0.7
Trent Alexander-Arnold,Liverpool,0.2,0.6
Ethan Pinnock,Brentford,0.3,0.2
Aleksandar Mitrovic,Fulham,1.7,1.4
Marcus Rashford,Manchester United,0.7,0.4
Reece James,Chelsea,1.1,0.6
Thomas Partey,Arsenal,0.7,1.1
Felipe,Nottingham Forest,0.7,0.9
Cody Gakpo,Liverpool,1.6,1.2
Alexander Isak,Newcastle,0.7,0.9
João Cancelo,Manchester City,1.1,0.8
Alexis Mac Allister,Brighton,1.6,1
Fabian Schär,Newcastle,0.8,0.6
Declan Rice,West Ham,0.3,0.6
Pierre-Emile Højbjerg,Tottenham,1,1.1
Eberechi Eze,Crystal Palace,1.5,0.7
Riyad Mahrez,Manchester City,1.4,0.5
Bryan Mbeumo,Brentford,0.6,0.7
Yerry Mina,Everton,1.4,0.9
Kaoru Mitoma,Brighton,0.8,0.9
Pascal Groß,Brighton,0.5,0.9
Michael Olise,Crystal Palace,1.9,0.8
Dwight McNeil,Everton,0.6,0.6
Willian,Fulham,0.9,0.4
Leandro Trossard,Brighton,0.8,0.6
Ben Mee,Brentford,0.4,0.4
Kenny Tete,Fulham,1.7,1.4
Granit Xhaka,Arsenal,1.1,0.7
Lucas Paquetá,West Ham,1.1,1.8
Martin Dúbravka,Newcastle,0,0
James Tarkowski,Everton,0.6,1.1
Luis Díaz,Liverpool,1.4,1.2
Ollie Watkins,Aston Villa,1.1,0.7
Diogo Dalot,Manchester United,0.1,0.8
Pedro Porro,Tottenham,1.1,0.8
Marcus Tavernier,Bournemouth,1.2,0.9
Rúben Neves,Wolves,0.5,1.1
James Ward-Prowse,Southampton,0.5,0.9
Thiago Silva,Chelsea,0.5,0.4
David Raya,Brentford,0.2,0
Son Heung-Min,Tottenham,1,0.4
N'Golo Kanté,Chelsea,0.3,0.7
Virgil van Dijk,Liverpool,0.1,0.4
João Palhinha,Fulham,1.4,1.4
Aaron Wan-Bissaka,Manchester United,0.1,0.6
Douglas Luiz,Aston Villa,1.1,1.3
Alisson Becker,Liverpool,0.1,0
Bernd Leno,Fulham,0.1,0
Callum Wilson,Newcastle,1,0.7
Moisés Caicedo,Brighton,1.5,1.8
Miguel Almirón,Newcastle,1,0.6
Benoît Badiashile,Chelsea,0.5,0.8
Wesley Fofana,Leicester,1.5,1
Christian Nørgaard,Brentford,0.9,1.6
Lewis Hall,Chelsea,1.2,0.3
Luke Shaw,Manchester United,0.9,1.5
Joe Willock,Newcastle,0.7,1
Emiliano Martínez,Aston Villa,0.2,0
Oleksandr Zinchenko,Arsenal,0.4,0.2
Jacob Ramsey,Aston Villa,1.3,1
Roberto Firmino,Liverpool,0.2,0.4
Sèrge Aurier,Nottingham Forest,0.8,0.8
Leandro Trossard,Arsenal,0.9,0.5
Gabriel Magalhães,Arsenal,1.1,0.7
Lisandro Martínez,Manchester United,0.4,0.8
Morgan Gibbs-White,Nottingham Forest,0.8,0.9
Kalidou Koulibaly,Chelsea,0.4,1
Jadon Sancho,Manchester United,0.4,0.3
Çaglar Söyüncü,Leicester,0.6,1
Philip Billing,Bournemouth,1,0.8
Antony,Manchester United,1,0.6
Michael Keane,Everton,0.3,0.6
Alex Iwobi,Everton,0.4,0.5
Thiago Alcântara,Liverpool,1.4,1
Wilfried Zaha,Crystal Palace,2.9,1.3
Mathias Jensen,Brentford,0.7,0.9
John McGinn,Aston Villa,1.9,1.2
Kepa,Chelsea,0.3,0
Jarrod Bowen,West Ham,1.8,0.7
Tomás Soucek,West Ham,0.4,1.4
Bernardo Silva,Manchester City,0.4,0.9
Allan Saint-Maximin,Newcastle,0.6,0.2
Noni Madueke,Chelsea,1.3,0.3
Jordan Ayew,Crystal Palace,2.4,1.3
Enzo Fernández,Chelsea,1.2,0.6
John Stones,Manchester City,0.3,0.4
Cristian Romero,Tottenham,0.4,1.6
Youri Tielemans,Leicester,0.8,1.1
Rúben Dias,Manchester City,0.3,0.7
Joachim Andersen,Crystal Palace,0.5,0.8
Hamed Traorè,Bournemouth,0.6,0.6
Darwin Núñez,Liverpool,0.6,0.9
Pervis Estupiñán,Brighton,0.7,1.2
Dominic Solanke,Bournemouth,1.6,1.2
Ibrahima Konaté,Liverpool,0.8,1.6
Mohammed Salisu,Southampton,0.1,1.2
Ben White,Arsenal,0.8,0.7
Andy Robertson,Liverpool,0.3,0.6
Julio Enciso,Brighton,0.8,0.7
Dejan Kulusevski,Tottenham,0.8,1.2
William Saliba,Arsenal,0.5,0.7
Emerson Royal,Tottenham,1.3,0.8
Dan Burn,Newcastle,0.1,0.9
Neto,Bournemouth,0.1,0
Vicente Guaita,Crystal Palace,0.1,0
Danny Welbeck,Brighton,0.6,0.8
Kai Havertz,Chelsea,0.7,1.7
Nathan Aké,Manchester City,0.5,0.5
Antonee Robinson,Fulham,0.7,0.9
Tyrone Mings,Aston Villa,0.6,0.5
Sven Botman,Newcastle,0.3,0.4
Ivan Perisic,Tottenham,0.2,0.9
Tosin Adarabioyo,Fulham,0.2,0.7
Dango Ouattara,Bournemouth,0.8,0.3
Raheem Sterling,Chelsea,1.1,0.8
Diogo Jota,Liverpool,0.7,0.9
Jason Steele,Brighton,0.1,0.1
Sam Johnstone,Crystal Palace,0,0.1
Tyler Adams,Leeds,0.9,1.5
James Justin,Leicester,2.1,0.6
Andreas Pereira,Fulham,0.9,1.2
Jack Harrison,Leeds,1,1.1
Cheick Doucouré,Crystal Palace,0.4,1.1
Timothy Castagne,Leicester,0.4,0.7
Armel Bella-Kotchap,Southampton,1.4,0.4
Kiernan Dewsbury-Hall,Leicester,1.1,1.2
Álex Moreno,Aston Villa,0.6,0.9
Shea Charles,Manchester City,0,0
Fabinho,Liverpool,0.7,1.5
Danilo,Nottingham Forest,0.2,0.3
