player_name,team_name,Total_Interception
Asmir Begovic,Everton,0
Kevin De Bruyne,Manchester City,0.3
Stefan Ortega,Manchester City,0
Erling Haaland,Manchester City,0.1
Harry Kane,Tottenham,0.1
Bruno Fernandes,Manchester United,0.7
Gabriel Jesus,Arsenal,0.4
Kieran Trippier,Newcastle,1.1
Bukayo Saka,Arsenal,0.4
Solly March,Brighton,0.7
Jack Grealish,Manchester City,0.3
Martin Ødegaard,Arsenal,0.2
Rodri,Manchester City,0.9
Gabriel Martinelli,Arsenal,0.3
Ivan Toney,Brentford,0.4
Joelinton,Newcastle,1.5
James Maddison,Leicester,0.4
Rodrigo Bentancur,Tottenham,1.1
Bruno Guimarães,Newcastle,1.1
Casemiro,Manchester United,1.2
Mohamed Salah,Liverpool,0.2
Phil Foden,Manchester City,0.2
Ilkay Gündogan,Manchester City,0.6
Trent Alexander-Arnold,Liverpool,1.2
Ethan Pinnock,Brentford,1.2
Aleksandar Mitrovic,Fulham,0.1
Marcus Rashford,Manchester United,0.2
Reece James,Chelsea,0.8
Thomas Partey,Arsenal,0.8
Felipe,Nottingham Forest,2.3
Cody Gakpo,Liverpool,0.2
Alexander Isak,Newcastle,0.2
João Cancelo,Manchester City,1.1
Alexis Mac Allister,Brighton,0.6
Fabian Schär,Newcastle,1.4
Declan Rice,West Ham,1.7
Pierre-Emile Højbjerg,Tottenham,1.4
Eberechi Eze,Crystal Palace,0.3
Riyad Mahrez,Manchester City,0.3
Bryan Mbeumo,Brentford,0.3
Yerry Mina,Everton,0.9
Kaoru Mitoma,Brighton,0.5
Pascal Groß,Brighton,0.4
Michael Olise,Crystal Palace,0.7
Dwight McNeil,Everton,0.9
Willian,Fulham,0.3
Leandro Trossard,Brighton,0.4
Ben Mee,Brentford,1.3
Kenny Tete,Fulham,1.7
Granit Xhaka,Arsenal,0.4
Lucas Paquetá,West Ham,0.6
Martin Dúbravka,Newcastle,0
James Tarkowski,Everton,1.3
Luis Díaz,Liverpool,0.4
Ollie Watkins,Aston Villa,0.3
Diogo Dalot,Manchester United,1.4
Pedro Porro,Tottenham,1
Marcus Tavernier,Bournemouth,0.4
Rúben Neves,Wolves,1.4
James Ward-Prowse,Southampton,1.4
Thiago Silva,Chelsea,1.3
David Raya,Brentford,0
Son Heung-Min,Tottenham,0.4
N'Golo Kanté,Chelsea,0.9
Virgil van Dijk,Liverpool,1
João Palhinha,Fulham,1.3
Aaron Wan-Bissaka,Manchester United,1.2
Douglas Luiz,Aston Villa,1.1
Alisson Becker,Liverpool,0
Bernd Leno,Fulham,0
Callum Wilson,Newcastle,0
Moisés Caicedo,Brighton,1.5
Miguel Almirón,Newcastle,0.3
Benoît Badiashile,Chelsea,1.5
Wesley Fofana,Leicester,4.5
Christian Nørgaard,Brentford,1.5
Lewis Hall,Chelsea,1.2
Luke Shaw,Manchester United,1.2
Joe Willock,Newcastle,0.7
Emiliano Martínez,Aston Villa,0
Oleksandr Zinchenko,Arsenal,0.8
Jacob Ramsey,Aston Villa,0.7
Roberto Firmino,Liverpool,0.3
Sèrge Aurier,Nottingham Forest,1.2
Leandro Trossard,Arsenal,0.3
Gabriel Magalhães,Arsenal,0.8
Lisandro Martínez,Manchester United,1.2
Morgan Gibbs-White,Nottingham Forest,0.4
Kalidou Koulibaly,Chelsea,1.3
Jadon Sancho,Manchester United,0.3
Çaglar Söyüncü,Leicester,1
Philip Billing,Bournemouth,0.9
Antony,Manchester United,0.4
Michael Keane,Everton,1.2
Alex Iwobi,Everton,0.7
Thiago Alcântara,Liverpool,1.2
Wilfried Zaha,Crystal Palace,0.6
Mathias Jensen,Brentford,0.9
John McGinn,Aston Villa,0.7
Kepa,Chelsea,0
Jarrod Bowen,West Ham,0.9
Tomás Soucek,West Ham,1.5
Bernardo Silva,Manchester City,0.5
Allan Saint-Maximin,Newcastle,0.2
Noni Madueke,Chelsea,0.3
Jordan Ayew,Crystal Palace,0.4
Enzo Fernández,Chelsea,0.9
John Stones,Manchester City,0.4
Cristian Romero,Tottenham,1.6
Youri Tielemans,Leicester,0.9
Rúben Dias,Manchester City,0.7
Joachim Andersen,Crystal Palace,0.8
Hamed Traorè,Bournemouth,0.3
Darwin Núñez,Liverpool,0.1
Pervis Estupiñán,Brighton,1.1
Dominic Solanke,Bournemouth,0.2
Ibrahima Konaté,Liverpool,1.4
Mohammed Salisu,Southampton,1.4
Ben White,Arsenal,0.6
Andy Robertson,Liverpool,0.5
Julio Enciso,Brighton,0.2
Dejan Kulusevski,Tottenham,0.4
William Saliba,Arsenal,0.7
Emerson Royal,Tottenham,0.7
Dan Burn,Newcastle,0.8
Neto,Bournemouth,0
Vicente Guaita,Crystal Palace,0
Danny Welbeck,Brighton,0.2
Kai Havertz,Chelsea,0.2
Nathan Aké,Manchester City,0.8
Antonee Robinson,Fulham,1.5
Tyrone Mings,Aston Villa,1.5
Sven Botman,Newcastle,0.9
Ivan Perisic,Tottenham,0.6
Tosin Adarabioyo,Fulham,1
Dango Ouattara,Bournemouth,0.7
Raheem Sterling,Chelsea,0.1
Diogo Jota,Liverpool,0.1
Jason Steele,Brighton,0
Sam Johnstone,Crystal Palace,0
Tyler Adams,Leeds,1.5
James Justin,Leicester,1.1
Andreas Pereira,Fulham,0.2
Jack Harrison,Leeds,0.6
Cheick Doucouré,Crystal Palace,1.6
Timothy Castagne,Leicester,1.2
Armel Bella-Kotchap,Southampton,1.8
