player_name,team_name,Total_Key passes,Long,Short
Asmir Begovic,Everton,0,0,0
Kevin De Bruyne,Manchester City,3.1,0.8,2.2
Stefan Ortega,Manchester City,0,0,0
Erling Haaland,Manchester City,0.9,0,0.9
Harry Kane,Tottenham,1.5,0.3,1.2
Bruno Fernandes,Manchester United,3.2,0.6,2.6
Gabriel Jesus,Arsenal,1.2,0,1.2
Kieran Trippier,Newcastle,2.9,1.7,1.2
Bukayo Saka,Arsenal,2,0.5,1.5
Solly March,Brighton,2,0.4,1.6
Jack Grealish,Manchester City,1.8,0.1,1.7
Martin Ødegaard,Arsenal,2.1,0.2,1.9
Rodri,Manchester City,0.9,0.1,0.8
Gabriel Martinelli,Arsenal,1.6,0.1,1.6
Ivan Toney,Brentford,0.8,0.1,0.8
Joelinton,Newcastle,0.8,0,0.8
James Maddison,Leicester,2.3,0.4,1.9
Rodrigo Bentancur,Tottenham,0.6,0.1,0.6
Bruno Guimarães,Newcastle,1.3,0.2,1.1
Casemiro,Manchester United,1,0.3,0.8
Mohamed Salah,Liverpool,1.7,0,1.7
Phil Foden,Manchester City,1.3,0.1,1.3
Ilkay Gündogan,Manchester City,1.2,0.1,1.1
Trent Alexander-Arnold,Liverpool,1.9,1,0.9
Ethan Pinnock,Brentford,0.3,0.1,0.2
Aleksandar Mitrovic,Fulham,0.7,0,0.6
Marcus Rashford,Manchester United,0.9,0,0.8
Reece James,Chelsea,1.3,0.1,1.2
Thomas Partey,Arsenal,0.8,0.2,0.6
Felipe,Nottingham Forest,0.4,0,0.4
Cody Gakpo,Liverpool,1.1,0,1
Alexander Isak,Newcastle,0.7,0,0.7
João Cancelo,Manchester City,0.7,0.1,0.6
Alexis Mac Allister,Brighton,1.3,0.3,1.1
Fabian Schär,Newcastle,0.5,0.1,0.4
Declan Rice,West Ham,1,0.3,0.7
Pierre-Emile Højbjerg,Tottenham,0.9,0.1,0.8
Eberechi Eze,Crystal Palace,1.5,0.3,1.2
Riyad Mahrez,Manchester City,1.7,0.4,1.3
Bryan Mbeumo,Brentford,1.3,0.3,1
Yerry Mina,Everton,0.1,0,0.1
Kaoru Mitoma,Brighton,1.2,0,1.2
Pascal Groß,Brighton,2.2,0.6,1.6
Michael Olise,Crystal Palace,1.9,0.8,1.2
Dwight McNeil,Everton,1.4,0.8,0.6
Willian,Fulham,1.9,0.5,1.4
Leandro Trossard,Brighton,1.4,0.1,1.3
Ben Mee,Brentford,0.2,0,0.2
Kenny Tete,Fulham,0.7,0.3,0.5
Granit Xhaka,Arsenal,1.3,0,1.3
Lucas Paquetá,West Ham,1.1,0.1,1
Martin Dúbravka,Newcastle,0,0,0
James Tarkowski,Everton,0.4,0,0.4
Luis Díaz,Liverpool,0.8,0,0.8
Ollie Watkins,Aston Villa,0.8,0,0.8
Diogo Dalot,Manchester United,1.1,0.2,1
Pedro Porro,Tottenham,1.7,0.5,1.1
Marcus Tavernier,Bournemouth,0.8,0.2,0.7
Rúben Neves,Wolves,0.9,0.3,0.7
James Ward-Prowse,Southampton,1.9,0.9,1.1
Thiago Silva,Chelsea,0.2,0.1,0.1
David Raya,Brentford,0.1,0.1,0
Son Heung-Min,Tottenham,1.7,0.2,1.5
N'Golo Kanté,Chelsea,1.9,0.1,1.7
Virgil van Dijk,Liverpool,0.2,0,0.2
João Palhinha,Fulham,0.2,0,0.2
Aaron Wan-Bissaka,Manchester United,0.8,0.1,0.7
Douglas Luiz,Aston Villa,1.2,0.2,1
Alisson Becker,Liverpool,0,0,0
Bernd Leno,Fulham,0,0,0
Callum Wilson,Newcastle,0.7,0,0.7
Moisés Caicedo,Brighton,1.2,0.1,1.1
Miguel Almirón,Newcastle,0.8,0,0.8
Benoît Badiashile,Chelsea,0.3,0.1,0.2
Wesley Fofana,Leicester,0,0,0
Christian Nørgaard,Brentford,0.5,0,0.5
Lewis Hall,Chelsea,1.6,0.6,1
Luke Shaw,Manchester United,1.1,0.3,0.8
Joe Willock,Newcastle,1.1,0,1.1
Emiliano Martínez,Aston Villa,0.1,0.1,0
Oleksandr Zinchenko,Arsenal,0.7,0,0.7
Jacob Ramsey,Aston Villa,1.2,0.1,1.1
Roberto Firmino,Liverpool,0.8,0,0.8
Sèrge Aurier,Nottingham Forest,0.4,0.1,0.3
Leandro Trossard,Arsenal,1.2,0.3,0.9
Gabriel Magalhães,Arsenal,0.1,0,0.1
Lisandro Martínez,Manchester United,0.2,0.1,0.1
Morgan Gibbs-White,Nottingham Forest,1.9,0.5,1.4
Kalidou Koulibaly,Chelsea,0.3,0.2,0.1
Jadon Sancho,Manchester United,1.7,0.1,1.6
Çaglar Söyüncü,Leicester,0.1,0,0.1
Philip Billing,Bournemouth,0.7,0.1,0.6
Antony,Manchester United,1.1,0.1,1
Michael Keane,Everton,0.3,0,0.3
Alex Iwobi,Everton,1.7,0.3,1.4
Thiago Alcântara,Liverpool,0.9,0.2,0.8
Wilfried Zaha,Crystal Palace,1,0,0.9
Mathias Jensen,Brentford,1.3,0.3,1
John McGinn,Aston Villa,0.5,0.1,0.4
Kepa,Chelsea,0,0,0
Jarrod Bowen,West Ham,1.3,0.3,1
Tomás Soucek,West Ham,0.4,0.1,0.4
Bernardo Silva,Manchester City,0.9,0,0.9
Allan Saint-Maximin,Newcastle,1.2,0,1.2
Noni Madueke,Chelsea,1.1,0.1,1
Jordan Ayew,Crystal Palace,0.8,0.1,0.7
Enzo Fernández,Chelsea,1.1,0.2,0.9
John Stones,Manchester City,0.3,0,0.3
Cristian Romero,Tottenham,0.3,0,0.3
