player_name,team_name,Total_Passes,AccLB,InAccLB,AccSP,InAccSP
Asmir Begovic,Everton,25,5,9,11,0
Kevin De Bruyne,Manchester City,42.4,2.5,1.2,31.8,7
Stefan Ortega,Manchester City,50.3,7.3,6,35.7,1.3
Erling Haaland,Manchester City,13.7,0.1,0,10.2,3.4
Harry Kane,Tottenham,22.4,1.9,1.1,14.3,5.2
Bruno Fernandes,Manchester United,50.1,3.1,2.3,35.8,8.9
Gabriel Jesus,Arsenal,25.9,0.6,0.5,20.5,4.3
Kieran Trippier,Newcastle,54.3,3.9,4.7,37.4,8.4
Bukayo Saka,Arsenal,32.5,0.9,0.5,25.4,5.7
Solly March,Brighton,33.4,2.1,1.1,24.1,6.1
Jack Grealish,Manchester City,35.3,0.8,0.3,30.1,4.1
Martin Ødegaard,Arsenal,45.6,1.5,0.8,36.8,6.5
Rodri,Manchester City,82.7,4.8,1.6,70.7,5.6
Gabriel Martinelli,Arsenal,27.1,1,0.4,21.4,4.4
Ivan Toney,Brentford,22.3,0.4,0.6,13.4,7.9
Joelinton,Newcastle,38.4,1.1,0.5,30.5,6.3
James Maddison,Leicester,33.8,1.7,1.4,25.1,5.5
Rodrigo Bentancur,Tottenham,47.6,1.3,1,39.3,6.1
Bruno Guimarães,Newcastle,51,3.2,2.1,40,5.8
Casemiro,Manchester United,50.4,3.4,2.7,36.2,8.1
Mohamed Salah,Liverpool,29.5,0.6,0.4,22.4,6
Phil Foden,Manchester City,31.3,0.8,0.5,26.3,3.8
Ilkay Gündogan,Manchester City,49.7,1.9,0.6,41.9,5.2
Trent Alexander-Arnold,Liverpool,62.4,5.2,5.5,43.9,7.8
Ethan Pinnock,Brentford,36.4,1.6,2.6,27.6,4.6
Aleksandar Mitrovic,Fulham,20.4,1,0.6,11.4,7.4
Marcus Rashford,Manchester United,22.3,0.8,0.5,16.7,4.3
Reece James,Chelsea,53.3,2.4,0.9,45.9,4.1
Thomas Partey,Arsenal,59,3.2,1.6,48.6,5.5
Felipe,Nottingham Forest,34.8,1.8,3.9,23.6,5.5
Cody Gakpo,Liverpool,17.7,0.3,0.2,13.5,3.6
Alexander Isak,Newcastle,16,0.7,0.1,11.8,3.5
João Cancelo,Manchester City,64.4,2.2,1.4,53.6,7.1
Alexis Mac Allister,Brighton,51.5,1.9,0.9,43.1,5.7
Fabian Schär,Newcastle,50.4,4.3,5.3,34.9,5.9
Declan Rice,West Ham,56.3,4.1,1.9,45.5,4.8
Pierre-Emile Højbjerg,Tottenham,64.5,4.5,2.2,52.6,5.2
Eberechi Eze,Crystal Palace,28.5,0.9,1,22.6,4.1
Riyad Mahrez,Manchester City,34.4,1.2,0.4,28.7,4.1
Bryan Mbeumo,Brentford,21.3,0.8,0.6,14.9,5.1
Yerry Mina,Everton,45.9,1.7,1.6,38.9,3.7
Kaoru Mitoma,Brighton,27.7,0.6,0.4,22.4,4.2
Pascal Groß,Brighton,54.8,2,2,45.1,5.6
Michael Olise,Crystal Palace,31.3,1.3,1,23.2,5.8
Dwight McNeil,Everton,21,1,1.3,15,3.6
Willian,Fulham,31.3,2,0.9,23.8,4.6
Leandro Trossard,Brighton,29.5,1.6,1,20.3,6.6
Ben Mee,Brentford,44.8,2.9,4,31.6,6.3
Kenny Tete,Fulham,35.9,1.5,1.8,25.8,6.8
Granit Xhaka,Arsenal,42.5,1.9,0.7,34.9,5
Lucas Paquetá,West Ham,40.2,1.6,0.6,30.6,7.4
Martin Dúbravka,Newcastle,20,3.5,2.5,14,0
James Tarkowski,Everton,42.6,3.2,3.6,31.4,4.4
Luis Díaz,Liverpool,26.2,1,0.1,20.7,4.5
Ollie Watkins,Aston Villa,14.9,0.1,0.1,10.3,4.4
Diogo Dalot,Manchester United,45.7,2.7,2.5,34.1,6.4
Pedro Porro,Tottenham,31.9,1,1.9,23,5.9
Marcus Tavernier,Bournemouth,25.9,0.8,1.1,19.2,4.7
Rúben Neves,Wolves,58.1,6.1,4.3,42.7,5
James Ward-Prowse,Southampton,50.5,1.7,2,41.4,5.4
Thiago Silva,Chelsea,75.2,4.3,3.4,64.4,3.2
David Raya,Brentford,38.8,10.8,14.8,12.8,0.4
Son Heung-Min,Tottenham,21.8,0.4,0.2,17.5,3.7
N'Golo Kanté,Chelsea,46.4,1.4,1.4,36.9,6.7
Virgil van Dijk,Liverpool,80.7,4.7,3.2,68.3,4.5
João Palhinha,Fulham,36.2,2.5,1.5,27.5,4.7
Aaron Wan-Bissaka,Manchester United,37.1,0.9,0.8,30.1,5.3
Douglas Luiz,Aston Villa,45.9,2.2,1.6,37.5,4.6
Alisson Becker,Liverpool,33.5,4.5,5.3,23.5,0.2
Bernd Leno,Fulham,33.5,4.4,7.8,21.1,0.1
Callum Wilson,Newcastle,7.6,0.1,0.2,5,2.3
Moisés Caicedo,Brighton,59.7,2.4,1.1,50.6,5.6
Miguel Almirón,Newcastle,27.4,0.4,0.3,22.8,4
Benoît Badiashile,Chelsea,77.7,3.5,2.5,66.2,5.5
Wesley Fofana,Leicester,69.5,1,3,57.5,8
Christian Nørgaard,Brentford,36,1.4,1.9,26.1,6.6
Lewis Hall,Chelsea,39.4,2.7,1.7,30.3,4.8
Luke Shaw,Manchester United,58.2,2,2,48.1,6.1
Joe Willock,Newcastle,25.4,1,0.6,20.6,3.2
Emiliano Martínez,Aston Villa,34.7,6.6,9.6,18.2,0.3
Oleksandr Zinchenko,Arsenal,63.6,2.3,1.4,53.5,6.4
Jacob Ramsey,Aston Villa,24.7,0.5,0.5,20.1,3.6
Roberto Firmino,Liverpool,21.8,0.3,0.2,17.2,4.2
Sèrge Aurier,Nottingham Forest,30.6,0.9,1.3,21.4,7
Leandro Trossard,Arsenal,19.5,0.8,0.4,15.6,2.7
Gabriel Magalhães,Arsenal,63.1,2.2,2.6,54.3,3.9
Lisandro Martínez,Manchester United,56.2,2.5,3.6,46.6,3.6
Morgan Gibbs-White,Nottingham Forest,25.6,1.1,1.3,16.5,6.6
Kalidou Koulibaly,Chelsea,63,2.9,3.6,52,4.5
Jadon Sancho,Manchester United,28.8,0.4,0.2,24.1,4.1
Çaglar Söyüncü,Leicester,43.7,2.6,4.4,31.9,4.9
Philip Billing,Bournemouth,28,0.7,1.1,21.5,4.7
Antony,Manchester United,31,0.7,0.4,24.8,5.1
Michael Keane,Everton,35.7,2.2,4.7,22.8,6
Alex Iwobi,Everton,36.6,1.9,1.8,26.9,5.9
Thiago Alcântara,Liverpool,60.3,5.2,1.7,47,6.4
Wilfried Zaha,Crystal Palace,22.4,0.3,0.3,17.9,3.9
Mathias Jensen,Brentford,32.9,3,2.8,21.9,5.2
John McGinn,Aston Villa,28.5,1.9,1.1,21.4,4.2
Kepa,Chelsea,30.9,4.1,5.7,20.8,0.3
Jarrod Bowen,West Ham,18.8,0.6,0.8,13.1,4.3
Tomás Soucek,West Ham,27.1,1.1,0.9,18.4,6.6
