player_name,team_name,UnsuccessfulTouches,Dispossessed
Asmir Begovic,Everton,0,0
Kevin De Bruyne,Manchester City,1.3,0.9
Stefan Ortega,Manchester City,0,0
Erling Haaland,Manchester City,1.5,0.7
Harry Kane,Tottenham,1.9,1.5
Bruno Fernandes,Manchester United,1.1,1.1
Gabriel Jesus,Arsenal,3.4,2.5
Kieran Trippier,Newcastle,0.7,0.2
Bukayo Saka,Arsenal,2.1,1.6
Solly March,Brighton,1.7,1
Jack Grealish,Manchester City,1.3,1
Martin Ødegaard,Arsenal,1.1,1.2
Rodri,Manchester City,0.6,0.5
Gabriel Martinelli,Arsenal,2.3,1.6
Ivan Toney,Brentford,3,1.4
Joelinton,Newcastle,2.3,1.6
James Maddison,Leicester,1.5,1
Rodrigo Bentancur,Tottenham,1.2,0.9
Bruno Guimarães,Newcastle,1.4,1.9
Casemiro,Manchester United,0.6,0.5
Mohamed Salah,Liverpool,2.9,2.1
Phil Foden,Manchester City,1.1,0.9
Ilkay Gündogan,Manchester City,0.9,0.9
Trent Alexander-Arnold,Liverpool,0.9,0.6
Ethan Pinnock,Brentford,0.2,0.2
Aleksandar Mitrovic,Fulham,2.7,2.4
Marcus Rashford,Manchester United,2.3,1.3
Reece James,Chelsea,0.8,0.9
Thomas Partey,Arsenal,1,0.6
Felipe,Nottingham Forest,0.8,0.3
Cody Gakpo,Liverpool,2,1.7
Alexander Isak,Newcastle,1.8,1.1
João Cancelo,Manchester City,1.1,0.8
Alexis Mac Allister,Brighton,1.3,1
Fabian Schär,Newcastle,0.6,0.2
Declan Rice,West Ham,0.8,0.7
Pierre-Emile Højbjerg,Tottenham,1.1,1
Eberechi Eze,Crystal Palace,1.9,1.4
Riyad Mahrez,Manchester City,1.2,0.9
Bryan Mbeumo,Brentford,1.9,1.4
Yerry Mina,Everton,0.6,0
Kaoru Mitoma,Brighton,1.8,1
Pascal Groß,Brighton,1.1,0.5
Michael Olise,Crystal Palace,2.3,1.3
Dwight McNeil,Everton,1.5,1.3
Willian,Fulham,1.6,0.9
Leandro Trossard,Brighton,2.4,1.6
Ben Mee,Brentford,0.5,0.1
Kenny Tete,Fulham,0.7,0.8
Granit Xhaka,Arsenal,0.9,0.7
Lucas Paquetá,West Ham,1.7,1.6
Martin Dúbravka,Newcastle,0,0
James Tarkowski,Everton,0.6,0.1
Luis Díaz,Liverpool,1.8,2.2
Ollie Watkins,Aston Villa,2.2,1.1
Diogo Dalot,Manchester United,0.7,0.2
Pedro Porro,Tottenham,1,0.5
Marcus Tavernier,Bournemouth,2,1.7
Rúben Neves,Wolves,0.6,0.4
James Ward-Prowse,Southampton,0.7,0.6
Thiago Silva,Chelsea,0.2,0
David Raya,Brentford,0,0
Son Heung-Min,Tottenham,1.8,1.5
N'Golo Kanté,Chelsea,1.9,0.7
Virgil van Dijk,Liverpool,0.2,0
João Palhinha,Fulham,1.1,0.8
Aaron Wan-Bissaka,Manchester United,0.7,0.5
Douglas Luiz,Aston Villa,1,0.9
Alisson Becker,Liverpool,0,0
Bernd Leno,Fulham,0,0
Callum Wilson,Newcastle,2.3,1.2
Moisés Caicedo,Brighton,1.1,0.6
Miguel Almirón,Newcastle,1.5,0.8
Benoît Badiashile,Chelsea,0.2,0.3
Wesley Fofana,Leicester,1.5,0
Christian Nørgaard,Brentford,0.6,0.5
Lewis Hall,Chelsea,1.8,0.8
Luke Shaw,Manchester United,0.8,0.3
Joe Willock,Newcastle,1.9,0.8
Emiliano Martínez,Aston Villa,0.1,0
Oleksandr Zinchenko,Arsenal,0.6,0.6
