player_name,team_name,Total_Shots,OutOfBox_Shots,SixYardBox_Shots,PenaltyArea_Shots
Asmir Begovic,Everton,0,0,0,0
Kevin De Bruyne,Manchester City,2,1.5,0,0.5
Stefan Ortega,Manchester City,0,0,0,0
Erling Haaland,Manchester City,3.5,0.2,0.6,2.7
Harry Kane,Tottenham,3.4,0.8,0.4,2.1
Bruno Fernandes,Manchester United,2.5,1.3,0.1,1.1
Gabriel Jesus,Arsenal,3,0.2,0.6,2.2
Kieran Trippier,Newcastle,0.4,0.3,0,0
Bukayo Saka,Arsenal,2.3,0.6,0.1,1.7
Solly March,Brighton,2.2,0.7,0.1,1.5
Jack Grealish,Manchester City,1.5,0.4,0.1,1
Martin Ødegaard,Arsenal,2.5,1.2,0.1,1.2
Rodri,Manchester City,1.4,0.5,0.1,0.7
Gabriel Martinelli,Arsenal,2.2,0.5,0.2,1.5
Ivan Toney,Brentford,2.8,0.7,0.5,1.6
Joelinton,Newcastle,1.6,0.4,0.2,1
James Maddison,Leicester,2.8,1.5,0,1.3
Rodrigo Bentancur,Tottenham,0.8,0.2,0.1,0.5
Bruno Guimarães,Newcastle,0.9,0.5,0.1,0.3
Casemiro,Manchester United,1.2,0.6,0.1,0.4
Mohamed Salah,Liverpool,3.3,0.6,0.2,2.5
Phil Foden,Manchester City,1.4,0.3,0.1,1
Ilkay Gündogan,Manchester City,1.7,0.7,0.1,0.9
Trent Alexander-Arnold,Liverpool,1.1,0.8,0,0.2
Ethan Pinnock,Brentford,0.5,0,0.2,0.3
Aleksandar Mitrovic,Fulham,3.9,0.5,0.4,3
Marcus Rashford,Manchester United,3.1,0.9,0.3,1.9
Reece James,Chelsea,1,0.6,0,0.4
Thomas Partey,Arsenal,0.8,0.5,0.1,0.2
Felipe,Nottingham Forest,0.8,0,0.3,0.6
Cody Gakpo,Liverpool,1.9,0.4,0.3,1.1
Alexander Isak,Newcastle,2.3,0.5,0.3,1.6
João Cancelo,Manchester City,1,0.5,0,0.5
Alexis Mac Allister,Brighton,2.5,1.5,0.2,0.8
Fabian Schär,Newcastle,1.6,0.4,0.3,0.8
Declan Rice,West Ham,1,0.8,0,0.2
Pierre-Emile Højbjerg,Tottenham,0.9,0.6,0,0.4
Eberechi Eze,Crystal Palace,1.9,1.1,0.1,0.7
Riyad Mahrez,Manchester City,1.4,0.5,0.1,0.8
Bryan Mbeumo,Brentford,1.9,0.4,0.2,1.2
Yerry Mina,Everton,1.1,0,0.6,0.6
Kaoru Mitoma,Brighton,1.6,0.2,0.3,1.1
Pascal Groß,Brighton,1.1,0.4,0.1,0.5
Michael Olise,Crystal Palace,1.4,0.8,0,0.5
Dwight McNeil,Everton,1.3,0.7,0,0.6
Willian,Fulham,1.5,0.6,0,1
Leandro Trossard,Brighton,2.4,0.3,0.1,1.9
Ben Mee,Brentford,0.8,0,0.2,0.6
Kenny Tete,Fulham,0.4,0.2,0.1,0.1
Granit Xhaka,Arsenal,1.1,0.4,0.2,0.5
Lucas Paquetá,West Ham,1.9,0.9,0.2,0.8
Martin Dúbravka,Newcastle,0,0,0,0
James Tarkowski,Everton,0.8,0,0.2,0.6
Luis Díaz,Liverpool,1.6,0.2,0.2,1.2
Ollie Watkins,Aston Villa,2.3,0.1,0.3,1.9
Diogo Dalot,Manchester United,0.8,0.5,0.1,0.3
Pedro Porro,Tottenham,1.7,0.8,0.1,0.9
Marcus Tavernier,Bournemouth,1.6,0.5,0,1
Rúben Neves,Wolves,1.9,1.5,0,0.4
James Ward-Prowse,Southampton,1.2,0.9,0,0.3
Thiago Silva,Chelsea,0.6,0.1,0.1,0.4
David Raya,Brentford,0,0,0,0
Son Heung-Min,Tottenham,2.3,0.9,0.1,1.2
N'Golo Kanté,Chelsea,1.1,0.7,0,0.4
Virgil van Dijk,Liverpool,0.9,0.1,0.1,0.8
João Palhinha,Fulham,1.1,0.4,0.1,0.5
Aaron Wan-Bissaka,Manchester United,0.5,0.1,0,0.4
Douglas Luiz,Aston Villa,0.9,0.7,0,0.2
Alisson Becker,Liverpool,0,0,0,0
Bernd Leno,Fulham,0,0,0,0
Callum Wilson,Newcastle,2.4,0.2,0.5,1.6
Moisés Caicedo,Brighton,0.8,0.6,0,0.1
Miguel Almirón,Newcastle,2,0.6,0.1,1.4
Benoît Badiashile,Chelsea,0.5,0,0.2,0.4
Wesley Fofana,Leicester,1,0,0,1
Christian Nørgaard,Brentford,0.9,0.1,0.2,0.5
Lewis Hall,Chelsea,1.2,0.1,0,1.1
Luke Shaw,Manchester United,0.5,0.3,0,0.2
Joe Willock,Newcastle,1.7,0.6,0.2,0.9
Emiliano Martínez,Aston Villa,0,0,0,0
Oleksandr Zinchenko,Arsenal,1,0.7,0,0.3
Jacob Ramsey,Aston Villa,0.9,0.3,0.1,0.6
Roberto Firmino,Liverpool,1.6,0.2,0.4,1
Sèrge Aurier,Nottingham Forest,0.4,0.2,0.1,0.1
Leandro Trossard,Arsenal,0.9,0.3,0.1,0.5
Gabriel Magalhães,Arsenal,0.8,0.2,0.2,0.5
Lisandro Martínez,Manchester United,0.4,0.1,0,0.3
Morgan Gibbs-White,Nottingham Forest,1.7,0.8,0,0.9
Kalidou Koulibaly,Chelsea,0.5,0,0,0.4
Jadon Sancho,Manchester United,0.8,0.1,0,0.7
Çaglar Söyüncü,Leicester,0.7,0,0,0.7
Philip Billing,Bournemouth,1.1,0.4,0.1,0.6
Antony,Manchester United,2.9,1.5,0.1,1.3
Michael Keane,Everton,1.2,0.1,0.3,0.8
Alex Iwobi,Everton,1.1,0.6,0,0.4
Thiago Alcântara,Liverpool,0.6,0.4,0,0.1
Wilfried Zaha,Crystal Palace,2.4,0.6,0.1,1.8
Mathias Jensen,Brentford,0.6,0.4,0,0.2
John McGinn,Aston Villa,1.2,0.9,0,0.4
Kepa,Chelsea,0,0,0,0
Jarrod Bowen,West Ham,2,0.5,0.2,1.3
Tomás Soucek,West Ham,0.9,0.1,0.2,0.7
Bernardo Silva,Manchester City,0.7,0.3,0,0.5
Allan Saint-Maximin,Newcastle,1.1,0.4,0,0.7
Noni Madueke,Chelsea,1,0.3,0.1,0.7
Jordan Ayew,Crystal Palace,0.8,0.2,0,0.6
Enzo Fernández,Chelsea,1.1,0.9,0,0.2
John Stones,Manchester City,0.5,0,0,0.4
Cristian Romero,Tottenham,0.4,0.1,0.1,0.3
Youri Tielemans,Leicester,1,0.9,0,0.1
Rúben Dias,Manchester City,0.4,0,0,0.3
Joachim Andersen,Crystal Palace,0.7,0.1,0.1,0.5
Hamed Traorè,Bournemouth,0.9,0.3,0,0.6
Darwin Núñez,Liverpool,2.9,0.6,0.3,2
Pervis Estupiñán,Brighton,0.8,0.3,0,0.5
Dominic Solanke,Bournemouth,2.3,0.3,0.3,1.7
Ibrahima Konaté,Liverpool,0.6,0,0.1,0.5
Mohammed Salisu,Southampton,0.9,0.1,0,0.8
Ben White,Arsenal,0.3,0.1,0,0.1
Andy Robertson,Liverpool,0.4,0,0,0.3
Julio Enciso,Brighton,1.9,0.9,0.1,0.9
Dejan Kulusevski,Tottenham,1.4,0.5,0,0.9
William Saliba,Arsenal,0.2,0,0.1,0.1
Emerson Royal,Tottenham,0.7,0.2,0,0.4
Dan Burn,Newcastle,0.6,0.1,0.1,0.4
Neto,Bournemouth,0,0,0,0
Vicente Guaita,Crystal Palace,0,0,0,0
Danny Welbeck,Brighton,2,0.5,0.3,1.2
Kai Havertz,Chelsea,2,0.2,0.3,1.5
Nathan Aké,Manchester City,0.3,0,0.1,0.2
Antonee Robinson,Fulham,0.1,0.1,0,0
