player_name,team_name,TotalTackles,DribbledPast,TotalAttemptedTackles
Asmir Begovic,Everton,0,0,0
Kevin De Bruyne,Manchester City,0.9,0.8,1.7
Stefan Ortega,Manchester City,0,0,0
Erling Haaland,Manchester City,0.1,0.1,0.2
Harry Kane,Tottenham,0.4,0.4,0.8
Bruno Fernandes,Manchester United,1.8,1.1,3
Gabriel Jesus,Arsenal,1.3,0.7,1.9
Kieran Trippier,Newcastle,1.9,1.2,3
Bukayo Saka,Arsenal,1.7,0.6,2.3
Solly March,Brighton,1.6,0.6,2.2
Jack Grealish,Manchester City,0.9,0.4,1.3
Martin Ødegaard,Arsenal,1,0.9,1.9
Rodri,Manchester City,1.9,0.8,2.6
Gabriel Martinelli,Arsenal,0.9,0.4,1.2
Ivan Toney,Brentford,0.7,0.5,1.2
Joelinton,Newcastle,2.2,1.1,3.3
James Maddison,Leicester,1.7,1,2.7
Rodrigo Bentancur,Tottenham,2.5,0.7,3.2
Bruno Guimarães,Newcastle,2.4,0.8,3.3
Casemiro,Manchester United,3.1,1.6,4.8
Mohamed Salah,Liverpool,0.6,0.4,1
Phil Foden,Manchester City,0.5,0.3,0.8
Ilkay Gündogan,Manchester City,1,0.7,1.7
Trent Alexander-Arnold,Liverpool,1.5,1,2.6
Ethan Pinnock,Brentford,1.7,0.2,1.9
Aleksandar Mitrovic,Fulham,0.6,0.3,0.9
Marcus Rashford,Manchester United,0.6,0.4,1
Reece James,Chelsea,1.9,0.3,2.2
Thomas Partey,Arsenal,2.1,0.8,2.9
Felipe,Nottingham Forest,2.6,1.1,3.7
Cody Gakpo,Liverpool,1.2,1.2,2.4
Alexander Isak,Newcastle,0.8,0.8,1.6
João Cancelo,Manchester City,1.7,0.5,2.2
Alexis Mac Allister,Brighton,2,1.1,3.1
Fabian Schär,Newcastle,1.3,0.4,1.7
Declan Rice,West Ham,2.1,0.5,2.6
Pierre-Emile Højbjerg,Tottenham,1.6,1.2,2.8
Eberechi Eze,Crystal Palace,1.1,0.5,1.6
Riyad Mahrez,Manchester City,1,0.9,1.9
Bryan Mbeumo,Brentford,0.7,0.9,1.6
Yerry Mina,Everton,2.1,0.3,2.4
Kaoru Mitoma,Brighton,1.3,0.6,2
Pascal Groß,Brighton,1.6,0.8,2.4
Michael Olise,Crystal Palace,1.6,0.9,2.5
Dwight McNeil,Everton,1.8,1.1,2.8
Willian,Fulham,0.5,0.7,1.1
Leandro Trossard,Brighton,0.6,0.4,1.1
Ben Mee,Brentford,1.2,0.5,1.7
Kenny Tete,Fulham,2.7,0.4,3.1
Granit Xhaka,Arsenal,0.9,0.7,1.6
