,team_name,P,W,D,L,GF,GA,GD,Pts,Goals,Shots pg,Yellow,Red,Poss%,Pass%,A_Won,Rating
0,Manchester City,38,28,5,5,94,33,+61,89,94,15.8,44,1,65.2,89.2,11.6,6.90
1,Arsenal,38,26,6,6,88,43,+45,84,88,15.6,52,0,59.7,85.4,12.9,6.81
2,Manchester United,38,23,6,9,58,43,+15,75,58,15.6,78,2,53.8,82.3,12.3,6.77
3,Newcastle,38,19,14,5,68,33,+35,71,68,15,62,1,52.2,79.8,14.7,6.79
4,Liverpool,38,19,10,9,75,47,+28,67,75,15.9,57,1,60.6,84.2,12.7,6.75
5,Brighton,38,18,8,12,72,53,+19,62,72,16.1,59,0,60.5,85.9,11.7,6.72
6,Aston Villa,38,18,7,13,51,46,+5,61,51,11.3,80,1,49.2,81.1,11.7,6.64
7,Tottenham,38,18,6,14,70,63,+7,60,70,13.6,75,3,49.8,83.4,14.6,6.71
8,Brentford,38,15,14,9,58,46,+12,59,58,10.7,55,1,43.3,74.8,17.6,6.66
9,Fulham,38,15,7,16,55,53,+2,52,55,11.3,80,1,48.6,80.0,13.5,6.61
10,Crystal Palace,38,11,12,15,40,49,-9,45,40,11.2,79,3,45.8,79.3,13.1,6.61
11,Chelsea,38,11,11,16,38,47,-9,44,38,12.7,77,3,58.8,85.8,13.1,6.62
12,Wolves,38,11,8,19,31,58,-27,41,31,10.8,84,6,50.1,81.3,12.3,6.51
13,West Ham,38,11,7,20,42,55,-13,40,42,12.5,44,0,41.4,78.2,16.4,6.60
14,Bournemouth,38,11,6,21,37,71,-34,39,37,9.4,69,0,40.0,77.5,13.8,6.53
15,Nottingham Forest,38,9,11,18,38,68,-30,38,38,9.7,84,0,37.2,72.3,14.8,6.49
16,Everton,38,8,12,18,34,57,-23,36,34,11.3,79,2,42.5,77.0,15.3,6.62
17,Leicester,38,9,7,22,51,68,-17,34,51,11,59,2,47.7,80.3,13.5,6.57
18,Leeds,38,7,10,21,48,78,-30,31,48,12.2,84,3,46.3,74.9,15.5,6.50
19,Southampton,38,6,7,25,36,73,-37,25,36,11,73,0,44.1,77.3,14.6,6.50
