player_name,team_name,Total_Aerial,Won,Lost
Armand Laurienté,Lorient,0.7,0.3,0.3
Lionel Messi,Paris Saint-Germain,0.1,0,0.1
Kylian Mbappé,Paris Saint-Germain,0.4,0.2,0.1
Martin Terrier,Rennes,6.3,3.9,2.3
Neymar,Paris Saint-Germain,0.2,0.1,0.1
Sofiane Diop,Monaco,2,2,0
Dango Ouattara,Lorient,4.4,2.2,2.2
Alexandre Lacazette,Lyon,2.1,0.8,1.3
Rémy Cabella,Lille,0.8,0.3,0.5
Lucas Paquetá,Lyon,2.5,2,0.5
Téji Savanier,Montpellier,1.2,0.4,0.7
Enzo Le Fée,Lorient,1.1,0.3,0.7
Romain Faivre,Lorient,0.6,0,0.6
Terem Moffi,Nice,2.9,1.2,1.7
Joaquín Blázquez,Brest,0,0,0
Jonathan David,Lille,2.2,0.4,1.7
Benjamin André,Lille,4.5,2.7,1.8
Benjamin Lecomte,Montpellier,0.4,0.3,0.1
Benjamin Bourigeaud,Rennes,1.2,0.3,0.9
Issiaga Sylla,Montpellier,2.9,1.8,1.1
Florian Sotoca,Lens,2.7,1.5,1.2
Amine Gouiri,Rennes,2.4,0.9,1.5
Gaëtan Laborde,Nice,3.2,1.5,1.7
Aleksandr Golovin,Monaco,1.3,0.5,0.8
Seko Fofana,Lens,1.1,0.6,0.5
Kiki Kouyaté,Montpellier,4.6,2.9,1.7
Ghjuvanni Quilichini,AC Ajaccio,0,0,0
Andrei Girotto,Nantes,3.3,2.2,1.2
Edon Zhegrova,Lille,0.3,0,0.3
Donovan Léon,Auxerre,0.5,0.5,0
Branco van den Boomen,Toulouse,0.5,0.2,0.3
Jérémy Doku,Rennes,0.4,0.1,0.3
Jean-Ricner Bellegarde,Strasbourg,1.7,0.7,1
Steve Mounié,Brest,11.2,6.6,4.7
Wissam Ben Yedder,Monaco,1.3,0.5,0.8
Fabien Centonze,Nantes,2.3,1.4,0.8
Nathan Ngoumou,Toulouse,1,1,0
Sofiane Boufal,Angers,0.8,0.1,0.7
Nuno Mendes,Paris Saint-Germain,0.7,0.4,0.3
Maxence Caqueret,Lyon,1,0.4,0.6
Alexis Sánchez,Marseille,3,1,2
Habib Diallo,Strasbourg,7.9,3.6,4.3
Nabil Bentaleb,Angers,1.6,1,0.6
Przemyslaw Frankowski,Lens,0.9,0.3,0.6
Ludovic Blas,Nantes,1.4,0.5,0.9
Terem Moffi,Lorient,3.3,0.7,2.6
Valentin Rongier,Marseille,2,1.2,0.8
Franck Honorat,Brest,1.5,0.4,1.1
Loïs Openda,Lens,0.9,0.3,0.6
Rayan Cherki,Lyon,0.4,0.1,0.3
Pierre Lees-Melou,Brest,0.9,0.6,0.3
Hicham Boudaoui,Nice,0.8,0.3,0.4
Nicolas Pépé,Nice,1.1,0.4,0.7
Jonathan Clauss,Marseille,0.8,0.3,0.5
Jonathan Gradit,Lens,2.8,1.5,1.4
Dante,Nice,2.8,2,0.8
Yunis Abdelhamid,Reims,3.9,2.5,1.4
Rasmus Nicolaisen,Toulouse,4.6,3.4,1.2
Achraf Hakimi,Paris Saint-Germain,0.5,0.3,0.3
Yehvann Diouf,Reims,0.6,0.5,0
Kevin Danso,Lens,3.2,2.3,0.9
Bradley Barcola,Lyon,1.8,0.6,1.2
Marco Verratti,Paris Saint-Germain,0.8,0.4,0.4
Vanderson,Monaco,1.7,0.9,0.9
Kenny Lala,Brest,1.3,0.5,0.8
Tetê,Lyon,0.9,0.2,0.7
Adrien Thomasson,Lens,1.5,0.6,0.9
Alexander Djiku,Strasbourg,4.2,3,1.2
Caio Henrique,Monaco,1.2,0.5,0.8
Karl Toko-Ekambi,Lyon,2.5,0.8,1.7
Jonathan Bamba,Lille,1.6,0.6,1
Dejan Lovren,Lyon,4,2.8,1.2
Neto Borges,Clermont Foot,1.8,1.1,0.7
Khéphren Thuram,Nice,1,0.5,0.5
Folarin Balogun,Reims,1.9,0.4,1.5
Azor Matusiwa,Reims,2.2,1.1,1.2
Mateusz Lis,Troyes,0.1,0.1,0
Youssouf Fofana,Monaco,1.2,0.6,0.5
Fabián Ruiz,Paris Saint-Germain,0.4,0.2,0.3
Junya Ito,Reims,1.6,0.8,0.7
Romain Del Castillo,Brest,1.6,0.7,0.9
Gianluigi Donnarumma,Paris Saint-Germain,0.3,0.3,0
Marshall Munetsi,Reims,3.2,1.7,1.5
Youcef Belaïli,AC Ajaccio,0.9,0.4,0.5
Paul Joly,Auxerre,1.7,0.6,1.1
Cengiz Ünder,Marseille,0.8,0.3,0.5
Elye Wahi,Montpellier,3,0.6,2.4
Rony Lopes,Troyes,1.4,0.6,0.8
Nicolás Tagliafico,Lyon,2.4,1.3,1.1
Malo Gusto,Lyon,1.1,0.4,0.7
Benoît Badiashile,Monaco,2.6,1.9,0.7
Gaëtan Laborde,Rennes,3.8,1.5,2.3
Morgan Sanson,Strasbourg,1.5,0.8,0.7
Nuno Tavares,Marseille,1.7,0.7,1
Jordan Veretout,Marseille,1.2,0.5,0.7
Baptiste Santamaría,Rennes,4,2.4,1.6
Rafael Ratão,Toulouse,0.8,0.3,0.4
Frédéric Guilbert,Strasbourg,2.9,1.6,1.3
Axel Disasi,Monaco,3.6,2.6,1.1
Samuel Gigot,Marseille,2.8,2.2,0.7
Breel Embolo,Monaco,2.6,1.1,1.5
Adrien Truffert,Rennes,2.1,1.2,0.9
Ismaily,Lille,2.5,1.6,1
Corentin Tolisso,Lyon,2,1.2,0.8
Jaouen Hadjam,Nantes,1.5,0.5,0.9
Alexis Flips,Reims,1.4,0.4,1
Mory Diaw,Clermont Foot,0.1,0.1,0
Nathan Zézé,Nantes,2,1,1
Hamari Traoré,Rennes,2.2,1.1,1.1
Djed Spence,Rennes,0.6,0.5,0.1
Sergio Ramos,Paris Saint-Germain,2.7,1.7,1
Jordan Lotomba,Nice,1.4,0.8,0.7
Chancel Mbemba,Marseille,3,2,1
Angelo Fulgini,Lens,1.1,0.2,0.8
Stijn Spierings,Toulouse,1.1,0.6,0.6
Pau López,Marseille,0.3,0.3,0.1
Alban Lafont,Nantes,0.2,0.2,0
Luis Suárez,Marseille,3.3,0.9,2.4
Florian Tardieu,Troyes,1,0.5,0.5
Mikkel Desler,Toulouse,1.2,0.9,0.3
Facundo Medina,Lens,2.5,1.2,1.3
Maxime Dupé,Toulouse,0.3,0.3,0
Adam Ounas,Lille,0.7,0.2,0.5
Brendan Chardonnet,Brest,4.5,3.1,1.4
Montassar Talbi,Lorient,3.7,2.4,1.3
Andrei Radu,Auxerre,0.2,0.2,0
Johan Gastien,Clermont Foot,0.6,0.3,0.3
Alexsandro Ribeiro,Lille,2.9,1.5,1.4
Salis Abdul Samed,Lens,0.9,0.4,0.5
Emmanuel Agbadou,Reims,3.3,2.1,1.2
Kasper Schmeichel,Nice,0.1,0.1,0
Jean-Clair Todibo,Nice,2,1.1,0.9
Mohamed Camara,Monaco,0.9,0.5,0.4
Krépin Diatta,Monaco,2.6,1.3,1.3
Himad Abdelli,Angers,1.4,0.6,0.8
Rominigue Kouamé,Troyes,1.4,0.7,0.7
Brice Samba,Lens,0.3,0.2,0.1
Arnaud Nordin,Montpellier,2.2,0.6,1.6
Danilo Pereira,Paris Saint-Germain,1.7,1,0.7
Guillermo Maripán,Monaco,3.4,1.8,1.6
Nordi Mukiele,Paris Saint-Germain,1.6,1.1,0.5
Youcef Atal,Nice,0.9,0.5,0.4
Melvin Bard,Nice,1.7,1,0.7
Sinaly Diomandé,Lyon,3.4,2.3,1
Alidu Seidu,Clermont Foot,1.3,0.9,0.3
Faitout Maouassa,Montpellier,0.8,0.4,0.4
Jimmy Cabot,Lens,0.5,0.3,0.3
Sead Kolasinac,Marseille,2.3,1.2,1.1
Vitinha,Paris Saint-Germain,0.3,0.1,0.1
Christopher Jullien,Montpellier,4.2,2.9,1.3
Saîf-Eddine Khaoui,Clermont Foot,0.7,0.4,0.4
Jérémy Le Douaron,Brest,4.2,1.9,2.3
Azzedine Ounahi,Angers,1.1,0.3,0.8
Castello Lukeba,Lyon,1.9,1.1,0.9
Mama Baldé,Troyes,3.5,1.3,2.3
Gideon Mensah,Auxerre,1.6,0.8,0.8
Ante Palaversa,Troyes,0,0,0
Sofiane Diop,Nice,0.8,0.5,0.3
Jubal,Auxerre,3.6,2.1,1.5
Leonardo Balerdi,Marseille,3.2,2,1.2
Quentin Merlin,Nantes,1.3,0.7,0.6
Badredine Bouanani,Nice,0.4,0.1,0.4
Lovro Majer,Rennes,0.5,0.2,0.3
Laurent Abergel,Lorient,0.8,0.3,0.5
Deiver Machado,Lens,1.4,0.5,0.9
Warmed Omari,Rennes,3.5,2.3,1.2
Marquinhos,Paris Saint-Germain,1.9,1.1,0.8
Théo Sainte-Luce,Montpellier,1.9,0.7,1.2
Lucien Agoumé,Troyes,3.3,2.1,1.3
Désiré Doué,Rennes,0.9,0.4,0.5
Vito Mannone,Lorient,0.2,0.2,0
Mario Lemina,Nice,0.6,0.4,0.3
Angel Gomes,Lille,1.1,0.3,0.8
Arthur Theate,Rennes,3.1,2,1.1
André Gomes,Lille,1.2,0.7,0.5
Steve Mandanda,Rennes,0.2,0.2,0
Marco Bizot,Brest,0.2,0.1,0
Zakaria Aboukhlal,Toulouse,1.2,0.3,0.8
Farès Chaïbi,Toulouse,2.3,0.9,1.4
Jean-Charles Castelletto,Nantes,3.8,2.4,1.3
Aaron Ramsey,Nice,0.7,0.2,0.4
Tiago Djaló,Lille,2.4,1.1,1.2
Gédéon Kalulu,Lorient,1.8,1,0.9
Han-Noah Massengo,Auxerre,1.6,0.4,1.1
Nuno da Costa,Auxerre,3.4,1.4,2.1
Anthony Lopes,Lyon,0.1,0.1,0
Andy Delort,Nice,3.9,2,1.9
Jeffinho,Lyon,1,0.3,0.7
Alexander Nübel,Monaco,0.2,0.2,0
Jonas Omlin,Montpellier,0.2,0.2,0
Karl Toko-Ekambi,Rennes,2.6,1.1,1.5
Youssouf Ndayishimiye,Nice,1.1,0.5,0.6
Joris Chotard,Montpellier,0.9,0.4,0.6
Bamo Meïté,Lorient,3.6,1.7,1.9
Nicolas Pallois,Nantes,2.3,1.3,1
Dimitri Payet,Marseille,0.4,0.2,0.2
Bafodé Diakité,Lille,2.5,1.2,1.3
Chrislain Matsima,Monaco,2.5,2.1,0.4
Jeanuël Belocian,Rennes,1.1,0.9,0.3
Quentin Bernard,Auxerre,1.6,0.4,1.1
Lilian Brassier,Brest,2.8,1.7,1.1
Anthony Rouault,Toulouse,4.1,2.4,1.7
Maximiliano Caufriez,Clermont Foot,1.3,0.8,0.6
Cheick Keita,Reims,2.3,1,1.3
Maxime Le Marchand,Strasbourg,3.4,2.3,1.1
Issiaga Sylla,Toulouse,1.6,0.7,0.9
Grejohn Kyei,Clermont Foot,3.1,1.3,1.8
Thijs Dallinga,Toulouse,3.5,1.6,1.9
Ruslan Malinovskyi,Marseille,2,0.8,1.3
Ismaël Doukouré,Strasbourg,2.4,1.1,1.3
Joe Rodon,Rennes,4.6,2.8,1.9
Mostafa Mohamed,Nantes,4.6,2.1,2.4
Julien Laporte,Lorient,2.7,1.6,1.1
Eliesse Ben Seghir,Monaco,1.4,0.5,0.9
Gabriel Suazo,Toulouse,1,0.5,0.5
Vincent Le Goff,Lorient,1.6,0.8,0.8
Mahdi Camara,Brest,1.4,0.6,0.8
Mattéo Guendouzi,Marseille,1.6,0.7,0.9
Hamza Sakhi,Auxerre,0.3,0.2,0.1
Lucas Chevalier,Lille,0.1,0.1,0
Flavien Tait,Rennes,0.6,0.2,0.3
Arnaud Kalimuendo,Rennes,2.6,0.4,2.2
Christopher Wooh,Rennes,2.6,1.7,0.9
Xavier Chavalerin,Troyes,0.9,0.5,0.4
