player_name,team_name,ShotsBlocked,CrossesBlocked,PassesBlocked
Armand Laurienté,Lorient,0.3,0.3,1.3
Lionel Messi,Paris Saint-Germain,0,0,0.3
Kylian Mbappé,Paris Saint-Germain,0,0,0.1
Martin Terrier,Rennes,0.1,0.1,0.8
Neymar,Paris Saint-Germain,0.1,0,0.3
Sofiane Diop,Monaco,0,0,0
Dango Ouattara,Lorient,0.3,0.2,1
Alexandre Lacazette,Lyon,0.1,0,0.6
Rémy Cabella,Lille,0.2,0,1.1
Lucas Paquetá,Lyon,0,0,1
Téji Savanier,Montpellier,0.1,0,0.9
Enzo Le Fée,Lorient,0.1,0.2,1.3
Romain Faivre,Lorient,0,0.1,0.7
Terem Moffi,Nice,0,0,0.2
Joaquín Blázquez,Brest,0,0,0
Jonathan David,Lille,0.1,0,0.5
Benjamin André,Lille,0.2,0.1,1.2
Benjamin Lecomte,Montpellier,0,0,0
Benjamin Bourigeaud,Rennes,0.1,0.1,0.9
Issiaga Sylla,Montpellier,0.2,0.5,1.1
Florian Sotoca,Lens,0.1,0.1,1
Amine Gouiri,Rennes,0,0,0.6
Gaëtan Laborde,Nice,0.1,0,0.8
Aleksandr Golovin,Monaco,0,0.1,0.8
Seko Fofana,Lens,0.1,0,0.4
Kiki Kouyaté,Montpellier,0.9,0.1,0.7
Ghjuvanni Quilichini,AC Ajaccio,0,0,0
Andrei Girotto,Nantes,0.7,0.1,0.9
Edon Zhegrova,Lille,0,0,0.4
Donovan Léon,Auxerre,0,0,0
Branco van den Boomen,Toulouse,0.1,0.1,0.7
Jérémy Doku,Rennes,0,0,0.3
Jean-Ricner Bellegarde,Strasbourg,0.1,0.2,0.8
Steve Mounié,Brest,0.3,0,0.5
Wissam Ben Yedder,Monaco,0,0,0.5
Fabien Centonze,Nantes,0.3,0.1,0.7
Nathan Ngoumou,Toulouse,0,0,2
Sofiane Boufal,Angers,0,0,0.5
Nuno Mendes,Paris Saint-Germain,0.1,0.1,0.7
Maxence Caqueret,Lyon,0.1,0,1.2
Alexis Sánchez,Marseille,0,0,0.4
Habib Diallo,Strasbourg,0.1,0,0.4
Nabil Bentaleb,Angers,0.4,0,0.7
Przemyslaw Frankowski,Lens,0.2,0.2,0.9
Ludovic Blas,Nantes,0,0.1,0.7
Terem Moffi,Lorient,0.2,0.1,0.4
Valentin Rongier,Marseille,0.3,0.1,1.1
Franck Honorat,Brest,0.1,0.1,0.6
Loïs Openda,Lens,0,0,0.2
Rayan Cherki,Lyon,0,0,0.2
Pierre Lees-Melou,Brest,0.4,0.1,1.1
Hicham Boudaoui,Nice,0.2,0,1.1
Nicolas Pépé,Nice,0,0,0.9
Jonathan Clauss,Marseille,0.1,0.1,0.7
Jonathan Gradit,Lens,0.8,0,0.4
Dante,Nice,0.8,0.1,0.5
Yunis Abdelhamid,Reims,0.7,0.1,1
Rasmus Nicolaisen,Toulouse,1.3,0,0.4
Achraf Hakimi,Paris Saint-Germain,0.1,0.1,1.1
Yehvann Diouf,Reims,0,0,0
Kevin Danso,Lens,0.9,0,0.4
Bradley Barcola,Lyon,0,0,1.1
Marco Verratti,Paris Saint-Germain,0.2,0,1.2
Vanderson,Monaco,0.3,0.1,0.9
Kenny Lala,Brest,0.3,0.3,0.6
Tetê,Lyon,0,0.1,0.5
Adrien Thomasson,Lens,0.1,0.1,1.2
Alexander Djiku,Strasbourg,0.6,0.1,0.8
Caio Henrique,Monaco,0.2,0.5,0.6
Karl Toko-Ekambi,Lyon,0.1,0,0.5
Jonathan Bamba,Lille,0,0.1,1
Dejan Lovren,Lyon,0.6,0.4,0.6
Neto Borges,Clermont Foot,0.3,0.4,1
Khéphren Thuram,Nice,0.4,0.1,0.6
Folarin Balogun,Reims,0,0,0.5
Azor Matusiwa,Reims,0.4,0.1,0.9
Mateusz Lis,Troyes,0,0,0.1
Youssouf Fofana,Monaco,0.2,0,1.2
Fabián Ruiz,Paris Saint-Germain,0,0,0.9
Junya Ito,Reims,0,0,0.8
Romain Del Castillo,Brest,0,0,0.5
Gianluigi Donnarumma,Paris Saint-Germain,0,0,0
Marshall Munetsi,Reims,0.3,0.1,0.8
Youcef Belaïli,AC Ajaccio,0.1,0.1,0.5
Paul Joly,Auxerre,0.2,0.9,1.1
Cengiz Ünder,Marseille,0.1,0,0.4
Elye Wahi,Montpellier,0.1,0.1,0.4
Rony Lopes,Troyes,0.1,0,0.4
Nicolás Tagliafico,Lyon,0.3,0.1,1
Malo Gusto,Lyon,0.2,0.4,0.8
