player_name,team_name,Yellow,Red
Armand Laurienté,Lorient,0,0
Lionel Messi,Paris Saint-Germain,0,0
Kylian Mbappé,Paris Saint-Germain,0.2,0
Martin Terrier,Rennes,0,0
Neymar,Paris Saint-Germain,0.2,0.1
Sofiane Diop,Monaco,0,0
Dango Ouattara,Lorient,0.1,0.1
Alexandre Lacazette,Lyon,0.1,0
Rémy Cabella,Lille,0.1,0
Lucas Paquetá,Lyon,0,0
Téji Savanier,Montpellier,0.1,0.1
Enzo Le Fée,Lorient,0.1,0
Romain Faivre,Lorient,0,0
Terem Moffi,Nice,0.1,0
Joaquín Blázquez,Brest,0,0
Jonathan David,Lille,0.2,0
Benjamin André,Lille,0.4,0
Benjamin Lecomte,Montpellier,0,0
Benjamin Bourigeaud,Rennes,0.1,0
Issiaga Sylla,Montpellier,0,0
Florian Sotoca,Lens,0.1,0
Amine Gouiri,Rennes,0.1,0
Gaëtan Laborde,Nice,0,0
Aleksandr Golovin,Monaco,0.1,0
Seko Fofana,Lens,0.1,0
Kiki Kouyaté,Montpellier,0.3,0
Ghjuvanni Quilichini,AC Ajaccio,0,0
Andrei Girotto,Nantes,0.2,0
Edon Zhegrova,Lille,0,0
Donovan Léon,Auxerre,0,0
Branco van den Boomen,Toulouse,0.2,0
Jérémy Doku,Rennes,0,0
Jean-Ricner Bellegarde,Strasbourg,0.2,0
Steve Mounié,Brest,0.1,0
Wissam Ben Yedder,Monaco,0.1,0
Fabien Centonze,Nantes,0.2,0
Nathan Ngoumou,Toulouse,0,0
Sofiane Boufal,Angers,0.1,0.1
Nuno Mendes,Paris Saint-Germain,0.1,0
Maxence Caqueret,Lyon,0.1,0
Alexis Sánchez,Marseille,0.1,0
Habib Diallo,Strasbourg,0.1,0
Nabil Bentaleb,Angers,0.2,0
Przemyslaw Frankowski,Lens,0.1,0
Ludovic Blas,Nantes,0.2,0
Terem Moffi,Lorient,0.1,0
Valentin Rongier,Marseille,0.2,0
Franck Honorat,Brest,0,0
Loïs Openda,Lens,0.1,0
Rayan Cherki,Lyon,0.1,0
Pierre Lees-Melou,Brest,0.3,0
Hicham Boudaoui,Nice,0.2,0
Nicolas Pépé,Nice,0.1,0
Jonathan Clauss,Marseille,0,0
Jonathan Gradit,Lens,0.2,0
Dante,Nice,0.2,0
Yunis Abdelhamid,Reims,0.2,0
Rasmus Nicolaisen,Toulouse,0.1,0
Achraf Hakimi,Paris Saint-Germain,0.2,0.1
Yehvann Diouf,Reims,0.1,0
Kevin Danso,Lens,0.2,0
Bradley Barcola,Lyon,0.1,0
Marco Verratti,Paris Saint-Germain,0.3,0
Vanderson,Monaco,0.1,0
Kenny Lala,Brest,0.2,0
Tetê,Lyon,0.2,0
Adrien Thomasson,Lens,0.1,0
Alexander Djiku,Strasbourg,0.3,0
Caio Henrique,Monaco,0.1,0
Karl Toko-Ekambi,Lyon,0.1,0
Jonathan Bamba,Lille,0.2,0
Dejan Lovren,Lyon,0.1,0
Neto Borges,Clermont Foot,0.1,0.1
Khéphren Thuram,Nice,0.1,0
Folarin Balogun,Reims,0.1,0
Azor Matusiwa,Reims,0.1,0
Mateusz Lis,Troyes,0.1,0
Youssouf Fofana,Monaco,0,0.1
Fabián Ruiz,Paris Saint-Germain,0,0
Junya Ito,Reims,0.1,0
Romain Del Castillo,Brest,0.1,0
Gianluigi Donnarumma,Paris Saint-Germain,0.1,0
Marshall Munetsi,Reims,0.2,0
Youcef Belaïli,AC Ajaccio,0.1,0
Paul Joly,Auxerre,0.2,0
Cengiz Ünder,Marseille,0.1,0
Elye Wahi,Montpellier,0.2,0
Rony Lopes,Troyes,0.1,0
Nicolás Tagliafico,Lyon,0.1,0
Malo Gusto,Lyon,0,0
Benoît Badiashile,Monaco,0.3,0
Gaëtan Laborde,Rennes,0,0
Morgan Sanson,Strasbourg,0.1,0
Nuno Tavares,Marseille,0.2,0
Jordan Veretout,Marseille,0.1,0
Baptiste Santamaría,Rennes,0.1,0
Rafael Ratão,Toulouse,0.1,0
Frédéric Guilbert,Strasbourg,0.2,0
Axel Disasi,Monaco,0.1,0
Samuel Gigot,Marseille,0.1,0.1
Breel Embolo,Monaco,0.1,0
Adrien Truffert,Rennes,0.1,0
Ismaily,Lille,0,0
