player_name,team_name,Total_Clearances
Armand Laurienté,Lorient,0
Lionel Messi,Paris Saint-Germain,0
Kylian Mbappé,Paris Saint-Germain,0.1
Martin Terrier,Rennes,0.3
Neymar,Paris Saint-Germain,0.1
Sofiane Diop,Monaco,0
Dango Ouattara,Lorient,0.9
Alexandre Lacazette,Lyon,0.1
Rémy Cabella,Lille,0.2
Lucas Paquetá,Lyon,1.5
Téji Savanier,Montpellier,0.4
Enzo Le Fée,Lorient,0.9
Romain Faivre,Lorient,0.2
Terem Moffi,Nice,0.3
Joaquín Blázquez,Brest,2
Jonathan David,Lille,0.3
Benjamin André,Lille,1.6
Benjamin Lecomte,Montpellier,0.8
Benjamin Bourigeaud,Rennes,0.7
Issiaga Sylla,Montpellier,1.8
Florian Sotoca,Lens,1.3
Amine Gouiri,Rennes,0.3
Gaëtan Laborde,Nice,0.4
Aleksandr Golovin,Monaco,0.2
Seko Fofana,Lens,0.4
Kiki Kouyaté,Montpellier,4.7
Ghjuvanni Quilichini,AC Ajaccio,1
Andrei Girotto,Nantes,4.8
Edon Zhegrova,Lille,0
Donovan Léon,Auxerre,1
Branco van den Boomen,Toulouse,0.7
Jérémy Doku,Rennes,0.1
Jean-Ricner Bellegarde,Strasbourg,0.6
Steve Mounié,Brest,0.9
Wissam Ben Yedder,Monaco,0
Fabien Centonze,Nantes,2.3
Nathan Ngoumou,Toulouse,0
Sofiane Boufal,Angers,0.1
Nuno Mendes,Paris Saint-Germain,0.7
Maxence Caqueret,Lyon,0.8
Alexis Sánchez,Marseille,0.2
Habib Diallo,Strasbourg,0.7
Nabil Bentaleb,Angers,0.9
Przemyslaw Frankowski,Lens,0.9
Ludovic Blas,Nantes,0.2
Terem Moffi,Lorient,0.4
Valentin Rongier,Marseille,0.9
Franck Honorat,Brest,0.5
Loïs Openda,Lens,0.2
Rayan Cherki,Lyon,0
Pierre Lees-Melou,Brest,1.3
Hicham Boudaoui,Nice,0.6
Nicolas Pépé,Nice,0.1
Jonathan Clauss,Marseille,1.1
Jonathan Gradit,Lens,2.5
Dante,Nice,3.3
Yunis Abdelhamid,Reims,3.1
Rasmus Nicolaisen,Toulouse,4.4
Achraf Hakimi,Paris Saint-Germain,0.5
Yehvann Diouf,Reims,0.7
Kevin Danso,Lens,3.3
Bradley Barcola,Lyon,0.3
Marco Verratti,Paris Saint-Germain,0.4
Vanderson,Monaco,1
Kenny Lala,Brest,1.4
Tetê,Lyon,0.1
Adrien Thomasson,Lens,0.8
Alexander Djiku,Strasbourg,4.8
Caio Henrique,Monaco,1.5
Karl Toko-Ekambi,Lyon,0.3
Jonathan Bamba,Lille,0.4
Dejan Lovren,Lyon,3.8
Neto Borges,Clermont Foot,1.5
Khéphren Thuram,Nice,0.9
Folarin Balogun,Reims,0.4
Azor Matusiwa,Reims,1.6
Mateusz Lis,Troyes,0.8
Youssouf Fofana,Monaco,0.9
Fabián Ruiz,Paris Saint-Germain,0.8
Junya Ito,Reims,0.1
Romain Del Castillo,Brest,0.2
