player_name,team_name,Fouled,Fouls
Armand Laurienté,Lorient,1.7,0.7
Lionel Messi,Paris Saint-Germain,1.1,0.3
Kylian Mbappé,Paris Saint-Germain,1.2,0.6
Martin Terrier,Rennes,1.5,0.8
Neymar,Paris Saint-Germain,3.3,1.3
Sofiane Diop,Monaco,2,0
Dango Ouattara,Lorient,2.4,0.8
Alexandre Lacazette,Lyon,1.6,1.8
Rémy Cabella,Lille,1.4,0.8
Lucas Paquetá,Lyon,1.5,1
Téji Savanier,Montpellier,3.2,1.9
Enzo Le Fée,Lorient,1.8,1.2
Romain Faivre,Lorient,2.2,0.8
Terem Moffi,Nice,0.6,0.8
Joaquín Blázquez,Brest,0,0
Jonathan David,Lille,1.6,1.1
Benjamin André,Lille,1.1,1.7
Benjamin Lecomte,Montpellier,0,0
Benjamin Bourigeaud,Rennes,0.4,0.9
Issiaga Sylla,Montpellier,0.6,0.5
Florian Sotoca,Lens,1.2,1
Amine Gouiri,Rennes,0.5,1.2
Gaëtan Laborde,Nice,0.8,0.8
Aleksandr Golovin,Monaco,0.7,1.1
Seko Fofana,Lens,1.3,0.6
Kiki Kouyaté,Montpellier,0.9,1.4
Ghjuvanni Quilichini,AC Ajaccio,0,0
Andrei Girotto,Nantes,0.9,1.5
Edon Zhegrova,Lille,0.7,0.5
Donovan Léon,Auxerre,0.5,0
Branco van den Boomen,Toulouse,0.5,0.9
Jérémy Doku,Rennes,1.2,0.6
Jean-Ricner Bellegarde,Strasbourg,2.4,1.2
Steve Mounié,Brest,1.1,1.6
Wissam Ben Yedder,Monaco,0.7,0.6
Fabien Centonze,Nantes,0.9,0.6
Nathan Ngoumou,Toulouse,0,0
Sofiane Boufal,Angers,1.5,1.5
Nuno Mendes,Paris Saint-Germain,1.5,1.1
Maxence Caqueret,Lyon,0.9,1.3
Alexis Sánchez,Marseille,1.3,1.3
Habib Diallo,Strasbourg,1.7,1
Nabil Bentaleb,Angers,1.8,1.3
Przemyslaw Frankowski,Lens,0.5,0.9
Ludovic Blas,Nantes,1.7,1.6
Terem Moffi,Lorient,0.9,0.9
Valentin Rongier,Marseille,0.8,1.4
Franck Honorat,Brest,0.5,0.7
Loïs Openda,Lens,1.2,1.1
Rayan Cherki,Lyon,0.9,0.5
Pierre Lees-Melou,Brest,1.5,1.3
Hicham Boudaoui,Nice,1.3,1.1
Nicolas Pépé,Nice,1.8,0.7
Jonathan Clauss,Marseille,0.4,0.7
Jonathan Gradit,Lens,1.2,0.9
Dante,Nice,0.5,1
Yunis Abdelhamid,Reims,0.8,1.3
Rasmus Nicolaisen,Toulouse,0.8,0.9
Achraf Hakimi,Paris Saint-Germain,0.7,1
Yehvann Diouf,Reims,0.3,0
Kevin Danso,Lens,1.5,1.1
Bradley Barcola,Lyon,0.3,0.9
Marco Verratti,Paris Saint-Germain,1.8,1.2
Vanderson,Monaco,0.6,1.2
