player_name,team_name,Total_Interception
Armand Laurienté,Lorient,1.3
Lionel Messi,Paris Saint-Germain,0.1
Kylian Mbappé,Paris Saint-Germain,0.1
Martin Terrier,Rennes,0.9
Neymar,Paris Saint-Germain,0.2
Sofiane Diop,Monaco,1
Dango Ouattara,Lorient,1.1
Alexandre Lacazette,Lyon,0.4
Rémy Cabella,Lille,0.5
Lucas Paquetá,Lyon,0.5
Téji Savanier,Montpellier,1
Enzo Le Fée,Lorient,1
Romain Faivre,Lorient,0.1
Terem Moffi,Nice,0.1
Joaquín Blázquez,Brest,0
Jonathan David,Lille,0.2
Benjamin André,Lille,1.4
Benjamin Lecomte,Montpellier,0
Benjamin Bourigeaud,Rennes,0.8
Issiaga Sylla,Montpellier,2.1
Florian Sotoca,Lens,0.8
Amine Gouiri,Rennes,0.4
Gaëtan Laborde,Nice,0.3
Aleksandr Golovin,Monaco,1.1
Seko Fofana,Lens,0.5
Kiki Kouyaté,Montpellier,2.3
Ghjuvanni Quilichini,AC Ajaccio,0
Andrei Girotto,Nantes,2
Edon Zhegrova,Lille,0.1
Donovan Léon,Auxerre,0
Branco van den Boomen,Toulouse,0.3
Jérémy Doku,Rennes,0.2
Jean-Ricner Bellegarde,Strasbourg,0.9
Steve Mounié,Brest,0.1
Wissam Ben Yedder,Monaco,0.1
Fabien Centonze,Nantes,1.9
Nathan Ngoumou,Toulouse,2
Sofiane Boufal,Angers,0.4
Nuno Mendes,Paris Saint-Germain,0.7
Maxence Caqueret,Lyon,1.1
Alexis Sánchez,Marseille,0.1
Habib Diallo,Strasbourg,0.3
Nabil Bentaleb,Angers,1.5
Przemyslaw Frankowski,Lens,1.1
Ludovic Blas,Nantes,0.5
Terem Moffi,Lorient,0.2
Valentin Rongier,Marseille,1.5
Franck Honorat,Brest,0.6
Loïs Openda,Lens,0.1
Rayan Cherki,Lyon,0.1
Pierre Lees-Melou,Brest,1.6
Hicham Boudaoui,Nice,1.3
Nicolas Pépé,Nice,0.2
Jonathan Clauss,Marseille,0.9
Jonathan Gradit,Lens,1.2
Dante,Nice,1.3
Yunis Abdelhamid,Reims,1.7
Rasmus Nicolaisen,Toulouse,1.5
Achraf Hakimi,Paris Saint-Germain,0.6
Yehvann Diouf,Reims,0
Kevin Danso,Lens,0.9
Bradley Barcola,Lyon,0.7
Marco Verratti,Paris Saint-Germain,0.9
Vanderson,Monaco,1.5
Kenny Lala,Brest,1.2
Tetê,Lyon,0.8
Adrien Thomasson,Lens,0.2
Alexander Djiku,Strasbourg,2.1
Caio Henrique,Monaco,0.7
Karl Toko-Ekambi,Lyon,0.5
Jonathan Bamba,Lille,0.6
Dejan Lovren,Lyon,1.5
Neto Borges,Clermont Foot,1.2
Khéphren Thuram,Nice,1.1
Folarin Balogun,Reims,0.1
Azor Matusiwa,Reims,1.5
Mateusz Lis,Troyes,0
Youssouf Fofana,Monaco,1.6
Fabián Ruiz,Paris Saint-Germain,0.7
Junya Ito,Reims,0.2
Romain Del Castillo,Brest,0.4
Gianluigi Donnarumma,Paris Saint-Germain,0
Marshall Munetsi,Reims,0.8
Youcef Belaïli,AC Ajaccio,0.3
Paul Joly,Auxerre,2.4
Cengiz Ünder,Marseille,0.5
Elye Wahi,Montpellier,0.1
Rony Lopes,Troyes,0.3
Nicolás Tagliafico,Lyon,1.7
Malo Gusto,Lyon,1.3
Benoît Badiashile,Monaco,1.5
Gaëtan Laborde,Rennes,0
Morgan Sanson,Strasbourg,1.2
Nuno Tavares,Marseille,0.5
Jordan Veretout,Marseille,0.9
Baptiste Santamaría,Rennes,0.8
Rafael Ratão,Toulouse,0.7
Frédéric Guilbert,Strasbourg,2.4
Axel Disasi,Monaco,1.5
Samuel Gigot,Marseille,1.7
Breel Embolo,Monaco,0.2
Adrien Truffert,Rennes,0.8
Ismaily,Lille,0.9
Corentin Tolisso,Lyon,0.8
Jaouen Hadjam,Nantes,0.9
Alexis Flips,Reims,0.7
Mory Diaw,Clermont Foot,0.1
Nathan Zézé,Nantes,0
Hamari Traoré,Rennes,1.2
Djed Spence,Rennes,0.5
Sergio Ramos,Paris Saint-Germain,1
Jordan Lotomba,Nice,1
Chancel Mbemba,Marseille,1.2
Angelo Fulgini,Lens,0.5
Stijn Spierings,Toulouse,1.5
Pau López,Marseille,0
Alban Lafont,Nantes,0
Luis Suárez,Marseille,0.4
Florian Tardieu,Troyes,1.5
Mikkel Desler,Toulouse,1.3
Facundo Medina,Lens,0.8
Maxime Dupé,Toulouse,0
Adam Ounas,Lille,0.3
Brendan Chardonnet,Brest,2.1
Montassar Talbi,Lorient,1.1
Andrei Radu,Auxerre,0
Johan Gastien,Clermont Foot,1.2
Alexsandro Ribeiro,Lille,1.2
Salis Abdul Samed,Lens,1.1
Emmanuel Agbadou,Reims,1.1
Kasper Schmeichel,Nice,0
Jean-Clair Todibo,Nice,1.2
Mohamed Camara,Monaco,0.9
Krépin Diatta,Monaco,0.5
Himad Abdelli,Angers,0.9
Rominigue Kouamé,Troyes,1.5
Brice Samba,Lens,0
Arnaud Nordin,Montpellier,0.4
Danilo Pereira,Paris Saint-Germain,1.1
Guillermo Maripán,Monaco,1.5
Nordi Mukiele,Paris Saint-Germain,0.7
Youcef Atal,Nice,0.8
Melvin Bard,Nice,1.9
Sinaly Diomandé,Lyon,2
Alidu Seidu,Clermont Foot,1.9
Faitout Maouassa,Montpellier,0.6
Jimmy Cabot,Lens,0.4
Sead Kolasinac,Marseille,1.3
Vitinha,Paris Saint-Germain,0.7
Christopher Jullien,Montpellier,1.4
Saîf-Eddine Khaoui,Clermont Foot,1
Jérémy Le Douaron,Brest,0.3
Azzedine Ounahi,Angers,1
Castello Lukeba,Lyon,2.2
Mama Baldé,Troyes,0.3
Gideon Mensah,Auxerre,1.5
Ante Palaversa,Troyes,0.5
Sofiane Diop,Nice,0.7
Jubal,Auxerre,1.4
Leonardo Balerdi,Marseille,1.8
Quentin Merlin,Nantes,1
Badredine Bouanani,Nice,0.1
Lovro Majer,Rennes,0.7
Laurent Abergel,Lorient,1.2
