player_name,team_name,CaughtOffside
Armand Laurienté,Lorient,0.3
Lionel Messi,Paris Saint-Germain,0.2
Kylian Mbappé,Paris Saint-Germain,1
Martin Terrier,Rennes,0.4
Neymar,Paris Saint-Germain,0.3
Sofiane Diop,Monaco,1
Dango Ouattara,Lorient,0.1
Alexandre Lacazette,Lyon,0.4
Rémy Cabella,Lille,0.1
Lucas Paquetá,Lyon,0
Téji Savanier,Montpellier,0
Enzo Le Fée,Lorient,0.1
Romain Faivre,Lorient,0.1
Terem Moffi,Nice,0.3
Joaquín Blázquez,Brest,0
Jonathan David,Lille,0.6
Benjamin André,Lille,0
Benjamin Lecomte,Montpellier,0
Benjamin Bourigeaud,Rennes,0.1
Issiaga Sylla,Montpellier,0.1
Florian Sotoca,Lens,0.2
Amine Gouiri,Rennes,0.2
Gaëtan Laborde,Nice,0.2
Aleksandr Golovin,Monaco,0.2
Seko Fofana,Lens,0.1
Kiki Kouyaté,Montpellier,0
Ghjuvanni Quilichini,AC Ajaccio,0
Andrei Girotto,Nantes,0
Edon Zhegrova,Lille,0.1
Donovan Léon,Auxerre,0
Branco van den Boomen,Toulouse,0.1
Jérémy Doku,Rennes,0
Jean-Ricner Bellegarde,Strasbourg,0
Steve Mounié,Brest,0.4
Wissam Ben Yedder,Monaco,0.7
Fabien Centonze,Nantes,0
Nathan Ngoumou,Toulouse,0
Sofiane Boufal,Angers,0.2
Nuno Mendes,Paris Saint-Germain,0.2
Maxence Caqueret,Lyon,0.1
Alexis Sánchez,Marseille,0.8
Habib Diallo,Strasbourg,0.5
Nabil Bentaleb,Angers,0
Przemyslaw Frankowski,Lens,0.2
Ludovic Blas,Nantes,0.1
Terem Moffi,Lorient,0.2
Valentin Rongier,Marseille,0
Franck Honorat,Brest,0.3
Loïs Openda,Lens,0.6
Rayan Cherki,Lyon,0.1
Pierre Lees-Melou,Brest,0
Hicham Boudaoui,Nice,0
Nicolas Pépé,Nice,0.3
Jonathan Clauss,Marseille,0.1
Jonathan Gradit,Lens,0
Dante,Nice,0
Yunis Abdelhamid,Reims,0.1
Rasmus Nicolaisen,Toulouse,0
Achraf Hakimi,Paris Saint-Germain,0.2
Yehvann Diouf,Reims,0
Kevin Danso,Lens,0.1
Bradley Barcola,Lyon,0.3
Marco Verratti,Paris Saint-Germain,0
Vanderson,Monaco,0.1
Kenny Lala,Brest,0.1
Tetê,Lyon,0.3
Adrien Thomasson,Lens,0.3
Alexander Djiku,Strasbourg,0.1
Caio Henrique,Monaco,0
Karl Toko-Ekambi,Lyon,0.1
Jonathan Bamba,Lille,0.4
Dejan Lovren,Lyon,0
Neto Borges,Clermont Foot,0.2
Khéphren Thuram,Nice,0.1
Folarin Balogun,Reims,0.8
Azor Matusiwa,Reims,0
Mateusz Lis,Troyes,0
Youssouf Fofana,Monaco,0.1
Fabián Ruiz,Paris Saint-Germain,0.1
Junya Ito,Reims,0.9
Romain Del Castillo,Brest,0
Gianluigi Donnarumma,Paris Saint-Germain,0
Marshall Munetsi,Reims,0.1
Youcef Belaïli,AC Ajaccio,0.2
Paul Joly,Auxerre,0
Cengiz Ünder,Marseille,0.2
Elye Wahi,Montpellier,0.8
Rony Lopes,Troyes,0
Nicolás Tagliafico,Lyon,0.1
Malo Gusto,Lyon,0.1
Benoît Badiashile,Monaco,0
Gaëtan Laborde,Rennes,0
Morgan Sanson,Strasbourg,0
Nuno Tavares,Marseille,0.2
Jordan Veretout,Marseille,0.1
Baptiste Santamaría,Rennes,0
Rafael Ratão,Toulouse,0.1
Frédéric Guilbert,Strasbourg,0
Axel Disasi,Monaco,0
Samuel Gigot,Marseille,0
Breel Embolo,Monaco,0.4
Adrien Truffert,Rennes,0.1
Ismaily,Lille,0.1
Corentin Tolisso,Lyon,0
Jaouen Hadjam,Nantes,0
Alexis Flips,Reims,0.1
Mory Diaw,Clermont Foot,0
Nathan Zézé,Nantes,0
Hamari Traoré,Rennes,0.1
Djed Spence,Rennes,0
Sergio Ramos,Paris Saint-Germain,0.1
Jordan Lotomba,Nice,0
Chancel Mbemba,Marseille,0
Angelo Fulgini,Lens,0
Stijn Spierings,Toulouse,0
Pau López,Marseille,0
Alban Lafont,Nantes,0
Luis Suárez,Marseille,0
Florian Tardieu,Troyes,0
Mikkel Desler,Toulouse,0.2
Facundo Medina,Lens,0
Maxime Dupé,Toulouse,0
Adam Ounas,Lille,0.1
Brendan Chardonnet,Brest,0
Montassar Talbi,Lorient,0
Andrei Radu,Auxerre,0
Johan Gastien,Clermont Foot,0
Alexsandro Ribeiro,Lille,0.1
Salis Abdul Samed,Lens,0
Emmanuel Agbadou,Reims,0
Kasper Schmeichel,Nice,0
Jean-Clair Todibo,Nice,0
Mohamed Camara,Monaco,0
Krépin Diatta,Monaco,0.3
Himad Abdelli,Angers,0
Rominigue Kouamé,Troyes,0
Brice Samba,Lens,0
Arnaud Nordin,Montpellier,0.1
Danilo Pereira,Paris Saint-Germain,0
Guillermo Maripán,Monaco,0
Nordi Mukiele,Paris Saint-Germain,0.1
Youcef Atal,Nice,0.2
Melvin Bard,Nice,0.1
Sinaly Diomandé,Lyon,0
Alidu Seidu,Clermont Foot,0
Faitout Maouassa,Montpellier,0.1
Jimmy Cabot,Lens,0.1
Sead Kolasinac,Marseille,0.1
Vitinha,Paris Saint-Germain,0
Christopher Jullien,Montpellier,0.1
Saîf-Eddine Khaoui,Clermont Foot,0.2
Jérémy Le Douaron,Brest,0.3
Azzedine Ounahi,Angers,0.1
Castello Lukeba,Lyon,0
Mama Baldé,Troyes,0.6
Gideon Mensah,Auxerre,0
Ante Palaversa,Troyes,0
Sofiane Diop,Nice,0.1
Jubal,Auxerre,0.1
Leonardo Balerdi,Marseille,0
Quentin Merlin,Nantes,0
Badredine Bouanani,Nice,0.1
Lovro Majer,Rennes,0.1
Laurent Abergel,Lorient,0
Deiver Machado,Lens,0.2
Warmed Omari,Rennes,0.2
Marquinhos,Paris Saint-Germain,0
Théo Sainte-Luce,Montpellier,0
Lucien Agoumé,Troyes,0.1
Désiré Doué,Rennes,0.2
Vito Mannone,Lorient,0
Mario Lemina,Nice,0
Angel Gomes,Lille,0
Arthur Theate,Rennes,0
André Gomes,Lille,0
Steve Mandanda,Rennes,0
Marco Bizot,Brest,0
Zakaria Aboukhlal,Toulouse,0.5
Farès Chaïbi,Toulouse,0.2
Jean-Charles Castelletto,Nantes,0
Aaron Ramsey,Nice,0.1
Tiago Djaló,Lille,0
Gédéon Kalulu,Lorient,0.1
Han-Noah Massengo,Auxerre,0.1
Nuno da Costa,Auxerre,0.2
Anthony Lopes,Lyon,0
Andy Delort,Nice,0.5
Jeffinho,Lyon,0
Alexander Nübel,Monaco,0
Jonas Omlin,Montpellier,0
Karl Toko-Ekambi,Rennes,0.5
Youssouf Ndayishimiye,Nice,0
Joris Chotard,Montpellier,0.1
Bamo Meïté,Lorient,0.1
Nicolas Pallois,Nantes,0
Dimitri Payet,Marseille,0.1
Bafodé Diakité,Lille,0
Chrislain Matsima,Monaco,0
Jeanuël Belocian,Rennes,0
Quentin Bernard,Auxerre,0
Lilian Brassier,Brest,0
Anthony Rouault,Toulouse,0
Maximiliano Caufriez,Clermont Foot,0
Cheick Keita,Reims,0.1
Maxime Le Marchand,Strasbourg,0
Issiaga Sylla,Toulouse,0.1
Grejohn Kyei,Clermont Foot,0.4
Thijs Dallinga,Toulouse,0.6
Ruslan Malinovskyi,Marseille,0.1
Ismaël Doukouré,Strasbourg,0
Joe Rodon,Rennes,0
Mostafa Mohamed,Nantes,0.4
Julien Laporte,Lorient,0.1
Eliesse Ben Seghir,Monaco,0.2
Gabriel Suazo,Toulouse,0.1
Vincent Le Goff,Lorient,0.1
Mahdi Camara,Brest,0
Mattéo Guendouzi,Marseille,0
Hamza Sakhi,Auxerre,0.2
Lucas Chevalier,Lille,0
Flavien Tait,Rennes,0
Arnaud Kalimuendo,Rennes,0.2
Christopher Wooh,Rennes,0
Xavier Chavalerin,Troyes,0.1
Matz Sels,Strasbourg,0
Wahbi Khazri,Montpellier,0.5
Quentin Boisgard,Lorient,0
Presnel Kimpembe,Paris Saint-Germain,0.1
Isaak Touré,Auxerre,0
