player_name,team_name,Total_Passes,AccLB,InAccLB,AccSP,InAccSP
Armand Laurienté,Lorient,29.7,1.7,1,22.7,4.3
Lionel Messi,Paris Saint-Germain,60.3,2.7,1.1,47.4,9.1
Kylian Mbappé,Paris Saint-Germain,37.9,0.6,0.3,30.9,6.2
Martin Terrier,Rennes,36.8,1.4,0.6,26.3,8.5
Neymar,Paris Saint-Germain,59.4,2.2,1.1,47,9.2
Sofiane Diop,Monaco,26,0,0,18,8
Dango Ouattara,Lorient,22.3,0.4,0.6,13.8,7.5
Alexandre Lacazette,Lyon,24.9,0.8,0.6,17.9,5.5
Rémy Cabella,Lille,49.1,0.9,0.6,40.5,7.1
Lucas Paquetá,Lyon,62,5,1.5,49,6.5
Téji Savanier,Montpellier,47.3,4.9,3.2,32,7.2
Enzo Le Fée,Lorient,56.1,3,1.7,44.5,6.9
Romain Faivre,Lorient,31.8,0.6,0.2,26.9,4
Terem Moffi,Nice,14.3,0.2,0,11.4,2.8
Joaquín Blázquez,Brest,26,8,7,10,1
Jonathan David,Lille,23.2,0.4,0,18.8,4
Benjamin André,Lille,67.6,5.2,2.5,51.8,8.1
Benjamin Lecomte,Montpellier,29.9,7.5,11.6,10.5,0.3
Benjamin Bourigeaud,Rennes,46.6,3.1,1.9,34.6,7.1
Issiaga Sylla,Montpellier,43.7,1.6,1.6,34.3,6.2
Florian Sotoca,Lens,36.6,2.2,1.2,27.2,6.1
Amine Gouiri,Rennes,22.1,0.5,0.2,17.2,4.2
Gaëtan Laborde,Nice,19.3,0.3,0.4,13.4,5.2
Aleksandr Golovin,Monaco,28.4,1.3,1.2,19.9,5.9
Seko Fofana,Lens,50.3,2.1,0.7,42.9,4.7
Kiki Kouyaté,Montpellier,40.5,1.7,2.7,31.5,4.7
Ghjuvanni Quilichini,AC Ajaccio,32,8,19,4,1
Andrei Girotto,Nantes,48.1,4.4,3.7,35.5,4.5
Edon Zhegrova,Lille,23.1,0.6,0.3,18.5,3.8
Donovan Léon,Auxerre,35.5,10,20.5,5,0
Branco van den Boomen,Toulouse,54.2,7.3,3.1,37.7,6.1
Jérémy Doku,Rennes,17,0.2,0.1,14.5,2.2
Jean-Ricner Bellegarde,Strasbourg,36.3,1.5,1.6,28.2,5.1
Steve Mounié,Brest,19.3,0.1,0.4,10.7,8.1
Wissam Ben Yedder,Monaco,18.2,0.3,0.4,13.6,3.9
Fabien Centonze,Nantes,32,1.4,1.5,23.9,5.1
Nathan Ngoumou,Toulouse,28,0,1,23,4
