player_name,team_name,UnsuccessfulTouches,Dispossessed
Armand Laurienté,Lorient,1.3,1.3
Lionel Messi,Paris Saint-Germain,1.6,2.4
Kylian Mbappé,Paris Saint-Germain,1.9,1.2
Martin Terrier,Rennes,1.6,0.9
Neymar,Paris Saint-Germain,2.5,1.9
Sofiane Diop,Monaco,3,3
Dango Ouattara,Lorient,2.5,1.2
Alexandre Lacazette,Lyon,1.9,1.3
Rémy Cabella,Lille,1.5,1.1
Lucas Paquetá,Lyon,1,0.5
Téji Savanier,Montpellier,2.4,1.7
Enzo Le Fée,Lorient,2.1,1.6
Romain Faivre,Lorient,1.9,0.6
Terem Moffi,Nice,1.6,1.3
Joaquín Blázquez,Brest,0,0
Jonathan David,Lille,2.4,1.4
Benjamin André,Lille,1.1,1
Benjamin Lecomte,Montpellier,0,0
Benjamin Bourigeaud,Rennes,0.9,0.5
Issiaga Sylla,Montpellier,1.1,0.6
Florian Sotoca,Lens,1.2,0.7
Amine Gouiri,Rennes,2.2,1.1
Gaëtan Laborde,Nice,2.1,0.9
Aleksandr Golovin,Monaco,1.4,0.9
Seko Fofana,Lens,1.7,1.2
Kiki Kouyaté,Montpellier,0.2,0
Ghjuvanni Quilichini,AC Ajaccio,0,0
Andrei Girotto,Nantes,0.3,0.2
Edon Zhegrova,Lille,1.5,0.8
Donovan Léon,Auxerre,0,0
Branco van den Boomen,Toulouse,0.9,0.3
Jérémy Doku,Rennes,1.5,0.8
Jean-Ricner Bellegarde,Strasbourg,2.1,1.5
Steve Mounié,Brest,2.3,1.2
Wissam Ben Yedder,Monaco,1.1,1
Fabien Centonze,Nantes,1.1,0.5
Nathan Ngoumou,Toulouse,0,2
Sofiane Boufal,Angers,2.2,1.5
Nuno Mendes,Paris Saint-Germain,1.3,0.7
Maxence Caqueret,Lyon,1.9,1.3
Alexis Sánchez,Marseille,2.4,1.8
Habib Diallo,Strasbourg,3.2,0.9
Nabil Bentaleb,Angers,1.5,1.2
Przemyslaw Frankowski,Lens,0.8,0.4
Ludovic Blas,Nantes,2.4,2.1
Terem Moffi,Lorient,2.3,0.7
Valentin Rongier,Marseille,0.9,0.8
Franck Honorat,Brest,1.7,0.6
Loïs Openda,Lens,1.6,0.6
Rayan Cherki,Lyon,1.9,1.4
Pierre Lees-Melou,Brest,0.9,0.6
Hicham Boudaoui,Nice,1,0.6
Nicolas Pépé,Nice,2.4,2.7
Jonathan Clauss,Marseille,1.4,0.5
Jonathan Gradit,Lens,0.5,0.3
Dante,Nice,0.4,0.2
Yunis Abdelhamid,Reims,0.7,0.6
Rasmus Nicolaisen,Toulouse,0.2,0.2
Achraf Hakimi,Paris Saint-Germain,1,0.8
Yehvann Diouf,Reims,0.1,0
Kevin Danso,Lens,0.5,0.5
Bradley Barcola,Lyon,1.4,0.3
Marco Verratti,Paris Saint-Germain,0.6,1.1
Vanderson,Monaco,1.2,0.7
Kenny Lala,Brest,0.7,0.6
Tetê,Lyon,1.8,0.9
Adrien Thomasson,Lens,1.3,0.9
Alexander Djiku,Strasbourg,0.3,0.2
Caio Henrique,Monaco,0.8,0.3
Karl Toko-Ekambi,Lyon,2,1.3
Jonathan Bamba,Lille,1.9,1.8
Dejan Lovren,Lyon,0.3,0.2
Neto Borges,Clermont Foot,1.3,0.6
Khéphren Thuram,Nice,0.9,1
Folarin Balogun,Reims,2.5,2
Azor Matusiwa,Reims,0.8,0.4
Mateusz Lis,Troyes,0.1,0
Youssouf Fofana,Monaco,1.3,1.1
Fabián Ruiz,Paris Saint-Germain,0.9,0.6
Junya Ito,Reims,2.5,1.3
Romain Del Castillo,Brest,1.7,1.1
Gianluigi Donnarumma,Paris Saint-Germain,0,0
Marshall Munetsi,Reims,1.6,0.5
Youcef Belaïli,AC Ajaccio,2.5,1.6
Paul Joly,Auxerre,0.9,1.2
Cengiz Ünder,Marseille,1.6,0.8
Elye Wahi,Montpellier,2.6,1.4
Rony Lopes,Troyes,1.4,1.2
Nicolás Tagliafico,Lyon,1.4,0.5
Malo Gusto,Lyon,0.8,0.6
Benoît Badiashile,Monaco,0.3,0
Gaëtan Laborde,Rennes,2.8,1
Morgan Sanson,Strasbourg,1.9,1.3
Nuno Tavares,Marseille,2.4,2.2
Jordan Veretout,Marseille,0.7,0.3
Baptiste Santamaría,Rennes,1.2,0.4
Rafael Ratão,Toulouse,1.9,1
Frédéric Guilbert,Strasbourg,1.3,0.3
Axel Disasi,Monaco,0.5,0.4
Samuel Gigot,Marseille,0.4,0.1
Breel Embolo,Monaco,2.1,1.4
Adrien Truffert,Rennes,1,0.5
Ismaily,Lille,1.1,1.3
Corentin Tolisso,Lyon,0.7,0.6
Jaouen Hadjam,Nantes,1.2,1.1
Alexis Flips,Reims,1.8,0.7
Mory Diaw,Clermont Foot,0,0
Nathan Zézé,Nantes,0,0
Hamari Traoré,Rennes,0.8,0.3
Djed Spence,Rennes,1.8,0.5
Sergio Ramos,Paris Saint-Germain,0.2,0.2
Jordan Lotomba,Nice,1.2,0.7
Chancel Mbemba,Marseille,0.7,0.3
Angelo Fulgini,Lens,1.1,0.6
Stijn Spierings,Toulouse,0.8,0.7
Pau López,Marseille,0,0
Alban Lafont,Nantes,0.1,0
Luis Suárez,Marseille,1,0.1
Florian Tardieu,Troyes,0.8,0.8
Mikkel Desler,Toulouse,1.5,0.6
Facundo Medina,Lens,0.7,0.7
Maxime Dupé,Toulouse,0.1,0
Adam Ounas,Lille,1.2,1.2
Brendan Chardonnet,Brest,0.2,0.1
Montassar Talbi,Lorient,0.4,0.2
Andrei Radu,Auxerre,0.1,0
Johan Gastien,Clermont Foot,0.8,0.4
Alexsandro Ribeiro,Lille,0.5,0.2
Salis Abdul Samed,Lens,1.2,1
Emmanuel Agbadou,Reims,0.8,0.4
Kasper Schmeichel,Nice,0.1,0
Jean-Clair Todibo,Nice,0.7,0.3
Mohamed Camara,Monaco,1.2,0.9
Krépin Diatta,Monaco,1.5,0.6
Himad Abdelli,Angers,1.2,0.7
Rominigue Kouamé,Troyes,1.2,0.8
Brice Samba,Lens,0,0
Arnaud Nordin,Montpellier,1.7,1.2
Danilo Pereira,Paris Saint-Germain,0.4,0.3
Guillermo Maripán,Monaco,0.3,0.2
Nordi Mukiele,Paris Saint-Germain,0.6,0.6
Youcef Atal,Nice,0.6,0.3
Melvin Bard,Nice,0.7,0.5
Sinaly Diomandé,Lyon,0.8,0.2
Alidu Seidu,Clermont Foot,1.2,0.5
Faitout Maouassa,Montpellier,1,0.7
Jimmy Cabot,Lens,2.4,0.5
Sead Kolasinac,Marseille,0.8,0.2
Vitinha,Paris Saint-Germain,0.9,0.9
Christopher Jullien,Montpellier,0.5,0.1
Saîf-Eddine Khaoui,Clermont Foot,1.3,0.7
Jérémy Le Douaron,Brest,2.3,1.1
Azzedine Ounahi,Angers,1.7,0.8
Castello Lukeba,Lyon,0.6,0.2
Mama Baldé,Troyes,3.6,2
Gideon Mensah,Auxerre,1.7,0.5
Ante Palaversa,Troyes,0,0
Sofiane Diop,Nice,1.8,1
Jubal,Auxerre,0.6,0.1
Leonardo Balerdi,Marseille,0.7,0.1
Quentin Merlin,Nantes,1,0.4
Badredine Bouanani,Nice,1.2,0.7
Lovro Majer,Rennes,1.4,1
Laurent Abergel,Lorient,1,0.7
Deiver Machado,Lens,0.9,0.3
Warmed Omari,Rennes,0.4,0.3
Marquinhos,Paris Saint-Germain,0.4,0.2
Théo Sainte-Luce,Montpellier,1,0.4
Lucien Agoumé,Troyes,0.6,0.7
Désiré Doué,Rennes,1.3,1.2
Vito Mannone,Lorient,0,0
Mario Lemina,Nice,0.3,0.1
Angel Gomes,Lille,1.1,0.7
Arthur Theate,Rennes,0.4,0.1
André Gomes,Lille,1.2,1
Steve Mandanda,Rennes,0.1,0
Marco Bizot,Brest,0,0
Zakaria Aboukhlal,Toulouse,2.2,1
Farès Chaïbi,Toulouse,1.5,0.7
Jean-Charles Castelletto,Nantes,0.6,0.2
Aaron Ramsey,Nice,0.9,1.2
Tiago Djaló,Lille,0.2,0.3
Gédéon Kalulu,Lorient,1.1,0.6
Han-Noah Massengo,Auxerre,1.4,0.6
Nuno da Costa,Auxerre,2.8,1.2
Anthony Lopes,Lyon,0,0
Andy Delort,Nice,1.6,0.6
Jeffinho,Lyon,2.3,1.3
Alexander Nübel,Monaco,0,0
Jonas Omlin,Montpellier,0,0
Karl Toko-Ekambi,Rennes,1.1,0.9
Youssouf Ndayishimiye,Nice,0.9,0.3
Joris Chotard,Montpellier,0.6,0.3
Bamo Meïté,Lorient,0.8,0.2
Nicolas Pallois,Nantes,0.7,0.3
Dimitri Payet,Marseille,0.6,0.4
Bafodé Diakité,Lille,0.8,0.5
Chrislain Matsima,Monaco,0,0.1
Jeanuël Belocian,Rennes,0.5,0.3
Quentin Bernard,Auxerre,0.3,0.1
Lilian Brassier,Brest,0.6,0.4
Anthony Rouault,Toulouse,0.6,0.1
Maximiliano Caufriez,Clermont Foot,0.5,0.3
Cheick Keita,Reims,0.4,0.1
Maxime Le Marchand,Strasbourg,0.4,0.2
Issiaga Sylla,Toulouse,1.4,2
Grejohn Kyei,Clermont Foot,2.6,1.3
Thijs Dallinga,Toulouse,1.1,0.5
Ruslan Malinovskyi,Marseille,1.5,1
Ismaël Doukouré,Strasbourg,0.8,0.7
Joe Rodon,Rennes,0.3,0.1
Mostafa Mohamed,Nantes,1.5,0.6
Julien Laporte,Lorient,0.3,0.1
Eliesse Ben Seghir,Monaco,2.1,1.2
Gabriel Suazo,Toulouse,0.9,0.6
Vincent Le Goff,Lorient,0.5,0.3
Mahdi Camara,Brest,0.9,0.5
Mattéo Guendouzi,Marseille,0.8,0.4
Hamza Sakhi,Auxerre,0.7,0.5
Lucas Chevalier,Lille,0,0
Flavien Tait,Rennes,0.8,1
Arnaud Kalimuendo,Rennes,1.9,1.2
Christopher Wooh,Rennes,0.5,0.1
Xavier Chavalerin,Troyes,0.7,0.4
Matz Sels,Strasbourg,0,0
