player_name,team_name,Total_Shots,OutOfBox_Shots,SixYardBox_Shots,PenaltyArea_Shots
Armand Laurienté,Lorient,4.7,2,0.3,2.3
Lionel Messi,Paris Saint-Germain,4,1.9,0.1,2.1
Kylian Mbappé,Paris Saint-Germain,4.4,1,0.3,3.1
Martin Terrier,Rennes,2.9,0.9,0.2,1.9
Neymar,Paris Saint-Germain,1.9,0.6,0.2,1.2
Sofiane Diop,Monaco,2,0,1,1
Dango Ouattara,Lorient,2.9,1.1,0.4,1.4
Alexandre Lacazette,Lyon,3.3,0.7,0.6,2
Rémy Cabella,Lille,1.3,0.3,0.2,0.8
Lucas Paquetá,Lyon,2.5,0,0,2.5
Téji Savanier,Montpellier,2.1,1.6,0,0.5
Enzo Le Fée,Lorient,1.3,0.9,0.1,0.3
Romain Faivre,Lorient,1.6,0.4,0.1,1
Terem Moffi,Nice,2.8,0.6,0.3,1.8
Joaquín Blázquez,Brest,0,0,0,0
Jonathan David,Lille,2.9,0.4,0.2,2.3
Benjamin André,Lille,0.7,0.3,0,0.4
Benjamin Lecomte,Montpellier,0,0,0,0
Benjamin Bourigeaud,Rennes,2,1,0.1,0.9
Issiaga Sylla,Montpellier,0.7,0.2,0.1,0.3
Florian Sotoca,Lens,2.3,0.6,0.3,1.5
Amine Gouiri,Rennes,2.2,0.4,0.3,1.6
Gaëtan Laborde,Nice,2.3,0.6,0.3,1.4
Aleksandr Golovin,Monaco,1.4,0.7,0,0.8
Seko Fofana,Lens,2.4,1.3,0.1,1
Kiki Kouyaté,Montpellier,0.7,0,0.1,0.7
Ghjuvanni Quilichini,AC Ajaccio,0,0,0,0
Andrei Girotto,Nantes,0.8,0.3,0.1,0.3
Edon Zhegrova,Lille,1.9,0.7,0,1.1
Donovan Léon,Auxerre,0,0,0,0
Branco van den Boomen,Toulouse,1.5,1,0,0.5
Jérémy Doku,Rennes,0.9,0.2,0,0.7
Jean-Ricner Bellegarde,Strasbourg,1.3,0.9,0,0.4
Steve Mounié,Brest,2.6,0.5,0.2,1.9
Wissam Ben Yedder,Monaco,2.3,0.2,0.3,1.7
Fabien Centonze,Nantes,0.6,0.4,0,0.2
Nathan Ngoumou,Toulouse,0,0,0,0
Sofiane Boufal,Angers,1.8,0.9,0,0.8
Nuno Mendes,Paris Saint-Germain,0.4,0.1,0,0.3
Maxence Caqueret,Lyon,0.7,0.3,0.1,0.3
Alexis Sánchez,Marseille,1.9,0.4,0.2,1.3
Habib Diallo,Strasbourg,2.5,0.3,0.3,1.9
Nabil Bentaleb,Angers,1.4,1.1,0,0.2
Przemyslaw Frankowski,Lens,0.8,0.4,0,0.4
Ludovic Blas,Nantes,2.7,1.6,0.1,1
Terem Moffi,Lorient,1.9,0.2,0.2,1.6
Valentin Rongier,Marseille,0.6,0.3,0.1,0.2
Franck Honorat,Brest,1.4,0.5,0.1,0.9
Loïs Openda,Lens,2.7,0.4,0.4,2
Rayan Cherki,Lyon,1.8,0.8,0,1
Pierre Lees-Melou,Brest,1.3,1.1,0,0.3
Hicham Boudaoui,Nice,0.8,0.6,0,0.2
Nicolas Pépé,Nice,2.6,0.7,0.2,1.7
Jonathan Clauss,Marseille,1.4,0.5,0,0.9
Jonathan Gradit,Lens,0.2,0.1,0,0.1
Dante,Nice,0.6,0.1,0.1,0.5
Yunis Abdelhamid,Reims,0.9,0.2,0.1,0.6
Rasmus Nicolaisen,Toulouse,0.4,0,0,0.4
Achraf Hakimi,Paris Saint-Germain,0.6,0.2,0,0.4
Yehvann Diouf,Reims,0,0,0,0
Kevin Danso,Lens,0.6,0.1,0.1,0.5
Bradley Barcola,Lyon,1,0.1,0,0.9
Marco Verratti,Paris Saint-Germain,0.3,0.1,0,0.2
Vanderson,Monaco,0.8,0.4,0,0.4
Kenny Lala,Brest,0.7,0.6,0,0.1
Tetê,Lyon,1.8,0.7,0.1,0.9
Adrien Thomasson,Lens,1.1,0.3,0.2,0.7
Alexander Djiku,Strasbourg,0.5,0.1,0,0.4
Caio Henrique,Monaco,0.3,0.2,0,0.1
Karl Toko-Ekambi,Lyon,2.2,0.4,0.2,1.6
Jonathan Bamba,Lille,2.1,0.6,0.2,1.3
