player_name,team_name,TotalTackles,DribbledPast,TotalAttemptedTackles
Armand Laurienté,Lorient,2.7,1.3,4
Lionel Messi,Paris Saint-Germain,0.8,0.5,1.3
Kylian Mbappé,Paris Saint-Germain,0.3,0.3,0.6
Martin Terrier,Rennes,1.6,0.7,2.3
Neymar,Paris Saint-Germain,1.1,0.5,1.6
Sofiane Diop,Monaco,0,0,0
Dango Ouattara,Lorient,2.3,0.7,3
Alexandre Lacazette,Lyon,1.2,0.5,1.8
Rémy Cabella,Lille,2,1.1,3.1
Lucas Paquetá,Lyon,2.5,1,3.5
Téji Savanier,Montpellier,1.5,1.6,3.1
Enzo Le Fée,Lorient,3.1,2,5.1
Romain Faivre,Lorient,0.8,1.3,2.1
Terem Moffi,Nice,0.8,0.6,1.4
Joaquín Blázquez,Brest,0,0,0
Jonathan David,Lille,0.6,0.5,1.1
Benjamin André,Lille,3.8,1.6,5.4
Benjamin Lecomte,Montpellier,0,0.1,0.1
Benjamin Bourigeaud,Rennes,1.2,1.2,2.4
Issiaga Sylla,Montpellier,1.9,1.1,2.9
Florian Sotoca,Lens,1,0.7,1.7
Amine Gouiri,Rennes,1.3,0.6,1.8
Gaëtan Laborde,Nice,1.4,0.7,2
Aleksandr Golovin,Monaco,1.8,1.3,3.1
Seko Fofana,Lens,0.8,0.7,1.5
Kiki Kouyaté,Montpellier,2.1,1.1,3.1
Ghjuvanni Quilichini,AC Ajaccio,0,0,0
Andrei Girotto,Nantes,3.4,1.6,5
Edon Zhegrova,Lille,0.8,0.4,1.2
Donovan Léon,Auxerre,0,0,0
Branco van den Boomen,Toulouse,2,1.5,3.5
Jérémy Doku,Rennes,0.9,0.4,1.3
Jean-Ricner Bellegarde,Strasbourg,1.6,0.5,2
Steve Mounié,Brest,0.6,0.4,1
Wissam Ben Yedder,Monaco,0.5,0.3,0.8
Fabien Centonze,Nantes,2.5,0.5,3
Nathan Ngoumou,Toulouse,3,0,3
Sofiane Boufal,Angers,1.1,0.8,1.9
Nuno Mendes,Paris Saint-Germain,2,0.5,2.4
Maxence Caqueret,Lyon,2.4,1.8,4.3
Alexis Sánchez,Marseille,0.8,0.6,1.4
Habib Diallo,Strasbourg,0.5,0.3,0.8
Nabil Bentaleb,Angers,2.5,0.8,3.3
Przemyslaw Frankowski,Lens,2.1,1.1,3.2
Ludovic Blas,Nantes,1.3,0.9,2.1
Terem Moffi,Lorient,0.4,0.1,0.6
Valentin Rongier,Marseille,2.6,1,3.6
Franck Honorat,Brest,1.2,0.5,1.7
Loïs Openda,Lens,0.3,0.3,0.6
Rayan Cherki,Lyon,0.4,0.4,0.9
Pierre Lees-Melou,Brest,3,2.1,5.1
Hicham Boudaoui,Nice,2.5,0.7,3.1
Nicolas Pépé,Nice,1.3,0.7,2.1
Jonathan Clauss,Marseille,1.4,0.9,2.2
Jonathan Gradit,Lens,1.9,0.7,2.5
Dante,Nice,1.9,0.6,2.5
Yunis Abdelhamid,Reims,2.2,0.4,2.6
Rasmus Nicolaisen,Toulouse,1.4,0.5,1.9
Achraf Hakimi,Paris Saint-Germain,1.9,1,2.9
Yehvann Diouf,Reims,0.1,0.1,0.1
Kevin Danso,Lens,1,0.3,1.3
Bradley Barcola,Lyon,1,1.2,2.2
Marco Verratti,Paris Saint-Germain,2.6,1.8,4.4
Vanderson,Monaco,2.7,1,3.7
Kenny Lala,Brest,2.1,0.9,3.1
Tetê,Lyon,1.2,0.5,1.8
Adrien Thomasson,Lens,1.2,1.7,2.8
Alexander Djiku,Strasbourg,1.7,0.6,2.4
Caio Henrique,Monaco,2.1,0.9,3
Karl Toko-Ekambi,Lyon,0.5,0.6,1.1
Jonathan Bamba,Lille,1.1,0.9,2
Dejan Lovren,Lyon,1.5,0.5,2
Neto Borges,Clermont Foot,2.3,0.9,3.2
Khéphren Thuram,Nice,1.5,0.7,2.1
Folarin Balogun,Reims,0.2,0.5,0.7
Azor Matusiwa,Reims,2.2,0.8,3
Mateusz Lis,Troyes,0,0.1,0.1
Youssouf Fofana,Monaco,2.3,1,3.3
Fabián Ruiz,Paris Saint-Germain,2.3,1.3,3.6
Junya Ito,Reims,1.1,1.1,2.3
Romain Del Castillo,Brest,1.4,0.7,2.2
Gianluigi Donnarumma,Paris Saint-Germain,0,0,0.1
Marshall Munetsi,Reims,1.7,0.8,2.5
Youcef Belaïli,AC Ajaccio,1.1,0.7,1.8
Paul Joly,Auxerre,3.3,1.6,4.9
Cengiz Ünder,Marseille,1,0.6,1.6
Elye Wahi,Montpellier,0.3,0.3,0.5
Rony Lopes,Troyes,0.8,0.8,1.5
Nicolás Tagliafico,Lyon,2.7,0.8,3.5
Malo Gusto,Lyon,2,1,3
Benoît Badiashile,Monaco,0.9,0.5,1.4
Gaëtan Laborde,Rennes,0.3,0.3,0.5
Morgan Sanson,Strasbourg,2,2.2,4.2
Nuno Tavares,Marseille,1.8,0.9,2.7
Jordan Veretout,Marseille,1.5,0.7,2.2
Baptiste Santamaría,Rennes,1.6,0.8,2.4
Rafael Ratão,Toulouse,1.7,1.5,3.3
Frédéric Guilbert,Strasbourg,2.6,1,3.6
Axel Disasi,Monaco,0.8,0.4,1.2
Samuel Gigot,Marseille,1.8,0.1,1.9
Breel Embolo,Monaco,0.5,0.2,0.6
Adrien Truffert,Rennes,2.2,0.5,2.8
Ismaily,Lille,1.8,0.7,2.4
Corentin Tolisso,Lyon,1.5,1.4,2.8
Jaouen Hadjam,Nantes,2.1,0.7,2.8
Alexis Flips,Reims,1.5,1.1,2.7
Mory Diaw,Clermont Foot,0,0.1,0.1
Nathan Zézé,Nantes,3,0,3
Hamari Traoré,Rennes,1.5,0.8,2.3
Djed Spence,Rennes,1.8,0.9,2.6
Sergio Ramos,Paris Saint-Germain,1,0.6,1.7
Jordan Lotomba,Nice,2,0.5,2.5
Chancel Mbemba,Marseille,1.2,0.3,1.4
Angelo Fulgini,Lens,0.8,0.5,1.4
Stijn Spierings,Toulouse,2.6,1.6,4.3
Pau López,Marseille,0,0,0
Alban Lafont,Nantes,0,0,0
Luis Suárez,Marseille,0.6,0.4,1
Florian Tardieu,Troyes,2.1,1.3,3.3
Mikkel Desler,Toulouse,2.6,0.9,3.5
Facundo Medina,Lens,1,0.7,1.7
Maxime Dupé,Toulouse,0,0,0
Adam Ounas,Lille,1,0.2,1.2
Brendan Chardonnet,Brest,1.5,0.6,2.1
Montassar Talbi,Lorient,1.4,0.3,1.7
Andrei Radu,Auxerre,0,0,0
Johan Gastien,Clermont Foot,2,2.4,4.4
Alexsandro Ribeiro,Lille,1.5,0.4,2
