player_name,team_name,age,position,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MoM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Dribbles allowed,Blocks,OwnGoal,Key_pass_per_game,Dribble,Foul_given_game,Offside_given_per_game,Dispossessed_per_game,Unsuccessful touches,Average_per_pass,Crosses_per_game,Longpass_per_game,Through_ball_per_game,xG,xGDiff,xGPerNinety,totalShots,xGPerShot,position_1,position_2,position_3,position_4,position_5
Armand Laurienté,Lorient,25,"LAM, RAM, FW",3,269,1,0,0,0,4.7,82.0,0.3,3,8.61,2.7,1.3,0.7,0.0,0.0,1.3,0.3,0,3.0,4.7,1.7,0.3,1.3,1.3,29.7,0.0,1.7,0.7,1.74,-0.74,0.58,14.0,0.12,LAM, RAM, FW,,
Lionel Messi,Paris Saint-Germain,36,"CAM, RAM, FW",32,2842,16,16,0,0,4.0,83.1,0.0,14,8.28,0.8,0.1,0.3,0.0,0.0,0.5,0.0,0,2.9,3.2,1.1,0.2,2.4,1.6,60.3,1.1,2.7,1.2,16.15,-0.15,0.51,129.0,0.13,CAM, RAM, FW,,
Kylian Mbappé,Paris Saint-Germain,25,"CAM, LAM, RAM, FW",32(2),2822,29,5,6,0,4.4,82.9,0.2,7,7.8,0.3,0.1,0.6,0.0,0.1,0.3,0.0,0,1.6,2.2,1.2,1.0,1.2,1.9,37.9,0.4,0.6,0.2,24.08,4.92,0.77,149.0,0.16,CAM, LAM, RAM, FW,
Martin Terrier,Rennes,27,"CAM, LAM, FW",16,1330,9,4,0,0,2.9,75.3,3.9,7,7.71,1.6,0.9,0.8,0.0,0.3,0.7,0.1,0,1.6,0.6,1.5,0.4,0.9,1.6,36.8,0.2,1.4,0.2,6.49,2.51,0.44,47.0,0.14,CAM, LAM, FW,,
Neymar,Paris Saint-Germain,32,"CAM, LAM, RAM, FW",18(2),1553,13,11,4,1,1.9,82.7,0.1,3,7.71,1.1,0.2,1.3,0.0,0.1,0.5,0.1,0,2.5,1.9,3.3,0.3,1.9,2.5,59.4,0.9,2.2,0.5,9.36,3.64,0.54,38.0,0.25,CAM, LAM, RAM, FW,
Sofiane Diop,Monaco,23,"CAM, LAM, RAM",1,66,1,0,0,0,2.0,69.2,2.0,0,7.56,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,3.0,1.0,2.0,1.0,3.0,3.0,26.0,2.0,0.0,0.0,0.92,0.08,1.26,2.0,0.46,CAM, LAM, RAM,,
Dango Ouattara,Lorient,22,"LB, LM, RM",18,1552,6,5,1,1,2.9,63.9,2.2,4,7.44,2.3,1.1,0.8,0.0,0.9,0.7,0.3,0,1.3,1.6,2.4,0.1,1.2,2.5,22.3,0.2,0.4,0.2,5.13,0.87,0.3,52.0,0.1,LB, LM, RM,,
Alexandre Lacazette,Lyon,32,"CM, LM, RM, FW",34(1),2938,27,5,3,0,3.3,75.5,0.8,5,7.42,1.2,0.4,1.8,0.0,0.1,0.5,0.1,0,1.4,1.1,1.6,0.4,1.3,1.9,24.9,0.1,0.8,0.1,24.12,2.88,0.74,115.0,0.21,CM, LM, RM, FW,
Rémy Cabella,Lille,34,"CM, LM, RM, FW",28(4),2535,7,10,3,0,1.3,84.3,0.3,5,7.38,2.0,0.5,0.8,0.0,0.2,1.1,0.2,0,3.2,1.3,1.4,0.1,1.1,1.5,49.1,1.6,0.9,0.2,7.93,-0.93,0.28,42.0,0.19,CM, LM, RM, FW,
Lucas Paquetá,Lyon,26,"CM, LM, RM, FW",2,161,0,0,0,0,2.5,87.1,2.0,0,7.32,2.5,0.5,1.0,0.0,1.5,1.0,0.0,0,1.5,0.5,1.5,0.0,0.5,1.0,62.0,0.5,5.0,1.5,0.38,-0.38,0.21,5.0,0.08,CM, LM, RM, FW,
Téji Savanier,Montpellier,32,CM,30,2557,12,4,4,3,2.1,77.9,0.4,7,7.28,1.5,1.0,1.9,0.0,0.4,1.6,0.1,0,1.9,2.4,3.2,0.0,1.7,2.4,47.3,1.7,4.9,0.1,7.69,4.31,0.27,64.0,0.12,CM,,,,
Enzo Le Fée,Lorient,24,"CM, LM, RM",35,3039,5,5,5,0,1.3,84.7,0.3,5,7.26,3.1,1.0,1.2,0.0,0.9,2.0,0.1,0,1.9,1.9,1.8,0.1,1.6,2.1,56.1,0.9,3.0,0.1,2.83,2.17,0.08,45.0,0.06,CM, LM, RM,,
Romain Faivre,Lorient,25,"CAM, LAM, RAM",14(2),1253,5,3,0,0,1.6,86.8,0.0,2,7.22,0.8,0.1,0.8,0.0,0.2,1.3,0.0,0,1.1,3.0,2.2,0.1,0.6,1.9,31.8,0.4,0.6,0.1,2.17,2.83,0.16,25.0,0.09,CAM, LAM, RAM,,
