,Unnamed: 0,player_name,team_name,age,position,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MoM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Dribbles allowed,Blocks,OwnGoal,Key_pass_per_game,Dribble,Foul_given_game,Offside_given_per_game,Dispossessed_per_game,Unsuccessful touches,Average_per_pass,Crosses_per_game,Longpass_per_game,Through_ball_per_game,xG,xGDiff,xGPerNinety,totalShots,xGPerShot
0,0,Armand Laurienté,Lorient,25," AM(LR),FW",3,269,1,0,0,0,4.7,82.0,0.3,3,8.61,2.7,1.3,0.7,0,0,1.3,0.3,0,3,4.7,1.7,0.3,1.3,1.3,29.7,0,1.7,0.7,1.74,-0.74,0.58,14,0.12
1,1,Lionel Messi,PSG,36," AM(CR),FW",32,2842,16,16,0,0,4.0,83.1,0.0,14,8.28,0.8,0.1,0.3,0,0,0.5,0,0,2.9,3.2,1.1,0.2,2.4,1.6,60.3,1.1,2.7,1.2,16.15,-0.15,0.51,129,0.13
2,2,Kylian Mbappé,PSG,25," AM(CLR),FW",32(2),2822,29,5,6,0,4.4,82.9,0.2,7,7.8,0.3,0.1,0.6,0,0.1,0.3,0,0,1.6,2.2,1.2,1,1.2,1.9,37.9,0.4,0.6,0.2,24.08,4.92,0.77,149,0.16
3,3,Martin Terrier,Rennes,27," AM(CL),FW",16,1330,9,4,0,0,2.9,75.3,3.9,7,7.71,1.6,0.9,0.8,0,0.3,0.7,0.1,0,1.6,0.6,1.5,0.4,0.9,1.6,36.8,0.2,1.4,0.2,6.49,2.51,0.44,47,0.14
4,4,Neymar,PSG,32," AM(CLR),FW",18(2),1553,13,11,4,1,1.9,82.7,0.1,3,7.71,1.1,0.2,1.3,0,0.1,0.5,0.1,0,2.5,1.9,3.3,0.3,1.9,2.5,59.4,0.9,2.2,0.5,9.36,3.64,0.54,38,0.25
5,5,Sofiane Diop,Monaco,23, AM(CLR),1,66,1,0,0,0,2.0,69.2,2.0,0,7.56,0,1,0,0,0,0,0,0,3,1,2,1,3,3,26,2,0,0,0.92,0.08,1.26,2,0.46
6,5,Sofiane Diop,Monaco,23, AM(CLR),1,66,1,0,0,0,2.0,69.2,2.0,0,7.56,0,1,0,0,0,0,0,0,3,1,2,1,3,3,26,2,0,0,2.31,-1.31,0.17,28,0.08
7,5,Sofiane Diop,Monaco,23, AM(CLR),1,66,1,0,0,0,2.0,69.2,2.0,0,7.56,0,1,0,0,0,0,0,0,3,1,2,1,3,3,29.6,0.5,1.2,0,0.92,0.08,1.26,2,0.46
8,5,Sofiane Diop,Monaco,23, AM(CLR),1,66,1,0,0,0,2.0,69.2,2.0,0,7.56,0,1,0,0,0,0,0,0,3,1,2,1,3,3,29.6,0.5,1.2,0,2.31,-1.31,0.17,28,0.08
9,5,Sofiane Diop,Monaco,23, AM(CLR),1,66,1,0,0,0,2.0,69.2,2.0,0,7.56,0,1,0,0,0,0,0,0,1,1,1.2,0.1,1,1.8,26,2,0,0,0.92,0.08,1.26,2,0.46
