Name,Team,Position,Date of Birth,Age,Nationality,Market Value
Gianluigi Donnarumma,Paris Saint-Germain,Goalkeeper,"Feb 25, 1999",24,Italy,€45.00m
Keylor Navas,Paris Saint-Germain,Goalkeeper,"Dec 15, 1986",36,Costa Rica,€4.00m
Sergio Rico,Paris Saint-Germain,Goalkeeper,"Sep 1, 1993",29,Spain,€3.00m
Lucas Lavallée,Paris Saint-Germain,Goalkeeper,"Feb 18, 2003",20,France,€300k
Alexandre Letellier,Paris Saint-Germain,Goalkeeper,"Dec 11, 1990",32,France,€300k
Marquinhos,Paris Saint-Germain,Centre-Back,"May 14, 1994",29,Brazil,€65.00m
Presnel Kimpembe,Paris Saint-Germain,Centre-Back,"Aug 13, 1995",27,France,€28.00m
Abdou Diallo,Paris Saint-Germain,Centre-Back,"May 4, 1996",27,Senegal,€10.00m
El Chadaille Bitshiabu,Paris Saint-Germain,Centre-Back,"May 16, 2005",18,France,€7.00m
Sergio Ramos,Paris Saint-Germain,Centre-Back,"Mar 30, 1986",37,Spain,€4.50m
Nehemiah Fernandez,Paris Saint-Germain,Centre-Back,"Dec 11, 2004",18,France,€250k
Nuno Mendes,Paris Saint-Germain,Left-Back,"Jun 19, 2002",21,Portugal,€65.00m
Juan Bernat,Paris Saint-Germain,Left-Back,"Mar 1, 1993",30,Spain,€10.00m
Serif Nhaga,Paris Saint-Germain,Left-Back,"Sep 1, 2005",17,Portugal,€150k
Achraf Hakimi,Paris Saint-Germain,Right-Back,"Nov 4, 1998",24,Morocco,€65.00m
Nordi Mukiele,Paris Saint-Germain,Right-Back,"Nov 1, 1997",25,France,€18.00m
Timothée Pembélé,Paris Saint-Germain,Right-Back,"Sep 9, 2002",20,France,€5.00m
Hugo Lamy,Paris Saint-Germain,Right-Back,"Jan 16, 2004",19,France,€250k
Leandro Paredes,Paris Saint-Germain,Defensive Midfield,"Jun 29, 1994",29,Argentina,€12.00m
Danilo Pereira,Paris Saint-Germain,Defensive Midfield,"Sep 9, 1991",31,Portugal,€10.00m
Vitinha,Paris Saint-Germain,Central Midfield,"Feb 13, 2000",23,Portugal,€42.00m
Marco Verratti,Paris Saint-Germain,Central Midfield,"Nov 5, 1992",30,Italy,€40.00m
Fabián Ruiz,Paris Saint-Germain,Central Midfield,"Apr 3, 1996",27,Spain,€32.00m
Carlos Soler,Paris Saint-Germain,Central Midfield,"Jan 2, 1997",26,Spain,€25.00m
Warren Zaïre-Emery,Paris Saint-Germain,Central Midfield,"Mar 8, 2006",17,France,€20.00m
Renato Sanches,Paris Saint-Germain,Central Midfield,"Aug 18, 1997",25,Portugal,€15.00m
Idrissa Gueye,Paris Saint-Germain,Central Midfield,"Sep 26, 1989",33,Senegal,€5.00m
Ayman Kari,Paris Saint-Germain,Central Midfield,"Nov 19, 2004",18,France,€1.00m
Ismaël Gharbi,Paris Saint-Germain,Attacking Midfield,"Apr 10, 2004",19,Spain,€5.00m
Neymar,Paris Saint-Germain,Left Winger,"Feb 5, 1992",31,Brazil,€60.00m
Lionel Messi,Paris Saint-Germain,Right Winger,"Jun 24, 1987",36,Argentina,€35.00m
Pablo Sarabia,Paris Saint-Germain,Right Winger,"May 11, 1992",31,Spain,€14.00m
Kylian Mbappé,Paris Saint-Germain,Centre-Forward,"Dec 20, 1998",24,France,€180.00m
Arnaud Kalimuendo,Paris Saint-Germain,Centre-Forward,"Jan 20, 2002",21,France,€22.00m
Hugo Ekitiké,Paris Saint-Germain,Centre-Forward,"Jun 20, 2002",21,France,€20.00m
Mauro Icardi,Paris Saint-Germain,Centre-Forward,"Feb 19, 1993",30,Argentina,€19.00m
Ilyes Housni,Paris Saint-Germain,Centre-Forward,"May 14, 2005",18,Morocco,€3.50m
Doğan Alemdar,Stade Rennais FC,Goalkeeper,"Oct 29, 2002",20,Türkiye,€4.00m
Steve Mandanda,Stade Rennais FC,Goalkeeper,"Mar 28, 1985",38,France,€1.00m
Elias Damergy,Stade Rennais FC,Goalkeeper,"Oct 17, 2002",20,Tunisia,€150k
Romain Salin,Stade Rennais FC,Goalkeeper,"Jul 29, 1984",38,France,€150k
Arthur Theate,Stade Rennais FC,Centre-Back,"May 25, 2000",23,Belgium,€22.00m
Loïc Badé,Stade Rennais FC,Centre-Back,"Apr 11, 2000",23,France,€12.00m
Warmed Omari,Stade Rennais FC,Centre-Back,"Apr 23, 2000",23,France,€9.00m
Joe Rodon,Stade Rennais FC,Centre-Back,"Oct 22, 1997",25,Wales,€7.00m
Jeanuël Belocian,Stade Rennais FC,Centre-Back,"Feb 17, 2005",18,France,€7.00m
Christopher Wooh,Stade Rennais FC,Centre-Back,"Sep 18, 2001",21,Cameroon,€6.00m
Jérémy Jacquet,Stade Rennais FC,Centre-Back,"Jul 13, 2005",17,France,€50k
Adrien Truffert,Stade Rennais FC,Left-Back,"Nov 20, 2001",21,France,€18.00m
Birger Meling,Stade Rennais FC,Left-Back,"Dec 17, 1994",28,Norway,€5.00m
Léo Rouillé,Stade Rennais FC,Left-Back,"Feb 9, 2004",19,France,€50k
Hamari Traoré,Stade Rennais FC,Right-Back,"Jan 27, 1992",31,Mali,€10.00m
Djed Spence,Stade Rennais FC,Right-Back,"Aug 9, 2000",22,England,€10.00m
Lorenz Assignon,Stade Rennais FC,Right-Back,"Jun 22, 2000",23,France,€5.00m
Guéla Doué,Stade Rennais FC,Right-Back,"Oct 17, 2002",20,Cote d'Ivoire,€300k
Baptiste Santamaria,Stade Rennais FC,Defensive Midfield,"Mar 9, 1995",28,France,€14.00m
Lesley Ugochukwu,Stade Rennais FC,Defensive Midfield,"Mar 26, 2004",19,France,€9.00m
Noah Françoise,Stade Rennais FC,Defensive Midfield,"Jul 5, 2003",19,France,€350k
