,Unnamed: 0,team_name,P,W,D,L,GF,GA,GD,Pts,Goals,Yellow,Red,Poss%,Pass%,A_Won,Rating,Shot allowed,Tackles pg,Intercept pg,Fouls pg,Offsides pg,Shots OT pg,Dribbles pg,Fouled pg,xG,GoalsDiff,xGDiff,Shots,xG/shots
0,0,Paris Saint-Germain,38,27,4,7,89,40,49,85,89,53,5,60.9,90.5,6.6,6.88,11.8,16.1,7.8,10,2,6.6,6.6,6.6,78.99,86,7.01,569,0.14
1,1,Lens,38,25,9,4,68,29,39,84,68,63,3,55.8,86.4,10.8,6.75,10.3,14.2,8.9,12.9,1.6,4.9,4.9,4.9,67.18,66,-1.18,527,0.13
2,2,Marseille,38,22,7,9,67,40,27,73,67,62,4,56.9,83.2,13.1,6.75,11.2,18,11.1,14,1.8,4.9,4.9,4.9,66.58,61,-5.58,553,0.12
3,3,Rennes,38,21,5,12,69,39,30,68,69,54,6,55.8,84.7,14.2,6.73,9.9,15.8,9,12.2,1.4,5.1,5.1,5.1,62.99,66,3.01,529,0.12
4,4,Lille,38,19,10,9,65,44,21,67,65,83,1,60.9,86.1,11.7,6.73,8.7,16.7,7.9,13.1,1.7,5.7,5.7,5.7,70.91,65,-5.91,557,0.13
5,5,Monaco,38,19,8,11,70,58,12,65,70,58,5,47.8,80.5,13.6,6.71,13.5,18.3,11.2,12.8,2.2,5.5,5.5,5.5,63.73,69,5.27,478,0.13
6,6,Lyon,38,18,8,12,65,47,18,62,65,59,3,58.0,85.1,12.0,6.77,11.3,19,12.7,13.2,1.5,5.4,5.4,5.4,63.15,63,-0.15,519,0.12
7,7,Clermont Foot,38,17,8,13,45,49,-4,59,45,68,5,48.1,81.1,10.8,6.57,12.8,18,11.6,11.2,1.4,4,4,4,48.99,44,-4.99,403,0.12
8,8,Nice,38,15,13,10,48,37,11,58,48,51,3,51.5,85.4,10.3,6.73,11.7,21.5,10.9,10.1,1.3,5.2,5.2,5.2,53.46,47,-6.46,514,0.1
9,9,Lorient,38,15,10,13,52,53,-1,55,52,42,4,46.4,83.5,10.9,6.66,14.9,19.4,9.7,10.4,1.3,4.1,4.1,4.1,43.19,49,5.81,403,0.11
10,10,Reims,38,12,15,11,45,45,0,51,45,67,9,48.4,80.0,12.6,6.63,12.8,18.5,10.4,13.3,2.2,4.7,4.7,4.7,60.57,45,-15.57,524,0.12
11,11,Montpellier,38,15,5,18,65,62,3,50,65,66,10,45.4,78.6,12.7,6.64,13.8,18,10.6,12.8,1.9,4.6,4.6,4.6,51.43,64,12.57,442,0.12
12,12,Toulouse,38,13,9,16,51,57,-6,48,51,56,3,51.1,82.0,12.9,6.61,14.2,18.8,10.8,12.4,1.9,4.8,4.8,4.8,54.19,50,-4.19,457,0.12
13,13,Brest,38,11,11,16,44,54,-10,44,44,63,2,44.6,78.0,16.8,6.62,12.9,18.6,12.5,13.1,1.6,3.7,3.7,3.7,43.75,43,-0.75,425,0.1
14,14,Strasbourg,38,9,13,16,51,59,-8,40,51,68,7,45.6,79.0,18.0,6.62,11.2,18.2,11.5,13.9,1.1,4.3,4.3,4.3,49.59,48,-1.59,449,0.11
15,15,Nantes,38,7,15,16,37,55,-18,36,37,61,4,45.5,80.0,15.7,6.6,12,18.7,11.3,12.7,1.4,4.2,4.2,4.2,44.67,35,-9.67,448,0.1
16,16,Auxerre,38,8,11,19,35,63,-28,35,35,46,6,43.0,79.6,13.0,6.51,12.4,17.7,11.9,12.2,1.3,3.3,3.3,3.3,42.32,32,-10.32,429,0.1
17,17,AC Ajaccio,38,7,5,26,23,74,-51,26,23,82,10,42.5,75.5,16.2,6.34,11.1,16.8,11.1,14.2,1.7,2.3,2.3,2.3,33.94,22,-11.94,320,0.11
18,18,Troyes,38,4,12,22,45,81,-36,24,45,55,5,42.1,80.2,12.6,6.51,16.5,16,10.5,10.6,1.5,3.7,3.7,3.7,39.15,43,3.85,395,0.1
19,19,Angers,38,4,6,28,33,81,-48,18,33,63,5,46.7,82.8,11.6,6.43,12.2,17.2,9.9,12.9,1.2,3.4,3.4,3.4,40.23,31,-9.23,371,0.11
