,Unnamed: 0,player_name,team_name,age,position,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MoM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Was_dribble,Blocks,OwnGoal,key_pass_per_game,dribble_won_per_game,foul_given_game,offside_given_per_game,dispossessed_per_game,turnover_per_game,average_per_pass,corsses_per_game,longpass_per_game,through_ball_per_game,xG,xGDiff,xGPerNinety,totalShots,xGPerShot
0,0,Lionel Messi,,36," AM(CR),FW",32,2842,16,16,0,0,4.0,83.1,0.0,14,8.28,0.8,0.1,0.3,0,0,0.5,0,0,2.9,3.2,1.1,0.2,2.4,1.6,60.3,1.1,2.7,1.2,16.15,-0.15,0.51,129,0.13
1,1,Kylian Mbappé,,25," AM(CLR),FW",32(2),2822,29,5,6,0,4.4,82.9,0.2,7,7.8,0.3,0.1,0.6,0,0.1,0.3,0,0,1.6,2.2,1.2,1,1.2,1.9,37.9,0.4,0.6,0.2,24.08,4.92,0.77,149,0.16
2,2,Neymar,,32," AM(CLR),FW",18(2),1553,13,11,4,1,1.9,82.7,0.1,3,7.71,1.1,0.2,1.3,0,0.1,0.5,0.1,0,2.5,1.9,3.3,0.3,1.9,2.5,59.4,0.9,2.2,0.5,9.36,3.64,0.54,38,0.25
3,3,Alexandre Lacazette,,32," M(CLR),FW",34(1),2938,27,5,3,0,3.3,75.5,0.8,5,7.42,1.2,0.4,1.8,0,0.1,0.5,0.1,0,1.4,1.1,1.6,0.4,1.3,1.9,24.9,0.1,0.8,0.1,24.12,2.88,0.74,115,0.21
4,4,Rémy Cabella,,34," M(CLR),FW",28(4),2535,7,10,3,0,1.3,84.3,0.3,5,7.38,2,0.5,0.8,0,0.2,1.1,0.2,0,3.2,1.3,1.4,0.1,1.1,1.5,49.1,1.6,0.9,0.2,7.93,-0.93,0.28,42,0.19
5,5,Téji Savanier,,32, M(C),30,2557,12,4,4,3,2.1,77.9,0.4,7,7.28,1.5,1,1.9,0,0.4,1.6,0.1,0,1.9,2.4,3.2,0,1.7,2.4,47.3,1.7,4.9,0.1,7.69,4.31,0.27,64,0.12
6,6,Enzo Le Fée,,24, M(CLR),35,3039,5,5,5,0,1.3,84.7,0.3,5,7.26,3.1,1,1.2,0,0.9,2,0.1,0,1.9,1.9,1.8,0.1,1.6,2.1,56.1,0.9,3,0.1,2.83,2.17,0.08,45,0.06
7,7,Jonathan David,,24," AM(C),FW",36(1),3179,24,4,6,0,2.9,82.7,0.4,5,7.18,0.6,0.2,1.1,0,0.3,0.5,0.1,0,1.4,0.8,1.6,0.6,1.4,2.4,23.2,0.1,0.4,0.1,23.72,0.28,0.67,106,0.22
8,8,Benjamin André,,33," D(R),M(CLR)",33(1),2919,1,1,12,0,0.7,84.3,2.7,3,7.16,3.8,1.4,1.7,0.1,1.6,1.6,0.2,0,0.6,0.6,1.1,0,1,1.1,67.6,0,5.2,0.1,1.4,-0.4,0.04,24,0.06
9,9,Benjamin Lecomte,,33, GK,19,1710,0,0,0,0,0.0,60.0,0.3,1,7.15,0,0,0,0,0.8,0.1,0,0,0.1,0.1,0,0,0,0,29.9,0,7.5,0,,,,,
10,10,Benjamin Bourigeaud,,30, M(CLR),37,3084,7,10,4,1,2.0,80.8,0.3,4,7.15,1.2,0.8,0.9,0.1,0.7,1.2,0.1,0,2.6,0.4,0.4,0.1,0.5,0.9,46.6,2,3.1,0.2,8.65,-1.65,0.25,73,0.12
11,11,Florian Sotoca,,33," M(CR),FW",34(4),3064,7,9,4,0,2.3,80.1,1.5,4,7.13,1,0.8,1,0,1.3,0.7,0.1,0,1.6,0.4,1.2,0.2,0.7,1.2,36.6,0.5,2.2,0.2,10.41,-3.41,0.31,89,0.12
12,12,Amine Gouiri,,24," AM(CL),FW",29(4),2532,15,3,3,0,2.2,79.8,0.9,1,7.12,1.3,0.4,1.2,0,0.3,0.6,0,0,1.1,1,0.5,0.2,1.1,2.2,22.1,0.2,0.5,0.1,11.66,3.34,0.41,74,0.16
13,13,Gaëtan Laborde,,29," AM(CLR),FW",28(5),2514,13,3,0,0,2.3,71.0,1.5,4,7.12,1.4,0.3,0.8,0,0.4,0.7,0.1,0,1.3,0.8,0.8,0.2,0.9,2.1,19.3,0.5,0.3,0.1,11.15,1.85,0.4,75,0.15
14,14,Aleksandr Golovin,,27, M(CLR),29(5),2484,8,7,5,0,1.4,74.8,0.5,3,7.11,1.8,1.1,1.1,0,0.2,1.3,0,0,1.7,0.8,0.7,0.2,0.9,1.4,28.4,1,1.3,0.1,5.38,2.62,0.2,49,0.11
15,15,Seko Fofana,,28, M(C),34(1),3079,7,5,2,0,2.4,89.3,0.6,4,7.1,0.8,0.5,0.6,0,0.4,0.7,0.1,0,1,1.7,1.3,0.1,1.2,1.7,50.3,0.4,2.1,0.1,8.75,-1.75,0.26,84,0.1
16,16,Andrei Girotto,,32," D(C),DMC",36,3153,1,1,7,0,0.8,83.0,2.2,4,7.09,3.4,2,1.5,0.3,4.8,1.6,0.7,0,0.4,0.1,0.9,0,0.2,0.3,48.1,0.1,4.4,0,1.63,-0.63,0.05,27,0.06
17,17,Edon Zhegrova,,25, AM(R),11(11),1056,3,4,1,0,1.9,82.5,0.0,2,7.08,0.8,0.1,0.5,0,0,0.4,0,0,1.4,2.4,0.7,0.1,0.8,1.5,23.1,1.1,0.6,0.1,3.97,-0.97,0.34,42,0.09
18,18,Branco van den Boomen,,28, DMC,32(3),2893,5,8,6,0,1.5,83.0,0.2,1,7.08,2,0.3,0.9,0,0.7,1.5,0.1,0,2.5,0.5,0.5,0.1,0.3,0.9,54.2,2.5,7.3,0.2,5.73,-0.73,0.18,52,0.11
19,19,Jérémy Doku,,21, M(LR),13(16),1287,6,2,0,0,0.9,86.4,0.1,4,7.08,0.9,0.2,0.6,0,0.1,0.4,0,0,1,3.3,1.2,0,0.8,1.5,17,0.2,0.2,0,2.96,3.04,0.21,26,0.11
20,20,Jean-Ricner Bellegarde,,25, M(CLR),29(1),2428,2,6,5,0,1.3,81.6,0.7,5,7.07,1.6,0.9,1.2,0,0.6,0.5,0.1,0,1.9,1.9,2.4,0,1.5,2.1,36.3,1.5,1.5,0.1,2.39,-0.39,0.09,38,0.06
21,21,Steve Mounié,,29, FW,20(3),1662,6,0,2,0,2.6,56.2,6.6,2,7.07,0.6,0.1,1.6,0,0.9,0.4,0.3,0,0.6,0.4,1.1,0.4,1.2,2.3,19.3,0,0.1,0,8,-2,0.43,59,0.14
22,22,Wissam Ben Yedder,,33," AM(C),FW",28(4),2130,19,6,4,0,2.3,76.5,0.5,4,7.07,0.5,0.1,0.6,0,0,0.3,0,0,0.8,0.7,0.7,0.7,1,1.1,18.2,0.1,0.3,0,16.98,2.02,0.72,72,0.24
23,23,Fabien Centonze,,28," D(R),M(R)",19(4),1693,0,0,4,0,0.6,79.3,1.4,1,7.06,2.5,1.9,0.6,0.1,2.3,0.5,0.3,0,0.5,1.7,0.9,0,0.5,1.1,32,0.6,1.4,0,0.57,-0.57,0.03,14,0.04
24,24,Nuno Mendes,,21," D(L),M(L)",18(5),1554,1,5,2,0,0.4,86.9,0.4,0,7.04,2,0.7,1.1,0.1,0.7,0.5,0.1,0,1,1.2,1.5,0.2,0.7,1.3,35.9,0.3,0.6,0.1,1.44,-0.44,0.08,10,0.14
25,25,Maxence Caqueret,,24, M(C),32(4),2778,4,7,2,0,0.7,86.3,0.4,2,7.04,2.4,1.1,1.3,0,0.8,1.8,0.1,0,1.7,1.1,0.9,0.1,1.3,1.9,46.5,0.8,1.4,0.1,2.91,1.09,0.09,26,0.11
26,26,Alexis Sánchez,,35," M(CLR),FW",32(3),2699,14,3,3,0,1.9,75.8,1.0,6,7.04,0.8,0.1,1.3,0,0.2,0.6,0,0,1.6,1.2,1.3,0.8,1.8,2.4,25.3,0.2,1.3,0.1,12.98,1.02,0.43,66,0.2
27,27,Habib Diallo,,28," AM(R),FW",32(5),2880,20,1,2,1,2.5,67.7,3.6,5,7.04,0.5,0.3,1,0,0.7,0.3,0.1,0,0.7,0.8,1.7,0.5,0.9,3.2,15.8,0,0.3,0.1,19.93,0.07,0.62,94,0.21
