,team_name,P,W,D,L,GF,GA,GD,Pts,Goals,Shots pg,Yellow,Red,Poss%,Pass%,A_Won,Rating
0,Paris Saint-Germain,38,27,4,7,89,40,+49,85,89,15,53,5,60.9,90.5,6.6,6.88
1,Lens,38,25,9,4,68,29,+39,84,68,13.9,63,3,55.8,86.4,10.8,6.75
2,Marseille,38,22,7,9,67,40,+27,73,67,14.6,62,4,56.9,83.2,13.1,6.75
3,Rennes,38,21,5,12,69,39,+30,68,69,13.9,54,6,55.8,84.7,14.2,6.73
4,Lille,38,19,10,9,65,44,+21,67,65,14.7,83,1,60.9,86.1,11.7,6.73
5,Monaco,38,19,8,11,70,58,+12,65,70,12.6,58,5,47.8,80.5,13.6,6.71
6,Lyon,38,18,8,12,65,47,+18,62,65,13.7,59,3,58.0,85.1,12,6.77
7,Clermont Foot,38,17,8,13,45,49,-4,59,45,10.6,68,5,48.1,81.1,10.8,6.57
8,Nice,38,15,13,10,48,37,+11,58,48,13.5,51,3,51.5,85.4,10.3,6.73
9,Lorient,38,15,10,13,52,53,-1,55,52,10.6,42,4,46.4,83.5,10.9,6.66
10,Reims,38,12,15,11,45,45,0,51,45,13.8,67,9,48.4,80.0,12.6,6.63
11,Montpellier,38,15,5,18,65,62,+3,50,65,11.6,66,10,45.4,78.6,12.7,6.64
12,Toulouse,38,13,9,16,51,57,-6,48,51,12,56,3,51.1,82.0,12.9,6.61
13,Brest,38,11,11,16,44,54,-10,44,44,11.2,63,2,44.6,78.0,16.8,6.62
14,Strasbourg,38,9,13,16,51,59,-8,40,51,11.8,68,7,45.6,79.0,18,6.62
15,Nantes,38,7,15,16,37,55,-18,36,37,11.8,61,4,45.5,80.0,15.7,6.60
16,Auxerre,38,8,11,19,35,63,-28,35,35,11.3,46,6,43.0,79.6,13,6.51
17,AC Ajaccio,38,7,5,26,23,74,-51,26,23,8.4,82,10,42.5,75.5,16.2,6.34
18,Troyes,38,4,12,22,45,81,-36,24,45,10.4,55,5,42.1,80.2,12.6,6.51
19,Angers,38,4,6,28,33,81,-48,18,33,9.8,63,5,46.7,82.8,11.6,6.43
