player_name,team_name,Total_Aerial,Won,Lost
Tjark Ernst,Hertha Berlin,0,0,0
Jude Bellingham,Borussia Dortmund,2.2,1.1,1.1
Joshua Kimmich,Bayern Munich,1.5,0.5,1
Niclas Füllkrug,Werder Bremen,10.3,5.5,4.7
Christopher Nkunku,RB Leipzig,1.7,0.7,1
Jamal Musiala,Bayern Munich,0.7,0.4,0.4
Dominik Szoboszlai,RB Leipzig,0.8,0.2,0.6
Randal Kolo Muani,Eintracht Frankfurt,4.4,1.9,2.5
Julian Brandt,Borussia Dortmund,1,0.3,0.8
Raphaël Guerreiro,Borussia Dortmund,0.6,0.2,0.4
Vincenzo Grifo,Freiburg,1,0.5,0.5
Jonas Hofmann,Borussia M.Gladbach,1.1,0.4,0.7
Sébastien Haller,Borussia Dortmund,4.3,2.2,2.1
Donyell Malen,Borussia Dortmund,0.7,0.2,0.4
Julien Duranville,Borussia Dortmund,0,0,0
Kingsley Coman,Bayern Munich,0.9,0.5,0.4
João Cancelo,Bayern Munich,1.9,1.1,0.8
Eric Choupo-Moting,Bayern Munich,2.1,0.9,1.1
Benjamin Pavard,Bayern Munich,3.2,2.1,1.1
Alphonso Davies,Bayern Munich,0.5,0.2,0.2
Florian Wirtz,Bayer Leverkusen,0.8,0.1,0.7
Yann Sommer,Borussia M.Gladbach,0.1,0,0.1
Thomas Müller,Bayern Munich,2.4,1.4,0.9
Jeff Chabot,FC Koln,6.5,4.3,2.2
Jeremie Frimpong,Bayer Leverkusen,1,0.4,0.7
Michael Gregoritsch,Freiburg,9.8,4.7,5
Serge Gnabry,Bayern Munich,0.9,0.3,0.6
Marcus Thuram,Borussia M.Gladbach,3.4,1.4,2
Leroy Sané,Bayern Munich,0.4,0.2,0.2
Nico Schlotterbeck,Borussia Dortmund,3.4,2.1,1.2
Frederik Winther,Augsburg,9,6,3
Florian Kainz,FC Koln,1.3,0.3,1
Moussa Diaby,Bayer Leverkusen,0.7,0.1,0.6
Willi Orbán,RB Leipzig,5.6,3.4,2.3
Ellyes Skhiri,FC Koln,1.9,1.3,0.7
Maximilian Arnold,Wolfsburg,2,1,1
Frederik Rønnow,Union Berlin,0.4,0.3,0.1
Borna Sosa,VfB Stuttgart,1.1,0.6,0.5
Philipp Hofmann,Bochum,11.4,6.3,5.1
Konstantinos Mavropanos,VfB Stuttgart,4.1,2.9,1.2
Paulo Otávio,Wolfsburg,2.6,1.1,1.5
Marvin Ducksch,Werder Bremen,1.7,0.7,1
Patrick Wimmer,Wolfsburg,2,0.8,1.2
Jonas Hector,FC Koln,2.8,1.8,1
Danilho Doekhi,Union Berlin,4.4,2.4,2
Mats Hummels,Borussia Dortmund,3.7,2.4,1.3
Wataru Endo,VfB Stuttgart,3.9,2.3,1.7
Ørjan Nyland,RB Leipzig,0.5,0,0.5
Ludovic Ajorque,Mainz 05,10.4,5.4,5
Ramy Bensebaïni,Borussia M.Gladbach,4,2.5,1.5
Matthias Ginter,Freiburg,5.5,3.5,2
Ralf Fährmann,Schalke 04,0.2,0.2,0
Diant Ramaj,Eintracht Frankfurt,1,1,0
Mitchell Weiser,Werder Bremen,1.8,0.8,1
Matthijs de Ligt,Bayern Munich,5.2,3.1,2.1
Dani Olmo,RB Leipzig,1.1,0.3,0.7
Christoph Baumgartner,Hoffenheim,4.5,2.2,2.3
Sheraldo Becker,Union Berlin,1.9,0.5,1.4
Michael Zetterer,Werder Bremen,0.5,0.5,0
Rodrigo Zalazar,Schalke 04,2.9,1.1,1.8
Ritsu Doan,Freiburg,1.5,0.3,1.2
Finn Dahmen,Mainz 05,1,0.9,0.1
Timo Hübers,FC Koln,5.5,3.3,2.2
Leon Goretzka,Bayern Munich,2.6,1.7,0.9
Julian Ryerson,Union Berlin,1.2,0.4,0.8
Emre Can,Borussia Dortmund,1.7,1.1,0.6
Lucas Tousart,Hertha Berlin,5.6,2.8,2.9
Andreas Hanche-Olsen,Mainz 05,6.4,4.1,2.4
Robin Knoche,Union Berlin,3.5,1.8,1.8
Sasa Kalajdzic,VfB Stuttgart,6,3,3
Marc Oliver Kempf,Hertha Berlin,7,4.3,2.7
Noussair Mazraoui,Bayern Munich,1.8,0.9,0.9
Konrad Laimer,RB Leipzig,1,0.1,0.8
Felix Nmecha,Wolfsburg,2.5,1.5,1
Karim Adeyemi,Borussia Dortmund,0.6,0.4,0.2
Sadio Mané,Bayern Munich,1.6,0.9,0.8
Anton Stach,Mainz 05,3.5,2.4,1
Dodi Lukébakio,Hertha Berlin,1.5,0.5,1
Robert Andrich,Bayer Leverkusen,3.4,1.9,1.5
Lucas Höler,Freiburg,4.6,2.7,1.9
Kevin Stöger,Bochum,1.7,0.3,1.3
Kevin Behrens,Union Berlin,9.8,5.4,4.5
Jan Olschowsky,Borussia M.Gladbach,0,0,0
Georginio Rutter,Hoffenheim,2.2,0.7,1.5
Ihlas Bebou,Hoffenheim,4.3,1.5,2.8
Manuel Neuer,Bayern Munich,0.3,0.3,0
Karim Onisiwo,Mainz 05,4,1.8,2.2
Soichiro Kozuki,Schalke 04,2.2,0.6,1.6
Timo Werner,RB Leipzig,0.6,0.2,0.4
Exequiel Palacios,Bayer Leverkusen,1.1,0.5,0.6
Marius Wolf,Borussia Dortmund,0.5,0.2,0.2
Aurélio Buta,Eintracht Frankfurt,3.2,1.2,2
Manu Koné,Borussia M.Gladbach,1.4,0.5,0.8
Philipp Lienhart,Freiburg,3.6,2.2,1.4
Lukas Kübler,Freiburg,1.9,1.1,0.8
Lars Stindl,Borussia M.Gladbach,1.3,0.3,1
Daichi Kamada,Eintracht Frankfurt,1.6,0.6,1.1
Rafal Gikiewicz,Augsburg,0.3,0.3,0
Tomás Koubek,Augsburg,0.7,0.7,0
Mark Flekken,Freiburg,0.2,0.2,0
Niklas Süle,Borussia Dortmund,1.7,1.1,0.6
Julian Ryerson,Borussia Dortmund,1.3,0.8,0.5
