player_name,team_name,Cross,Corner,Throughball,Freekick,Throwin,Other,Total_Assists
Tjark Ernst,Hertha Berlin,0,0,0,0,0,0,0
Jude Bellingham,Borussia Dortmund,0,0,0,0,0,0.1,0.1
Joshua Kimmich,Bayern Munich,0.1,0,0.1,0,0,0,0.2
Niclas Füllkrug,Werder Bremen,0,0,0,0,0,0.2,0.2
Christopher Nkunku,RB Leipzig,0,0,0,0,0,0.1,0.2
Jamal Musiala,Bayern Munich,0,0,0,0,0,0.3,0.3
Dominik Szoboszlai,RB Leipzig,0.1,0.1,0,0,0,0.2,0.3
Randal Kolo Muani,Eintracht Frankfurt,0,0,0,0,0,0.3,0.3
Julian Brandt,Borussia Dortmund,0,0,0,0,0,0.2,0.3
Raphaël Guerreiro,Borussia Dortmund,0.1,0,0,0,0,0.3,0.4
Vincenzo Grifo,Freiburg,0.2,0.1,0,0,0,0,0.2
Jonas Hofmann,Borussia M.Gladbach,0.1,0,0,0.1,0,0.2,0.3
Sébastien Haller,Borussia Dortmund,0,0,0,0,0,0.2,0.2
Donyell Malen,Borussia Dortmund,0.1,0,0,0,0,0.1,0.2
Julien Duranville,Borussia Dortmund,0,0,0,0,0,0,0
Kingsley Coman,Bayern Munich,0,0,0,0,0,0.1,0.2
João Cancelo,Bayern Munich,0.1,0,0,0,0,0.1,0.3
Eric Choupo-Moting,Bayern Munich,0,0,0,0,0,0.1,0.1
Benjamin Pavard,Bayern Munich,0,0,0,0,0,0,0
Alphonso Davies,Bayern Munich,0,0,0,0,0,0.1,0.2
Florian Wirtz,Bayer Leverkusen,0.1,0,0.1,0,0,0.2,0.4
Yann Sommer,Borussia M.Gladbach,0,0,0,0,0,0,0
Thomas Müller,Bayern Munich,0,0,0,0,0,0.2,0.3
Jeff Chabot,FC Koln,0,0,0,0,0,0.1,0.1
Jeremie Frimpong,Bayer Leverkusen,0.1,0,0,0,0,0.1,0.2
Michael Gregoritsch,Freiburg,0,0,0,0,0,0.1,0.1
Serge Gnabry,Bayern Munich,0.1,0,0,0,0,0.1,0.1
Marcus Thuram,Borussia M.Gladbach,0,0,0,0,0,0.2,0.2
Leroy Sané,Bayern Munich,0,0,0.1,0,0,0.2,0.2
Nico Schlotterbeck,Borussia Dortmund,0,0,0,0,0,0.1,0.2
Frederik Winther,Augsburg,0,0,0,0,0,1,1
Florian Kainz,FC Koln,0.2,0,0.1,0,0,0.1,0.3
Moussa Diaby,Bayer Leverkusen,0.1,0,0,0,0,0.2,0.2
Willi Orbán,RB Leipzig,0,0,0,0,0,0,0
Ellyes Skhiri,FC Koln,0,0,0,0,0,0,0
Maximilian Arnold,Wolfsburg,0.1,0,0,0.1,0,0,0.1
Frederik Rønnow,Union Berlin,0,0,0,0,0,0,0
Borna Sosa,VfB Stuttgart,0.2,0,0,0,0,0.1,0.3
Philipp Hofmann,Bochum,0,0,0,0,0,0.1,0.1
Konstantinos Mavropanos,VfB Stuttgart,0,0,0,0,0,0,0
Paulo Otávio,Wolfsburg,0,0,0,0,0,0.1,0.2
Marvin Ducksch,Werder Bremen,0.1,0,0,0.1,0,0.1,0.2
Patrick Wimmer,Wolfsburg,0.2,0,0,0.1,0,0.1,0.3
Jonas Hector,FC Koln,0,0,0,0,0,0.1,0.1
Danilho Doekhi,Union Berlin,0,0,0,0,0,0,0
Mats Hummels,Borussia Dortmund,0,0,0,0,0,0,0
Wataru Endo,VfB Stuttgart,0,0,0.1,0,0,0.1,0.1
Ørjan Nyland,RB Leipzig,0,0,0,0,0,0.5,0.5
Ludovic Ajorque,Mainz 05,0,0,0,0,0,0.1,0.1
Ramy Bensebaïni,Borussia M.Gladbach,0,0,0,0,0,0,0
Matthias Ginter,Freiburg,0,0,0,0,0,0,0
Ralf Fährmann,Schalke 04,0,0,0,0,0,0,0
Diant Ramaj,Eintracht Frankfurt,0,0,0,0,0,0,0
Mitchell Weiser,Werder Bremen,0.1,0,0.1,0,0,0.2,0.3
Matthijs de Ligt,Bayern Munich,0,0,0,0,0,0,0
Dani Olmo,RB Leipzig,0,0,0,0,0,0.2,0.2
Christoph Baumgartner,Hoffenheim,0,0,0,0,0,0.1,0.1
Sheraldo Becker,Union Berlin,0.1,0,0,0,0,0.1,0.2
Michael Zetterer,Werder Bremen,0,0,0,0,0,0,0
Rodrigo Zalazar,Schalke 04,0.1,0.1,0,0,0,0.1,0.3
Ritsu Doan,Freiburg,0,0,0,0,0,0.1,0.1
Finn Dahmen,Mainz 05,0,0,0,0,0,0,0
Timo Hübers,FC Koln,0,0,0,0,0,0,0
Leon Goretzka,Bayern Munich,0,0,0,0,0,0.1,0.1
Julian Ryerson,Union Berlin,0,0,0,0,0,0,0
Emre Can,Borussia Dortmund,0,0,0,0,0,0,0
Lucas Tousart,Hertha Berlin,0,0,0,0,0,0.1,0.1
Andreas Hanche-Olsen,Mainz 05,0,0,0,0,0,0.1,0.1
Robin Knoche,Union Berlin,0,0,0,0,0,0.1,0.1
Sasa Kalajdzic,VfB Stuttgart,0,0,0.3,0,0,0.7,1
Marc Oliver Kempf,Hertha Berlin,0,0,0,0,0,0,0
Noussair Mazraoui,Bayern Munich,0,0,0.1,0,0,0.2,0.2
Konrad Laimer,RB Leipzig,0,0,0,0,0,0,0
Felix Nmecha,Wolfsburg,0,0,0.1,0,0,0.1,0.2
Karim Adeyemi,Borussia Dortmund,0,0,0,0,0,0.2,0.2
Sadio Mané,Bayern Munich,0,0,0,0,0,0.1,0.2
Anton Stach,Mainz 05,0.1,0,0,0,0,0,0.1
Dodi Lukébakio,Hertha Berlin,0.1,0,0,0,0,0,0.1
Robert Andrich,Bayer Leverkusen,0,0,0,0,0,0,0.1
Lucas Höler,Freiburg,0,0,0,0,0,0.1,0.1
Kevin Stöger,Bochum,0.1,0.1,0,0,0,0,0.1
Kevin Behrens,Union Berlin,0,0,0,0,0,0,0
Jan Olschowsky,Borussia M.Gladbach,0,0,0,0,0,0,0
Georginio Rutter,Hoffenheim,0,0,0,0,0,0.1,0.1
Ihlas Bebou,Hoffenheim,0,0,0,0,0,0,0
Manuel Neuer,Bayern Munich,0,0,0,0,0,0,0
Karim Onisiwo,Mainz 05,0,0,0,0,0,0.1,0.1
Soichiro Kozuki,Schalke 04,0,0,0,0,0,0,0
Timo Werner,RB Leipzig,0,0,0,0,0,0.1,0.1
Exequiel Palacios,Bayer Leverkusen,0,0,0,0,0,0.1,0.1
Marius Wolf,Borussia Dortmund,0,0,0,0,0,0,0
Aurélio Buta,Eintracht Frankfurt,0.1,0,0,0,0,0,0.1
Manu Koné,Borussia M.Gladbach,0,0,0,0,0,0,0
Philipp Lienhart,Freiburg,0,0,0,0,0,0,0
Lukas Kübler,Freiburg,0,0,0,0,0,0,0
Lars Stindl,Borussia M.Gladbach,0,0,0.1,0,0,0.1,0.2
Daichi Kamada,Eintracht Frankfurt,0.1,0,0,0,0,0.1,0.2
Rafal Gikiewicz,Augsburg,0,0,0,0,0,0,0
Tomás Koubek,Augsburg,0,0,0,0,0,0,0
Mark Flekken,Freiburg,0,0,0,0,0,0,0
Niklas Süle,Borussia Dortmund,0,0,0,0,0,0.1,0.1
Julian Ryerson,Borussia Dortmund,0,0,0,0,0,0,0
Nicolas Höfler,Freiburg,0,0,0,0,0,0,0
Gregor Kobel,Borussia Dortmund,0,0,0,0,0,0,0
Florian Niederlechner,Augsburg,0,0,0,0,0,0.1,0.1
Josip Juranovic,Union Berlin,0.1,0.1,0,0,0,0,0.1
Lee Jae-Sung,Mainz 05,0,0,0,0,0,0.1,0.1
Koen Casteels,Wolfsburg,0,0,0,0,0,0,0
Christopher Trimmel,Union Berlin,0.2,0.2,0,0.1,0,0,0.2
Serhou Guirassy,VfB Stuttgart,0,0,0,0,0,0,0
Benjamin Henrichs,RB Leipzig,0,0,0,0,0,0,0.1
Ermedin Demirovic,Augsburg,0,0,0,0,0,0.1,0.1
Stefan Bell,Mainz 05,0,0,0,0,0,0,0
Abdou Diallo,RB Leipzig,0,0,0,0,0,0,0
Ko Itakura,Borussia M.Gladbach,0,0,0,0,0,0.1,0.1
Leandro Barreiro,Mainz 05,0,0,0,0,0,0.1,0.1
Gabriel Vidovic,Bayern Munich,0,0,0,0,0,1,1
Hrvoje Smolcic,Eintracht Frankfurt,0,0,0,0,0,0,0
Ridle Baku,Wolfsburg,0,0,0,0,0,0.1,0.1
Moritz Jenz,Schalke 04,0,0,0,0,0,0,0
Angeliño,Hoffenheim,0.1,0,0,0,0,0.1,0.3
Marcin Kaminski,Schalke 04,0,0,0,0,0,0,0
Marius Bülter,Schalke 04,0,0,0,0,0,0,0
Tuta,Eintracht Frankfurt,0,0,0,0,0,0,0
Ivan Ordets,Bochum,0,0,0,0,0,0,0
Junior Dina Ebimbe,Eintracht Frankfurt,0.1,0,0,0,0,0,0.1
Dayot Upamecano,Bayern Munich,0,0,0,0,0,0,0
Luca Pellegrini,Eintracht Frankfurt,0,0,0,0,0,0,0
John Anthony Brooks,Hoffenheim,0,0,0,0,0,0,0
Jakub Kaminski,Wolfsburg,0,0,0,0,0,0.1,0.1
Marco Richter,Hertha Berlin,0.1,0,0,0,0,0,0.2
Kevin Akpoguma,Hoffenheim,0,0,0,0,0,0,0
Oliver Baumann,Hoffenheim,0,0,0,0,0,0,0
Jonas Omlin,Borussia M.Gladbach,0,0,0,0,0,0,0
Anthony Losilla,Bochum,0,0,0,0,0,0.1,0.1
Xaver Schlager,RB Leipzig,0,0,0,0,0,0,0
Kerem Demirbay,Bayer Leverkusen,0.1,0,0,0,0,0,0.1
Hiroki Ito,VfB Stuttgart,0,0,0,0,0,0,0
Anthony Caci,Mainz 05,0,0,0,0,0,0,0
Amine Adli,Bayer Leverkusen,0,0,0,0,0,0.1,0.1
Mërgim Berisha,Augsburg,0.1,0,0,0,0,0.1,0.2
Marco Reus,Borussia Dortmund,0,0,0,0,0,0.1,0.2
Nico Elvedi,Borussia M.Gladbach,0,0,0,0,0,0,0
Eric Martel,FC Koln,0,0,0,0,0,0,0
Davie Selke,FC Koln,0,0,0,0,0,0,0
Ozan Kabak,Hoffenheim,0,0,0,0,0,0.1,0.1
