player_name,team_name,ShotsBlocked,CrossesBlocked,PassesBlocked
Tjark Ernst,Hertha Berlin,0,0,0
Jude Bellingham,Borussia Dortmund,0.1,0.1,1.5
Joshua Kimmich,Bayern Munich,0.2,0.1,0.9
Niclas Füllkrug,Werder Bremen,0.1,0,0.3
Christopher Nkunku,RB Leipzig,0.1,0,0.2
Jamal Musiala,Bayern Munich,0.1,0,0.8
Dominik Szoboszlai,RB Leipzig,0.1,0.1,1.3
Randal Kolo Muani,Eintracht Frankfurt,0.1,0,0.5
Julian Brandt,Borussia Dortmund,0,0,0.7
Raphaël Guerreiro,Borussia Dortmund,0.1,0,0.7
Vincenzo Grifo,Freiburg,0,0.2,0.5
Jonas Hofmann,Borussia M.Gladbach,0.1,0.3,1.1
Sébastien Haller,Borussia Dortmund,0,0,0.4
Donyell Malen,Borussia Dortmund,0,0.1,0.5
Julien Duranville,Borussia Dortmund,0,0,0
Kingsley Coman,Bayern Munich,0,0,0.8
João Cancelo,Bayern Munich,0.1,0.5,0.8
Eric Choupo-Moting,Bayern Munich,0,0,0.4
Benjamin Pavard,Bayern Munich,0.5,0.2,0.6
Alphonso Davies,Bayern Munich,0.2,0.2,0.9
Florian Wirtz,Bayer Leverkusen,0.1,0,0.8
Yann Sommer,Borussia M.Gladbach,0,0,0
Thomas Müller,Bayern Munich,0.1,0.1,0.6
Jeff Chabot,FC Koln,0.9,0.1,0.6
Jeremie Frimpong,Bayer Leverkusen,0.1,0.3,0.6
Michael Gregoritsch,Freiburg,0.1,0,0.6
Serge Gnabry,Bayern Munich,0,0,0.7
Marcus Thuram,Borussia M.Gladbach,0.1,0,0.6
Leroy Sané,Bayern Munich,0,0,0.3
Nico Schlotterbeck,Borussia Dortmund,0.8,0.1,0.6
Frederik Winther,Augsburg,1,0,0
Florian Kainz,FC Koln,0.2,0.2,0.7
Moussa Diaby,Bayer Leverkusen,0,0,0.2
Willi Orbán,RB Leipzig,0.7,0,0.5
Ellyes Skhiri,FC Koln,0.4,0.2,1.3
Maximilian Arnold,Wolfsburg,0.3,0.1,0.7
Frederik Rønnow,Union Berlin,0,0,0
Borna Sosa,VfB Stuttgart,0.2,0.1,0.6
Philipp Hofmann,Bochum,0.2,0,0.4
Konstantinos Mavropanos,VfB Stuttgart,0.6,0.1,0.8
Paulo Otávio,Wolfsburg,0.2,0.3,1.4
Marvin Ducksch,Werder Bremen,0.1,0.1,0.3
Patrick Wimmer,Wolfsburg,0.1,0.2,1
Jonas Hector,FC Koln,0.3,0.2,1.6
Danilho Doekhi,Union Berlin,0.5,0.2,0.6
Mats Hummels,Borussia Dortmund,0.5,0.2,0.5
Wataru Endo,VfB Stuttgart,0.2,0.1,1.2
Ørjan Nyland,RB Leipzig,0,0,0
Ludovic Ajorque,Mainz 05,0.1,0,0.4
Ramy Bensebaïni,Borussia M.Gladbach,0.5,0.3,1.1
Matthias Ginter,Freiburg,0.7,0.1,0.5
Ralf Fährmann,Schalke 04,0,0,0
Diant Ramaj,Eintracht Frankfurt,0,0,0
Mitchell Weiser,Werder Bremen,0.2,0.3,1.4
Matthijs de Ligt,Bayern Munich,0.6,0.2,0.4
Dani Olmo,RB Leipzig,0,0,0.7
Christoph Baumgartner,Hoffenheim,0.2,0,1.6
Sheraldo Becker,Union Berlin,0,0,0.4
Michael Zetterer,Werder Bremen,0,0,0
Rodrigo Zalazar,Schalke 04,0,0.1,0.7
Ritsu Doan,Freiburg,0,0.1,1.2
Finn Dahmen,Mainz 05,0,0,0
Timo Hübers,FC Koln,0.4,0.1,0.5
Leon Goretzka,Bayern Munich,0.1,0,1.4
Julian Ryerson,Union Berlin,0.2,0.2,0.9
Emre Can,Borussia Dortmund,0.2,0.1,0.4
Lucas Tousart,Hertha Berlin,0.2,0.2,1.1
Andreas Hanche-Olsen,Mainz 05,0.5,0.2,0.5
Robin Knoche,Union Berlin,0.6,0.1,0.5
Sasa Kalajdzic,VfB Stuttgart,0,0,0.3
Marc Oliver Kempf,Hertha Berlin,1,0.1,0.3
Noussair Mazraoui,Bayern Munich,0.1,0.2,0.6
Konrad Laimer,RB Leipzig,0.2,0,1.3
Felix Nmecha,Wolfsburg,0.3,0,0.5
Karim Adeyemi,Borussia Dortmund,0,0,0.7
Sadio Mané,Bayern Munich,0.1,0,0.5
Anton Stach,Mainz 05,0.1,0,0.9
Dodi Lukébakio,Hertha Berlin,0.2,0.1,0.6
Robert Andrich,Bayer Leverkusen,0.3,0.1,0.6
Lucas Höler,Freiburg,0.2,0,0.7
