player_name,team_name,Total_Clearances
Tjark Ernst,Hertha Berlin,2
Jude Bellingham,Borussia Dortmund,0.9
Joshua Kimmich,Bayern Munich,1.1
Niclas Füllkrug,Werder Bremen,0.9
Christopher Nkunku,RB Leipzig,0.4
Jamal Musiala,Bayern Munich,0.1
Dominik Szoboszlai,RB Leipzig,0.7
Randal Kolo Muani,Eintracht Frankfurt,0.4
Julian Brandt,Borussia Dortmund,0.3
Raphaël Guerreiro,Borussia Dortmund,0.8
Vincenzo Grifo,Freiburg,0.4
Jonas Hofmann,Borussia M.Gladbach,0.4
Sébastien Haller,Borussia Dortmund,0.5
Donyell Malen,Borussia Dortmund,0.3
Julien Duranville,Borussia Dortmund,0
Kingsley Coman,Bayern Munich,0.3
João Cancelo,Bayern Munich,1
Eric Choupo-Moting,Bayern Munich,0.3
Benjamin Pavard,Bayern Munich,2.5
Alphonso Davies,Bayern Munich,0.7
Florian Wirtz,Bayer Leverkusen,0.4
Yann Sommer,Borussia M.Gladbach,1.3
Thomas Müller,Bayern Munich,0.5
Jeff Chabot,FC Koln,4.9
Jeremie Frimpong,Bayer Leverkusen,0.9
Michael Gregoritsch,Freiburg,0.3
Serge Gnabry,Bayern Munich,0.1
Marcus Thuram,Borussia M.Gladbach,0.7
Leroy Sané,Bayern Munich,0
Nico Schlotterbeck,Borussia Dortmund,2.4
Frederik Winther,Augsburg,7
Florian Kainz,FC Koln,0.7
Moussa Diaby,Bayer Leverkusen,0.1
Willi Orbán,RB Leipzig,3.9
Ellyes Skhiri,FC Koln,1.3
Maximilian Arnold,Wolfsburg,1.9
Frederik Rønnow,Union Berlin,0.9
Borna Sosa,VfB Stuttgart,1.4
Philipp Hofmann,Bochum,1.4
Konstantinos Mavropanos,VfB Stuttgart,3.5
Paulo Otávio,Wolfsburg,2.5
Marvin Ducksch,Werder Bremen,1.1
Patrick Wimmer,Wolfsburg,0.4
Jonas Hector,FC Koln,2.1
Danilho Doekhi,Union Berlin,3.6
Mats Hummels,Borussia Dortmund,3.2
Wataru Endo,VfB Stuttgart,1.8
Ørjan Nyland,RB Leipzig,0
Ludovic Ajorque,Mainz 05,0.5
Ramy Bensebaïni,Borussia M.Gladbach,3.2
Matthias Ginter,Freiburg,4.4
Ralf Fährmann,Schalke 04,1.3
Diant Ramaj,Eintracht Frankfurt,2
Mitchell Weiser,Werder Bremen,1
Matthijs de Ligt,Bayern Munich,2.6
Dani Olmo,RB Leipzig,0.2
Christoph Baumgartner,Hoffenheim,0.5
Sheraldo Becker,Union Berlin,0.2
Michael Zetterer,Werder Bremen,0.5
Rodrigo Zalazar,Schalke 04,0.5
Ritsu Doan,Freiburg,0.3
Finn Dahmen,Mainz 05,0.5
Timo Hübers,FC Koln,5.1
Leon Goretzka,Bayern Munich,1.1
Julian Ryerson,Union Berlin,1.2
Emre Can,Borussia Dortmund,1.4
Lucas Tousart,Hertha Berlin,2
Andreas Hanche-Olsen,Mainz 05,4.3
Robin Knoche,Union Berlin,4.3
Sasa Kalajdzic,VfB Stuttgart,0
Marc Oliver Kempf,Hertha Berlin,4.5
Noussair Mazraoui,Bayern Munich,1.1
Konrad Laimer,RB Leipzig,0.3
Felix Nmecha,Wolfsburg,1
Karim Adeyemi,Borussia Dortmund,0.1
Sadio Mané,Bayern Munich,0.1
Anton Stach,Mainz 05,0.8
Dodi Lukébakio,Hertha Berlin,0.5
Robert Andrich,Bayer Leverkusen,1.8
Lucas Höler,Freiburg,0.7
Kevin Stöger,Bochum,0.6
Kevin Behrens,Union Berlin,0.7
Jan Olschowsky,Borussia M.Gladbach,0.5
Georginio Rutter,Hoffenheim,0.4
Ihlas Bebou,Hoffenheim,0.8
Manuel Neuer,Bayern Munich,0.7
Karim Onisiwo,Mainz 05,0.2
Soichiro Kozuki,Schalke 04,0.6
Timo Werner,RB Leipzig,0.1
Exequiel Palacios,Bayer Leverkusen,1
Marius Wolf,Borussia Dortmund,0.8
Aurélio Buta,Eintracht Frankfurt,1.7
Manu Koné,Borussia M.Gladbach,0.7
Philipp Lienhart,Freiburg,3.2
Lukas Kübler,Freiburg,2.1
Lars Stindl,Borussia M.Gladbach,0.6
Daichi Kamada,Eintracht Frankfurt,0.5
Rafal Gikiewicz,Augsburg,1.2
Tomás Koubek,Augsburg,1
Mark Flekken,Freiburg,0.6
Niklas Süle,Borussia Dortmund,1.8
Julian Ryerson,Borussia Dortmund,1.4
Nicolas Höfler,Freiburg,1.4
Gregor Kobel,Borussia Dortmund,0.5
Florian Niederlechner,Augsburg,0.6
Josip Juranovic,Union Berlin,1.6
Lee Jae-Sung,Mainz 05,0.4
Koen Casteels,Wolfsburg,0.6
Christopher Trimmel,Union Berlin,1.8
Serhou Guirassy,VfB Stuttgart,0.6
Benjamin Henrichs,RB Leipzig,1.3
Ermedin Demirovic,Augsburg,1.2
Stefan Bell,Mainz 05,4.4
Abdou Diallo,RB Leipzig,2.5
Ko Itakura,Borussia M.Gladbach,3.8
Leandro Barreiro,Mainz 05,1.1
Gabriel Vidovic,Bayern Munich,0
