player_name,team_name,Unsuccessful,Successful,Total Dribbles
Tjark Ernst,Hertha Berlin,0,0,0
Jude Bellingham,Borussia Dortmund,2.1,2.8,4.9
Joshua Kimmich,Bayern Munich,0.4,0.4,0.8
Niclas Füllkrug,Werder Bremen,1,1.1,2.1
Christopher Nkunku,RB Leipzig,1.6,1.5,3.1
Jamal Musiala,Bayern Munich,2.3,2.3,4.6
Dominik Szoboszlai,RB Leipzig,1.7,1.7,3.4
Randal Kolo Muani,Eintracht Frankfurt,2.8,2.2,5
Julian Brandt,Borussia Dortmund,1.3,1.3,2.5
Raphaël Guerreiro,Borussia Dortmund,0.7,1,1.7
Vincenzo Grifo,Freiburg,1,1.3,2.2
Jonas Hofmann,Borussia M.Gladbach,0.6,0.5,1
Sébastien Haller,Borussia Dortmund,0.4,0.5,0.8
Donyell Malen,Borussia Dortmund,2.5,2,4.4
Julien Duranville,Borussia Dortmund,0,3,3
Kingsley Coman,Bayern Munich,1.9,2,3.8
João Cancelo,Bayern Munich,2.1,2.3,4.3
Eric Choupo-Moting,Bayern Munich,0.5,1.1,1.5
Benjamin Pavard,Bayern Munich,0.2,0,0.2
Alphonso Davies,Bayern Munich,2.7,2.7,5.4
Florian Wirtz,Bayer Leverkusen,2.2,2.8,5
Yann Sommer,Borussia M.Gladbach,0,0,0
Thomas Müller,Bayern Munich,0.3,0.3,0.6
Jeff Chabot,FC Koln,0.2,0.2,0.4
Jeremie Frimpong,Bayer Leverkusen,2.4,2.5,4.8
Michael Gregoritsch,Freiburg,0.9,0.4,1.3
Serge Gnabry,Bayern Munich,1.1,0.8,1.9
Marcus Thuram,Borussia M.Gladbach,1.7,1.4,3.1
Leroy Sané,Bayern Munich,1.9,2.3,4.3
Nico Schlotterbeck,Borussia Dortmund,0.3,0.4,0.7
Frederik Winther,Augsburg,0,0,0
Florian Kainz,FC Koln,1.5,1,2.6
Moussa Diaby,Bayer Leverkusen,1.6,1.5,3.2
Willi Orbán,RB Leipzig,0.3,0.2,0.5
Ellyes Skhiri,FC Koln,0.3,0.8,1
Maximilian Arnold,Wolfsburg,0.3,0.3,0.5
Frederik Rønnow,Union Berlin,0,0,0
Borna Sosa,VfB Stuttgart,0.6,0.7,1.3
Philipp Hofmann,Bochum,0.4,0.3,0.6
Konstantinos Mavropanos,VfB Stuttgart,0.9,0.6,1.4
Paulo Otávio,Wolfsburg,1,0.9,1.9
Marvin Ducksch,Werder Bremen,0.7,0.4,1.1
Patrick Wimmer,Wolfsburg,1.5,1,2.5
Jonas Hector,FC Koln,0.8,1,1.8
Danilho Doekhi,Union Berlin,0.2,0.1,0.3
Mats Hummels,Borussia Dortmund,0.1,0.2,0.3
Wataru Endo,VfB Stuttgart,0.8,0.8,1.7
Ørjan Nyland,RB Leipzig,0,0,0
Ludovic Ajorque,Mainz 05,0.3,0.4,0.7
Ramy Bensebaïni,Borussia M.Gladbach,0.7,0.4,1.1
Matthias Ginter,Freiburg,0.1,0.1,0.1
Ralf Fährmann,Schalke 04,0,0,0
Diant Ramaj,Eintracht Frankfurt,0,0,0
Mitchell Weiser,Werder Bremen,2.6,1.4,4
Matthijs de Ligt,Bayern Munich,0.1,0,0.1
Dani Olmo,RB Leipzig,1.6,1.7,3.2
Christoph Baumgartner,Hoffenheim,1.9,1.6,3.5
Sheraldo Becker,Union Berlin,1,0.8,1.7
Michael Zetterer,Werder Bremen,0,0,0
Rodrigo Zalazar,Schalke 04,2.2,1.6,3.8
Ritsu Doan,Freiburg,2.4,1.5,3.9
Finn Dahmen,Mainz 05,0,0,0
Timo Hübers,FC Koln,0,0.2,0.2
Leon Goretzka,Bayern Munich,0.3,0.3,0.6
Julian Ryerson,Union Berlin,1.5,1.4,2.9
Emre Can,Borussia Dortmund,0.4,0.5,0.9
Lucas Tousart,Hertha Berlin,0.9,0.7,1.6
Andreas Hanche-Olsen,Mainz 05,0.1,0.2,0.3
Robin Knoche,Union Berlin,0.1,0.3,0.4
Sasa Kalajdzic,VfB Stuttgart,0.3,0,0.3
Marc Oliver Kempf,Hertha Berlin,0.2,0.4,0.5
Noussair Mazraoui,Bayern Munich,0.5,0.9,1.4
Konrad Laimer,RB Leipzig,1.1,1.5,2.7
Felix Nmecha,Wolfsburg,0.7,0.9,1.5
Karim Adeyemi,Borussia Dortmund,2.5,1.4,3.9
