player_name,team_name,Fouled,Fouls
Tjark Ernst,Hertha Berlin,0,0
Jude Bellingham,Borussia Dortmund,2.4,1.3
Joshua Kimmich,Bayern Munich,1.5,0.7
Niclas Füllkrug,Werder Bremen,1.7,1.2
Christopher Nkunku,RB Leipzig,1.5,0.7
Jamal Musiala,Bayern Munich,1.3,0.7
Dominik Szoboszlai,RB Leipzig,1.3,0.8
Randal Kolo Muani,Eintracht Frankfurt,2.2,1.6
Julian Brandt,Borussia Dortmund,0.7,0.3
Raphaël Guerreiro,Borussia Dortmund,0.4,0.3
Vincenzo Grifo,Freiburg,0.9,0.2
Jonas Hofmann,Borussia M.Gladbach,1.3,0.5
Sébastien Haller,Borussia Dortmund,0.7,0.7
Donyell Malen,Borussia Dortmund,1.5,0.5
Julien Duranville,Borussia Dortmund,1,1
Kingsley Coman,Bayern Munich,0.9,0.4
João Cancelo,Bayern Munich,1,0.7
Eric Choupo-Moting,Bayern Munich,0.4,0.2
Benjamin Pavard,Bayern Munich,0.6,0.9
Alphonso Davies,Bayern Munich,1,0.3
Florian Wirtz,Bayer Leverkusen,1.6,0.8
Yann Sommer,Borussia M.Gladbach,0,0
Thomas Müller,Bayern Munich,0.4,0.3
Jeff Chabot,FC Koln,1,1.4
Jeremie Frimpong,Bayer Leverkusen,1.7,0.6
Michael Gregoritsch,Freiburg,1.4,0.8
Serge Gnabry,Bayern Munich,0.3,1
Marcus Thuram,Borussia M.Gladbach,1.5,1.1
Leroy Sané,Bayern Munich,0.7,0.5
Nico Schlotterbeck,Borussia Dortmund,0.6,0.6
Frederik Winther,Augsburg,0,0
Florian Kainz,FC Koln,1.3,0.9
Moussa Diaby,Bayer Leverkusen,0.7,0.5
Willi Orbán,RB Leipzig,1,0.5
Ellyes Skhiri,FC Koln,0.3,1.1
Maximilian Arnold,Wolfsburg,2,1
Frederik Rønnow,Union Berlin,0.1,0
Borna Sosa,VfB Stuttgart,0.5,0.5
Philipp Hofmann,Bochum,1.2,1.4
