player_name,team_name,Total_Interception
Tjark Ernst,Hertha Berlin,0
Jude Bellingham,Borussia Dortmund,1.1
Joshua Kimmich,Bayern Munich,1.2
Niclas Füllkrug,Werder Bremen,0
Christopher Nkunku,RB Leipzig,0.3
Jamal Musiala,Bayern Munich,0.6
Dominik Szoboszlai,RB Leipzig,0.5
Randal Kolo Muani,Eintracht Frankfurt,0.1
Julian Brandt,Borussia Dortmund,0.5
Raphaël Guerreiro,Borussia Dortmund,1.3
Vincenzo Grifo,Freiburg,0.6
Jonas Hofmann,Borussia M.Gladbach,0.5
Sébastien Haller,Borussia Dortmund,0.1
Donyell Malen,Borussia Dortmund,0.2
Julien Duranville,Borussia Dortmund,0
Kingsley Coman,Bayern Munich,0.1
João Cancelo,Bayern Munich,1
Eric Choupo-Moting,Bayern Munich,0
Benjamin Pavard,Bayern Munich,1.5
Alphonso Davies,Bayern Munich,0.9
Florian Wirtz,Bayer Leverkusen,0.1
Yann Sommer,Borussia M.Gladbach,0
Thomas Müller,Bayern Munich,0.1
Jeff Chabot,FC Koln,2
Jeremie Frimpong,Bayer Leverkusen,0.5
Michael Gregoritsch,Freiburg,0.2
Serge Gnabry,Bayern Munich,0.3
Marcus Thuram,Borussia M.Gladbach,0.2
Leroy Sané,Bayern Munich,0.1
Nico Schlotterbeck,Borussia Dortmund,1.1
Frederik Winther,Augsburg,0
Florian Kainz,FC Koln,1
Moussa Diaby,Bayer Leverkusen,0.2
Willi Orbán,RB Leipzig,1.2
Ellyes Skhiri,FC Koln,1.8
Maximilian Arnold,Wolfsburg,0.8
Frederik Rønnow,Union Berlin,0
Borna Sosa,VfB Stuttgart,0.8
Philipp Hofmann,Bochum,0.2
Konstantinos Mavropanos,VfB Stuttgart,2.3
Paulo Otávio,Wolfsburg,1.2
Marvin Ducksch,Werder Bremen,0.3
Patrick Wimmer,Wolfsburg,0.6
Jonas Hector,FC Koln,1.2
Danilho Doekhi,Union Berlin,1.2
Mats Hummels,Borussia Dortmund,1.1
Wataru Endo,VfB Stuttgart,0.8
Ørjan Nyland,RB Leipzig,0
Ludovic Ajorque,Mainz 05,0.1
Ramy Bensebaïni,Borussia M.Gladbach,1.3
Matthias Ginter,Freiburg,1
Ralf Fährmann,Schalke 04,0
Diant Ramaj,Eintracht Frankfurt,0
Mitchell Weiser,Werder Bremen,0.9
Matthijs de Ligt,Bayern Munich,0.7
Dani Olmo,RB Leipzig,0.3
Christoph Baumgartner,Hoffenheim,0.5
Sheraldo Becker,Union Berlin,0.1
Michael Zetterer,Werder Bremen,0
Rodrigo Zalazar,Schalke 04,0.3
Ritsu Doan,Freiburg,0.4
Finn Dahmen,Mainz 05,0
Timo Hübers,FC Koln,2
Leon Goretzka,Bayern Munich,1.1
Julian Ryerson,Union Berlin,0.9
Emre Can,Borussia Dortmund,0.9
Lucas Tousart,Hertha Berlin,1.5
Andreas Hanche-Olsen,Mainz 05,1.9
Robin Knoche,Union Berlin,1.2
Sasa Kalajdzic,VfB Stuttgart,0
Marc Oliver Kempf,Hertha Berlin,1.6
