player_name,team_name,Total_Key passes,Long,Short
Tjark Ernst,Hertha Berlin,0,0,0
Jude Bellingham,Borussia Dortmund,1.1,0.2,0.9
Joshua Kimmich,Bayern Munich,2.6,1,1.6
Niclas Füllkrug,Werder Bremen,1.2,0,1.2
Christopher Nkunku,RB Leipzig,1.6,0.1,1.4
Jamal Musiala,Bayern Munich,1.6,0,1.5
Dominik Szoboszlai,RB Leipzig,2.3,0.5,1.8
Randal Kolo Muani,Eintracht Frankfurt,1.3,0,1.3
Julian Brandt,Borussia Dortmund,2.3,0.7,1.6
Raphaël Guerreiro,Borussia Dortmund,2.1,0.1,2
Vincenzo Grifo,Freiburg,1.7,0.5,1.2
Jonas Hofmann,Borussia M.Gladbach,3.2,1.2,2
Sébastien Haller,Borussia Dortmund,0.8,0,0.8
Donyell Malen,Borussia Dortmund,1.1,0.2,0.9
Julien Duranville,Borussia Dortmund,2,0,2
Kingsley Coman,Bayern Munich,1.8,0.1,1.6
João Cancelo,Bayern Munich,0.9,0.1,0.8
Eric Choupo-Moting,Bayern Munich,0.8,0.1,0.8
Benjamin Pavard,Bayern Munich,0.6,0.1,0.6
Alphonso Davies,Bayern Munich,1.7,0.1,1.6
Florian Wirtz,Bayer Leverkusen,2.3,0.1,2.2
Yann Sommer,Borussia M.Gladbach,0,0,0
Thomas Müller,Bayern Munich,1.4,0,1.4
Jeff Chabot,FC Koln,0.2,0,0.2
Jeremie Frimpong,Bayer Leverkusen,1.3,0.1,1.3
Michael Gregoritsch,Freiburg,0.8,0.1,0.7
Serge Gnabry,Bayern Munich,1.1,0.1,0.9
Marcus Thuram,Borussia M.Gladbach,1,0,1
Leroy Sané,Bayern Munich,1.1,0,1.1
Nico Schlotterbeck,Borussia Dortmund,0.5,0.1,0.4
Frederik Winther,Augsburg,1,1,0
Florian Kainz,FC Koln,2.2,0.8,1.4
Moussa Diaby,Bayer Leverkusen,1.8,0.2,1.5
Willi Orbán,RB Leipzig,0.2,0,0.2
Ellyes Skhiri,FC Koln,0.8,0,0.8
Maximilian Arnold,Wolfsburg,1.3,0.5,0.8
Frederik Rønnow,Union Berlin,0,0,0
Borna Sosa,VfB Stuttgart,2.7,1.1,1.6
Philipp Hofmann,Bochum,0.8,0,0.8
Konstantinos Mavropanos,VfB Stuttgart,0.5,0.1,0.4
Paulo Otávio,Wolfsburg,0.9,0.2,0.7
Marvin Ducksch,Werder Bremen,1.5,0.4,1.1
Patrick Wimmer,Wolfsburg,1.4,0.2,1.2
Jonas Hector,FC Koln,1,0.2,0.8
Danilho Doekhi,Union Berlin,0.3,0,0.2
Mats Hummels,Borussia Dortmund,0.4,0.1,0.3
Wataru Endo,VfB Stuttgart,1.4,0.2,1.2
Ørjan Nyland,RB Leipzig,0.5,0.5,0
Ludovic Ajorque,Mainz 05,0.8,0.1,0.7
Ramy Bensebaïni,Borussia M.Gladbach,0.5,0.1,0.4
Matthias Ginter,Freiburg,0.4,0.1,0.3
Ralf Fährmann,Schalke 04,0,0,0
Diant Ramaj,Eintracht Frankfurt,0,0,0
Mitchell Weiser,Werder Bremen,1.3,0.2,1.2
Matthijs de Ligt,Bayern Munich,0.2,0,0.2
Dani Olmo,RB Leipzig,1.7,0.2,1.4
Christoph Baumgartner,Hoffenheim,0.7,0.1,0.6
Sheraldo Becker,Union Berlin,1.3,0.1,1.2
Michael Zetterer,Werder Bremen,0,0,0
Rodrigo Zalazar,Schalke 04,1.6,0.8,0.9
Ritsu Doan,Freiburg,0.8,0,0.8
Finn Dahmen,Mainz 05,0,0,0
Timo Hübers,FC Koln,0.1,0,0.1
Leon Goretzka,Bayern Munich,0.8,0,0.8
Julian Ryerson,Union Berlin,0.6,0.1,0.5
Emre Can,Borussia Dortmund,0.7,0,0.7
Lucas Tousart,Hertha Berlin,0.5,0,0.5
Andreas Hanche-Olsen,Mainz 05,0.3,0.1,0.2
Robin Knoche,Union Berlin,0.2,0.1,0.1
Sasa Kalajdzic,VfB Stuttgart,2,0.3,1.7
Marc Oliver Kempf,Hertha Berlin,0.3,0.2,0.1
Noussair Mazraoui,Bayern Munich,1,0,1
Konrad Laimer,RB Leipzig,0.8,0.1,0.7
Felix Nmecha,Wolfsburg,0.7,0.1,0.5
Karim Adeyemi,Borussia Dortmund,1.2,0,1.2
Sadio Mané,Bayern Munich,1,0,0.9
Anton Stach,Mainz 05,1,0.3,0.8
Dodi Lukébakio,Hertha Berlin,0.9,0.2,0.7
Robert Andrich,Bayer Leverkusen,0.6,0.1,0.6
Lucas Höler,Freiburg,0.5,0,0.5
Kevin Stöger,Bochum,2.1,0.7,1.5
Kevin Behrens,Union Berlin,0.6,0,0.6
Jan Olschowsky,Borussia M.Gladbach,0,0,0
Georginio Rutter,Hoffenheim,0.7,0,0.7
Ihlas Bebou,Hoffenheim,0.8,0.1,0.7
Manuel Neuer,Bayern Munich,0,0,0
Karim Onisiwo,Mainz 05,1.1,0,1.1
Soichiro Kozuki,Schalke 04,0.8,0,0.8
Timo Werner,RB Leipzig,0.7,0,0.7
Exequiel Palacios,Bayer Leverkusen,0.6,0.1,0.5
Marius Wolf,Borussia Dortmund,0.9,0.2,0.7
Aurélio Buta,Eintracht Frankfurt,1,0.2,0.8
Manu Koné,Borussia M.Gladbach,0.7,0,0.6
Philipp Lienhart,Freiburg,0.1,0.1,0
Lukas Kübler,Freiburg,0.3,0.1,0.2
Lars Stindl,Borussia M.Gladbach,1.4,0.2,1.2
Daichi Kamada,Eintracht Frankfurt,1.1,0.1,1
Rafal Gikiewicz,Augsburg,0,0,0
Tomás Koubek,Augsburg,0,0,0
Mark Flekken,Freiburg,0.1,0.1,0
Niklas Süle,Borussia Dortmund,0.6,0.1,0.5
Julian Ryerson,Borussia Dortmund,0.8,0.1,0.6
Nicolas Höfler,Freiburg,0.2,0,0.2
Gregor Kobel,Borussia Dortmund,0,0,0
Florian Niederlechner,Augsburg,0.4,0,0.4
Josip Juranovic,Union Berlin,1.8,0.8,1.1
Lee Jae-Sung,Mainz 05,0.8,0,0.8
Koen Casteels,Wolfsburg,0,0,0
Christopher Trimmel,Union Berlin,1.4,0.8,0.6
Serhou Guirassy,VfB Stuttgart,0.9,0,0.9
Benjamin Henrichs,RB Leipzig,0.7,0.1,0.6
Ermedin Demirovic,Augsburg,1,0,0.9
Stefan Bell,Mainz 05,0.3,0.1,0.2
Abdou Diallo,RB Leipzig,0.1,0,0.1
Ko Itakura,Borussia M.Gladbach,0.2,0,0.1
Leandro Barreiro,Mainz 05,0.5,0.1,0.5
Gabriel Vidovic,Bayern Munich,2,0,2
Hrvoje Smolcic,Eintracht Frankfurt,0,0,0
Ridle Baku,Wolfsburg,0.8,0.1,0.7
Moritz Jenz,Schalke 04,0.1,0,0.1
Angeliño,Hoffenheim,1.5,0.5,1
Marcin Kaminski,Schalke 04,0.3,0,0.3
Marius Bülter,Schalke 04,1.2,0.2,1
Tuta,Eintracht Frankfurt,0.2,0.1,0.1
Ivan Ordets,Bochum,0.3,0,0.2
Junior Dina Ebimbe,Eintracht Frankfurt,0.5,0,0.5
Dayot Upamecano,Bayern Munich,0.2,0,0.2
Luca Pellegrini,Eintracht Frankfurt,0.9,0.2,0.7
John Anthony Brooks,Hoffenheim,0,0,0
Jakub Kaminski,Wolfsburg,0.9,0.1,0.8
Marco Richter,Hertha Berlin,0.7,0.3,0.4
Kevin Akpoguma,Hoffenheim,0.2,0,0.2
Oliver Baumann,Hoffenheim,0,0,0
Jonas Omlin,Borussia M.Gladbach,0.1,0.1,0.1
Anthony Losilla,Bochum,0.5,0,0.4
Xaver Schlager,RB Leipzig,0.4,0,0.3
Kerem Demirbay,Bayer Leverkusen,1.2,0.5,0.8
Hiroki Ito,VfB Stuttgart,0.7,0.4,0.3
Anthony Caci,Mainz 05,0.7,0.4,0.3
Amine Adli,Bayer Leverkusen,0.8,0,0.7
Mërgim Berisha,Augsburg,0.9,0.1,0.7
Marco Reus,Borussia Dortmund,0.8,0,0.8
Nico Elvedi,Borussia M.Gladbach,0.2,0,0.2
Eric Martel,FC Koln,0.2,0,0.2
Davie Selke,FC Koln,0.5,0,0.5
Ozan Kabak,Hoffenheim,0.1,0,0.1
Maximilian Eggestein,Freiburg,0.8,0.1,0.6
Philipp Max,Eintracht Frankfurt,1.6,0.4,1.2
Jonas Wind,Wolfsburg,0.6,0,0.6
Jamie Bynoe-Gittens,Borussia Dortmund,0.1,0,0.1
Evan Ndicka,Eintracht Frankfurt,0.1,0,0.1
Josko Gvardiol,RB Leipzig,0.4,0,0.4
Marco Friedl,Werder Bremen,0.3,0.1,0.1
André Hahn,Augsburg,0.1,0.1,0
Piero Hincapié,Bayer Leverkusen,0.3,0.1,0.3
Jesper Lindstrøm,Eintracht Frankfurt,0.7,0.1,0.6
Patrik Schick,Bayer Leverkusen,0.7,0,0.7
Aarón Martín,Mainz 05,1,0.1,0.8
Tom Krauß,Schalke 04,0.3,0.1,0.3
Micky van de Ven,Wolfsburg,0.2,0,0.2
Suat Serdar,Hertha Berlin,0.6,0.2,0.4
Maxence Lacroix,Wolfsburg,0.1,0,0.1
