player_name,team_name,CaughtOffside
Tjark Ernst,Hertha Berlin,0
Jude Bellingham,Borussia Dortmund,0.1
Joshua Kimmich,Bayern Munich,0
Niclas Füllkrug,Werder Bremen,1
Christopher Nkunku,RB Leipzig,0.5
Jamal Musiala,Bayern Munich,0
Dominik Szoboszlai,RB Leipzig,0.1
Randal Kolo Muani,Eintracht Frankfurt,0.7
Julian Brandt,Borussia Dortmund,0.2
Raphaël Guerreiro,Borussia Dortmund,0.1
Vincenzo Grifo,Freiburg,0.2
Jonas Hofmann,Borussia M.Gladbach,0.7
Sébastien Haller,Borussia Dortmund,0.2
Donyell Malen,Borussia Dortmund,0.1
Julien Duranville,Borussia Dortmund,0
Kingsley Coman,Bayern Munich,0.2
João Cancelo,Bayern Munich,0.2
Eric Choupo-Moting,Bayern Munich,0.6
Benjamin Pavard,Bayern Munich,0.2
Alphonso Davies,Bayern Munich,0.1
Florian Wirtz,Bayer Leverkusen,0.1
Yann Sommer,Borussia M.Gladbach,0
Thomas Müller,Bayern Munich,0.2
Jeff Chabot,FC Koln,0.1
Jeremie Frimpong,Bayer Leverkusen,0.2
Michael Gregoritsch,Freiburg,0.4
Serge Gnabry,Bayern Munich,0.3
Marcus Thuram,Borussia M.Gladbach,0.6
Leroy Sané,Bayern Munich,0.2
Nico Schlotterbeck,Borussia Dortmund,0
Frederik Winther,Augsburg,0
Florian Kainz,FC Koln,0
Moussa Diaby,Bayer Leverkusen,0.3
Willi Orbán,RB Leipzig,0.1
Ellyes Skhiri,FC Koln,0.1
Maximilian Arnold,Wolfsburg,0
Frederik Rønnow,Union Berlin,0
Borna Sosa,VfB Stuttgart,0
Philipp Hofmann,Bochum,0.5
Konstantinos Mavropanos,VfB Stuttgart,0
Paulo Otávio,Wolfsburg,0
Marvin Ducksch,Werder Bremen,0.4
Patrick Wimmer,Wolfsburg,0.3
Jonas Hector,FC Koln,0
Danilho Doekhi,Union Berlin,0
Mats Hummels,Borussia Dortmund,0.1
Wataru Endo,VfB Stuttgart,0.1
Ørjan Nyland,RB Leipzig,0
Ludovic Ajorque,Mainz 05,0.3
Ramy Bensebaïni,Borussia M.Gladbach,0.1
Matthias Ginter,Freiburg,0
Ralf Fährmann,Schalke 04,0
Diant Ramaj,Eintracht Frankfurt,0
Mitchell Weiser,Werder Bremen,0.2
Matthijs de Ligt,Bayern Munich,0.1
Dani Olmo,RB Leipzig,0
Christoph Baumgartner,Hoffenheim,0.3
Sheraldo Becker,Union Berlin,0.7
Michael Zetterer,Werder Bremen,0
Rodrigo Zalazar,Schalke 04,0.2
Ritsu Doan,Freiburg,0.2
Finn Dahmen,Mainz 05,0
Timo Hübers,FC Koln,0
Leon Goretzka,Bayern Munich,0.1
Julian Ryerson,Union Berlin,0.1
Emre Can,Borussia Dortmund,0
Lucas Tousart,Hertha Berlin,0
Andreas Hanche-Olsen,Mainz 05,0
Robin Knoche,Union Berlin,0
Sasa Kalajdzic,VfB Stuttgart,0
Marc Oliver Kempf,Hertha Berlin,0
Noussair Mazraoui,Bayern Munich,0.2
Konrad Laimer,RB Leipzig,0.1
Felix Nmecha,Wolfsburg,0
Karim Adeyemi,Borussia Dortmund,0
Sadio Mané,Bayern Munich,0.8
Anton Stach,Mainz 05,0.1
Dodi Lukébakio,Hertha Berlin,0.5
Robert Andrich,Bayer Leverkusen,0
Lucas Höler,Freiburg,0.3
Kevin Stöger,Bochum,0
Kevin Behrens,Union Berlin,0.4
Jan Olschowsky,Borussia M.Gladbach,0
Georginio Rutter,Hoffenheim,1.1
Ihlas Bebou,Hoffenheim,0.4
Manuel Neuer,Bayern Munich,0
Karim Onisiwo,Mainz 05,0.7
Soichiro Kozuki,Schalke 04,0
Timo Werner,RB Leipzig,0.9
Exequiel Palacios,Bayer Leverkusen,0
Marius Wolf,Borussia Dortmund,0.1
Aurélio Buta,Eintracht Frankfurt,0.1
Manu Koné,Borussia M.Gladbach,0
Philipp Lienhart,Freiburg,0
Lukas Kübler,Freiburg,0
Lars Stindl,Borussia M.Gladbach,0.3
Daichi Kamada,Eintracht Frankfurt,0.2
Rafal Gikiewicz,Augsburg,0
Tomás Koubek,Augsburg,0
Mark Flekken,Freiburg,0
Niklas Süle,Borussia Dortmund,0
Julian Ryerson,Borussia Dortmund,0.1
Nicolas Höfler,Freiburg,0
Gregor Kobel,Borussia Dortmund,0
Florian Niederlechner,Augsburg,0.6
Josip Juranovic,Union Berlin,0.3
Lee Jae-Sung,Mainz 05,0.2
Koen Casteels,Wolfsburg,0
Christopher Trimmel,Union Berlin,0
Serhou Guirassy,VfB Stuttgart,0.5
Benjamin Henrichs,RB Leipzig,0.1
Ermedin Demirovic,Augsburg,0.4
Stefan Bell,Mainz 05,0.1
Abdou Diallo,RB Leipzig,0.1
Ko Itakura,Borussia M.Gladbach,0
Leandro Barreiro,Mainz 05,0.1
Gabriel Vidovic,Bayern Munich,0
Hrvoje Smolcic,Eintracht Frankfurt,0
Ridle Baku,Wolfsburg,0.1
Moritz Jenz,Schalke 04,0.2
Angeliño,Hoffenheim,0.2
Marcin Kaminski,Schalke 04,0
Marius Bülter,Schalke 04,0.2
Tuta,Eintracht Frankfurt,0
Ivan Ordets,Bochum,0.1
Junior Dina Ebimbe,Eintracht Frankfurt,0.1
Dayot Upamecano,Bayern Munich,0
Luca Pellegrini,Eintracht Frankfurt,0
John Anthony Brooks,Hoffenheim,0.1
Jakub Kaminski,Wolfsburg,0.1
Marco Richter,Hertha Berlin,0.2
Kevin Akpoguma,Hoffenheim,0
Oliver Baumann,Hoffenheim,0
Jonas Omlin,Borussia M.Gladbach,0
Anthony Losilla,Bochum,0.1
Xaver Schlager,RB Leipzig,0
Kerem Demirbay,Bayer Leverkusen,0
Hiroki Ito,VfB Stuttgart,0.1
Anthony Caci,Mainz 05,0
Amine Adli,Bayer Leverkusen,0.2
Mërgim Berisha,Augsburg,0.7
Marco Reus,Borussia Dortmund,0.1
Nico Elvedi,Borussia M.Gladbach,0
Eric Martel,FC Koln,0
Davie Selke,FC Koln,0.4
Ozan Kabak,Hoffenheim,0
Maximilian Eggestein,Freiburg,0
Philipp Max,Eintracht Frankfurt,0.1
Jonas Wind,Wolfsburg,0
Jamie Bynoe-Gittens,Borussia Dortmund,0
Evan Ndicka,Eintracht Frankfurt,0
Josko Gvardiol,RB Leipzig,0
Marco Friedl,Werder Bremen,0.1
André Hahn,Augsburg,0.1
Piero Hincapié,Bayer Leverkusen,0
Jesper Lindstrøm,Eintracht Frankfurt,0.1
Patrik Schick,Bayer Leverkusen,0
Aarón Martín,Mainz 05,0.1
Tom Krauß,Schalke 04,0
Micky van de Ven,Wolfsburg,0
Suat Serdar,Hertha Berlin,0
Maxence Lacroix,Wolfsburg,0
Christopher Lenz,Eintracht Frankfurt,0
Rani Khedira,Union Berlin,0
Mario Götze,Eintracht Frankfurt,0.1
Robin Zentner,Mainz 05,0
Marcel Sabitzer,Bayern Munich,0.1
Chris Führich,VfB Stuttgart,0.1
Christian Günter,Freiburg,0.2
Andrej Kramaric,Hoffenheim,0.3
Mohamed Simakan,RB Leipzig,0.1
Maximilian Mittelstädt,Hertha Berlin,0
Roland Sallai,Freiburg,0.2
Malick Thiaw,Schalke 04,0
Clinton Mola,VfB Stuttgart,0
Leonardo Bittencourt,Werder Bremen,0.1
Lucas Hernández,Bayern Munich,0
Janik Haberer,Union Berlin,0
Edmond Tapsoba,Bayer Leverkusen,0.1
David Raum,RB Leipzig,0.1
Maya Yoshida,Schalke 04,0
Mattias Svanberg,Wolfsburg,0.1
André Silva,RB Leipzig,0.3
Manuel Riemann,Bochum,0
Janis Blaswich,RB Leipzig,0
Niklas Schmidt,Werder Bremen,0
Dominik Kohr,Mainz 05,0
Jeffrey Gouweleeuw,Augsburg,0.1
Yannick Gerhardt,Wolfsburg,0.1
Silas Katompa Mvumpa,VfB Stuttgart,0.5
Jirí Pavlenka,Werder Bremen,0
Dennis Geiger,Hoffenheim,0
Djibril Sow,Eintracht Frankfurt,0
Aïssa Laïdouni,Union Berlin,0.1
Gil Dias,VfB Stuttgart,0.3
Edimilson Fernandes,Mainz 05,0
Atakan Karazor,VfB Stuttgart,0
Youssoufa Moukoko,Borussia Dortmund,0
Christopher Antwi-Adjei,Bochum,0.5
Sebastiaan Bornauw,Wolfsburg,0
Stevan Jovetic,Hertha Berlin,0.4
Philipp Förster,Bochum,0
Alassane Pléa,Borussia M.Gladbach,0.1
Steffen Tigges,FC Koln,0.3
Sven Ulreich,Bayern Munich,0
Niklas Stark,Werder Bremen,0
Alexander Meyer,Borussia Dortmund,0
Jonathan Tah,Bayer Leverkusen,0.1
Diogo Leite,Union Berlin,0
Grischa Prömel,Hoffenheim,0.1
Giovanni Reyna,Borussia Dortmund,0
Chidera Ejuke,Hertha Berlin,0.1
Amos Pieper,Werder Bremen,0.1
Timo Baumgartl,Union Berlin,0
Julian Weigl,Borussia M.Gladbach,0
Rubén Vargas,Augsburg,0.1
Dion Beljo,Augsburg,0.4
Keven Schlotterbeck,Bochum,0.1
Robert Skov,Hoffenheim,0
Almamy Touré,Eintracht Frankfurt,0.1
Waldemar Anton,VfB Stuttgart,0
Anthony Jung,Werder Bremen,0
Jordan Siebatcheu,Union Berlin,0.3
Jonjoe Kenny,Hertha Berlin,0
Dejan Ljubicic,FC Koln,0.2
Dan-Axel Zagadou,VfB Stuttgart,0
Danilo Soares,Bochum,0
Mahmoud Dahoud,Borussia Dortmund,0
Erhan Masovic,Bochum,0
Levin Öztunali,Union Berlin,0
Felix Passlack,Borussia Dortmund,0
Péter Gulácsi,RB Leipzig,0
Mu'nas Dabbur,Hoffenheim,0.5
Felix Uduokhai,Augsburg,0
Lukás Hrádecky,Bayer Leverkusen,0
Emil Forsberg,RB Leipzig,0.2
Cédric Brunner,Schalke 04,0
Konstantinos Stafylidis,Bochum,0
Sebastian Rode,Eintracht Frankfurt,0
Tanguy Coulibaly,VfB Stuttgart,0.2
Tobias Sippel,Borussia M.Gladbach,0
Silvan Widmer,Mainz 05,0.1
Thomas Meunier,Borussia Dortmund,0.1
Omar Marmoush,Wolfsburg,0.4
Ansgar Knauff,Eintracht Frankfurt,0.1
Christian Groß,Werder Bremen,0
Milos Veljkovic,Werder Bremen,0
Kristijan Jakic,Eintracht Frankfurt,0
Paul Jaeckel,Union Berlin,0
Lukas Klostermann,RB Leipzig,0.1
Marcel Halstenberg,RB Leipzig,0
Niko Gießelmann,Union Berlin,0
Adam Hlozek,Bayer Leverkusen,0
Odilon Kossounou,Bayer Leverkusen,0
Lennart Grill,Union Berlin,0
Kenneth Schmidt,Freiburg,0
Tiago Tomás,VfB Stuttgart,0.1
Arijon Ibrahimovic,Bayern Munich,0
Simon Terodde,Schalke 04,0.8
Salih Özcan,Borussia Dortmund,0
Christoph Kramer,Borussia M.Gladbach,0.1
Linton Maina,FC Koln,0.5
Josuha Guilavogui,Wolfsburg,0.1
Jérôme Roussillon,Union Berlin,0
Jens Stage,Werder Bremen,0
Lukas Nmecha,Wolfsburg,0.5
