player_name,team_name,UnsuccessfulTouches,Dispossessed
Tjark Ernst,Hertha Berlin,1,0
Jude Bellingham,Borussia Dortmund,2,1.9
Joshua Kimmich,Bayern Munich,0.8,0.8
Niclas Füllkrug,Werder Bremen,2.6,1.8
Christopher Nkunku,RB Leipzig,1.8,1.5
Jamal Musiala,Bayern Munich,2.4,2.1
Dominik Szoboszlai,RB Leipzig,1.8,1.1
Randal Kolo Muani,Eintracht Frankfurt,3.4,2
Julian Brandt,Borussia Dortmund,1.6,1.1
Raphaël Guerreiro,Borussia Dortmund,1,0.7
Vincenzo Grifo,Freiburg,1.3,0.8
Jonas Hofmann,Borussia M.Gladbach,1.4,1.1
Sébastien Haller,Borussia Dortmund,0.9,0.8
Donyell Malen,Borussia Dortmund,1.5,1.5
Julien Duranville,Borussia Dortmund,1,0
Kingsley Coman,Bayern Munich,2,0.8
João Cancelo,Bayern Munich,1.3,0.6
Eric Choupo-Moting,Bayern Munich,1.7,0.8
Benjamin Pavard,Bayern Munich,0.4,0.1
Alphonso Davies,Bayern Munich,1.9,1
Florian Wirtz,Bayer Leverkusen,2.4,1.6
Yann Sommer,Borussia M.Gladbach,0,0
Thomas Müller,Bayern Munich,1.8,0.7
Jeff Chabot,FC Koln,0.2,0.1
Jeremie Frimpong,Bayer Leverkusen,2.6,1.4
Michael Gregoritsch,Freiburg,1.7,0.7
Serge Gnabry,Bayern Munich,1.5,0.8
Marcus Thuram,Borussia M.Gladbach,3.7,1.7
Leroy Sané,Bayern Munich,1.9,1.9
Nico Schlotterbeck,Borussia Dortmund,0.5,0.3
Frederik Winther,Augsburg,0,0
Florian Kainz,FC Koln,1.2,1.1
Moussa Diaby,Bayer Leverkusen,1.9,1.3
Willi Orbán,RB Leipzig,0.4,0.2
Ellyes Skhiri,FC Koln,0.8,0.6
Maximilian Arnold,Wolfsburg,0.6,0.7
Frederik Rønnow,Union Berlin,0,0
Borna Sosa,VfB Stuttgart,0.8,0.6
Philipp Hofmann,Bochum,1.5,1.1
Konstantinos Mavropanos,VfB Stuttgart,1.1,0.2
Paulo Otávio,Wolfsburg,1.1,0.3
Marvin Ducksch,Werder Bremen,1.9,0.5
Patrick Wimmer,Wolfsburg,1.9,1.2
Jonas Hector,FC Koln,1.1,0.6
Danilho Doekhi,Union Berlin,0.3,0.1
Mats Hummels,Borussia Dortmund,0.1,0.3
Wataru Endo,VfB Stuttgart,1.7,1.6
Ørjan Nyland,RB Leipzig,0,0
Ludovic Ajorque,Mainz 05,2.7,0.8
Ramy Bensebaïni,Borussia M.Gladbach,1.3,0.6
Matthias Ginter,Freiburg,0.4,0.1
Ralf Fährmann,Schalke 04,0,0
Diant Ramaj,Eintracht Frankfurt,0,0
Mitchell Weiser,Werder Bremen,2.7,1.4
Matthijs de Ligt,Bayern Munich,0.4,0.1
Dani Olmo,RB Leipzig,2,1.3
Christoph Baumgartner,Hoffenheim,2.5,1.1
Sheraldo Becker,Union Berlin,1.8,1
Michael Zetterer,Werder Bremen,0,0
Rodrigo Zalazar,Schalke 04,2.4,1.4
Ritsu Doan,Freiburg,2.3,1.6
Finn Dahmen,Mainz 05,0,0
Timo Hübers,FC Koln,0.3,0.1
Leon Goretzka,Bayern Munich,0.7,0.4
Julian Ryerson,Union Berlin,0.8,1.1
Emre Can,Borussia Dortmund,0.6,0.4
Lucas Tousart,Hertha Berlin,1.5,0.8
Andreas Hanche-Olsen,Mainz 05,0.7,0.4
Robin Knoche,Union Berlin,0.5,0.2
Sasa Kalajdzic,VfB Stuttgart,1.7,1
Marc Oliver Kempf,Hertha Berlin,0.5,0.2
Noussair Mazraoui,Bayern Munich,0.6,0.3
Konrad Laimer,RB Leipzig,1.7,1
Felix Nmecha,Wolfsburg,1.4,0.4
Karim Adeyemi,Borussia Dortmund,1.8,1.1
Sadio Mané,Bayern Munich,2.1,0.6
Anton Stach,Mainz 05,1.5,0.5
Dodi Lukébakio,Hertha Berlin,2.6,1.5
Robert Andrich,Bayer Leverkusen,0.7,0.1
Lucas Höler,Freiburg,1.1,0.5
Kevin Stöger,Bochum,1.3,1.1
Kevin Behrens,Union Berlin,1.4,0.6
Jan Olschowsky,Borussia M.Gladbach,0,0
Georginio Rutter,Hoffenheim,3.1,1.7
Ihlas Bebou,Hoffenheim,3.2,0.9
Manuel Neuer,Bayern Munich,0.1,0
Karim Onisiwo,Mainz 05,3.6,1.6
Soichiro Kozuki,Schalke 04,1.8,1.6
Timo Werner,RB Leipzig,2,0.8
Exequiel Palacios,Bayer Leverkusen,0.8,1
Marius Wolf,Borussia Dortmund,1.1,0.5
Aurélio Buta,Eintracht Frankfurt,1.3,0.5
Manu Koné,Borussia M.Gladbach,2.7,1.7
Philipp Lienhart,Freiburg,0.7,0
Lukas Kübler,Freiburg,0.6,0.1
Lars Stindl,Borussia M.Gladbach,1.1,0.9
Daichi Kamada,Eintracht Frankfurt,1,0.8
Rafal Gikiewicz,Augsburg,0.1,0
Tomás Koubek,Augsburg,0,0
Mark Flekken,Freiburg,0,0
Niklas Süle,Borussia Dortmund,0.3,0.3
Julian Ryerson,Borussia Dortmund,1.1,1.1
Nicolas Höfler,Freiburg,1,0.4
Gregor Kobel,Borussia Dortmund,0,0
Florian Niederlechner,Augsburg,1.1,0.8
Josip Juranovic,Union Berlin,0.5,0.3
Lee Jae-Sung,Mainz 05,1.3,0.7
Koen Casteels,Wolfsburg,0,0
Christopher Trimmel,Union Berlin,0.5,0.3
Serhou Guirassy,VfB Stuttgart,2.4,0.9
Benjamin Henrichs,RB Leipzig,1.1,0.6
Ermedin Demirovic,Augsburg,1.8,1.1
Stefan Bell,Mainz 05,0.4,0.1
Abdou Diallo,RB Leipzig,0.4,0.8
Ko Itakura,Borussia M.Gladbach,0.4,0.1
Leandro Barreiro,Mainz 05,1.3,0.4
Gabriel Vidovic,Bayern Munich,0,0
Hrvoje Smolcic,Eintracht Frankfurt,0.3,0.1
Ridle Baku,Wolfsburg,1.8,0.6
Moritz Jenz,Schalke 04,0.8,0.2
Angeliño,Hoffenheim,0.8,0.5
Marcin Kaminski,Schalke 04,0.5,0.1
Marius Bülter,Schalke 04,2.5,0.8
Tuta,Eintracht Frankfurt,0.9,0.4
Ivan Ordets,Bochum,0.3,0.1
Junior Dina Ebimbe,Eintracht Frankfurt,1.4,0.8
Dayot Upamecano,Bayern Munich,0.7,0.3
Luca Pellegrini,Eintracht Frankfurt,0.8,0.6
John Anthony Brooks,Hoffenheim,0.1,0.1
Jakub Kaminski,Wolfsburg,1.8,1
Marco Richter,Hertha Berlin,2,1.2
Kevin Akpoguma,Hoffenheim,0.6,0.3
Oliver Baumann,Hoffenheim,0,0
Jonas Omlin,Borussia M.Gladbach,0,0
Anthony Losilla,Bochum,0.8,0.3
Xaver Schlager,RB Leipzig,1,0.6
Kerem Demirbay,Bayer Leverkusen,1,0.8
Hiroki Ito,VfB Stuttgart,0.7,0.2
Anthony Caci,Mainz 05,0.5,0.3
Amine Adli,Bayer Leverkusen,2,0.7
Mërgim Berisha,Augsburg,1.8,1.2
Marco Reus,Borussia Dortmund,1.2,0.6
Nico Elvedi,Borussia M.Gladbach,0.3,0.1
Eric Martel,FC Koln,1.2,0.9
Davie Selke,FC Koln,0.7,0.5
Ozan Kabak,Hoffenheim,0.8,0.2
Maximilian Eggestein,Freiburg,0.7,0.7
Philipp Max,Eintracht Frankfurt,0.8,0.3
Jonas Wind,Wolfsburg,1.9,0.8
Jamie Bynoe-Gittens,Borussia Dortmund,1.5,0.3
Evan Ndicka,Eintracht Frankfurt,0.6,0.2
Josko Gvardiol,RB Leipzig,0.3,0.2
Marco Friedl,Werder Bremen,0.6,0.3
André Hahn,Augsburg,1.9,0.1
Piero Hincapié,Bayer Leverkusen,0.7,0.3
Jesper Lindstrøm,Eintracht Frankfurt,2.4,1.3
Patrik Schick,Bayer Leverkusen,2,0.9
Aarón Martín,Mainz 05,0.5,0.5
Tom Krauß,Schalke 04,0.8,1
Micky van de Ven,Wolfsburg,0.4,0.3
Suat Serdar,Hertha Berlin,1.1,1
Maxence Lacroix,Wolfsburg,0.4,0.3
Christopher Lenz,Eintracht Frankfurt,0.5,0.2
Rani Khedira,Union Berlin,0.8,0.5
Mario Götze,Eintracht Frankfurt,1.8,1.4
Robin Zentner,Mainz 05,0,0
Marcel Sabitzer,Bayern Munich,0.4,0.2
Chris Führich,VfB Stuttgart,1.1,0.9
Christian Günter,Freiburg,0.5,0.4
Andrej Kramaric,Hoffenheim,1.9,1
Mohamed Simakan,RB Leipzig,0.9,0.3
Maximilian Mittelstädt,Hertha Berlin,0.7,0.5
Roland Sallai,Freiburg,1.1,0.5
Malick Thiaw,Schalke 04,0,0
Clinton Mola,VfB Stuttgart,0,0
Leonardo Bittencourt,Werder Bremen,1.7,0.4
Lucas Hernández,Bayern Munich,0.1,0
Janik Haberer,Union Berlin,1.1,0.6
Edmond Tapsoba,Bayer Leverkusen,0.5,0.4
David Raum,RB Leipzig,0.6,0.3
Maya Yoshida,Schalke 04,0.4,0.1
Mattias Svanberg,Wolfsburg,1.5,0.6
André Silva,RB Leipzig,2.1,1.4
Manuel Riemann,Bochum,0,0
Janis Blaswich,RB Leipzig,0,0
Niklas Schmidt,Werder Bremen,0.7,0.5
Dominik Kohr,Mainz 05,0.6,0.3
