,Name,Team,Position,Date of Birth,Age,Nationality,Market Value
0,Manuel Neuer,Bayern Munich,Goalkeeper,"Mar 27, 1986",37,Germany,€7.00m
1,Yann Sommer,Bayern Munich,Goalkeeper,"Dec 17, 1988",34,Switzerland,€5.00m
2,Sven Ulreich,Bayern Munich,Goalkeeper,"Aug 3, 1988",34,Germany,€700k
3,Johannes Schenk,Bayern Munich,Goalkeeper,"Jan 13, 2003",20,Germany,€300k
4,Matthijs de Ligt,Bayern Munich,Centre-Back,"Aug 12, 1999",23,Netherlands,€75.00m
5,Dayot Upamecano,Bayern Munich,Centre-Back,"Oct 27, 1998",24,France,€60.00m
6,Benjamin Pavard,Bayern Munich,Centre-Back,"Mar 28, 1996",27,France,€40.00m
7,Josip Stanisic,Bayern Munich,Centre-Back,"Apr 2, 2000",23,Croatia,€12.00m
8,Tanguy Nianzou,Bayern Munich,Centre-Back,"Jun 7, 2002",21,France,€7.50m
9,Daley Blind,Bayern Munich,Centre-Back,"Mar 9, 1990",33,Netherlands,€3.00m
10,Justin Janitzek,Bayern Munich,Centre-Back,"Feb 10, 2004",19,Germany,€500k
11,Liam Morrison,Bayern Munich,Centre-Back,"Apr 7, 2003",20,Scotland,€300k
12,Gabriel Marusic,Bayern Munich,Centre-Back,"Mar 3, 2003",20,Croatia,€150k
13,Alphonso Davies,Bayern Munich,Left-Back,"Nov 2, 2000",22,Canada,€70.00m
14,Lucas Hernández,Bayern Munich,Left-Back,"Feb 14, 1996",27,France,€45.00m
15,Joshua Kimmich,Bayern Munich,Right-Back,"Feb 8, 1995",28,Germany,€75.00m
16,João Cancelo,Bayern Munich,Right-Back,"May 27, 1994",29,Portugal,€50.00m
17,Noussair Mazraoui,Bayern Munich,Right-Back,"Nov 14, 1997",25,Morocco,€28.00m
18,Bouna Sarr,Bayern Munich,Right-Back,"Jan 31, 1992",31,Senegal,€2.00m
19,Aleksandar Pavlovic,Bayern Munich,Defensive Midfield,"May 3, 2004",19,Germany,-
20,Leon Goretzka,Bayern Munich,Central Midfield,"Feb 6, 1995",28,Germany,€45.00m
21,Ryan Gravenberch,Bayern Munich,Central Midfield,"May 16, 2002",21,Netherlands,€30.00m
22,Marcel Sabitzer,Bayern Munich,Central Midfield,"Mar 17, 1994",29,Austria,€20.00m
23,Jamal Musiala,Bayern Munich,Attacking Midfield,"Feb 26, 2003",20,Germany,€110.00m
24,Paul Wanner,Bayern Munich,Attacking Midfield,"Dec 23, 2005",17,Germany,€3.00m
25,Kingsley Coman,Bayern Munich,Left Winger,"Jun 13, 1996",27,France,€65.00m
26,Sadio Mané,Bayern Munich,Left Winger,"Apr 10, 1992",31,Senegal,€25.00m
27,Mathys Tel,Bayern Munich,Left Winger,"Apr 27, 2005",18,France,€20.00m
28,Gabriel Vidovic,Bayern Munich,Left Winger,"Dec 1, 2003",19,Croatia,€2.50m
29,Arijon Ibrahimovic,Bayern Munich,Left Winger,"Dec 11, 2005",17,Germany,€1.00m
30,Leroy Sané,Bayern Munich,Right Winger,"Jan 11, 1996",27,Germany,€65.00m
31,Serge Gnabry,Bayern Munich,Right Winger,"Jul 14, 1995",27,Germany,€55.00m
32,Thomas Müller,Bayern Munich,Second Striker,"Sep 13, 1989",33,Germany,€12.00m
33,Joshua Zirkzee,Bayern Munich,Centre-Forward,"May 22, 2001",22,Netherlands,€9.00m
34,Eric-Maxim Choupo-Moting,Bayern Munich,Centre-Forward,"Mar 23, 1989",34,Cameroon,€5.00m
