,Unnamed: 0,player_name,team_name,age,position,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MoM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Was_dribble,Blocks,OwnGoal,key_pass_per_game,dribble_won_per_game,foul_given_game,offside_given_per_game,dispossessed_per_game,turnover_per_game,average_per_pass,corsses_per_game,longpass_per_game,through_ball_per_game,xG,xGDiff,xGPerNinety,totalShots,xGPerShot
0,0,Jude Bellingham,,20, M(CLR),30(1),2693,8,4,8,0,2.2,83.1,1.1,6,7.58,2.5,1.1,1.3,0,0.9,0.5,0.1,0,1.1,2.8,2.4,0.1,1.9,2,51.2,0.2,3.7,0.2,8.54,-0.54,0.29,67,0.13
1,1,Joshua Kimmich,,29," D(CR),DMC,M(R)",32(1),2815,5,6,4,1,0.8,89.7,0.5,4,7.47,2.4,1.2,0.7,0,1.1,1,0.2,0,2.6,0.4,1.5,0,0.8,0.8,75.5,2.2,4.8,0.3,2.01,2.99,0.06,28,0.07
2,2,Niclas Füllkrug,,31, FW,28,2479,16,5,4,0,2.8,63.7,5.5,5,7.38,0.3,0,1.2,0,0.9,0.4,0.1,0,1.2,1.1,1.7,1,1.8,2.6,32.3,0.1,1.5,0,13.49,2.51,0.49,79,0.17
3,3,Christopher Nkunku,,26," M(CLR),FW",20(5),1899,16,4,4,0,3.0,81.8,0.7,8,7.35,0.2,0.3,0.7,0,0.4,0.2,0.1,0,1.6,1.5,1.5,0.5,1.5,1.8,23.8,0.2,1.2,0.2,15.7,0.3,0.74,74,0.21
4,4,Jamal Musiala,,21, M(CLR),26(7),2212,12,10,1,0,2.0,85.4,0.4,4,7.34,1,0.6,0.7,0,0.1,0.7,0.1,0,1.6,2.3,1.3,0,2.1,2.4,30,0.1,0.5,0.1,8.73,3.27,0.36,65,0.13
5,5,Dominik Szoboszlai,,23, AM(CLR),28(3),2453,6,8,3,2,1.9,83.0,0.2,4,7.32,1.5,0.5,0.8,0,0.7,0.8,0.1,0,2.3,1.7,1.3,0.1,1.1,1.8,45.2,1.5,2.5,0.3,4.88,1.12,0.18,59,0.08
6,6,Randal Kolo Muani,,25," AM(CLR),FW",31(1),2648,15,11,4,1,2.4,67.0,1.9,10,7.29,0.4,0.1,1.6,0,0.4,0.3,0.1,0,1.3,2.2,2.2,0.7,2,3.4,19.3,0.1,0.4,0.1,14.91,0.09,0.51,77,0.19
7,7,Julian Brandt,,28," M(CLR),FW",29(3),2412,9,8,2,0,1.3,83.8,0.3,3,7.28,0.9,0.5,0.3,0,0.3,1,0,0,2.3,1.3,0.7,0.2,1.1,1.6,37,1.5,1.8,0.1,4.84,4.16,0.18,42,0.12
8,8,Raphaël Guerreiro,,30," D(L),M(CL)",26(1),2296,4,12,4,0,1.2,85.1,0.2,3,7.27,1.3,1.3,0.3,0.3,0.8,0.5,0.1,0,2.1,1,0.4,0.1,0.7,1,56.7,1.1,1.5,0.1,2.57,1.43,0.1,33,0.08
9,9,Vincenzo Grifo,,31, AM(CL),30(3),2427,15,5,2,0,2.0,78.8,0.5,5,7.27,0.9,0.6,0.2,0,0.4,0.5,0,0,1.7,1.3,0.9,0.2,0.8,1.3,35.7,1,2.3,0.2,11.6,3.4,0.43,66,0.18
10,10,Jonas Hofmann,,31," D(R),M(CLR),FW",30(1),2693,12,9,2,0,1.5,80.9,0.4,7,7.25,1,0.5,0.5,0,0.4,1.2,0.1,0,3.2,0.5,1.3,0.7,1.1,1.4,41.8,2.4,1.5,0.3,7.74,4.26,0.26,45,0.17
11,11,Sébastien Haller,,29, FW,15(4),1232,9,3,1,0,1.8,70.5,2.2,1,7.21,0.3,0.1,0.7,0,0.5,0.2,0,0,0.8,0.5,0.7,0.2,0.8,0.9,16.1,0,0.2,0,9.31,-0.31,0.68,34,0.27
12,12,Donyell Malen,,25," AM(LR),FW",22(4),1724,9,5,0,0,2.5,80.4,0.2,3,7.2,0.5,0.2,0.5,0,0.3,0.3,0,0,1.1,2,1.5,0.1,1.5,1.5,21,0.7,0.5,0,9.9,-0.9,0.52,64,0.15
13,13,Kingsley Coman,,27," M(LR),FW",16(8),1421,8,5,0,1,2.0,84.7,0.5,4,7.2,0.5,0.1,0.4,0,0.3,0.4,0,0,1.8,2,0.9,0.2,0.8,2,29.9,0.9,0.8,0.1,4.93,3.07,0.31,49,0.1
14,14,Eric Choupo-Moting,,35," M(CLR),FW",14(5),1117,10,2,0,0,1.6,77.6,0.9,3,7.19,0.5,0,0.2,0,0.3,0.1,0,0,0.8,1.1,0.4,0.6,0.8,1.7,15.1,0.1,0.3,0.1,7.34,2.66,0.59,31,0.24
15,15,Benjamin Pavard,,28," D(CLR),M(R)",27(3),2432,4,1,6,0,1.1,89.9,2.1,2,7.17,2.3,1.5,0.9,0.2,2.5,0.4,0.5,0,0.6,0,0.6,0.2,0.1,0.4,74.4,0.4,3.2,0,2.47,1.53,0.09,34,0.07
16,16,Alphonso Davies,,23," D(L),M(LR)",24(2),2049,1,4,0,0,0.7,87.2,0.2,2,7.14,1.7,0.9,0.3,0.2,0.7,0.8,0.2,0,1.7,2.7,1,0.1,1,1.9,53,0.3,1.4,0,1.89,-0.89,0.08,19,0.1
17,17,Thomas Müller,,34," M(CLR),FW",21(6),1672,7,8,0,0,1.7,77.4,1.4,1,7.12,0.8,0.1,0.3,0,0.5,0.4,0.1,0,1.4,0.3,0.4,0.2,0.7,1.8,28.7,0.1,0.5,0.1,8.15,-1.15,0.44,47,0.17
18,18,Jeff Chabot,,26, D(C),21,1806,0,2,3,0,0.7,82.7,4.3,2,7.12,1.7,2,1.4,0.5,4.9,0.7,0.9,0,0.2,0.2,1,0.1,0.1,0.2,56.1,0,2.2,0,1.31,-1.31,0.07,14,0.09
19,19,Jeremie Frimpong,,23," D(R),M(R)",32(2),2723,8,7,4,0,1.1,81.2,0.4,4,7.12,1.6,0.5,0.6,0.1,0.9,0.6,0.1,0,1.3,2.5,1.7,0.2,1.4,2.6,27.5,0.5,0.5,0,7.57,0.44,0.25,38,0.2
20,20,Michael Gregoritsch,,30," AM(CR),FW",27(3),2173,10,4,6,0,2.2,56.6,4.7,5,7.11,0.6,0.2,0.8,0,0.3,0.6,0.1,0,0.8,0.4,1.4,0.4,0.7,1.7,17.3,0,0.2,0,10.18,-0.18,0.42,67,0.15
