,Unnamed: 0,team_name,P,W,D,L,GF,GA,GD,Pts,Goals_x,Shots pg,Yellow,Red,Poss%,Pass%,A_Won,Rating,Shoted pg,Tackles pg,Intercept pg,Fouls pg,Offsides pg,Shots OT pg,Dribbles pg,Fouled pg,xG,Goals_y,xGDiff,Shots,xG/shots,shotsTotal,shot0boxTotal,shotSixYardBox,shotPentaltyArea
0,0,Bayern Munich,34,21,8,5,92,38,54,71,92,18.5,45,3,64.3,87.1,13.9,6.94,9.2,18.3,8.4,9,2.5,7.6,7.6,7.6,79.34,90,10.66,628,0.13,18.5,5.6,1.2,11.6
1,1,Borussia Dortmund,34,22,5,7,83,44,39,71,83,16.6,66,0,58.3,84.4,12.6,6.88,12.1,17.1,8.8,9.5,1.2,6.6,6.6,6.6,74.47,81,6.53,564,0.13,16.6,5.4,1.7,9.4
2,2,RB Leipzig,34,20,6,8,64,41,23,66,64,14.8,67,2,58.4,83.6,13.0,6.72,9.2,15.7,9.1,11.6,2.4,5.7,5.7,5.7,65.71,64,-1.71,504,0.13,14.8,5,1.1,8.7
3,3,Union Berlin,34,18,8,8,51,38,13,62,51,11.2,63,2,42.9,73.6,22.7,6.63,11.5,14.5,7.7,13.1,1.8,3.6,3.6,3.6,36.2,49,12.8,381,0.1,11.2,3.9,0.6,6.7
4,4,Freiburg,34,17,8,9,51,44,7,59,51,12.4,60,2,48.0,76.9,22.0,6.67,13.1,14.6,9.6,11.9,1.7,5.3,5.3,5.3,49.46,51,1.54,421,0.12,12.4,4,1.1,7.3
5,5,Bayer Leverkusen,34,14,8,12,57,49,8,50,57,12.9,70,7,51.8,81.9,12.7,6.64,11.6,14.5,8.6,11.2,1.5,4.9,4.9,4.9,51.6,57,5.4,439,0.12,12.9,4.7,0.9,7.3
6,6,Eintracht Frankfurt,34,13,11,10,58,52,6,50,58,11.9,70,1,52.5,79.5,13.8,6.6,10.9,16.5,8.4,12.6,2.1,4.2,4.2,4.2,52.78,56,3.22,405,0.13,11.9,3.7,1.1,7.1
7,7,Wolfsburg,34,13,10,11,57,48,9,49,57,12.0,63,0,50.5,79.4,15.6,6.65,13.8,16,8.6,11.5,1.5,4.3,4.3,4.3,50.99,55,4.01,408,0.12,12,3.8,0.9,7.4
8,8,Mainz 05,34,12,10,12,54,55,-1,46,54,12.4,69,1,43.9,71.3,21.9,6.61,12.9,16.1,12.7,14,2.2,4.7,4.7,4.7,48.69,54,5.31,420,0.12,12.4,3.8,1.1,7.4
9,9,Borussia M.Gladbach,34,11,10,13,52,55,-3,43,52,12.0,60,3,54.0,83.4,12.6,6.63,14.2,14.6,7.9,9.9,2.1,5.1,5.1,5.1,51.93,52,0.07,409,0.13,12,3.9,0.7,7.5
10,10,FC Koln,34,10,12,12,49,54,-5,42,49,12.3,69,3,49.4,77.8,19.5,6.57,11.1,18.1,10.9,11.8,2,4.6,4.6,4.6,50.77,46,-4.77,417,0.12,12.3,3.6,1.5,7.2
11,11,Hoffenheim,34,10,6,18,48,57,-9,36,48,12.0,74,5,48.0,77.1,16.3,6.55,14.1,16,8.4,13.9,2.3,4.1,4.1,4.1,48.99,46,-2.99,407,0.12,12,4.1,0.9,7
12,12,Werder Bremen,34,10,6,18,51,64,-13,36,51,10.9,76,1,49.5,76.3,18.7,6.58,14,17.5,9.4,12.5,1.9,4.2,4.2,4.2,41.6,50,8.4,369,0.11,10.9,3.7,0.5,6.6
13,13,Bochum,34,10,5,19,40,72,-32,35,40,11.8,64,1,45.7,69.9,22.8,6.5,15.7,18.4,9.9,12.6,1.9,3.8,3.8,3.8,39.57,37,-2.57,400,0.1,11.8,4.4,0.9,6.4
14,14,Augsburg,34,9,7,18,42,63,-21,34,42,10.6,92,5,40.9,68.1,18.9,6.48,15.9,15.4,8.4,12.7,1.7,3.1,3.1,3.1,36.92,41,4.08,359,0.1,10.6,4,0.9,5.6
15,15,VfB Stuttgart,34,7,12,15,45,57,-12,33,45,13.6,64,5,50.1,80.9,16.2,6.57,11.8,15.5,9.1,10.2,1.6,4.4,4.4,4.4,50.57,45,-5.57,462,0.11,13.6,4.8,1.2,7.6
16,16,Schalke 04,34,7,10,17,35,71,-36,31,35,12.5,68,1,45.2,71.7,20.5,6.48,14.5,15.9,9,12.6,2.1,3.8,3.8,3.8,40.34,32,-8.34,426,0.09,12.5,4.6,0.8,7.1
17,17,Hertha Berlin,34,7,8,19,42,69,-27,29,42,11.3,80,1,41.3,71.2,18.8,6.51,14,16.9,10.8,12.4,1.7,3.9,3.9,3.9,42.26,42,-0.26,384,0.11,11.3,4.1,0.8,6.4
