player_name,team_name,Total_Aerial,Won,Lost
Salvatore Sirigu,Fiorentina,0,0,0
Victor Osimhen,Napoli,3.8,2.1,1.7
Khvicha Kvaratskhelia,Napoli,0.6,0.2,0.4
Francesco Bardi,Bologna,0,0,0
Sergej Milinkovic-Savic,Lazio,4.6,2.7,2
Paulo Dybala,Roma,0.8,0.2,0.6
Rafael Leão,AC Milan,1.7,0.8,0.8
Lautaro Martínez,Inter,2.2,1.1,1.1
Mattia Zaccagni,Lazio,1.3,0.4,0.8
Domenico Berardi,Sassuolo,1.3,0.5,0.8
Armand Laurienté,Sassuolo,0.3,0,0.2
Adrien Rabiot,Juventus,2.8,1.6,1.3
Teun Koopmeiners,Atalanta,1.8,1.2,0.7
Felipe Anderson,Lazio,0.9,0.4,0.6
Lorenzo Pellegrini,Roma,1.2,0.4,0.8
Mário Rui,Napoli,1.8,0.6,1.1
Lucas Martínez,Fiorentina,4.1,2.8,1.3
Hakan Çalhanoglu,Inter,0.9,0.4,0.5
Kim Min-Jae,Napoli,4.2,2.6,1.5
Gerard Deulofeu,Udinese,0.3,0.1,0.3
Giovanni Di Lorenzo,Napoli,2,1.1,0.9
Danilo,Juventus,2.5,1.4,1
Frank Anguissa,Napoli,2.1,1.3,0.8
Simone Perilli,Verona,0,0,0
Carlos Augusto,Monza,2.6,1.6,0.9
Luis Alberto,Lazio,0.6,0.2,0.4
Stefan Posch,Bologna,1.8,0.9,0.9
Romelu Lukaku,Inter,3,1.6,1.4
Ismaël Bennacer,AC Milan,1.6,0.8,0.8
Martin Turk,Sampdoria,0.3,0.3,0
Nicolò Barella,Inter,1,0.6,0.4
Armando Izzo,Monza,2.6,1.3,1.2
Piotr Zielinski,Napoli,0.5,0.1,0.4
Fabiano Parisi,Empoli,1.3,0.9,0.4
Cristiano Biraghi,Fiorentina,1.3,0.6,0.8
Bremer,Juventus,4.3,2.6,1.7
Nicolás Domínguez,Bologna,2.1,1.2,0.9
Chris Smalling,Roma,3,2.3,0.8
Pierluigi Gollini,Fiorentina,0,0,0
Sandro Tonali,AC Milan,1,0.4,0.5
Ademola Lookman,Atalanta,0.5,0.1,0.4
Ivan Provedel,Lazio,0.2,0.2,0
Fikayo Tomori,AC Milan,2.8,1.9,0.9
Juan Cuadrado,Juventus,0.8,0.4,0.4
Olivier Giroud,AC Milan,5,3.1,1.9
Manuel Locatelli,Juventus,2,1.1,0.9
Boulaye Dia,Salernitana,2.4,0.6,1.8
Andrei Radu,Cremonese,0.4,0.3,0.1
Federico Dimarco,Inter,0.5,0.2,0.4
Stanislav Lobotka,Napoli,0.8,0.3,0.4
Pierluigi Gollini,Napoli,0,0,0
Théo Hernández,AC Milan,1.7,1.2,0.5
Ibañez,Roma,2.7,1.8,0.8
Amir Rrahmani,Napoli,3.7,2.3,1.4
Destiny Udogie,Udinese,1,0.5,0.5
Stefan de Vrij,Inter,4.2,3.1,1.1
Ciro Immobile,Lazio,1.5,0.5,1.1
Matteo Pessina,Monza,2.1,1.1,1
Jaka Bijol,Udinese,4.2,2.8,1.5
Alessio Romagnoli,Lazio,3.6,2.3,1.3
Ivan Ilic,Torino,1.9,0.9,1.1
Mattia Perin,Juventus,0.2,0.2,0
Guglielmo Vicario,Empoli,0.4,0.3,0.1
Luigi Sepe,Salernitana,0.3,0.3,0
Ángel Di María,Juventus,0.3,0,0.2
Junior Messias,AC Milan,2.6,1,1.6
Rafael Tolói,Atalanta,2.4,1.3,1
Morten Hjulmand,Lecce,2,1.2,0.8
Antonio Sanabria,Torino,6.4,2.6,3.8
Rade Krunic,AC Milan,2.3,1.2,1
Bryan Cristante,Roma,3.3,2.1,1.2
Ardian Ismajli,Empoli,3.9,2.3,1.6
Leo Østigård,Napoli,5.3,4.3,1
Giorgos Kyriakopoulos,Sassuolo,1.7,0.6,1.1
Guillermo Ochoa,Salernitana,0.1,0.1,0
Davide Zappacosta,Atalanta,0.5,0.1,0.4
Davide Frattesi,Sassuolo,1.3,0.6,0.7
Lukasz Skorupski,Bologna,0.3,0.2,0.1
Brahim Díaz,AC Milan,0.8,0.1,0.7
Christian Kouamé,Fiorentina,4.1,2.2,1.9
Francesco Acerbi,Inter,3.9,2.5,1.4
Nicolás González,Fiorentina,4.2,2.7,1.5
Stephan El Shaarawy,Roma,1.2,0.6,0.6
Michele Di Gregorio,Monza,0.1,0.1,0
Jérémie Boga,Atalanta,0.4,0.2,0.2
Marcelo Brozovic,Inter,0.7,0.2,0.5
Nicolò Rovella,Monza,0.8,0.4,0.4
Emil Audero,Sampdoria,0.2,0.2,0
Filip Kostic,Juventus,0.7,0.4,0.4
Marten de Roon,Atalanta,2.4,1.5,0.9
Nikola Milenkovic,Fiorentina,3.8,2.7,1.1
Davide Calabria,AC Milan,1,0.5,0.5
Roberto Pereyra,Udinese,0.4,0.1,0.3
Wojciech Szczesny,Juventus,0.4,0.4,0
Hirving Lozano,Napoli,0.7,0.3,0.4
Riccardo Orsolini,Bologna,1.3,0.5,0.8
Alessandro Buongiorno,Torino,4.4,2.9,1.5
Juan Jesus,Napoli,2.6,2,0.6
Gabriel Strefezza,Lecce,1.7,0.5,1.3
Malick Thiaw,AC Milan,3.9,2.6,1.3
Edin Dzeko,Inter,2.5,1.2,1.3
Ivan Ilic,Verona,2.1,0.9,1.2
Dusan Vlahovic,Juventus,3.4,1.3,2.1
Tammy Abraham,Roma,4.1,2.1,2
Rodrigo Becão,Udinese,3.3,2.3,1
Razvan Marin,Empoli,1,0.5,0.5
Marco Carnesecchi,Cremonese,0.3,0.2,0.1
Patrick Ciurria,Monza,0.7,0.3,0.4
Pasquale Mazzocchi,Salernitana,1,0.4,0.5
Nikola Vlasic,Torino,2.2,0.8,1.4
Patric,Lazio,1.7,0.5,1.2
Milan Djuric,Verona,9.1,7.1,2
Lewis Ferguson,Bologna,2.1,0.9,1.2
Federico Gatti,Juventus,3.3,1.8,1.5
Michele Cerofolini,Fiorentina,0,0,0
André Onana,Inter,0.2,0.2,0
Lassana Coulibaly,Salernitana,1.9,0.9,1.1
Federico Baschirotto,Lecce,4.2,2.5,1.7
Rolando Mandragora,Fiorentina,2,1.2,0.8
Berat Djimsiti,Atalanta,4.2,2.5,1.8
Norbert Gyömbér,Salernitana,2.6,1.7,0.9
Éderson,Atalanta,1.2,0.6,0.6
Alex Sandro,Juventus,2.4,1.6,0.9
Lazar Samardzic,Udinese,0.9,0.3,0.6
Marko Arnautovic,Bologna,1,0.5,0.6
Jerdy Schouten,Bologna,1.7,0.8,0.8
Nicolò Casale,Lazio,2.6,1.6,1
Giacomo Bonaventura,Fiorentina,1.2,0.5,0.7
Alex Meret,Napoli,0.1,0.1,0
Denzel Dumfries,Inter,2.4,1.2,1.2
Arkadiusz Milik,Juventus,3.4,1.3,2.1
Henrikh Mkhitaryan,Inter,0.7,0.3,0.4
Daniele Rugani,Juventus,2.2,1.2,1
Alessandro Bastoni,Inter,2.1,1.3,0.8
Adam Marusic,Lazio,1.6,0.9,0.8
Samir Handanovic,Inter,0,0,0
Antonio Candreva,Salernitana,0.2,0.1,0.1
Ola Aina,Torino,1.2,0.6,0.5
Alessandro Tuia,Lecce,3.4,1.4,2
Perr Schuurs,Torino,3.6,2,1.6
Andrea Ranocchia,Monza,3,1,2
Bram Nuytinck,Sampdoria,3.4,1.5,1.9
Rasmus Højlund,Atalanta,2.8,1,1.8
Hans Hateboer,Atalanta,2.2,1.4,0.8
Gianluca Mancini,Roma,2.4,1.7,0.8
Darko Lazovic,Verona,0.7,0.2,0.5
Sandi Lovric,Udinese,0.6,0.2,0.4
Mathías Olivera,Napoli,2.5,1.1,1.4
Beto,Udinese,4.1,2.2,1.9
Johan Vásquez,Cremonese,3.2,1.4,1.8
Koray Günter,Verona,3.3,1.7,1.6
Walace,Udinese,1.4,0.6,0.8
Nehuén Pérez,Udinese,1.7,1.1,0.6
Simone Bastoni,Spezia,1.1,0.6,0.5
Leonardo Sernicola,Cremonese,1.6,0.9,0.7
