player_name,team_name,ShotsBlocked,CrossesBlocked,PassesBlocked
Salvatore Sirigu,Fiorentina,0,0,0
Victor Osimhen,Napoli,0,0,0.2
Khvicha Kvaratskhelia,Napoli,0,0,0.6
Francesco Bardi,Bologna,0,0,0
Sergej Milinkovic-Savic,Lazio,0.3,0.1,1.1
Paulo Dybala,Roma,0,0,0.4
Rafael Leão,AC Milan,0.1,0,0.2
Lautaro Martínez,Inter,0,0,0.8
Mattia Zaccagni,Lazio,0.1,0.1,1
Domenico Berardi,Sassuolo,0,0.1,0.5
Armand Laurienté,Sassuolo,0,0.2,0.7
Adrien Rabiot,Juventus,0.2,0.2,0.9
Teun Koopmeiners,Atalanta,0.2,0.1,1.1
Felipe Anderson,Lazio,0.2,0.1,1.4
Lorenzo Pellegrini,Roma,0.1,0.1,0.7
Mário Rui,Napoli,0.2,0.3,0.6
Lucas Martínez,Fiorentina,0.7,0.1,0.8
Hakan Çalhanoglu,Inter,0.2,0.2,0.8
Kim Min-Jae,Napoli,0.7,0,0.3
Gerard Deulofeu,Udinese,0.1,0,0.4
Giovanni Di Lorenzo,Napoli,0.2,0.3,0.6
Danilo,Juventus,0.5,0.1,0.5
Frank Anguissa,Napoli,0.1,0,1.3
Simone Perilli,Verona,0,0,0
Carlos Augusto,Monza,0.2,0.3,0.5
Luis Alberto,Lazio,0.2,0,0.8
Stefan Posch,Bologna,0.5,0.3,1
Romelu Lukaku,Inter,0,0,0.1
Ismaël Bennacer,AC Milan,0.3,0.1,0.6
Martin Turk,Sampdoria,0,0,0
Nicolò Barella,Inter,0.1,0,0.7
Armando Izzo,Monza,0.6,0.3,0.4
Piotr Zielinski,Napoli,0.1,0,0.3
Fabiano Parisi,Empoli,0.5,0.7,1.1
Cristiano Biraghi,Fiorentina,0.2,0.1,0.8
Bremer,Juventus,0.7,0.2,0.7
Nicolás Domínguez,Bologna,0.1,0.2,0.8
Chris Smalling,Roma,1.1,0,0.5
Pierluigi Gollini,Fiorentina,0,0,0
Sandro Tonali,AC Milan,0.3,0.3,0.7
Ademola Lookman,Atalanta,0,0,0.6
Ivan Provedel,Lazio,0,0,0
Fikayo Tomori,AC Milan,0.8,0.3,0.6
Juan Cuadrado,Juventus,0.1,0.3,0.4
Olivier Giroud,AC Milan,0.1,0,0.2
Manuel Locatelli,Juventus,0.7,0.2,0.9
Boulaye Dia,Salernitana,0,0,0.3
Andrei Radu,Cremonese,0,0,0
Federico Dimarco,Inter,0.1,0.2,0.3
Stanislav Lobotka,Napoli,0.2,0,0.6
Pierluigi Gollini,Napoli,0,0,0
Théo Hernández,AC Milan,0.2,0.1,0.8
