player_name,team_name,Total_Clearances
Salvatore Sirigu,Fiorentina,1
Victor Osimhen,Napoli,0.9
Khvicha Kvaratskhelia,Napoli,0.2
Francesco Bardi,Bologna,0
Sergej Milinkovic-Savic,Lazio,1.3
Paulo Dybala,Roma,0.1
Rafael Leão,AC Milan,0.2
Lautaro Martínez,Inter,0.4
Mattia Zaccagni,Lazio,0.2
Domenico Berardi,Sassuolo,0.6
Armand Laurienté,Sassuolo,0.1
Adrien Rabiot,Juventus,1.2
Teun Koopmeiners,Atalanta,1
Felipe Anderson,Lazio,0.6
Lorenzo Pellegrini,Roma,0.6
Mário Rui,Napoli,0.8
Lucas Martínez,Fiorentina,2.8
Hakan Çalhanoglu,Inter,0.2
Kim Min-Jae,Napoli,3.5
Gerard Deulofeu,Udinese,0.1
Giovanni Di Lorenzo,Napoli,1.4
Danilo,Juventus,3
Frank Anguissa,Napoli,0.7
Simone Perilli,Verona,0
Carlos Augusto,Monza,2.1
Luis Alberto,Lazio,0.1
Stefan Posch,Bologna,2
Romelu Lukaku,Inter,0.6
Ismaël Bennacer,AC Milan,0.5
Martin Turk,Sampdoria,0.3
Nicolò Barella,Inter,0.3
Armando Izzo,Monza,2.6
Piotr Zielinski,Napoli,0.2
Fabiano Parisi,Empoli,2.1
Cristiano Biraghi,Fiorentina,1.2
Bremer,Juventus,3.8
Nicolás Domínguez,Bologna,0.8
Chris Smalling,Roma,3.8
Pierluigi Gollini,Fiorentina,1
Sandro Tonali,AC Milan,0.5
Ademola Lookman,Atalanta,0
Ivan Provedel,Lazio,0.8
Fikayo Tomori,AC Milan,2.3
Juan Cuadrado,Juventus,0.7
Olivier Giroud,AC Milan,0.7
Manuel Locatelli,Juventus,1.6
Boulaye Dia,Salernitana,0.8
Andrei Radu,Cremonese,0.4
Federico Dimarco,Inter,0.4
Stanislav Lobotka,Napoli,0.4
Pierluigi Gollini,Napoli,0.3
Théo Hernández,AC Milan,1
Ibañez,Roma,2.8
Amir Rrahmani,Napoli,2.6
Destiny Udogie,Udinese,0.5
Stefan de Vrij,Inter,2.9
Ciro Immobile,Lazio,0.4
Matteo Pessina,Monza,0.9
Jaka Bijol,Udinese,5.1
Alessio Romagnoli,Lazio,3.1
Ivan Ilic,Torino,0.7
Mattia Perin,Juventus,0.1
Guglielmo Vicario,Empoli,1.4
Luigi Sepe,Salernitana,0.4
Ángel Di María,Juventus,0
Junior Messias,AC Milan,1
Rafael Tolói,Atalanta,2.7
Morten Hjulmand,Lecce,1.5
Antonio Sanabria,Torino,0.2
Rade Krunic,AC Milan,0.8
Bryan Cristante,Roma,1.4
Ardian Ismajli,Empoli,4.7
Leo Østigård,Napoli,2.4
Giorgos Kyriakopoulos,Sassuolo,1
Guillermo Ochoa,Salernitana,0.7
Davide Zappacosta,Atalanta,0.7
Davide Frattesi,Sassuolo,1.1
Lukasz Skorupski,Bologna,0.9
Brahim Díaz,AC Milan,0.1
Christian Kouamé,Fiorentina,0.2
Francesco Acerbi,Inter,2.5
Nicolás González,Fiorentina,0.3
Stephan El Shaarawy,Roma,0.3
Michele Di Gregorio,Monza,0.8
Jérémie Boga,Atalanta,0
Marcelo Brozovic,Inter,0.9
Nicolò Rovella,Monza,0.6
Emil Audero,Sampdoria,0.6
Filip Kostic,Juventus,0.7
Marten de Roon,Atalanta,1.6
Nikola Milenkovic,Fiorentina,2.7
Davide Calabria,AC Milan,1.2
Roberto Pereyra,Udinese,0.6
Wojciech Szczesny,Juventus,0.6
Hirving Lozano,Napoli,0.1
Riccardo Orsolini,Bologna,0.4
Alessandro Buongiorno,Torino,2.9
Juan Jesus,Napoli,1.9
Gabriel Strefezza,Lecce,0.3
Malick Thiaw,AC Milan,3.3
Edin Dzeko,Inter,0.8
Ivan Ilic,Verona,1.2
Dusan Vlahovic,Juventus,0.3
Tammy Abraham,Roma,0.4
Rodrigo Becão,Udinese,2.2
Razvan Marin,Empoli,1
Marco Carnesecchi,Cremonese,0.7
Patrick Ciurria,Monza,0.7
Pasquale Mazzocchi,Salernitana,1
Nikola Vlasic,Torino,0.3
Patric,Lazio,2.8
Milan Djuric,Verona,0.9
Lewis Ferguson,Bologna,0.8
Federico Gatti,Juventus,2.9
Michele Cerofolini,Fiorentina,0.4
André Onana,Inter,0.6
Lassana Coulibaly,Salernitana,0.9
Federico Baschirotto,Lecce,5
Rolando Mandragora,Fiorentina,0.7
Berat Djimsiti,Atalanta,3.1
Norbert Gyömbér,Salernitana,3.3
Éderson,Atalanta,0.7
Alex Sandro,Juventus,2.5
Lazar Samardzic,Udinese,0.4
Marko Arnautovic,Bologna,0.5
Jerdy Schouten,Bologna,1.2
Nicolò Casale,Lazio,2.3
Giacomo Bonaventura,Fiorentina,0.1
Alex Meret,Napoli,0.4
Denzel Dumfries,Inter,0.6
Arkadiusz Milik,Juventus,0.5
Henrikh Mkhitaryan,Inter,0.5
Daniele Rugani,Juventus,3.4
Alessandro Bastoni,Inter,1.4
Adam Marusic,Lazio,1.6
Samir Handanovic,Inter,0.6
Antonio Candreva,Salernitana,0.6
Ola Aina,Torino,1
Alessandro Tuia,Lecce,4
Perr Schuurs,Torino,3.2
Andrea Ranocchia,Monza,7
Bram Nuytinck,Sampdoria,4.3
Rasmus Højlund,Atalanta,0.2
Hans Hateboer,Atalanta,1.3
Gianluca Mancini,Roma,1.8
Darko Lazovic,Verona,0.6
Sandi Lovric,Udinese,0.5
Mathías Olivera,Napoli,0.8
Beto,Udinese,0.9
Johan Vásquez,Cremonese,3.4
Koray Günter,Verona,3.5
Walace,Udinese,1.2
Nehuén Pérez,Udinese,2.8
Simone Bastoni,Spezia,0.7
Leonardo Sernicola,Cremonese,1.5
Sebastiano Luperto,Empoli,4.4
Wladimiro Falcone,Lecce,1.3
Denis Zakaria,Juventus,0.5
Ricardo Rodríguez,Torino,1.6
Nemanja Matic,Roma,0.5
Mike Maignan,AC Milan,0.6
Aleksey Miranchuk,Torino,0.2
M'Bala Nzola,Spezia,0.7
Stefano Sensi,Monza,0.1
Eljif Elmas,Napoli,0.1
Emil Holm,Spezia,1.7
Nikola Moro,Bologna,0.7
Tyronne Ebuehi,Empoli,2.5
Wilfried Singo,Torino,0.9
Dany Mota,Monza,0.9
Dodô,Fiorentina,0.8
Giorgio Scalvini,Atalanta,1.7
Ethan Ampadu,Spezia,2.9
Nicola Ravaglia,Sampdoria,0.8
Lorenzo Montipò,Verona,1.1
Pedro,Lazio,0.1
Matteo Darmian,Inter,1.1
Panagiotis Retsos,Verona,1.5
Samuel Umtiti,Lecce,3.1
Giorgos Kyriakopoulos,Bologna,0.6
Federico Fazio,Salernitana,4.3
Jakub Kiwior,Spezia,4
Mehdi Léris,Sampdoria,0.9
Musa Barrow,Bologna,0.2
Valentin Gendrey,Lecce,2.1
Simone Verdi,Verona,0.1
Samuele Ricci,Torino,0.9
Marin Pongracic,Lecce,3.3
Nicolò Cambiaghi,Empoli,0.2
Pablo Marí,Monza,3.6
Arthur Cabral,Fiorentina,0.4
Janis Antiste,Sassuolo,0
Vlad Chiriches,Cremonese,2.8
Alexis Blin,Lecce,1.9
Danilo Cataldi,Lazio,1.1
David Okereke,Cremonese,0.4
Georginio Wijnaldum,Roma,0.2
Matteo Politano,Napoli,0.2
Jhon Lucumí,Bologna,2.8
Isak Hien,Verona,2.8
José Palomino,Atalanta,1.1
Ciprian Tatarusanu,AC Milan,0.5
Martin Erlic,Sassuolo,4.1
Krzysztof Piatek,Salernitana,1.2
Nicola Zalewski,Roma,0.6
Alessandro Zanoli,Sampdoria,1.6
Federico Chiesa,Juventus,0
Weston McKennie,Juventus,0.9
Alexis Saelemaekers,AC Milan,0.2
Pierre Kalulu,AC Milan,1.4
Andrea Cambiaso,Bologna,0.8
Juan Musso,Atalanta,0.5
Bartlomiej Dragowski,Spezia,0.9
Diego Llorente,Roma,2.1
Sasa Lukic,Torino,0.6
Jonathan Ikoné,Fiorentina,0
Jean-Daniel Akpa Akpro,Empoli,0.9
Vanja Milinkovic-Savic,Torino,1
Luca D'Andrea,Sassuolo,0
Frank Tsadjout,Cremonese,0.5
Remi Oudin,Lecce,0.6
Aleksa Terzic,Fiorentina,0.7
Matteo Ruggeri,Atalanta,0.9
Merih Demiral,Atalanta,1.9
