player_name,team_name,Unsuccessful,Successful,Total Dribbles
Salvatore Sirigu,Fiorentina,0,0,0
Victor Osimhen,Napoli,1.6,0.8,2.3
Khvicha Kvaratskhelia,Napoli,3.6,2.2,5.9
Francesco Bardi,Bologna,0,0,0
Sergej Milinkovic-Savic,Lazio,1.2,1.1,2.3
Paulo Dybala,Roma,1.4,1,2.5
Rafael Leão,AC Milan,2.7,2.2,4.9
Lautaro Martínez,Inter,1.1,0.8,1.9
Mattia Zaccagni,Lazio,1.9,1.7,3.6
Domenico Berardi,Sassuolo,1.1,0.8,1.9
Armand Laurienté,Sassuolo,2.7,2.3,5
Adrien Rabiot,Juventus,0.9,0.8,1.7
Teun Koopmeiners,Atalanta,0.8,0.9,1.7
Felipe Anderson,Lazio,1.3,1.4,2.8
Lorenzo Pellegrini,Roma,1.4,1,2.4
Mário Rui,Napoli,0.4,0.4,0.7
Lucas Martínez,Fiorentina,0.1,0.4,0.6
Hakan Çalhanoglu,Inter,0.5,0.2,0.7
Kim Min-Jae,Napoli,0.1,0.1,0.2
Gerard Deulofeu,Udinese,1.6,1.3,2.8
Giovanni Di Lorenzo,Napoli,0.6,0.3,0.9
Danilo,Juventus,0.4,0.2,0.6
Frank Anguissa,Napoli,1.1,0.9,2
Simone Perilli,Verona,0,0,0
Carlos Augusto,Monza,0.8,0.9,1.7
Luis Alberto,Lazio,0.6,0.5,1.2
Stefan Posch,Bologna,0.7,0.5,1.2
Romelu Lukaku,Inter,0.6,0.6,1.2
Ismaël Bennacer,AC Milan,0.8,1,1.8
Martin Turk,Sampdoria,0,0,0
Nicolò Barella,Inter,0.9,1.1,2
Armando Izzo,Monza,0.4,0.4,0.7
Piotr Zielinski,Napoli,1,0.6,1.6
Fabiano Parisi,Empoli,2,1.9,3.9
Cristiano Biraghi,Fiorentina,0.4,0.2,0.6
Bremer,Juventus,0.1,0.1,0.2
Nicolás Domínguez,Bologna,0.5,0.8,1.3
Chris Smalling,Roma,0.1,0.1,0.1
Pierluigi Gollini,Fiorentina,0,0,0
Sandro Tonali,AC Milan,0.4,0.3,0.7
Ademola Lookman,Atalanta,1.5,1.1,2.6
Ivan Provedel,Lazio,0,0,0
Fikayo Tomori,AC Milan,0.1,0.1,0.2
Juan Cuadrado,Juventus,1.1,0.8,1.9
Olivier Giroud,AC Milan,0.2,0.2,0.4
Manuel Locatelli,Juventus,0.4,0.5,0.9
Boulaye Dia,Salernitana,1.6,1.1,2.7
Andrei Radu,Cremonese,0,0,0
Federico Dimarco,Inter,0.5,0.2,0.6
Stanislav Lobotka,Napoli,0.2,0.5,0.7
Pierluigi Gollini,Napoli,0,0,0
Théo Hernández,AC Milan,1.5,0.6,2.1
Ibañez,Roma,0.3,0.4,0.7
Amir Rrahmani,Napoli,0.1,0.1,0.2
Destiny Udogie,Udinese,2.2,1.5,3.7
Stefan de Vrij,Inter,0,0.1,0.2
Ciro Immobile,Lazio,0.8,0.6,1.4
Matteo Pessina,Monza,0.7,1,1.7
Jaka Bijol,Udinese,0.1,0.1,0.2
Alessio Romagnoli,Lazio,0,0,0
Ivan Ilic,Torino,0.6,0.5,1.1
Mattia Perin,Juventus,0,0,0
Guglielmo Vicario,Empoli,0,0,0
Luigi Sepe,Salernitana,0,0,0
Ángel Di María,Juventus,1.8,1.2,3.1
Junior Messias,AC Milan,1.4,1.4,2.7
Rafael Tolói,Atalanta,0.3,0.2,0.5
Morten Hjulmand,Lecce,0.3,0.5,0.7
