player_name,team_name,Fouled,Fouls
Salvatore Sirigu,Fiorentina,0,0
Victor Osimhen,Napoli,1.2,1.3
Khvicha Kvaratskhelia,Napoli,1.3,0.6
Francesco Bardi,Bologna,0,0
Sergej Milinkovic-Savic,Lazio,2,1.3
Paulo Dybala,Roma,2.2,0.4
Rafael Leão,AC Milan,0.9,0.6
Lautaro Martínez,Inter,1.7,1.2
Mattia Zaccagni,Lazio,3.3,1.5
Domenico Berardi,Sassuolo,1.9,1.3
Armand Laurienté,Sassuolo,1.5,0.8
Adrien Rabiot,Juventus,1.3,1.4
Teun Koopmeiners,Atalanta,0.8,1.5
Felipe Anderson,Lazio,0.9,1.1
Lorenzo Pellegrini,Roma,1.8,0.8
Mário Rui,Napoli,1.4,0.9
Lucas Martínez,Fiorentina,0.9,0.8
Hakan Çalhanoglu,Inter,0.8,1.4
Kim Min-Jae,Napoli,0.2,0.9
Gerard Deulofeu,Udinese,0.7,0.5
Giovanni Di Lorenzo,Napoli,1,0.8
Danilo,Juventus,0.5,0.9
Frank Anguissa,Napoli,1.3,1.2
Simone Perilli,Verona,0,0
Carlos Augusto,Monza,0.5,1.2
Luis Alberto,Lazio,0.4,0.4
Stefan Posch,Bologna,0.9,1.6
Romelu Lukaku,Inter,0.2,0.6
Ismaël Bennacer,AC Milan,0.9,1.3
Martin Turk,Sampdoria,0,0
Nicolò Barella,Inter,1.3,0.9
Armando Izzo,Monza,1.5,1.5
Piotr Zielinski,Napoli,0.9,0.6
Fabiano Parisi,Empoli,2.2,1
Cristiano Biraghi,Fiorentina,1.2,0.9
Bremer,Juventus,0.4,1
Nicolás Domínguez,Bologna,1,1.4
Chris Smalling,Roma,0.4,0.6
Pierluigi Gollini,Fiorentina,0,0
Sandro Tonali,AC Milan,0.9,1
Ademola Lookman,Atalanta,1.2,0.8
Ivan Provedel,Lazio,0.1,0
Fikayo Tomori,AC Milan,0.8,0.8
Juan Cuadrado,Juventus,1.4,1.1
Olivier Giroud,AC Milan,0.7,1.2
Manuel Locatelli,Juventus,1,1.4
Boulaye Dia,Salernitana,1.3,0.8
Andrei Radu,Cremonese,0.1,0
Federico Dimarco,Inter,0.9,0.4
Stanislav Lobotka,Napoli,1.4,0.7
Pierluigi Gollini,Napoli,0,0
Théo Hernández,AC Milan,1.8,0.7
Ibañez,Roma,1.5,1.3
Amir Rrahmani,Napoli,0.4,0.8
Destiny Udogie,Udinese,1.8,1.1
Stefan de Vrij,Inter,0.3,0.6
Ciro Immobile,Lazio,0.8,0.7
Matteo Pessina,Monza,1.5,1.2
Jaka Bijol,Udinese,0.2,0.9
Alessio Romagnoli,Lazio,0.6,1
Ivan Ilic,Torino,1.4,0.9
Mattia Perin,Juventus,0.1,0
Guglielmo Vicario,Empoli,0.3,0
Luigi Sepe,Salernitana,0.1,0.1
Ángel Di María,Juventus,0.9,0.2
Junior Messias,AC Milan,1,1
Rafael Tolói,Atalanta,0.6,1.2
Morten Hjulmand,Lecce,1.1,1.7
Antonio Sanabria,Torino,0.8,1
Rade Krunic,AC Milan,0.8,0.7
Bryan Cristante,Roma,0.5,1.4
Ardian Ismajli,Empoli,0.5,0.8
Leo Østigård,Napoli,0.6,0.3
Giorgos Kyriakopoulos,Sassuolo,1.1,0.8
Guillermo Ochoa,Salernitana,0.1,0
Davide Zappacosta,Atalanta,0.6,0.9
Davide Frattesi,Sassuolo,1.6,1.1
Lukasz Skorupski,Bologna,0.2,0
Brahim Díaz,AC Milan,1.5,0.9
Christian Kouamé,Fiorentina,2,1.1
Francesco Acerbi,Inter,0.4,0.5
Nicolás González,Fiorentina,2.3,0.7
Stephan El Shaarawy,Roma,0.6,0.6
Michele Di Gregorio,Monza,0.1,0
Jérémie Boga,Atalanta,0.7,0.2
Marcelo Brozovic,Inter,0.5,0.9
Nicolò Rovella,Monza,0.8,1
Emil Audero,Sampdoria,0.1,0
Filip Kostic,Juventus,0.3,0.8
Marten de Roon,Atalanta,0.7,1.3
Nikola Milenkovic,Fiorentina,0.8,1.4
Davide Calabria,AC Milan,0.6,0.6
Roberto Pereyra,Udinese,1.4,0.9
Wojciech Szczesny,Juventus,0,0
Hirving Lozano,Napoli,1,0.8
Riccardo Orsolini,Bologna,1.3,1.2
Alessandro Buongiorno,Torino,1.1,1.9
Juan Jesus,Napoli,0.3,0.7
Gabriel Strefezza,Lecce,2,1.5
Malick Thiaw,AC Milan,0.4,0.7
Edin Dzeko,Inter,0.7,0.8
Ivan Ilic,Verona,0.8,0.8
Dusan Vlahovic,Juventus,1,0.7
Tammy Abraham,Roma,1.3,0.9
Rodrigo Becão,Udinese,1.1,1.4
Razvan Marin,Empoli,0.6,0.9
Marco Carnesecchi,Cremonese,0.2,0
Patrick Ciurria,Monza,1.1,0.9
Pasquale Mazzocchi,Salernitana,0.6,1
Nikola Vlasic,Torino,1.1,0.9
Patric,Lazio,0.2,0.2
Milan Djuric,Verona,1,0.9
Lewis Ferguson,Bologna,1.3,1.6
Federico Gatti,Juventus,0.7,0.9
Michele Cerofolini,Fiorentina,0,0
André Onana,Inter,0.1,0
Lassana Coulibaly,Salernitana,1.4,1.5
Federico Baschirotto,Lecce,0.3,1
Rolando Mandragora,Fiorentina,0.6,1.1
Berat Djimsiti,Atalanta,0.3,0.6
Norbert Gyömbér,Salernitana,0.3,0.8
Éderson,Atalanta,1.2,0.8
Alex Sandro,Juventus,1,1.1
Lazar Samardzic,Udinese,0.4,0.7
Marko Arnautovic,Bologna,1,1
Jerdy Schouten,Bologna,0.9,0.8
Nicolò Casale,Lazio,0.2,0.8
Giacomo Bonaventura,Fiorentina,1.3,0.8
Alex Meret,Napoli,0,0
Denzel Dumfries,Inter,1.1,0.9
Arkadiusz Milik,Juventus,1.1,1
Henrikh Mkhitaryan,Inter,0.9,0.9
Daniele Rugani,Juventus,0,0.6
Alessandro Bastoni,Inter,0.5,0.7
Adam Marusic,Lazio,0.4,0.7
Samir Handanovic,Inter,0,0
Antonio Candreva,Salernitana,1,0.2
Ola Aina,Torino,0.8,0.8
Alessandro Tuia,Lecce,0.3,1.3
Perr Schuurs,Torino,0.1,1
Andrea Ranocchia,Monza,0,2
Bram Nuytinck,Sampdoria,0.4,1.2
Rasmus Højlund,Atalanta,1,0.7
Hans Hateboer,Atalanta,0.2,1.1
Gianluca Mancini,Roma,0.7,1.1
Darko Lazovic,Verona,0.1,0.3
Sandi Lovric,Udinese,0.9,0.8
Mathías Olivera,Napoli,0.8,0.7
Beto,Udinese,0.8,1.1
Johan Vásquez,Cremonese,0.8,0.8
Koray Günter,Verona,0.8,1.3
Walace,Udinese,1.1,1.1
Nehuén Pérez,Udinese,0.3,0.9
Simone Bastoni,Spezia,0.6,1.5
Leonardo Sernicola,Cremonese,1.3,1.3
Sebastiano Luperto,Empoli,0.6,0.6
Wladimiro Falcone,Lecce,0.1,0
Denis Zakaria,Juventus,0,0
Ricardo Rodríguez,Torino,0.2,0.7
Nemanja Matic,Roma,0.5,0.5
Mike Maignan,AC Milan,0.1,0
Aleksey Miranchuk,Torino,0.8,0.3
M'Bala Nzola,Spezia,1.3,1.8
Stefano Sensi,Monza,1.8,0.6
Eljif Elmas,Napoli,0.4,0.6
Emil Holm,Spezia,0.8,1.1
Nikola Moro,Bologna,0.4,0.6
Tyronne Ebuehi,Empoli,0.7,0.5
Wilfried Singo,Torino,1.1,1.4
Dany Mota,Monza,1.1,0.7
Dodô,Fiorentina,1.2,0.8
