player_name,team_name,Total_Interception
Salvatore Sirigu,Fiorentina,0
Victor Osimhen,Napoli,0.2
Khvicha Kvaratskhelia,Napoli,0.1
Francesco Bardi,Bologna,0
Sergej Milinkovic-Savic,Lazio,0.8
Paulo Dybala,Roma,0.3
Rafael Leão,AC Milan,0.4
Lautaro Martínez,Inter,0.3
Mattia Zaccagni,Lazio,0.6
Domenico Berardi,Sassuolo,0.7
Armand Laurienté,Sassuolo,0.4
Adrien Rabiot,Juventus,0.8
Teun Koopmeiners,Atalanta,0.6
Felipe Anderson,Lazio,0.8
Lorenzo Pellegrini,Roma,0.8
Mário Rui,Napoli,0.7
Lucas Martínez,Fiorentina,1.8
Hakan Çalhanoglu,Inter,0.8
Kim Min-Jae,Napoli,1.2
Gerard Deulofeu,Udinese,0.1
Giovanni Di Lorenzo,Napoli,0.8
Danilo,Juventus,1.3
Frank Anguissa,Napoli,1.4
Simone Perilli,Verona,0
Carlos Augusto,Monza,0.7
Luis Alberto,Lazio,0.3
Stefan Posch,Bologna,1.2
Romelu Lukaku,Inter,0
Ismaël Bennacer,AC Milan,0.9
Martin Turk,Sampdoria,0
Nicolò Barella,Inter,0.3
Armando Izzo,Monza,1.7
Piotr Zielinski,Napoli,0.4
Fabiano Parisi,Empoli,1.2
Cristiano Biraghi,Fiorentina,0.4
Bremer,Juventus,1.4
Nicolás Domínguez,Bologna,0.7
Chris Smalling,Roma,1.3
Pierluigi Gollini,Fiorentina,0
Sandro Tonali,AC Milan,0.7
Ademola Lookman,Atalanta,0.1
Ivan Provedel,Lazio,0
Fikayo Tomori,AC Milan,0.9
Juan Cuadrado,Juventus,0.8
Olivier Giroud,AC Milan,0.1
Manuel Locatelli,Juventus,0.8
Boulaye Dia,Salernitana,0.2
Andrei Radu,Cremonese,0
Federico Dimarco,Inter,0.5
Stanislav Lobotka,Napoli,0.6
Pierluigi Gollini,Napoli,0
Théo Hernández,AC Milan,0.7
Ibañez,Roma,2
Amir Rrahmani,Napoli,0.5
Destiny Udogie,Udinese,1.1
Stefan de Vrij,Inter,1.5
Ciro Immobile,Lazio,0
Matteo Pessina,Monza,1.1
Jaka Bijol,Udinese,0.9
Alessio Romagnoli,Lazio,1.1
Ivan Ilic,Torino,0.4
Mattia Perin,Juventus,0
Guglielmo Vicario,Empoli,0
Luigi Sepe,Salernitana,0
Ángel Di María,Juventus,0.3
Junior Messias,AC Milan,0.3
