player_name,team_name,Total_Key passes,Long,Short
Salvatore Sirigu,Fiorentina,0,0,0
Victor Osimhen,Napoli,1.1,0,1.1
Khvicha Kvaratskhelia,Napoli,1.6,0,1.6
Francesco Bardi,Bologna,0,0,0
Sergej Milinkovic-Savic,Lazio,1.2,0.1,1.1
Paulo Dybala,Roma,2,0.8,1.2
Rafael Leão,AC Milan,1.4,0.2,1.2
Lautaro Martínez,Inter,1.2,0.1,1.2
Mattia Zaccagni,Lazio,1,0,1
Domenico Berardi,Sassuolo,1.7,0.3,1.5
Armand Laurienté,Sassuolo,2.2,0.3,1.9
Adrien Rabiot,Juventus,1,0.1,0.9
Teun Koopmeiners,Atalanta,1.8,0.5,1.3
Felipe Anderson,Lazio,1.2,0,1.2
Lorenzo Pellegrini,Roma,2.2,0.8,1.4
Mário Rui,Napoli,2.1,0.8,1.3
Lucas Martínez,Fiorentina,0.3,0.1,0.2
Hakan Çalhanoglu,Inter,2.1,0.9,1.2
Kim Min-Jae,Napoli,0.3,0,0.3
Gerard Deulofeu,Udinese,3,0.5,2.5
Giovanni Di Lorenzo,Napoli,1.3,0.1,1.1
Danilo,Juventus,0.5,0.1,0.4
Frank Anguissa,Napoli,0.9,0,0.9
Simone Perilli,Verona,0,0,0
Carlos Augusto,Monza,0.7,0,0.7
Luis Alberto,Lazio,1.9,0.7,1.2
Stefan Posch,Bologna,0.8,0.3,0.5
Romelu Lukaku,Inter,1.3,0,1.3
Ismaël Bennacer,AC Milan,1.5,0.6,0.9
Martin Turk,Sampdoria,0,0,0
Nicolò Barella,Inter,1.6,0.2,1.4
Armando Izzo,Monza,0.5,0,0.5
Piotr Zielinski,Napoli,2.3,0.4,1.9
Fabiano Parisi,Empoli,0.6,0,0.6
Cristiano Biraghi,Fiorentina,2.5,1.1,1.4
Bremer,Juventus,0.3,0,0.3
Nicolás Domínguez,Bologna,1.2,0.1,1
Chris Smalling,Roma,0.2,0,0.2
Pierluigi Gollini,Fiorentina,0,0,0
Sandro Tonali,AC Milan,1.8,0.5,1.3
Ademola Lookman,Atalanta,1.3,0.2,1.1
Ivan Provedel,Lazio,0,0,0
Fikayo Tomori,AC Milan,0.3,0.2,0.1
Juan Cuadrado,Juventus,1.4,0.6,0.7
Olivier Giroud,AC Milan,0.7,0,0.7
Manuel Locatelli,Juventus,0.7,0.1,0.6
Boulaye Dia,Salernitana,1.1,0,1
Andrei Radu,Cremonese,0.2,0.2,0
Federico Dimarco,Inter,1.8,0.5,1.3
Stanislav Lobotka,Napoli,0.4,0,0.4
Pierluigi Gollini,Napoli,0,0,0
Théo Hernández,AC Milan,1.2,0.3,0.9
Ibañez,Roma,0.2,0,0.2
Amir Rrahmani,Napoli,0.4,0.2,0.2
Destiny Udogie,Udinese,1,0.1,0.9
Stefan de Vrij,Inter,0,0,0
Ciro Immobile,Lazio,0.8,0,0.8
Matteo Pessina,Monza,0.6,0.1,0.5
Jaka Bijol,Udinese,0.3,0.1,0.2
Alessio Romagnoli,Lazio,0.1,0,0
Ivan Ilic,Torino,0.9,0.3,0.6
Mattia Perin,Juventus,0,0,0
Guglielmo Vicario,Empoli,0,0,0
Luigi Sepe,Salernitana,0,0,0
Ángel Di María,Juventus,1.6,0.5,1.1
Junior Messias,AC Milan,0.6,0,0.6
Rafael Tolói,Atalanta,0.5,0.1,0.5
Morten Hjulmand,Lecce,0.7,0.2,0.5
Antonio Sanabria,Torino,0.8,0,0.8
Rade Krunic,AC Milan,0.7,0.1,0.6
Bryan Cristante,Roma,0.4,0.1,0.4
Ardian Ismajli,Empoli,0.2,0,0.2
Leo Østigård,Napoli,0,0,0
Giorgos Kyriakopoulos,Sassuolo,1.2,0.2,1
Guillermo Ochoa,Salernitana,0,0,0
Davide Zappacosta,Atalanta,0.7,0,0.7
Davide Frattesi,Sassuolo,0.8,0,0.8
Lukasz Skorupski,Bologna,0,0,0
Brahim Díaz,AC Milan,1.2,0,1.2
Christian Kouamé,Fiorentina,1.4,0.1,1.3
Francesco Acerbi,Inter,0.5,0.2,0.4
Nicolás González,Fiorentina,0.8,0,0.8
Stephan El Shaarawy,Roma,0.9,0.2,0.8
Michele Di Gregorio,Monza,0,0,0
Jérémie Boga,Atalanta,1.5,0.3,1.1
Marcelo Brozovic,Inter,0.8,0.1,0.7
Nicolò Rovella,Monza,0.9,0.3,0.6
Emil Audero,Sampdoria,0,0,0
Filip Kostic,Juventus,1.8,0.4,1.4
Marten de Roon,Atalanta,0.6,0,0.5
Nikola Milenkovic,Fiorentina,0.2,0,0.2
Davide Calabria,AC Milan,0.8,0.2,0.6
