player_name,team_name,CaughtOffside
Salvatore Sirigu,Fiorentina,0
Victor Osimhen,Napoli,1
Khvicha Kvaratskhelia,Napoli,0.2
Francesco Bardi,Bologna,0
Sergej Milinkovic-Savic,Lazio,0.1
Paulo Dybala,Roma,0.2
Rafael Leão,AC Milan,0.3
Lautaro Martínez,Inter,0.3
Mattia Zaccagni,Lazio,0.1
Domenico Berardi,Sassuolo,0.3
Armand Laurienté,Sassuolo,0.3
Adrien Rabiot,Juventus,0.1
Teun Koopmeiners,Atalanta,0.2
Felipe Anderson,Lazio,0.2
Lorenzo Pellegrini,Roma,0.2
Mário Rui,Napoli,0
Lucas Martínez,Fiorentina,0
Hakan Çalhanoglu,Inter,0.1
Kim Min-Jae,Napoli,0
Gerard Deulofeu,Udinese,0.5
Giovanni Di Lorenzo,Napoli,0.1
Danilo,Juventus,0
Frank Anguissa,Napoli,0.1
Simone Perilli,Verona,0
Carlos Augusto,Monza,0.2
Luis Alberto,Lazio,0.1
Stefan Posch,Bologna,0
Romelu Lukaku,Inter,0.5
Ismaël Bennacer,AC Milan,0
Martin Turk,Sampdoria,0
Nicolò Barella,Inter,0.3
Armando Izzo,Monza,0
Piotr Zielinski,Napoli,0.1
Fabiano Parisi,Empoli,0
Cristiano Biraghi,Fiorentina,0
Bremer,Juventus,0
Nicolás Domínguez,Bologna,0.1
Chris Smalling,Roma,0
Pierluigi Gollini,Fiorentina,0
Sandro Tonali,AC Milan,0.1
Ademola Lookman,Atalanta,0.4
Ivan Provedel,Lazio,0
Fikayo Tomori,AC Milan,0
Juan Cuadrado,Juventus,0.1
Olivier Giroud,AC Milan,0.5
Manuel Locatelli,Juventus,0
Boulaye Dia,Salernitana,0.4
Andrei Radu,Cremonese,0
Federico Dimarco,Inter,0.2
Stanislav Lobotka,Napoli,0
Pierluigi Gollini,Napoli,0
Théo Hernández,AC Milan,0.1
Ibañez,Roma,0
Amir Rrahmani,Napoli,0
Destiny Udogie,Udinese,0.2
Stefan de Vrij,Inter,0
Ciro Immobile,Lazio,0.7
Matteo Pessina,Monza,0
Jaka Bijol,Udinese,0
Alessio Romagnoli,Lazio,0
Ivan Ilic,Torino,0.1
Mattia Perin,Juventus,0
Guglielmo Vicario,Empoli,0
Luigi Sepe,Salernitana,0
Ángel Di María,Juventus,0.2
Junior Messias,AC Milan,0
Rafael Tolói,Atalanta,0.1
Morten Hjulmand,Lecce,0
Antonio Sanabria,Torino,0.4
Rade Krunic,AC Milan,0
Bryan Cristante,Roma,0.1
Ardian Ismajli,Empoli,0
Leo Østigård,Napoli,0
Giorgos Kyriakopoulos,Sassuolo,0
Guillermo Ochoa,Salernitana,0
Davide Zappacosta,Atalanta,0.1
Davide Frattesi,Sassuolo,0
Lukasz Skorupski,Bologna,0
Brahim Díaz,AC Milan,0.1
Christian Kouamé,Fiorentina,0.3
Francesco Acerbi,Inter,0.1
Nicolás González,Fiorentina,0.2
Stephan El Shaarawy,Roma,0.3
